area_id,area_name,LFPR_W,UNEMP_W,LFPR_T,UNEMP_T
11110,Jongno-gu,0.508,0.02739726,0.553,0.028776978
11140,Jung-gu,0.509,0.015873016,0.58,0.033613445
11170,Yongsan-gu,0.543,0.027522936,0.627,0.034146341
11200,Seongdong-gu,0.511,0.029411765,0.595,0.034351145
11215,Gwangjin-gu,0.51,0.035502959,0.596,0.034375
11230,Dongdaemun-gu,0.498,0.024539877,0.57,0.028481013
11260,Jungnang-gu,0.487,0.027777778,0.581,0.031518625
11290,Seongbuk-gu,0.493,0.028846154,0.551,0.030612245
11305,Gangbuk-gu,0.452,0.028169014,0.545,0.029520295
11320,Dobong-gu,0.456,0.026845638,0.564,0.031914894
11350,Nowon-gu,0.483,0.025210084,0.564,0.026607539
11380,Eunpyeong-gu,0.486,0.02739726,0.576,0.031553398
11410,Seodaemun-gu,0.479,0.038461538,0.561,0.03125
11440,Mapo-gu,0.541,0.016853933,0.618,0.021276596
11470,Yangcheon-gu,0.496,0.025252525,0.587,0.029023747
11500,Gangseo-gu,0.535,0.041198502,0.606,0.035714286
11530,Guro-gu,0.51,0.015544041,0.604,0.031662269
11545,Geumcheon-gu,0.521,0.036036036,0.618,0.036036036
11560,Yeongdeungpo-gu,0.503,0.016304348,0.602,0.025069638
11590,Dongjak-gu,0.509,0.032085561,0.582,0.030898876
11620,Gwanak-gu,0.509,0.029787234,0.573,0.034408602
11650,Seocho-gu,0.472,0.016304348,0.576,0.026162791
11680,Gangnam-gu,0.512,0.029787234,0.597,0.027272727
11710,Songpa-gu,0.51,0.030201342,0.606,0.035587189
11740,Gangdong-gu,0.529,0.024271845,0.614,0.025188917
26110,Jung-gu,0.438,0,0.517,0.025641026
26140,Seo-gu,0.466,0.02,0.518,0.021052632
26170,Dong-gu,0.434,0.023809524,0.509,0.025316456
26200,Yeongdo-gu,0.409,0,0.472,0.019417476
26230,Busanjin-gu,0.475,0.029585799,0.552,0.028213166
26260,Dongnae-gu,0.459,0.025,0.552,0.035087719
26290,Nam-gu,0.445,0.016129032,0.519,0.029411765
26320,Buk-gu,0.426,0.031746032,0.534,0.024590164
26350,Haeundae-gu,0.451,0.022346369,0.537,0.026548673
26380,Saha-gu,0.478,0.028368794,0.557,0.032727273
26410,Geumjeong-gu,0.432,0.018018018,0.515,0.028169014
26440,Gangseo-gu,0.497,0.018867925,0.658,0.027027027
26470,Yeonje-gu,0.462,0.021052632,0.545,0.027932961
26500,Suyeong-gu,0.469,0.024096386,0.544,0.032467532
26530,Sasang-gu,0.473,0.020618557,0.573,0.03125
26710,Gijang-gun,0.49,0.027027027,0.603,0.034722222
27110,Jung-gu,0.508,0.028571429,0.573,0
27140,Dong-gu,0.455,0.026143791,0.558,0.027303754
27170,Seo-gu,0.433,0.025641026,0.533,0.019607843
27200,Nam-gu,0.421,0.014084507,0.505,0.02238806
27230,Buk-gu,0.443,0.02020202,0.554,0.028423773
27260,Suseong-gu,0.456,0.016129032,0.546,0.017094017
27290,Dalseo-gu,0.472,0.015873016,0.566,0.020408163
27710,Dalseong-gun,0.494,0.009259259,0.619,0.013761468
28110,Jung-gu,0.509,0.034482759,0.629,0.033333333
28140,Dong-gu,0.54,0.037037037,0.605,0.037037037
28177,Michuhol-gu,0.517,0.038461538,0.604,0.035616438
28185,Yeonsu-gu,0.497,0.023391813,0.606,0.032738095
28200,Namdong-gu,0.505,0.034782609,0.605,0.037527594
28237,Bupyeong-gu,0.522,0.031531532,0.608,0.03712297
28245,Gyeyang-gu,0.526,0.03030303,0.623,0.035019455
28260,Seo-gu,0.534,0.039473684,0.646,0.034934498
28710,Ganghwa-gun,0.602,0,0.669,0.016949153
28720,Ongjin-gun,0.73,0,0.795,0
29110,Dong-gu,0.52,0.02,0.577,0.020618557
29140,Seo-gu,0.536,0.014925373,0.613,0.015503876
29155,Nam-gu,0.526,0.02020202,0.592,0.021390374
29170,Buk-gu,0.469,0.015228426,0.566,0.018181818
29200,Gwangsan_gu,0.51,0.02259887,0.626,0.02266289
30110,Dong-gu,0.445,0.009615385,0.532,0.019323671
30140,Jung-gu,0.513,0.019047619,0.588,0.01980198
30170,Seo-gu,0.522,0.018691589,0.608,0.02184466
30200,Yuseong-gu,0.518,0.013157895,0.624,0.01607717
30230,Daedeok-gu,0.47,0.012820513,0.572,0.019230769
31110,Jung-gu,0.436,0.021978022,0.564,0.021978022
31140,Nam-gu,0.45,0.02189781,0.581,0.025362319
31170,Dong-gu,0.418,0.015873016,0.565,0.030075188
31200,Buk-gu,0.46,0.034883721,0.613,0.028089888
31710,Ulju-gun,0.449,0.010752688,0.592,0.020618557
36110,Sejong_teugbyeoljachi-si,0.53,0.02027027,0.64,0.02027027
41110,Suwon-si,0.503,0.019157088,0.607,0.02209414
41130,Seongnam-si,0.516,0.024390244,0.622,0.031367629
41150,Uijeongbu-si,0.479,0.029411765,0.58,0.027777778
41170,Anyang-si,0.523,0.028806584,0.617,0.029661017
41190,Bucheon-si,0.504,0.013513514,0.615,0.022191401
41210,Gwangmyeong-si,0.49,0.007751938,0.594,0.027888446
41220,Pyeongtaek-si,0.494,0.017621145,0.628,0.023255814
41250,Dongducheon-si,0.421,0.023809524,0.546,0.036144578
41270,Ansan-si,0.513,0.02970297,0.62,0.032154341
41280,Goyang-si,0.494,0.014767932,0.601,0.02640264
41290,Gwacheon-si,0.447,0.035714286,0.566,0.018181818
41310,Guri-si,0.518,0.023529412,0.615,0.030120482
41360,Namyangju-si,0.462,0.023026316,0.569,0.021812081
41370,Osan-si,0.515,0.030612245,0.657,0.034653465
41390,Siheung-si,0.51,0.02293578,0.64,0.034707158
41410,Gunpo-si,0.496,0.024793388,0.605,0.029661017
41430,Uiwang-si,0.503,0.028169014,0.607,0.021582734
41450,Hanam-si,0.524,0.015625,0.63,0.019685039
41460,Yongin-si,0.449,0.015086207,0.583,0.021905805
41480,Paju-si,0.483,0.020512821,0.614,0.025510204
41500,Icheon-si,0.581,0.021276596,0.68,0.020725389
41550,Anseong-si,0.532,0.023255814,0.65,0.022346369
41570,Gimpo-si,0.472,0.010050251,0.601,0.012376238
41590,Hwaseong-si,0.518,0.026086957,0.672,0.025991792
41610,Gwangju-si,0.513,0.024691358,0.634,0.027108434
41630,Yangju-si,0.457,0.02,0.581,0.019900498
41650,Pocheon-si,0.528,0.015625,0.635,0.01459854
41670,Yeoju-si,0.506,0,0.642,0.01010101
41800,Yeoncheon-gun,0.533,0.055555556,0.634,0.027777778
41820,Gapyeong-gun,0.552,0.038461538,0.621,0.019230769
41830,Yangpyeong-gun,0.519,0,0.609,0.00990099
42110,Chuncheon-si,0.506,0.015503876,0.594,0.02
