area_id,area_name,GRDP
11110_2018,Jongno-gu,31868.7
11140_2018,Jung-gu,54274.5
11170_2018,Yongsan-gu,12300.3
11200_2018,Seongdong-gu,11657.2
11215_2018,Gwangjin-gu,6342.3
11230_2018,Dongdaemun-gu,7328.2
11260_2018,Jungnang-gu,4452.7
11290_2018,Seongbuk-gu,6054.8
11305_2018,Gangbuk-gu,3207.3
11320_2018,Dobong-gu,3352.7
11350_2018,Nowon-gu,6387.7
11380_2018,Eunpyeong-gu,4754.3
11410_2018,Seodaemun-gu,8364.0
11440_2018,Mapo-gu,19474.7
11470_2018,Yangcheon-gu,6931.2
11500_2018,Gangseo-gu,17607.3
11530_2018,Guro-gu,13816.7
11545_2018,Geumcheon-gu,17162.8
11560_2018,Yeongdeungpo-gu,34299.9
11590_2018,Dongjak-gu,6362.1
11620_2018,Gwanak-gu,5836.6
11650_2018,Seocho-gu,35277.0
11680_2018,Gangnam-gu,69186.3
11710_2018,Songpa-gu,28617.5
11740_2018,Gangdong-gu,8825.5
26110_2018,Jung-gu,2973.2
26140_2018,Seo-gu,3287.3
26170_2018,Dong-gu,4552.7
26200_2018,Yeongdo-gu,2642.4
26230_2018,Busanjin-gu,8516.3
26260_2018,Dongnae-gu,4063.1
26290_2018,Nam-gu,5708.3
26320_2018,Buk-gu,3125.9
26350_2018,Haeundae-gu,8845.5
26380_2018,Saha-gu,6900.4
26410_2018,Geumjeong-gu,4492.6
26440_2018,Gangseo-gu,13354.3
26470_2018,Yeonje-gu,6744.7
26500_2018,Suyeong-gu,2575.4
26530_2018,Sasang-gu,6760.8
26710_2018,Gijang-gun,5437.1
27110_2018,Jung-gu,5426.3
27140_2018,Dong-gu,7036.7
27170_2018,Seo-gu,3514.2
27200_2018,Nam-gu,2947.0
27230_2018,Buk-gu,10863.5
27260_2018,Suseong-gu,7717.0
27290_2018,Dalseo-gu,11620.0
27710_2018,Dalseong-gun,7589.7
28110_2018,Jung-gu,14559.8
28140_2018,Dong-gu,3499.3
28177_2018,Yeonsu-gu,6976.4
28185_2018,Namdong-gu,11300.7
28200_2018,Bupyeong-gu,16079.2
28237_2018,Gyeyang-gu,10495.4
28245_2018,Seo-gu,4530.6
28260_2018,Michuhol-gu,18950.5
28710_2018,Ganghwa-gun,1649.2
28720_2018,Ongjin-gun,694.4
29110_2018,Dong-gu,3728.9
29140_2018,Seo-gu,10096.6
29155_2018,Nam-gu,3127.0
29170_2018,Buk-gu,9955.8
29200_2018,Gwangsan_gu,12897.1
30110_2018,Dong-gu,3503.3
30140_2018,Jung-gu,4902.8
30170_2018,Seo-gu,12044.9
30200_2018,Yuseong-gu,13577.4
30230_2018,Daedeok-gu,7280.0
31110_2018,Jung-gu,4292.1
31140_2018,Nam-gu,30758.2
31170_2018,Dong-gu,9408.8
31200_2018,Buk-gu,10724.3
31710_2018,Ulju-gun,18464.1
36110_2018,Sejong_teugbyeoljachi-si,11101.9
41110_2018,Suwon-si,35441.1
41130_2018,Seongnam-si,42307.5
41150_2018,Uijeongbu-si,7350.1
41170_2018,Anyang-si,18138.4
41190_2018,Bucheon-si,17462.2
41210_2018,Gwangmyeong-si,8116.3
41220_2018,Pyeongtaek-si,33792.7
41250_2018,Dongducheon-si,1768.9
41270_2018,Ansan-si,26110.9
41280_2018,Goyang-si,21542.2
41290_2018,Gwacheon-si,4783.2
41310_2018,Guri-si,3722.3
41360_2018,Namyangju-si,10974.9
41370_2018,Osan-si,5649.9
41390_2018,Siheung-si,16210.9
