area_id,area_name,GRDP
48330_2018,Changwon-si,10727.2
30170_2018,Seo-gu,12044.9
11320_2018,Dobong-gu,3352.7
47230_2018,Yeongcheon-si,3620.9
11500_2018,Gangseo-gu,17607.3
47750_2018,Cheongsong-gun,714.1
26110_2018,Jung-gu,2973.2
47280_2018,Mungyeong-si,1678.5
45190_2018,Namwon_si,1644.2
43150_2018,Cheongju-si,36038.2
48250_2018,Miryang-si,15827.8
11590_2018,Dongjak-gu,6362.1
41550_2018,Anseong-si,9363.6
46820_2018,Haenam-gun,2064.7
48850_2018,Hadong-gun,2123.9
44180_2018,Boryeong-si,3901.1
44790_2018,Cheongyang-gun,1191.4
26260_2018,Dongnae-gu,4063.1
48870_2018,Hamyang-gun,1012.8
46900_2018,Jindo-gun,825.8
42150_2018,Gangneung-si,5326.9
45790_2018,Gochang-gun,1752.7
47840_2018,Seongju-gun,1829.5
46860_2018,Hampyeong-gun,935.4
43130_2018,Jecheon-si,3174.9
11560_2018,Yeongdeungpo-gu,34299.9
44800_2018,Hongseong-gun,3270.4
41650_2018,Pocheon-si,6705.3
41820_2018,Gapyeong-gun,1831.6
41280_2018,Goyang-si,21542.2
47720_2018,Gunwi-gun,817.7
29140_2018,Seo-gu,10096.6
42780_2018,Cheorwon-gun,1778.9
27230_2018,Buk-gu,10863.5
11530_2018,Guro-gu,13816.7
43720_2018,Boeun-gun,1174.0
45740_2018,Jangsu-gun,546.4
42790_2018,Hwacheon-gun,1345.9
41250_2018,Dongducheon-si,1768.9
44760_2018,Buyeo-gun,2008.3
41460_2018,Yongin-si,30520.7
46230_2018,Gwangyang-si,9688.3
44710_2018,Geumsan-gun,2176.3
31710_2018,Ulju-gun,18464.1
42720_2018,Hongcheon-gun,2488.3
42230_2018,Samcheok-si,2383.5
45110_2018,Jeonju-si,15301.0
28245_2018,Seo-gu,4530.6
46130_2018,Yeosu-si,26408.1
31110_2018,Jung-gu,4292.1
46170_2018,Naju-si,4381.1
42170_2018,Donghae-si,3161.4
43110_2018,Chungju-si,7618.4
41190_2018,Bucheon-si,17462.2
41310_2018,Guri-si,3722.3
41500_2018,Icheon-si,24581.1
48240_2018,Gimhae-si,4339.4
42770_2018,Jeongseon-gun,1444.0
26500_2018,Suyeong-gu,2575.4
11740_2018,Gangdong-gu,8825.5
30200_2018,Yuseong-gu,13577.4
46910_2018,Sinan-gun,1111.5
47730_2018,Uiseong-gun,1291.5
11350_2018,Nowon-gu,6387.7
42800_2018,Yanggu-gun,951.4
26230_2018,Busanjin-gu,8516.3
45180_2018,Jeongeup-si,2867.3
30230_2018,Daedeok-gu,7280.0
41110_2018,Suwon-si,35441.1
11230_2018,Dongdaemun-gu,7328.2
28260_2018,Michuhol-gu,18950.5
42730_2018,Hoengseong-gun,1667.9
44210_2018,Seosan-si,17793.4
47110_2018,Pohang-si,18577.4
30140_2018,Jung-gu,4902.8
44270_2018,Dangjin-si,11630.7
47250_2018,Sangju-si,2158.1
44150_2018,Gongju-si,3628.2
26290_2018,Nam-gu,5708.3
11410_2018,Seodaemun-gu,8364.0
26410_2018,Geumjeong-gu,4492.6
26200_2018,Yeongdo-gu,2642.4
27140_2018,Dong-gu,7036.7
48890_2018,Hapcheon-gun,1120.5
42750_2018,Yeongwol-gun,1304.3
45210_2018,Gimje-si,2804.4
28177_2018,Yeonsu-gu,6976.4
43760_2018,Eumseong-gun,8168.8
46880_2018,Jangseong-gun,1792.0
41130_2018,Seongnam-si,42307.5
27110_2018,Jung-gu,5426.3
41570_2018,Gimpo-si,13296.4
44230_2018,Nonsan-si,3790.5
41170_2018,Anyang-si,18138.4
44130_2018,Cheonan-si,26165.2
26140_2018,Seo-gu,3287.3
48730_2018,Haman-gun,3831.5
46730_2018,Gurye-gun,553.6
45730_2018,Muju-gun,573.3
11110_2018,Jongno-gu,31868.7
11170_2018,Yongsan-gu,12300.3
41150_2018,Uijeongbu-si,7350.1
27260_2018,Suseong-gu,7717.0
41630_2018,Yangju-si,6614.6
42210_2018,Sokcho-si,1740.2
44200_2018,Asan-si,30218.7
46110_2018,Mokpo-si,4222.8
41410_2018,Gunpo-si,7487.2
41290_2018,Gwacheon-si,4783.2
45770_2018,Sunchang-gun,720.4
45140_2018,Iksan-si,7618.4
41590_2018,Hwaseong-si,77734.0
26440_2018,Gangseo-gu,13354.3
46870_2018,Yeonggwang-gun,2335.8
29155_2018,Nam-gu,3127.0
11680_2018,Gangnam-gu,69186.3
47940_2018,Ulleung-gun,318.4
46890_2018,Wando-gun,1094.4
26350_2018,Haeundae-gu,8845.5
