area_id,area_name,GRDP
11110,Jongno-gu,33893980
11140,Jung-gu,56070505
11170,Yongsan-gu,12824348
11200,Seongdong-gu,12422960
11215,Gwangjin-gu,6451227
11230,Dongdaemun-gu,7399775
11260,Jungnang-gu,4750297
11290,Seongbuk-gu,6193208
11305,Gangbuk-gu,3356956
11320,Dobong-gu,3499358
11350,Nowon-gu,6438328
11380,Eunpyeong-gu,5076529
11410,Seodaemun-gu,8611066
11440,Mapo-gu,20199596
11470,Yangcheon-gu,7012123
11500,Gangseo-gu,16811352
11530,Guro-gu,13924846
11545,Geumcheon-gu,17221771
11560,Yeongdeungpo-gu,39433365
11590,Dongjak-gu,6650824
11620,Gwanak-gu,6138754
11650,Seocho-gu,36249662
11680,Gangnam-gu,74260359
11710,Songpa-gu,30336592
11740,Gangdong-gu,9317128
26110,Jung-gu,3551831
26140,Seo-gu,3414621
26170,Dong-gu,4098015
26200,Yeongdo-gu,2762062
26230,Busanjin-gu,8640684
26260,Dongnae-gu,3989457
26290,Nam-gu,6155947
26320,Buk-gu,3031318
26350,Haeundae-gu,9128828
26380,Saha-gu,7040858
26410,Geumjeong-gu,4367027
26440,Gangseo-gu,13426281
26470,Yeonje-gu,6323236
26500,Suyeong-gu,2770947
26530,Sasang-gu,6216501
26710,Gijang-gun,6368873
27110,Jung-gu,5409289
27140,Dong-gu,7583912
27170,Seo-gu,3852826
27200,Nam-gu,3099186
27230,Buk-gu,10468227
27260,Suseong-gu,8389760
27290,Dalseo-gu,11708977
27710,Dalseong-gun,7213212
28110,Jung-gu,12181626
28140,Dong-gu,3656940
28177,Yeonsu-gu,7697533
28185,Namdong-gu,11845543
28200,Bupyeong-gu,16456077
28237,Gyeyang-gu,10681732
28245,Seo-gu,4830032
28260,Michuhol-gu,19760013
28710,Ganghwa-gun,1628866
28720,Ongjin-gun,877102
29110,Dong-gu,3618618
29140,Seo-gu,10465189
29155,Nam-gu,3237215
29170,Buk-gu,10745223
29200,Gwangsan_gu,14002138
30110,Dong-gu,3691248
30140,Jung-gu,4928620
30170,Seo-gu,12716392
30200,Yuseong-gu,15343406
30230,Daedeok-gu,7713470
31110,Jung-gu,4609103
31140,Nam-gu,26062154
31170,Dong-gu,7577899
31200,Buk-gu,13176984
31710,Ulju-gun,17937255
36110,Sejong_teugbyeoljachi-si,12703589
41110,Suwon-si,33039311
41130,Seongnam-si,46784997
41150,Uijeongbu-si,7326448
41170,Anyang-si,17825677
41190,Bucheon-si,17881348
41210,Gwangmyeong-si,7961842
41220,Pyeongtaek-si,31581914
41250,Dongducheon-si,1779431
41270,Ansan-si,24577341
41280,Goyang-si,21759387
41290,Gwacheon-si,4338028
41310,Guri-si,3452293
41360,Namyangju-si,12682583
41370,Osan-si,5586906
41390,Siheung-si,16762049
41410,Gunpo-si,7252421
41430,Uiwang-si,3972027
41450,Hanam-si,7503165
41460,Yongin-si,33330635
41480,Paju-si,20991130
41500,Icheon-si,24780056
41550,Anseong-si,9758935
41570,Gimpo-si,14369720
41590,Hwaseong-si,81880205
41610,Gwangju-si,10082476
41630,Yangju-si,6847177
41650,Pocheon-si,7208193
41670,Yeoju-si,4279906
41800,Yeoncheon-gun,1767565
41820,Gapyeong-gun,1836107
41830,Yangpyeong-gun,2099063
42110,Chuncheon-si,8133318
42130,Wonju-si,9066919
42150,Gangneung-si,6092737
42170,Donghae-si,3168301
42190,Taebaek-si,1025466
42210,Sokcho-si,1848311
42230,Samcheok-si,2606300
42720,Hongcheon-gun,2427497
42730,Hoengseong-gun,1753743
42750,Yeongwol-gun,1300918
42760,Pyeongchang-gun,1405949
42770,Jeongseon-gun,1267721
42780,Cheorwon-gun,2005574
42790,Hwacheon-gun,1464125
42800,Yanggu-gun,1016499
42810,Inje-gun,1717530
42820,Goseong-gun,1290653
42830,Yangyang-gun,1065003
43110,Chungju-si,7779481
43130,Jecheon-si,3185810
43150,Cheongju-si,34817445
43720,Boeun-gun,1167227
43730,Okcheon-gun,1432414
43740,Yeongdong-gun,1129317
43745,Jincheon-gun,7936249
43750,Goesan-gun,1498780
43760,Eumseong-gun,8284106
43770,Danyang-gun,1165485
43800,Jeungpyeong-gun,1187456
44130,Cheonan-si,26111315
44150,Gongju-si,3762849
44180,Boryeong-si,4190195
44200,Asan-si,29923576
44210,Seosan-si,15843904
44230,Nonsan-si,4439047
44250,Gyeryong-si,1719448
44270,Dangjin-si,11733515
44710,Geumsan-gun,2359964
44760,Buyeo-gun,1980356
44770,Seocheon-gun,2292178
44790,Cheongyang-gun,1248541
44800,Hongseong-gun,3512347
44810,Yesan-gun,3537211
44825,Taean-gun,2876612
45110,Jeonju-si,15656658
45130,Gunsan-si,9357449
45140,Iksan-si,8221353
45180,Jeongeup-si,3236457
45190,Namwon_si,1782256
45210,Gimje-si,3088783
45710,Wanju-gun,4781760
45720,Jinan-gun,670017
45730,Muju-gun,745672
45740,Jangsu-gun,553433
45750,Imsil-gun,789158
45770,Sunchang-gun,809283
45790,Gochang-gun,1583028
45800,Buan-gun,1545178
46110,Mokpo-si,4444220
46130,Yeosu-si,25733671
46150,Suncheon-si,6309237
46170,Naju-si,4976771
46230,Gwangyang-si,9979935
46710,Damyang-gun,1550518
46720,Gokseong-gun,1071222
46730,Gurye-gun,595953
46770,Goheung-gun,1604617
46780,Boseong-gun,1008572
46790,Hwasun-gun,1783722
46800,Jangheung-gun,1034038
