광역시도,시군구별,시점,항목,지역내총생산시장가격,순생산물세,총부가가치기초가격,농림어업,광업,제조업,전기가스증기및공기조절공급업,건설업,도소매업,운수및창고업,숙박및음식점업,정보통신업,금융보험업,부동산업,사업서비스업,공공행정국방및사회보장,교육서비스업,보건및사회복지서비스업,문화및기타서비스업
전라북도,전라북도,2019,2015년 기준년가격(연쇄),49506041,3754265,45743363,3526160,107591,10727471,1266431,3148614,2505870,1387671,1123561,823352,2378334,2878499,2279153,5191439,3571631,3304110,1509324
전라북도,전라북도,2020,2015년 기준년가격(연쇄),49116252,3985799,45114469,3244946,114721,10279431,1469288,3171486,2351182,1169666,916429,904785,2514950,2884773,2205921,5555998,3525603,3372324,1461039
전라북도,전라북도,2021,2015년 기준년가격(연쇄),50636383,3954467,46670445,3388397,110784,11008367,1480941,2993225,2323933,1296752,973216,969789,2675725,2894485,2274442,5618371,3697320,3487152,1535486
전라북도,전주시,2019,2015년 기준년가격(연쇄),14824559,765747,14058918,85073,1239,1122873,212967,852079,1030272,419204,439062,375284,1395751,1121547,948621,1646069,2330963,1468571,619691
전라북도,전주시,2020,2015년 기준년가격(연쇄),14505363,824813,13679936,53916,2772,1106798,283061,799511,951152,291867,353610,392316,1510689,1131133,815532,1678462,2331254,1507421,526382
전라북도,전주시,2021,2015년 기준년가격(연쇄),14526585,816031,13710283,53731,2921,1139127,196465,586814,928768,304531,387084,427087,1529028,1145490,796347,1681926,2532499,1522162,526142
전라북도,군산시,2019,2015년 기준년가격(연쇄),8940629,920178,8017404,224229,17632,2877630,618728,728096,366123,359325,177825,98125,382841,439965,283624,552093,231721,428321,218794
전라북도,군산시,2020,2015년 기준년가격(연쇄),8856200,957874,7892666,225313,16938,2708589,626216,896792,337962,305101,142084,110001,366292,435568,272526,544465,240990,408477,223225
전라북도,군산시,2021,2015년 기준년가격(연쇄),9564488,988574,8572262,227359,18240,3053281,815008,877161,347204,399321,150381,119186,460669,415964,266125,528373,243736,447708,232055
전라북도,익산시,2019,2015년 기준년가격(연쇄),7537303,673918,6862486,357376,26613,2314626,165958,337449,385717,247171,147305,111715,308105,450312,364260,513473,455434,445038,228845
전라북도,익산시,2020,2015년 기준년가격(연쇄),7704713,726888,6975575,365544,31045,2259657,197848,300404,379391,185497,124339,128355,343081,457245,501045,577886,449057,453174,225365
전라북도,익산시,2021,2015년 기준년가격(연쇄),7906303,705485,7199785,363894,26629,2303348,155416,316009,377730,208929,135639,137348,322840,450550,551219,639898,395456,545929,244764
전라북도,정읍시,2019,2015년 기준년가격(연쇄),2930358,276422,2652440,446580,7415,745562,49657,154794,125659,38837,51739,47703,72229,150452,68801,333662,100674,183155,79094
전라북도,정읍시,2020,2015년 기준년가격(연쇄),3025670,294550,2729231,421465,10313,753188,74858,129775,121935,36696,40830,56270,78744,153419,54850,412040,100616,206869,86693
전라북도,정읍시,2021,2015년 기준년가격(연쇄),3176797,302210,2872881,453925,7813,824715,57493,134850,119484,38362,43392,51496,105305,147761,62593,421741,101130,214280,89838
전라북도,남원시,2019,2015년 기준년가격(연쇄),1659301,93958,1565206,292121,26646,158994,21509,142441,85260,46672,46243,29617,38050,107581,51801,258064,61695,127052,66946
전라북도,남원시,2020,2015년 기준년가격(연쇄),1598341,103009,1495037,250726,26939,161202,26896,119297,82513,41427,36117,35266,34880,111264,41345,289041,47922,127970,62274
전라북도,남원시,2021,2015년 기준년가격(연쇄),1650211,100662,1549257,272754,31050,153866,21250,139486,80346,41185,37946,44318,44242,104399,45995,293746,47502,124518,61354
전라북도,김제시,2019,2015년 기준년가격(연쇄),2769441,319284,2448525,407523,1,811488,35723,142779,160157,58197,31202,30716,38955,116048,63473,278680,74633,137383,69174
전라북도,김제시,2020,2015년 기준년가격(연쇄),2835561,320534,2513489,378151,3,731325,47298,205475,140935,78789,26954,36746,41513,113011,67013,351225,63625,144880,85718
전라북도,김제시,2021,2015년 기준년가격(연쇄),2944384,319194,2623780,425943,2,802936,34928,205799,142695,61079,27982,38767,56719,111465,66920,347952,69409,138381,87713
전라북도,완주군,2019,2015년 기준년가격(연쇄),4642542,326807,4313968,291819,5639,2091628,71124,187916,121735,96262,68698,38309,51610,128139,375879,455012,124667,125695,63172
