area_id,area_name,GRDP
11110,Jongno-gu,33780610
11111,Jongno-gu,33893980
11140,Jung-gu,53823217
11141,Jung-gu,56070505
11170,Yongsan-gu,12695516
11171,Yongsan-gu,12824348
11200,Seongdong-gu,12167850
11201,Seongdong-gu,12422960
11215,Gwangjin-gu,6587069
11216,Gwangjin-gu,6451227
11230,Dongdaemun-gu,7555543
11231,Dongdaemun-gu,7399775
11260,Jungnang-gu,4741739
11261,Jungnang-gu,4750297
11290,Seongbuk-gu,6141921
11291,Seongbuk-gu,6193208
11305,Gangbuk-gu,3283572
11306,Gangbuk-gu,3356956
11320,Dobong-gu,3404872
11321,Dobong-gu,3499358
11350,Nowon-gu,6620672
11351,Nowon-gu,6438328
11380,Eunpyeong-gu,4919715
11381,Eunpyeong-gu,5076529
11410,Seodaemun-gu,8652191
11411,Seodaemun-gu,8611066
11440,Mapo-gu,19943128
11441,Mapo-gu,20199596
11470,Yangcheon-gu,7125314
11471,Yangcheon-gu,7012123
11500,Gangseo-gu,17458926
11501,Gangseo-gu,16811352
11530,Guro-gu,14090156
11531,Guro-gu,13924846
11545,Geumcheon-gu,17614623
11546,Geumcheon-gu,17221771
11560,Yeongdeungpo-gu,36095497
11561,Yeongdeungpo-gu,39433365
11590,Dongjak-gu,6527100
11591,Dongjak-gu,6650824
11620,Gwanak-gu,5963769
11621,Gwanak-gu,6138754
11650,Seocho-gu,35570338
11651,Seocho-gu,36249662
11680,Gangnam-gu,71852681
11681,Gangnam-gu,74260359
11710,Songpa-gu,29962528
11711,Songpa-gu,30336592
11740,Gangdong-gu,9348668
11741,Gangdong-gu,9317128
26110,Jung-gu,3119522
26111,Jung-gu,3551831
26140,Seo-gu,2977265
26141,Seo-gu,3414621
26170,Dong-gu,4768625
26171,Dong-gu,4098015
26200,Yeongdo-gu,2731839
26201,Yeongdo-gu,2762062
26230,Busanjin-gu,8886673
26231,Busanjin-gu,8640684
26260,Dongnae-gu,4097686
26261,Dongnae-gu,3989457
26290,Nam-gu,5649213
26291,Nam-gu,6155947
26320,Buk-gu,3116148
26321,Buk-gu,3031318
26350,Haeundae-gu,9503602
26351,Haeundae-gu,9128828
26380,Saha-gu,7190129
26381,Saha-gu,7040858
26410,Geumjeong-gu,4626781
26411,Geumjeong-gu,4367027
26440,Gangseo-gu,14481984
26441,Gangseo-gu,13426281
26470,Yeonje-gu,6880899
26471,Yeonje-gu,6323236
26500,Suyeong-gu,2789695
26501,Suyeong-gu,2770947
26530,Sasang-gu,6567881
26531,Sasang-gu,6216501
26710,Gijang-gun,5624192
26711,Gijang-gun,6368873
27110,Jung-gu,5374655
27111,Jung-gu,5409289
27140,Dong-gu,7671520
27141,Dong-gu,7583912
27170,Seo-gu,3591916
27171,Seo-gu,3852826
27200,Nam-gu,3219019
27201,Nam-gu,3099186
27230,Buk-gu,10578872
27231,Buk-gu,10468227
27260,Suseong-gu,8134646
27261,Suseong-gu,8389760
27290,Dalseo-gu,12090472
27291,Dalseo-gu,11708977
27710,Dalseong-gun,7433594
27711,Dalseong-gun,7213212
28110,Jung-gu,14798640
28111,Jung-gu,12181626
28140,Dong-gu,3470143
28141,Dong-gu,3656940
28177,Yeonsu-gu,7129517
28178,Yeonsu-gu,7697533
28185,Namdong-gu,11861076
28186,Namdong-gu,11845543
28200,Bupyeong-gu,16240920
28201,Bupyeong-gu,16456077
28237,Gyeyang-gu,10352522
28238,Gyeyang-gu,10681732
28245,Seo-gu,4913797
28246,Seo-gu,4830032
28260,Michuhol-gu,18842726
28261,Michuhol-gu,19760013
28710,Ganghwa-gun,1710277
28711,Ganghwa-gun,1628866
28720,Ongjin-gun,720882
28721,Ongjin-gun,877102
29110,Dong-gu,3650708
29111,Dong-gu,3618618
29140,Seo-gu,10587701
29141,Seo-gu,10465189
29155,Nam-gu,3302379
29156,Nam-gu,3237215
29170,Buk-gu,10459568
29171,Buk-gu,10745223
29200,Gwangsan_gu,13519198
29201,Gwangsan_gu,14002138
30110,Dong-gu,3686416
30111,Dong-gu,3691248
30140,Jung-gu,5085859
30141,Jung-gu,4928620
30170,Seo-gu,12714786
30171,Seo-gu,12716392
30200,Yuseong-gu,14019944
30201,Yuseong-gu,15343406
30230,Daedeok-gu,7585213
30231,Daedeok-gu,7713470
31110,Jung-gu,4870330
31111,Jung-gu,4609103
31140,Nam-gu,28681406
31141,Nam-gu,26062154
31170,Dong-gu,8443353
31171,Dong-gu,7577899
31200,Buk-gu,13962650
31201,Buk-gu,13176984
31710,Ulju-gun,18696889
31711,Ulju-gun,17937255
36110,Sejong_teugbyeoljachi-si,11855276
36111,Sejong_teugbyeoljachi-si,12703589
41110,Suwon-si,36621012
41111,Suwon-si,33039311
41130,Seongnam-si,44085982
41131,Seongnam-si,46784997
41150,Uijeongbu-si,7473255
41151,Uijeongbu-si,7326448
41170,Anyang-si,18953542
41171,Anyang-si,17825677
41190,Bucheon-si,17561534
41191,Bucheon-si,17881348
41210,Gwangmyeong-si,7756108
41211,Gwangmyeong-si,7961842
41220,Pyeongtaek-si,32021073
41221,Pyeongtaek-si,31581914
41250,Dongducheon-si,1818825
41251,Dongducheon-si,1779431
41270,Ansan-si,25768170
41271,Ansan-si,24577341
41280,Goyang-si,21702354
41281,Goyang-si,21759387
41290,Gwacheon-si,4780609
41291,Gwacheon-si,4338028
