area_id,area_name,GRDP
11110,Jongno-gu,33780
11111,Jongno-gu,33893
11140,Jung-gu,53823
11141,Jung-gu,56070
11170,Yongsan-gu,12695
11171,Yongsan-gu,12824
11200,Seongdong-gu,12167
11201,Seongdong-gu,12422
11215,Gwangjin-gu,6587
11216,Gwangjin-gu,6451
11230,Dongdaemun-gu,7555
11231,Dongdaemun-gu,7399
11260,Jungnang-gu,4741
11261,Jungnang-gu,4750
11290,Seongbuk-gu,6141
11291,Seongbuk-gu,6193
11305,Gangbuk-gu,3283
11306,Gangbuk-gu,3356
11320,Dobong-gu,3404
11321,Dobong-gu,3499
11350,Nowon-gu,6620
11351,Nowon-gu,6438
11380,Eunpyeong-gu,4919
11381,Eunpyeong-gu,5076
11410,Seodaemun-gu,8652
11411,Seodaemun-gu,8611
11440,Mapo-gu,19943
11441,Mapo-gu,20199
11470,Yangcheon-gu,7125
11471,Yangcheon-gu,7012
11500,Gangseo-gu,17458
11501,Gangseo-gu,16811
11530,Guro-gu,14090
11531,Guro-gu,13924
11545,Geumcheon-gu,17614
11546,Geumcheon-gu,17221
11560,Yeongdeungpo-gu,36095
11561,Yeongdeungpo-gu,39433
11590,Dongjak-gu,6527
11591,Dongjak-gu,6650
11620,Gwanak-gu,5963
11621,Gwanak-gu,6138
11650,Seocho-gu,35570
11651,Seocho-gu,36249
11680,Gangnam-gu,71852
11681,Gangnam-gu,74260
11710,Songpa-gu,29962
11711,Songpa-gu,30336
11740,Gangdong-gu,9348
11741,Gangdong-gu,9317
26110,Jung-gu,3119
26111,Jung-gu,3551
26140,Seo-gu,2977
26141,Seo-gu,3414
26170,Dong-gu,4768
26171,Dong-gu,4098
26200,Yeongdo-gu,2731
26201,Yeongdo-gu,2762
26230,Busanjin-gu,8886
26231,Busanjin-gu,8640
26260,Dongnae-gu,4097
26261,Dongnae-gu,3989
26290,Nam-gu,5649
26291,Nam-gu,6155
26320,Buk-gu,3116
26321,Buk-gu,3031
26350,Haeundae-gu,9503
26351,Haeundae-gu,9128
26380,Saha-gu,7190
26381,Saha-gu,7040
26410,Geumjeong-gu,4626
26411,Geumjeong-gu,4367
26440,Gangseo-gu,14481
26441,Gangseo-gu,13426
26470,Yeonje-gu,6880
26471,Yeonje-gu,6323
26500,Suyeong-gu,2789
26501,Suyeong-gu,2770
26530,Sasang-gu,6567
26531,Sasang-gu,6216
26710,Gijang-gun,5624
26711,Gijang-gun,6368
27110,Jung-gu,5374
27111,Jung-gu,5409
27140,Dong-gu,7671
27141,Dong-gu,7583
27170,Seo-gu,3591
27171,Seo-gu,3852
27200,Nam-gu,3219
27201,Nam-gu,3099
27230,Buk-gu,10578
27231,Buk-gu,10468
27260,Suseong-gu,8134
27261,Suseong-gu,8389
27290,Dalseo-gu,12090
