ADM1,area_name,area_id,GRDP
North Hwanghae Province,Jangpung County,PRK.4.7_1,43.0
North Hwanghae Province,Goksan County,PRK.4.5_1,152.0
South Hwanghae Province,Bongcheon County,PRK.9.3_1,59.0
Kangwon Province,Beopdong County,PRK.2.2_1,96.0
South Hwanghae Province,Byeokseong County,PRK.9.4_1,153.0
Kangwon Province,Pyeonggang County,PRK.2.14_1,103.0
South Pyongan Province,Ryonggang County,PRK.10.19_1,73.0
South Hwanghae Province,Ryongyeon County,PRK.9.14_1,122.0
South Hwanghae Province,Samcheon County,PRK.9.15_1,164.0
Kangwon Province,Sepo County,PRK.2.15_1,73.0
South Hwanghae Province,Sincheon County,PRK.9.17_1,254.0
South Hwanghae Province,Sinwon County,PRK.9.18_1,59.0
North Hwanghae Province,Geumcheon County,PRK.4.4_1,78.0
South Hwanghae Province,Songhwa County,PRK.9.19_1,32.0
South Hwanghae Province,Taetan County,PRK.9.20_1,46.0
Kangwon Province,Tongcheon County,PRK.2.16_1,127.0
South Hwanghae Province,Euncheon County,PRK.9.6_1,104.0
South Hwanghae Province,Eunryul County,PRK.9.7_1,98.0
Kangwon Province,Wonsan City,PRK.2.17_1,658.0
South Hwanghae Province,Yeonan County,PRK.9.21_1,205.0
Pyongyang Directly Governed City,Gangdong County,PRK.6.5_1,351.0
Pyongyang Directly Governed City,Gangnam County,PRK.6.6_1,106.0
North Hamgyong Province,Raseon City,PRK.3.15_1,359.0
North Hamgyong Province,Gyeongheung County,PRK.3.6_1,184.0
South Pyongan Province,Anju City,PRK.10.1_1,440.0
North Pyongan Province,Cheonrima County,PRK.5.6_1,404.0
South Pyongan Province,Cheongnamgu,PRK.10.3_1,22.0
South Pyongan Province,Jeungsan County,PRK.10.11_1,102.0
South Pyongan Province,Hoechang County,PRK.10.10_1,134.0
Ryanggang Province,Hyesan City,PRK.7.8_1,226.0
South Pyongan Province,Gaecheon City,PRK.10.9_1,572.0
South Pyongan Province,Daedong County,PRK.10.5_1,277.0
Ryanggang Province,Gapsan County,PRK.7.4_1,138.0
Ryanggang Province,Gimhyeonggwon County,PRK.7.5_1,43.0
North Hamgyong Province,Gyeongseong County,PRK.3.7_1,131.0
Ryanggang Province,Gimhyeongjik County,PRK.7.6_1,85.0
Ryanggang Province,Gimjeongsuk County,PRK.7.7_1,26.0
South Pyongan Province,Maengsan County,PRK.10.12_1,76.0
South Pyongan Province,Mundeok County,PRK.10.13_1,96.0
South Pyongan Province,Nyeongwon County,PRK.10.15_1,56.0
South Pyongan Province,Oncheon County,PRK.10.16_1,177.0
Ryanggang Province,Baekam County,PRK.7.1_1,113.0
Ryanggang Province,Bocheon County,PRK.7.2_1,32.0
South Pyongan Province,Bukchang County,PRK.10.2_1,323.0
Ryanggang Province,Pungseo County,PRK.7.9_1,60.0
North Hamgyong Province,Gyeongwon County,PRK.3.8_1,195.0
South Pyongan Province,Pyeongseong City,PRK.10.17_1,539.0
South Pyongan Province,Pyeongwon County,PRK.10.18_1,223.0
Ryanggang Province,Samjiyeon County,PRK.7.10_1,50.0
Ryanggang Province,Samsu County,PRK.7.11_1,23.0
South Pyongan Province,Sinyang County,PRK.10.23_1,84.0
South Pyongan Province,Seongcheon County,PRK.10.22_1,151.0
South Pyongan Province,Sukcheon County,PRK.10.24_1,108.0
South Pyongan Province,Suncheon City,PRK.10.26_1,492.0
South Pyongan Province,Daean County,PRK.10.4_1,180.0
Ryanggang Province,Daehongdan County,PRK.7.3_1,44.0
North Hamgyong Province,Musan County,PRK.3.11_1,155.0
South Pyongan Province,Daeheung County,PRK.10.6_1,20.0
South Pyongan Province,Deokcheon City,PRK.10.7_1,411.0
Ryanggang Province,Unheung County,PRK.7.12_1,66.0
North Pyongan Province,Eunsan County,PRK.5.10_1,396.0
South Pyongan Province,Yangdeok County,PRK.10.27_1,91.0
South Hamgyong Province,Geumya County,PRK.8.6_1,295.0
South Hamgyong Province,Dancheon City,PRK.8.3_1,519.0
South Hamgyong Province,Heocheon County,PRK.8.10_1,155.0
Chagang Province,Janggang County,PRK.1.7_1,82.0
North Hamgyong Province,Myeongcheon County,PRK.3.12_1,72.0
South Hamgyong Province,Jangjin County,PRK.8.12_1,71.0
Chagang Province,Jaseong County,PRK.1.8_1,40.0
Chagang Province,Jeoncheon County,PRK.1.9_1,125.0
South Hamgyong Province,Jeongpyeong County,PRK.8.13_1,208.0
Chagang Province,Chosan County,PRK.1.1_1,32.0
Chagang Province,Junggang County,PRK.1.10_1,55.0
