"시군구별","경제활동별(1)",2021,2021
"행정구역(시·군)별","경제활동별",당해년가격,2015년기준년가격(연쇄)
"경기도","지역내총생산(시장가격)",529210829,498358681
"경기도","순생산물세",39989291,34271149
"경기도","총부가가치(기초가격)",489221538,464215228
"경기도","농업, 임업 및 어업",3735556,3210592
"경기도","광업",321708,329153
"경기도","제조업",180133295,187049856
"경기도","전기, 가스, 증기 및 공기 조절 공급업",4215341,7400323
"경기도","건설업",32016858,25800603
"경기도","도매 및 소매업",28863708,28746070
"경기도","운수 및 창고업",11568169,10924593
"경기도","숙박 및 음식점업",8704674,7571553
"경기도","정보통신업",22164479,19698829
"경기도","금융 및 보험업",18531523,18189559
"경기도","부동산업",39476279,36937794
"경기도","사업서비스업",58493656,48892374
"경기도","공공 행정, 국방 및 사회보장 행정",24408067,20637596
"경기도","교육 서비스업",21341729,19418304
"경기도","보건업 및 사회복지 서비스업",22016783,20375731
"경기도","문화 및 기타서비스업",13229713,10937287
"수원시","지역내총생산(시장가격)",35684685,32667337
"수원시","순생산물세",2644504,2266362
"수원시","총부가가치(기초가격)",33040181,30400661
"수원시","농업, 임업 및 어업",14486,11838
"수원시","광업",-,-
"수원시","제조업",5275355,5908308
"수원시","전기, 가스, 증기 및 공기 조절 공급업",22121,39138
"수원시","건설업",2166583,1749555
"수원시","도매 및 소매업",2043819,2034419
"수원시","운수 및 창고업",645316,626526
"수원시","숙박 및 음식점업",795969,692825
"수원시","정보통신업",705693,718997
"수원시","금융 및 보험업",2674527,2648746
"수원시","부동산업",2951193,2767100
"수원시","사업서비스업",5373455,4514420
"수원시","공공 행정, 국방 및 사회보장 행정",5336109,4508686
"수원시","교육 서비스업",2121827,1937140
"수원시","보건업 및 사회복지 서비스업",1848729,1711876
"수원시","문화 및 기타서비스업",1064999,905576
"성남시","지역내총생산(시장가격)",50302710,45085311
"성남시","순생산물세",3811297,3266314
"성남시","총부가가치(기초가격)",46491413,41822363
"성남시","농업, 임업 및 어업",4601,3517
"성남시","광업",36,37
"성남시","제조업",4271509,4564639
"성남시","전기, 가스, 증기 및 공기 조절 공급업",218329,386293
"성남시","건설업",2036602,1635857
"성남시","도매 및 소매업",3890621,3877409
"성남시","운수 및 창고업",541603,518017
"성남시","숙박 및 음식점업",756845,656186
"성남시","정보통신업",14814537,12276501
"성남시","금융 및 보험업",2862172,2928979
"성남시","부동산업",4187699,3917891
"성남시","사업서비스업",7485544,6292422
"성남시","공공 행정, 국방 및 사회보장 행정",1223372,1037125
"성남시","교육 서비스업",1786065,1627819
"성남시","보건업 및 사회복지 서비스업",1528943,1415431
"성남시","문화 및 기타서비스업",882935,752027
"의정부시","지역내총생산(시장가격)",7388564,6705270
"의정부시","순생산물세",658619,564441
"의정부시","총부가가치(기초가격)",6729945,6141965
"의정부시","농업, 임업 및 어업",2588,2010
"의정부시","광업",14122,14632
"의정부시","제조업",250308,245223
"의정부시","전기, 가스, 증기 및 공기 조절 공급업",94666,153229
"의정부시","건설업",680183,546622
"의정부시","도매 및 소매업",581293,577558
"의정부시","운수 및 창고업",216430,210220
"의정부시","숙박 및 음식점업",229956,198935
"의정부시","정보통신업",126472,132796
"의정부시","금융 및 보험업",572351,543979
"의정부시","부동산업",774161,727364
"의정부시","사업서비스업",409671,345333
"의정부시","공공 행정, 국방 및 사회보장 행정",1117232,940420
"의정부시","교육 서비스업",615418,560183
"의정부시","보건업 및 사회복지 서비스업",780749,723395
"의정부시","문화 및 기타서비스업",264345,225643
"안양시","지역내총생산(시장가격)",18439904,17210240
"안양시","순생산물세",1467868,1257976
"안양시","총부가가치(기초가격)",16972036,15953854
"안양시","농업, 임업 및 어업",778,618
"안양시","광업",16903,17513
"안양시","제조업",3140164,3297202
"안양시","전기, 가스, 증기 및 공기 조절 공급업",139412,246665
"안양시","건설업",976022,787821
"안양시","도매 및 소매업",1343812,1338952
"안양시","운수 및 창고업",371203,359814
"안양시","숙박 및 음식점업",338081,293038
"안양시","정보통신업",1274995,1397182
"안양시","금융 및 보험업",1382484,1378055
"안양시","부동산업",1598896,1501476
"안양시","사업서비스업",3351539,2691891
