"시군구별","경제활동별(1)",2021,2021
"행정구역별(시군)","산업별",당해년 가격 (백만원),2015년 기준년 연쇄가격 (백만원)
"경상북도","지역내총생산(시장가격)",113285841,106052638
"경상북도","순생산물세",7105206,6079398
"경상북도","총부가가치(기초가격)",106180635,99960696
"경상북도","농업, 어업 및 임업",6777286,5617665
"경상북도","광업",154293,156379
"경상북도","제조업",46774077,44742638
"경상북도","전기가스증기및공기조절업",2078433,3616930
"경상북도","건설업",5501353,4397629
"경상북도","도매및소매업",3409743,3392724
"경상북도","운수및창고업",2536659,2472971
"경상북도","숙박 및 음식점업",1838950,1613506
"경상북도","정보통신업",1415718,1582432
"경상북도","금융 및 보험업",3374737,3287840
"경상북도","부동산업",4267105,4119419
"경상북도","사업서비스업",5776415,4790395
"경상북도","공공행정,국방 및 사회보장 행정",10082656,8709749
"경상북도","교육서비스업(정부)",5132292,4702631
"경상북도","보건업 및 사회복지서비스업",4127393,3802706
"경상북도","문화 및 기타서비스업",2933525,2314397
"포항시","지역내총생산(시장가격)",23813078,22057786
"포항시","순생산물세",1540488,1318081
"포항시","총부가가치(기초가격)",22272590,20741067
"포항시","농업, 어업 및 임업",275590,271617
"포항시","광업",4630,4943
"포항시","제조업",10571254,10108733
"포항시","전기가스증기및공기조절업",192423,340816
"포항시","건설업",1389376,1114868
"포항시","도매및소매업",693521,689572
"포항시","운수및창고업",868436,826103
"포항시","숙박 및 음식점업",367259,321112
"포항시","정보통신업",301062,330409
"포항시","금융 및 보험업",875012,844577
"포항시","부동산업",1024298,985580
"포항시","사업서비스업",1781892,1411365
"포항시","공공행정,국방 및 사회보장 행정",1478098,1262891
"포항시","교육서비스업(정부)",969298,951828
"포항시","보건업 및 사회복지서비스업",912332,838378
"포항시","문화 및 기타서비스업",568110,458716
"경주시","지역내총생산(시장가격)",11405637,10984172
"경주시","순생산물세",751379,642899
"경주시","총부가가치(기초가격)",10654258,10339955
"경주시","농업, 어업 및 임업",362080,309175
"경주시","광업",7028,7462
"경주시","제조업",4848555,4636418
"경주시","전기가스증기및공기조절업",533112,922573
"경주시","건설업",494329,395975
"경주시","도매및소매업",313037,311824
"경주시","운수및창고업",198815,199204
"경주시","숙박 및 음식점업",303344,272273
"경주시","정보통신업",171763,187458
"경주시","금융 및 보험업",298226,289812
"경주시","부동산업",385986,373197
"경주시","사업서비스업",847720,764513
"경주시","공공행정,국방 및 사회보장 행정",623528,541039
"경주시","교육서비스업(정부)",481794,456064
"경주시","보건업 및 사회복지서비스업",383455,353313
"경주시","문화 및 기타서비스업",401487,328922
"김천시","지역내총생산(시장가격)",5797343,5150283
"김천시","순생산물세",335843,287356
"김천시","총부가가치(기초가격)",5461500,4862428
"김천시","농업, 어업 및 임업",384016,302034
"김천시","광업",17681,18954
"김천시","제조업",1931121,1846629
"김천시","전기가스증기및공기조절업",32775,56631
"김천시","건설업",212614,171096
"김천시","도매및소매업",148939,148179
"김천시","운수및창고업",241347,237568
"김천시","숙박 및 음식점업",77060,67563
