"시군구별","경제활동별(1)",2021,2021
"구군별","경제활동별",당해년가격 (백만원),2015년 기준년가격(연쇄) (백만원)
"울산광역시","지역내총생산(시장가격)",77973813,69523277
"울산광역시","순생산물세",13949383,11888126
"울산광역시","총부가가치(기초가격)",64024430,57645293
"울산광역시","농업, 임업 및 어업",156516,146990
"울산광역시","광업",44529,50098
"울산광역시","제조업",39122008,35091260
"울산광역시","전기, 가스, 증기 및 공기조절 공급업",1454863,2314509
"울산광역시","건설업",2320213,1865790
"울산광역시","도매 및 소매업",1689206,1680200
"울산광역시","운수 및 창고업",2393739,1736887
"울산광역시","숙박 및 음식점업",812236,708373
"울산광역시","정보통신업",530040,627010
"울산광역시","금융 및 보험업",1630779,1569288
"울산광역시","부동산업",2682004,2435434
"울산광역시","사업서비스업",3764694,3126669
"울산광역시","공공행정,국방 및 사회보장행정",1976729,1688843
"울산광역시","교육서비스업",2388421,2166029
"울산광역시","보건업 및 사회복지 서비스업",1908002,1761065
"울산광역시","문화 및 기타서비스업",1150451,938405
"중구","지역내총생산(시장가격)",4681237,4321602
"중구","순생산물세",287173,244738
"중구","총부가가치(기초가격)",4394064,4077829
"중구","농업, 임업 및 어업",3467,2822
"중구","광업",40,0
"중구","제조업",77209,75345
"중구","전기, 가스, 증기 및 공기조절 공급업",225174,386312
"중구","건설업",143472,93824
"중구","도매 및 소매업",207435,206238
"중구","운수 및 창고업",23717,22575
"중구","숙박 및 음식점업",92642,80246
"중구","정보통신업",119018,142476
"중구","금융 및 보험업",231342,220946
"중구","부동산업",496145,448911
"중구","사업서비스업",983772,818671
"중구","공공행정,국방 및 사회보장행정",591214,498393
"중구","교육서비스업",730251,666330
"중구","보건업 및 사회복지 서비스업",336558,310803
"중구","문화 및 기타서비스업",132607,114748
"남구","지역내총생산(시장가격)",32333988,26943844
"남구","순생산물세",7936531,6763774
"남구","총부가가치(기초가격)",24397457,20183368
"남구","농업, 임업 및 어업",8985,10995
"남구","광업",4816,5019
"남구","제조업",14929783,11868346
"남구","전기, 가스, 증기 및 공기조절 공급업",439275,677217
"남구","건설업",903441,729142
"남구","도매 및 소매업",702228,698851
"남구","운수 및 창고업",1481068,915303
"남구","숙박 및 음식점업",295479,258839
"남구","정보통신업",171982,200140
"남구","금융 및 보험업",930512,885732
"남구","부동산업",887110,813638
"남구","사업서비스업",1397810,1163723
"남구","공공행정,국방 및 사회보장행정",458928,395294
"남구","교육서비스업",592300,535904
"남구","보건업 및 사회복지 서비스업",736672,678476
"남구","문화 및 기타서비스업",457068,373175
"동구","지역내총생산(시장가격)",5645088,6014270
"동구","순생산물세",391988,334065
"동구","총부가가치(기초가격)",5253100,5688777
"동구","농업, 임업 및 어업",6749,6107
"동구","광업",0,0
"동구","제조업",3011132,3614236
"동구","전기, 가스, 증기 및 공기조절 공급업",156125,266650
"동구","건설업",81359,66391
"동구","도매 및 소매업",105791,104964
"동구","운수 및 창고업",16003,14764
"동구","숙박 및 음식점업",101386,89052
"동구","정보통신업",57436,65902
"동구","금융 및 보험업",141634,137088
"동구","부동산업",337203,304155
"동구","사업서비스업",318220,248712
"동구","공공행정,국방 및 사회보장행정",200049,167341
"동구","교육서비스업",209309,189324
"동구","보건업 및 사회복지 서비스업",422109,388470
"동구","문화 및 기타서비스업",88595,74622
"북구","지역내총생산(시장가격)",12437053,12848327
"북구","순생산물세",948434,808287
"북구","총부가가치(기초가격)",11488619,12054219
"북구","농업, 임업 및 어업",21893,21285
"북구","광업",422,439
"북구","제조업",8032867,8812376
"북구","전기, 가스, 증기 및 공기조절 공급업",218832,367269
"북구","건설업",320206,258915
"북구","도매 및 소매업",345501,343681
"북구","운수 및 창고업",235779,228139
"북구","숙박 및 음식점업",169337,146477
"북구","정보통신업",76332,97179
"북구","금융 및 보험업",173755,172466
"북구","부동산업",464808,420981
"북구","사업서비스업",544427,461825
"북구","공공행정,국방 및 사회보장행정",254059,219264
"북구","교육서비스업",303398,274761
"북구","보건업 및 사회복지 서비스업",194632,180523
"북구","문화 및 기타서비스업",132369,108103
"울주군","지역내총생산(시장가격)",22876447,19469950
"울주군","순생산물세",4385258,3737262
"울주군","총부가가치(기초가격)",18491190,15723347
"울주군","농업, 임업 및 어업",115421,104856
"울주군","광업",39252,45135
"울주군","제조업",13071016,10754867
"울주군","전기, 가스, 증기 및 공기조절 공급업",415455,617161
"울주군","건설업",871734,713236
"울주군","도매 및 소매업",328251,326524
"울주군","운수 및 창고업",637173,564830
"울주군","숙박 및 음식점업",153392,133364
"울주군","정보통신업",105271,120725
"울주군","금융 및 보험업",153535,153191
"울주군","부동산업",496737,447606
"울주군","사업서비스업",520465,442985
"울주군","공공행정,국방 및 사회보장행정",472479,407040
"울주군","교육서비스업",553163,499382
"울주군","보건업 및 사회복지 서비스업",218031,202662
"울주군","문화 및 기타서비스업",339812,262979
