area_id,desc
11110,"Full address of the given location is Jongno-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.928mol/m²
Average land surface temperature is 13.3°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 10.4%, 2.5km²
The Factory area percentage and area estimated from satellite imagery are 0.4%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 0.9%, 0.2km²
Sum of nightlight intensity is 5829.025
Average nightlight intensity is 32.383
Area of district of the given location is 24.0km²"
11140,"Full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.002mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.392mol/m²
Average land surface temperature is 15.2°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 0.3%, 0.0km²
The Factory area percentage and area estimated from satellite imagery are 0.2%, 0.0km²
The Transportation area percentage and area estimated from satellite imagery are 0.2%, 0.0km²
Sum of nightlight intensity is 6214.808
Average nightlight intensity is 121.859
Area of district of the given location is 10.0km²"
11170,"Full address of the given location is Yongsan-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.795mol/m²
Average land surface temperature is 15.1°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 12.3%, 2.5km²
The Factory area percentage and area estimated from satellite imagery are 0.6%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 47.6%, 9.6km²
Sum of nightlight intensity is 7085.109
Average nightlight intensity is 88.564
Area of district of the given location is 20.2km²"
11200,"Full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.665mol/m²
Average land surface temperature is 15.3°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 13.3%, 2.2km²
The Factory area percentage and area estimated from satellite imagery are 9.5%, 1.6km²
The Transportation area percentage and area estimated from satellite imagery are 23.4%, 3.9km²
Sum of nightlight intensity is 5549.013
Average nightlight intensity is 50.908
Area of district of the given location is 16.8km²"
11215,"Full address of the given location is Gwangjin-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.675mol/m²
Average land surface temperature is 15.7°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 1.4%, 0.2km²
The Factory area percentage and area estimated from satellite imagery are 0.2%, 0.0km²
The Transportation area percentage and area estimated from satellite imagery are 19.8%, 3.4km²
Sum of nightlight intensity is 5587.826
Average nightlight intensity is 45.802
Area of district of the given location is 17.0km²"
11230,"Full address of the given location is Dongdaemun-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.57mol/m²
Average land surface temperature is 15.5°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 31.7%, 4.6km²
The Factory area percentage and area estimated from satellite imagery are 1.3%, 0.2km²
The Transportation area percentage and area estimated from satellite imagery are 27.9%, 4.0km²
Sum of nightlight intensity is 5229.678
Average nightlight intensity is 54.476
Area of district of the given location is 14.5km²"
11260,"Full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.726mol/m²
Average land surface temperature is 14.8°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 14.5%, 2.7km²
The Factory area percentage and area estimated from satellite imagery are 1.5%, 0.3km²
The Transportation area percentage and area estimated from satellite imagery are 13.8%, 2.5km²
Sum of nightlight intensity is 5107.935
Average nightlight intensity is 100.156
Area of district of the given location is 18.3km²"
11290,"Full address of the given location is Seongbuk-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.964mol/m²
Average land surface temperature is 14.2°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 14.0%, 3.4km²
The Factory area percentage and area estimated from satellite imagery are 0.4%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 0.7%, 0.2km²
Sum of nightlight intensity is 6388.528
Average nightlight intensity is 29.714
Area of district of the given location is 24.6km²"
11305,"Full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.91mol/m²
Average land surface temperature is 12.3°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 1.9%, 0.5km²
The Factory area percentage and area estimated from satellite imagery are 0.5%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 3.4%, 0.8km²
Sum of nightlight intensity is 4181.276
Average nightlight intensity is 20.597
Area of district of the given location is 23.6km²"
11320,"Full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.794mol/m²
Average land surface temperature is 12.9°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 0.2%, 0.0km²
The Factory area percentage and area estimated from satellite imagery are 0.4%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 0.8%, 0.2km²
Sum of nightlight intensity is 3681.47
Average nightlight intensity is 39.165
Area of district of the given location is 20.7km²"
11350,"Full address of the given location is Nowon-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 1.393mol/m²
Average land surface temperature is 13.3°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 12.5%, 4.4km²
The Factory area percentage and area estimated from satellite imagery are 0.8%, 0.3km²
The Transportation area percentage and area estimated from satellite imagery are 10.3%, 3.7km²
Sum of nightlight intensity is 6481.895
Average nightlight intensity is 38.583
Area of district of the given location is 35.6km²"
11380,"Full address of the given location is Eunpyeong-gu, Seoul_teugbyeol-si, KOR
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 1.136mol/m²
Average land surface temperature is 12.5°C
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
The Commercial area percentage and area estimated from satellite imagery are 1.2%, 0.4km²
The Factory area percentage and area estimated from satellite imagery are 1.2%, 0.4km²
The Transportation area percentage and area estimated from satellite imagery are 6.4%, 1.9km²
Sum of nightlight intensity is 4935.213
Average nightlight intensity is 20.31
Area of district of the given location is 29.8km²"
