area_id,desc
11110,"Full address of the given location is Jongno-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 5744.152
Average nightlight intensity is 31.912
The Commercial area percentage and area estimated from satellite imagery are 23.9%, 5.7km²
The Factory area percentage and area estimated from satellite imagery are 0.2%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 1.1%, 0.3km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.008mol/m²
Sum of CO over the area is 0.977mol/m²
Average land surface temperature is 22.4°C
Distance to the nearest port is 157.4km
Area of district of the given location is 24.0km²"
11140,"Full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 5735.949
Average nightlight intensity is 112.47
The Commercial area percentage and area estimated from satellite imagery are 74.4%, 7.5km²
The Factory area percentage and area estimated from satellite imagery are 0.4%, 0.0km²
The Transportation area percentage and area estimated from satellite imagery are 0.8%, 0.1km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.002mol/m²
Sum of SO₂ over the area is 0.003mol/m²
Sum of CO over the area is 0.417mol/m²
Average land surface temperature is 24.7°C
Distance to the nearest port is 157.7km
Area of district of the given location is 10.0km²"
11170,"Full address of the given location is Yongsan-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 7042.513
Average nightlight intensity is 88.031
The Commercial area percentage and area estimated from satellite imagery are 40.7%, 8.2km²
The Factory area percentage and area estimated from satellite imagery are 2.0%, 0.4km²
The Transportation area percentage and area estimated from satellite imagery are 19.2%, 3.9km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.006mol/m²
Sum of CO over the area is 0.831mol/m²
Average land surface temperature is 25.4°C
Distance to the nearest port is 160.3km
Area of district of the given location is 20.2km²"
11200,"Full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 6255.229
Average nightlight intensity is 57.387
The Commercial area percentage and area estimated from satellite imagery are 43.4%, 7.3km²
The Factory area percentage and area estimated from satellite imagery are 4.2%, 0.7km²
The Transportation area percentage and area estimated from satellite imagery are 21.5%, 3.6km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.003mol/m²
Sum of CO over the area is 0.695mol/m²
Average land surface temperature is 24.7°C
Distance to the nearest port is 154.7km
Area of district of the given location is 16.8km²"
11215,"Full address of the given location is Gwangjin-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 5898.861
Average nightlight intensity is 48.351
The Commercial area percentage and area estimated from satellite imagery are 40.6%, 6.9km²
The Factory area percentage and area estimated from satellite imagery are 0.5%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 9.2%, 1.6km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.003mol/m²
Sum of CO over the area is 0.707mol/m²
Average land surface temperature is 22.5°C
Distance to the nearest port is 151.5km
Area of district of the given location is 17.0km²"
11230,"Full address of the given location is Dongdaemun-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 6240.557
Average nightlight intensity is 65.006
The Commercial area percentage and area estimated from satellite imagery are 60.2%, 8.7km²
The Factory area percentage and area estimated from satellite imagery are 0.9%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 10.9%, 1.6km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.002mol/m²
Sum of SO₂ over the area is 0.004mol/m²
Sum of CO over the area is 0.598mol/m²
Average land surface temperature is 26.6°C
Distance to the nearest port is 152.0km
Area of district of the given location is 14.5km²"
11260,"Full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 6271.781
Average nightlight intensity is 122.976
The Commercial area percentage and area estimated from satellite imagery are 42.4%, 7.8km²
The Factory area percentage and area estimated from satellite imagery are 0.7%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 12.4%, 2.3km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.003mol/m²
Sum of CO over the area is 0.757mol/m²
Average land surface temperature is 23.3°C
Distance to the nearest port is 148.2km
Area of district of the given location is 18.3km²"
11290,"Full address of the given location is Seongbuk-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 6732.241
Average nightlight intensity is 31.313
The Commercial area percentage and area estimated from satellite imagery are 38.7%, 9.5km²
The Factory area percentage and area estimated from satellite imagery are 0.5%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 5.3%, 1.3km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.007mol/m²
Sum of CO over the area is 1.005mol/m²
Average land surface temperature is 24.7°C
Distance to the nearest port is 153.7km
Area of district of the given location is 24.6km²"
11305,"Full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 4217.242
Average nightlight intensity is 20.775
The Commercial area percentage and area estimated from satellite imagery are 26.0%, 6.2km²
The Factory area percentage and area estimated from satellite imagery are 0.3%, 0.1km²
The Transportation area percentage and area estimated from satellite imagery are 1.0%, 0.2km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.006mol/m²
Sum of CO over the area is 0.946mol/m²
Average land surface temperature is 22.6°C
Distance to the nearest port is 152.4km
Area of district of the given location is 23.6km²"
11320,"Full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
Sum of nightlight intensity is 3769.937
Average nightlight intensity is 40.106
The Commercial area percentage and area estimated from satellite imagery are 29.3%, 6.1km²
The Factory area percentage and area estimated from satellite imagery are 0.8%, 0.2km²
The Transportation area percentage and area estimated from satellite imagery are 6.3%, 1.3km²
Count of agri-industrial complexes is 0.0
Count of general industrial complexes is 0.0
Count of urban high-tech industrial complexes is 0.0
Sum of NO₂ over the area is 0.002mol/m²
Sum of SO₂ over the area is 0.004mol/m²
Sum of CO over the area is 0.825mol/m²
Average land surface temperature is 22.6°C
Distance to the nearest port is 149.6km
Area of district of the given location is 20.7km²"
