area_id,desc
1 Pyonganbuk-do Unsan-gun,"Full address of the given location is Unsan-gun, Pyonganbuk-do, PRK_14_20x10_2024
Area of district of the given location is 160.6km²
Sum of nightlight intensity is 31.707
Average nightlight intensity is 0.022
List of production facilities is None
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.03mol/m²
Sum of CO over the area is 6.601mol/m²
Average land surface temperature is 20.9°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
Distance to the nearest port is 310.9km
The Transportation area percentage and area estimated from satellite imagery are 2.8%, 4.5km²
The Power station area percentage and area estimated from satellite imagery are 0.6%, 0.9km²"
2 Pyonganbuk-do Guseong-si,"Full address of the given location is Guseong-si, Pyonganbuk-do, PRK_14_20x10_2024
Area of district of the given location is 133.1km²
Sum of nightlight intensity is 19.203
Average nightlight intensity is 0.039
List of production facilities is None
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.024mol/m²
Sum of CO over the area is 5.697mol/m²
Average land surface temperature is 16.8°C
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
The Commercial area percentage and area estimated from satellite imagery are 0.3%, 0.4km²
Distance to the nearest port is 265.2km
The Transportation area percentage and area estimated from satellite imagery are 9.5%, 12.6km²
The Power station area percentage and area estimated from satellite imagery are 1.2%, 1.6km²"
3 Pyonganbuk-do Gujang-gun,"Full address of the given location is Gujang-gun, Pyonganbuk-do, PRK_14_20x10_2024
Area of district of the given location is 148.0km²
Sum of nightlight intensity is 49.508
Average nightlight intensity is 0.146
List of production facilities are 봉천탄광, 용등탄광(룡등탄광)
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.023mol/m²
Sum of CO over the area is 6.375mol/m²
Average land surface temperature is 16.3°C
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.5%, 0.7km²
Distance to the nearest port is 286.1km
The Transportation area percentage and area estimated from satellite imagery are 5.1%, 7.6km²
The Power station area percentage and area estimated from satellite imagery are 2.0%, 2.9km²"
4 Pyongannam-do Sukcheon-gun,"Full address of the given location is Sukcheon-gun, Pyongannam-do, PRK_14_20x10_2024
Area of district of the given location is 138.9km²
Sum of nightlight intensity is 1.034
Average nightlight intensity is 0.004
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.023mol/m²
Sum of CO over the area is 6.22mol/m²
Average land surface temperature is 17.0°C
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
The Commercial area percentage and area estimated from satellite imagery are 1.5%, 2.1km²
Distance to the nearest port is 292.8km
The Transportation area percentage and area estimated from satellite imagery are 18.1%, 25.1km²
The Power station area percentage and area estimated from satellite imagery are 6.3%, 8.8km²"
5 Pyongannam-do Seongcheon-gun,"Full address of the given location is Seongcheon-gun, Pyongannam-do, PRK_14_20x10_2024
Area of district of the given location is 146.9km²
Sum of nightlight intensity is 5.107
Average nightlight intensity is 0.029
List of production facilities are 대봉광산, 용흥광산(룡흥광산)
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.023mol/m²
Sum of CO over the area is 6.363mol/m²
Average land surface temperature is 21.1°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 1.0%, 1.4km²
Distance to the nearest port is 237.3km
The Transportation area percentage and area estimated from satellite imagery are 1.9%, 2.8km²
The Power station area percentage and area estimated from satellite imagery are 0.7%, 1.1km²"
6 Hwanghaebuk-do Yeontan-gun,"Full address of the given location is Yeontan-gun, Hwanghaebuk-do, PRK_14_20x10_2024
Area of district of the given location is 138.6km²
Sum of nightlight intensity is 4.115
Average nightlight intensity is 0.022
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.022mol/m²
Sum of CO over the area is 5.888mol/m²
Average land surface temperature is 21.9°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
Distance to the nearest port is 227.6km
The Transportation area percentage and area estimated from satellite imagery are 1.0%, 1.4km²
The Power station area percentage and area estimated from satellite imagery are 0.6%, 0.9km²"
7 Hwanghaebuk-do Eunpa-gun,"Full address of the given location is Eunpa-gun, Hwanghaebuk-do, PRK_14_20x10_2024
Area of district of the given location is 150.2km²
Sum of nightlight intensity is 16.732
Average nightlight intensity is 0.042
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.023mol/m²
Sum of CO over the area is 6.564mol/m²
Average land surface temperature is 23.5°C
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 2.0%, 3.0km²
Distance to the nearest port is 242.5km
The Transportation area percentage and area estimated from satellite imagery are 20.5%, 30.8km²
The Power station area percentage and area estimated from satellite imagery are 1.5%, 2.2km²"
8 Hwanghaenam-do Jaeryeong-gun,"Full address of the given location is Jaeryeong-gun, Hwanghaenam-do, PRK_14_20x10_2024
Area of district of the given location is 150.3km²
Sum of nightlight intensity is 9.009
Average nightlight intensity is 0.023
List of production facilities are 재령광산
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.019mol/m²
Sum of CO over the area is 6.608mol/m²
Average land surface temperature is 24.4°C
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.6%, 0.9km²
Distance to the nearest port is 260.5km
The Transportation area percentage and area estimated from satellite imagery are 7.5%, 11.2km²
The Power station area percentage and area estimated from satellite imagery are 1.5%, 2.3km²"
9 Hwanghaenam-do Euncheon-gun,"Full address of the given location is Euncheon-gun, Hwanghaenam-do, PRK_14_20x10_2024
Area of district of the given location is 149.8km²
Sum of nightlight intensity is 11.227
Average nightlight intensity is 0.026
List of production facilities is None
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.027mol/m²
Sum of CO over the area is 6.453mol/m²
Average land surface temperature is 19.9°C
The Factory area percentage and area estimated from satellite imagery are 0.2%, 0.2km²
The Commercial area percentage and area estimated from satellite imagery are 0.8%, 1.2km²
Distance to the nearest port is 274.2km
The Transportation area percentage and area estimated from satellite imagery are 3.3%, 4.9km²
The Power station area percentage and area estimated from satellite imagery are 2.6%, 4.0km²"
10 Hamgyeongbuk-do Gyeongseong-gun,"Full address of the given location is Gyeongseong-gun, Hamgyeongbuk-do, PRK_14_20x10_2024
Area of district of the given location is 140.5km²
Sum of nightlight intensity is 33.821
Average nightlight intensity is 0.085
List of production facilities is None
Sum of NO₂ over the area is 0.002mol/m²
Sum of SO₂ over the area is 0.017mol/m²
Sum of CO over the area is 5.897mol/m²
Average land surface temperature is 19.1°C
The Factory area percentage and area estimated from satellite imagery are 1.0%, 1.4km²
The Commercial area percentage and area estimated from satellite imagery are 1.0%, 1.5km²
Distance to the nearest port is 251.2km
The Transportation area percentage and area estimated from satellite imagery are 11.4%, 16.0km²
The Power station area percentage and area estimated from satellite imagery are 1.2%, 1.6km²"
11 Hamgyeongbuk-do Eorang-gun,"Full address of the given location is Eorang-gun, Hamgyeongbuk-do, PRK_14_20x10_2024
Area of district of the given location is 134.4km²
Sum of nightlight intensity is 2.928
Average nightlight intensity is 0.008
List of production facilities is None
Sum of NO₂ over the area is 0.002mol/m²
Sum of SO₂ over the area is 0.01mol/m²
Sum of CO over the area is 5.581mol/m²
Average land surface temperature is 20.5°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.3%, 0.4km²
Distance to the nearest port is 261.5km
The Transportation area percentage and area estimated from satellite imagery are 5.2%, 7.1km²
The Power station area percentage and area estimated from satellite imagery are 0.5%, 0.7km²"
12 Hamgyeongnam-do Hamju-gun,"Full address of the given location is Hamju-gun, Hamgyeongnam-do, PRK_14_20x10_2024
Area of district of the given location is 155.0km²
Sum of nightlight intensity is 36.374
Average nightlight intensity is 0.054
List of production facilities is None
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.029mol/m²
Sum of CO over the area is 6.69mol/m²
Average land surface temperature is 20.7°C
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
The Commercial area percentage and area estimated from satellite imagery are 1.4%, 2.1km²
Distance to the nearest port is 205.3km
The Transportation area percentage and area estimated from satellite imagery are 0.5%, 0.8km²
The Power station area percentage and area estimated from satellite imagery are 1.7%, 2.6km²"
13 Hamgyeongnam-do Geumya-gun,"Full address of the given location is Geumya-gun, Hamgyeongnam-do, PRK_14_20x10_2024
Area of district of the given location is 145.7km²
Sum of nightlight intensity is 27.05
Average nightlight intensity is 0.074
List of production facilities is None
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.03mol/m²
Sum of CO over the area is 6.215mol/m²
Average land surface temperature is 19.5°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.5%, 0.7km²
Distance to the nearest port is 186.7km
The Transportation area percentage and area estimated from satellite imagery are 4.0%, 5.9km²
The Power station area percentage and area estimated from satellite imagery are 2.5%, 3.7km²"
