area_id,desc
1 North_Hamgyong_Province cheongjin,"Full address of the given location is cheongjin, North_Hamgyong_Province, PRK
Sum of NO₂ over the area is 0.02mol/m²
Sum of SO₂ over the area is 0.204mol/m²
Sum of CO over the area is 61.662mol/m²
Average land surface temperature is 8.6°C
List of production facilities are 가축사육업, 금바위광산, 낙산광산(락산광산), 부윤광산, 삼해광산
The Factory area percentage and area estimated from satellite imagery are 0.3%, 0.6km²
The Commercial area percentage and area estimated from satellite imagery are 0.8%, 1.5km²
Distance to the nearest port is 229.8km
Sum of nightlight intensity is 454.713
Average nightlight intensity is 0.639
Area of district of the given location is 172.9km²"
2 pyeongyang pyeongyang,"Full address of the given location is pyeongyang, pyeongyang, PRK
Sum of NO₂ over the area is 0.079mol/m²
Sum of SO₂ over the area is 0.381mol/m²
Sum of CO over the area is 97.552mol/m²
Average land surface temperature is 22.1°C
List of production facilities are 가축사육업, 강동청년탄광, 고비탄광, 낙원영화관, 대동문영화관, 동평양대극장, 만수대예술극장, 모란봉극장, 봉화예술극장, 선교영화관, 조선4.26아동영화촬영소, 조선예술영화촬영소, 조선인민군4.25예술영화촬영소, 평양교예극장, 평양국제영화회관, 평양대극장
The Factory area percentage and area estimated from satellite imagery are 3.2%, 13.9km²
The Commercial area percentage and area estimated from satellite imagery are 5.2%, 22.5km²
Distance to the nearest port is 264.2km
Sum of nightlight intensity is 4584.938
Average nightlight intensity is 3.856
Area of district of the given location is 432.4km²"
3 North_Hamgyong_Province rason,"Full address of the given location is rason, North_Hamgyong_Province, PRK
Sum of NO₂ over the area is 0.011mol/m²
Sum of SO₂ over the area is 0.109mol/m²
Sum of CO over the area is 31.441mol/m²
Average land surface temperature is 8.2°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
The Commercial area percentage and area estimated from satellite imagery are 1.6%, 2.4km²
Distance to the nearest port is 155.9km
Sum of nightlight intensity is 209.892
Average nightlight intensity is 0.221
Area of district of the given location is 147.2km²"
4 North_Pyongan_Province shinuiju,"Full address of the given location is shinuiju, North_Pyongan_Province, PRK
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.026mol/m²
Sum of CO over the area is 7.482mol/m²
Average land surface temperature is 14.4°C
List of production facilities are 가축사육업, 도립극장, 신의주극장
The Factory area percentage and area estimated from satellite imagery are 1.3%, 2.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
Distance to the nearest port is 198.0km
Sum of nightlight intensity is 3272.54
Average nightlight intensity is 4.622
Area of district of the given location is 150.3km²"
1 Pyongyang-si Kangdong-gun_2022,"Full address of the given location is Kangdong-gun, Pyongyang-si, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.03mol/m²
Sum of CO over the area is 6.057mol/m²
Average land surface temperature is 19.2°C
List of production facilities are 고비탄광
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.2%, 0.3km²
Distance to the nearest port is 240.7km
Sum of nightlight intensity is 72.574
Average nightlight intensity is 0.196
Area of district of the given location is 143.8km²"
2 Pyeongannam-do Bukchang-gun_2022,"Full address of the given location is Bukchang-gun, Pyeongannam-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.012mol/m²
Sum of SO₂ over the area is 0.036mol/m²
Sum of CO over the area is 6.06mol/m²
Average land surface temperature is 19.3°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.2%, 0.2km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
Distance to the nearest port is 252.4km
Sum of nightlight intensity is 197.682
Average nightlight intensity is 0.394
Area of district of the given location is 142.0km²"
3 Pyeongannam-do Sinyang-gun_2022,"Full address of the given location is Sinyang-gun, Pyeongannam-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.034mol/m²
Sum of CO over the area is 7.059mol/m²
Average land surface temperature is 16.0°C
List of production facilities are 성천광산, 수왕동광산
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
Distance to the nearest port is 214.1km
Sum of nightlight intensity is 59.314
Average nightlight intensity is 0.033
Area of district of the given location is 182.7km²"
4 Pyeonganbuk-do Yeonju-gun_2022,"Full address of the given location is Yeonju-gun, Pyeonganbuk-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.031mol/m²
Sum of CO over the area is 6.428mol/m²
Average land surface temperature is 15.3°C
List of production facilities is None
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.8%, 1.2km²
Distance to the nearest port is 225.4km
Sum of nightlight intensity is 14.076
Average nightlight intensity is 0.032
Area of district of the given location is 154.8km²"
5 Pyeonganbuk-do Daegwan-gun_2022,"Full address of the given location is Daegwan-gun, Pyeonganbuk-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.033mol/m²
Sum of CO over the area is 7.196mol/m²
Average land surface temperature is 14.2°C
List of production facilities is None
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
Distance to the nearest port is 251.0km
Sum of nightlight intensity is 32.726
Average nightlight intensity is 0.015
Area of district of the given location is 184.3km²"
6 Hwanghaenam-do Baecheon-gun_2022,"Full address of the given location is Baecheon-gun, Hwanghaenam-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.028mol/m²
Sum of CO over the area is 6.131mol/m²
Average land surface temperature is 19.3°C
List of production facilities are 배천광산
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
Distance to the nearest port is 204.1km
Sum of nightlight intensity is 18.533
Average nightlight intensity is 0.044
Area of district of the given location is 152.1km²"
7 Hwanghaenam-do Jangyeon-gun_2022,"Full address of the given location is Jangyeon-gun, Hwanghaenam-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.02mol/m²
Sum of CO over the area is 5.934mol/m²
Average land surface temperature is 18.7°C
List of production facilities are 낙연광산(락연광산)
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
Distance to the nearest port is 287.8km
Sum of nightlight intensity is 9.653
Average nightlight intensity is 0.04
Area of district of the given location is 151.0km²"
8 Hwanghaebuk-do Hwangju-gun_2022,"Full address of the given location is Hwangju-gun, Hwanghaebuk-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.024mol/m²
Sum of CO over the area is 5.828mol/m²
Average land surface temperature is 23.8°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
Distance to the nearest port is 253.4km
Sum of nightlight intensity is 17.585
Average nightlight intensity is 0.087
Area of district of the given location is 138.4km²"
9 Hwanghaebuk-do Goksan-gun_2022,"Full address of the given location is Goksan-gun, Hwanghaebuk-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.028mol/m²
Sum of CO over the area is 6.483mol/m²
Average land surface temperature is 17.1°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.4%, 0.7km²
Distance to the nearest port is 178.7km
Sum of nightlight intensity is 13.581
Average nightlight intensity is 0.012
Area of district of the given location is 166.7km²"
10 Hamgyeongnam-do Sinpo-si_2022,"Full address of the given location is Sinpo-si, Hamgyeongnam-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.024mol/m²
Sum of CO over the area is 6.161mol/m²
Average land surface temperature is 15.9°C
List of production facilities is None
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.7%, 1.1km²
Distance to the nearest port is 206.6km
Sum of nightlight intensity is 183.515
Average nightlight intensity is 0.548
Area of district of the given location is 150.6km²"
11 Hamgyeongnam-do Jeongpyeong-gun_2022,"Full address of the given location is Jeongpyeong-gun, Hamgyeongnam-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.032mol/m²
Sum of CO over the area is 5.819mol/m²
Average land surface temperature is 14.0°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.3%, 0.4km²
Distance to the nearest port is 199.4km
Sum of nightlight intensity is 25.366
Average nightlight intensity is 0.038
Area of district of the given location is 144.8km²"
12 Hamgyeongbuk-do Gilju-gun_2022,"Full address of the given location is Gilju-gun, Hamgyeongbuk-do, PRK_14_20x10_2025
Sum of NO₂ over the area is 0.0mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.0mol/m²
Average land surface temperature is 0.0°C
List of production facilities are 가축사육업
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.4%, 0.1km²
Distance to the nearest port is 303.4km
Sum of nightlight intensity is 49.962
Average nightlight intensity is 0.214
Area of district of the given location is 37.4km²"
