area_id,desc
1 North_Hamgyong_Province cheongjin,"Full address of the given location is cheongjin, North_Hamgyong_Province, PRK
Area of district of the given location is 172.9km²
List of production facilities are 가축사육업, 금바위광산, 낙산광산(락산광산), 부윤광산, 삼해광산
Sum of nightlight intensity is 454.713
Average nightlight intensity is 0.639
The Residential area percentage and area estimated from satellite imagery are 0.9%, 1.5km²
The Agricultural area percentage and area estimated from satellite imagery are 3.2%, 5.5km²
The Factory area percentage and area estimated from satellite imagery are 0.3%, 0.6km²
The Commercial area percentage and area estimated from satellite imagery are 0.8%, 1.5km²
The Power station area percentage and area estimated from satellite imagery are 1.1%, 1.9km²
The Transportation area percentage and area estimated from satellite imagery are 9.8%, 17.0km²
The Mining area percentage and area estimated from satellite imagery are 33.5%, 57.9km²
The Sports area percentage and area estimated from satellite imagery are 1.0%, 1.7km²
The Religious area percentage and area estimated from satellite imagery are 4.4%, 7.6km²
The Water area percentage and area estimated from satellite imagery are 2.7%, 4.6km²
The Others area percentage and area estimated from satellite imagery are 39.5%, 68.3km²
Distance to the nearest port is 229.8km
Sum of NO₂ over the area is 0.02mol/m²
Sum of SO₂ over the area is 0.204mol/m²
Sum of CO over the area is 61.662mol/m²
Average land surface temperature is 8.6°C"
2 pyeongyang pyeongyang,"Full address of the given location is pyeongyang, pyeongyang, PRK
Area of district of the given location is 432.4km²
List of production facilities are 가축사육업, 강동청년탄광, 고비탄광, 낙원영화관, 대동문영화관, 동평양대극장, 만수대예술극장, 모란봉극장, 봉화예술극장, 선교영화관, 조선4.26아동영화촬영소, 조선예술영화촬영소, 조선인민군4.25예술영화촬영소, 평양교예극장, 평양국제영화회관, 평양대극장
Sum of nightlight intensity is 4584.938
Average nightlight intensity is 3.856
The Residential area percentage and area estimated from satellite imagery are 0.9%, 3.7km²
The Agricultural area percentage and area estimated from satellite imagery are 1.6%, 6.9km²
The Factory area percentage and area estimated from satellite imagery are 3.2%, 13.9km²
The Commercial area percentage and area estimated from satellite imagery are 5.2%, 22.5km²
The Power station area percentage and area estimated from satellite imagery are 4.2%, 18.3km²
The Transportation area percentage and area estimated from satellite imagery are 19.0%, 82.1km²
The Mining area percentage and area estimated from satellite imagery are 22.4%, 96.8km²
The Sports area percentage and area estimated from satellite imagery are 6.2%, 26.8km²
The Religious area percentage and area estimated from satellite imagery are 2.8%, 11.9km²
The Water area percentage and area estimated from satellite imagery are 6.4%, 27.7km²
The Others area percentage and area estimated from satellite imagery are 22.9%, 99.1km²
Distance to the nearest port is 264.2km
Sum of NO₂ over the area is 0.079mol/m²
Sum of SO₂ over the area is 0.381mol/m²
Sum of CO over the area is 97.552mol/m²
Average land surface temperature is 22.1°C"
3 North_Hamgyong_Province rason,"Full address of the given location is rason, North_Hamgyong_Province, PRK
Area of district of the given location is 147.2km²
List of production facilities are 가축사육업
Sum of nightlight intensity is 209.892
Average nightlight intensity is 0.221
The Residential area percentage and area estimated from satellite imagery are 0.3%, 0.5km²
The Agricultural area percentage and area estimated from satellite imagery are 2.2%, 3.2km²
The Factory area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
The Commercial area percentage and area estimated from satellite imagery are 1.6%, 2.4km²
The Power station area percentage and area estimated from satellite imagery are 1.9%, 2.8km²
The Transportation area percentage and area estimated from satellite imagery are 9.1%, 13.3km²
The Mining area percentage and area estimated from satellite imagery are 35.8%, 52.8km²
The Sports area percentage and area estimated from satellite imagery are 2.5%, 3.7km²
The Religious area percentage and area estimated from satellite imagery are 4.3%, 6.3km²
The Water area percentage and area estimated from satellite imagery are 2.6%, 3.8km²
The Others area percentage and area estimated from satellite imagery are 35.5%, 52.3km²
Distance to the nearest port is 155.9km
Sum of NO₂ over the area is 0.011mol/m²
Sum of SO₂ over the area is 0.109mol/m²
Sum of CO over the area is 31.441mol/m²
Average land surface temperature is 8.2°C"
4 North_Pyongan_Province shinuiju,"Full address of the given location is shinuiju, North_Pyongan_Province, PRK
Area of district of the given location is 150.3km²
List of production facilities are 가축사육업, 도립극장, 신의주극장
Sum of nightlight intensity is 3272.54
Average nightlight intensity is 4.622
The Residential area percentage and area estimated from satellite imagery are 1.7%, 2.6km²
The Agricultural area percentage and area estimated from satellite imagery are 7.0%, 10.5km²
The Factory area percentage and area estimated from satellite imagery are 1.3%, 2.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
The Power station area percentage and area estimated from satellite imagery are 1.7%, 2.5km²
The Transportation area percentage and area estimated from satellite imagery are 9.1%, 13.7km²
The Mining area percentage and area estimated from satellite imagery are 18.7%, 28.2km²
The Sports area percentage and area estimated from satellite imagery are 2.9%, 4.3km²
The Religious area percentage and area estimated from satellite imagery are 2.6%, 3.9km²
The Water area percentage and area estimated from satellite imagery are 13.2%, 19.8km²
The Others area percentage and area estimated from satellite imagery are 37.4%, 56.2km²
Distance to the nearest port is 198.0km
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.026mol/m²
Sum of CO over the area is 7.482mol/m²
Average land surface temperature is 14.4°C"
1 Pyongyang-si Kangdong-gun_2022,"Full address of the given location is Kangdong-gun, Pyongyang-si, PRK_14_20x10_2025
Area of district of the given location is 143.8km²
List of production facilities are 고비탄광
Sum of nightlight intensity is 72.574
Average nightlight intensity is 0.196
The Residential area percentage and area estimated from satellite imagery are 0.4%, 0.6km²
The Agricultural area percentage and area estimated from satellite imagery are 1.9%, 2.8km²
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.2%, 0.3km²
The Power station area percentage and area estimated from satellite imagery are 0.5%, 0.8km²
The Transportation area percentage and area estimated from satellite imagery are 11.7%, 16.9km²
The Mining area percentage and area estimated from satellite imagery are 39.5%, 56.8km²
The Sports area percentage and area estimated from satellite imagery are 1.4%, 2.0km²
The Religious area percentage and area estimated from satellite imagery are 3.9%, 5.5km²
The Water area percentage and area estimated from satellite imagery are 2.6%, 3.8km²
The Others area percentage and area estimated from satellite imagery are 35.4%, 50.9km²
Distance to the nearest port is 240.7km
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.03mol/m²
Sum of CO over the area is 6.057mol/m²
Average land surface temperature is 19.2°C"
2 Pyeongannam-do Bukchang-gun_2022,"Full address of the given location is Bukchang-gun, Pyeongannam-do, PRK_14_20x10_2025
Area of district of the given location is 142.0km²
List of production facilities are 가축사육업
Sum of nightlight intensity is 197.682
Average nightlight intensity is 0.394
The Residential area percentage and area estimated from satellite imagery are 0.7%, 1.0km²
The Agricultural area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
The Factory area percentage and area estimated from satellite imagery are 0.2%, 0.2km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
The Power station area percentage and area estimated from satellite imagery are 4.4%, 6.2km²
The Transportation area percentage and area estimated from satellite imagery are 7.1%, 10.0km²
The Mining area percentage and area estimated from satellite imagery are 15.3%, 21.7km²
The Sports area percentage and area estimated from satellite imagery are 0.2%, 0.3km²
The Religious area percentage and area estimated from satellite imagery are 5.5%, 7.9km²
The Water area percentage and area estimated from satellite imagery are 16.2%, 23.0km²
The Others area percentage and area estimated from satellite imagery are 45.8%, 65.1km²
Distance to the nearest port is 252.4km
Sum of NO₂ over the area is 0.012mol/m²
Sum of SO₂ over the area is 0.036mol/m²
Sum of CO over the area is 6.06mol/m²
Average land surface temperature is 19.3°C"
3 Pyeongannam-do Sinyang-gun_2022,"Full address of the given location is Sinyang-gun, Pyeongannam-do, PRK_14_20x10_2025
Area of district of the given location is 182.7km²
List of production facilities are 성천광산, 수왕동광산
Sum of nightlight intensity is 59.314
Average nightlight intensity is 0.033
The Residential area percentage and area estimated from satellite imagery are 0.3%, 0.5km²
The Agricultural area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
The Power station area percentage and area estimated from satellite imagery are 0.2%, 0.4km²
The Transportation area percentage and area estimated from satellite imagery are 2.7%, 4.9km²
The Mining area percentage and area estimated from satellite imagery are 37.2%, 68.0km²
The Sports area percentage and area estimated from satellite imagery are 0.2%, 0.3km²
The Religious area percentage and area estimated from satellite imagery are 1.1%, 2.0km²
The Water area percentage and area estimated from satellite imagery are 21.6%, 39.5km²
The Others area percentage and area estimated from satellite imagery are 33.8%, 61.8km²
Distance to the nearest port is 214.1km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.034mol/m²
Sum of CO over the area is 7.059mol/m²
Average land surface temperature is 16.0°C"
4 Pyeonganbuk-do Yeonju-gun_2022,"Full address of the given location is Yeonju-gun, Pyeonganbuk-do, PRK_14_20x10_2025
Area of district of the given location is 154.8km²
List of production facilities is None
Sum of nightlight intensity is 14.076
Average nightlight intensity is 0.032
The Residential area percentage and area estimated from satellite imagery are 0.3%, 0.4km²
The Agricultural area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.8%, 1.2km²
The Power station area percentage and area estimated from satellite imagery are 1.2%, 1.8km²
The Transportation area percentage and area estimated from satellite imagery are 3.0%, 4.7km²
The Mining area percentage and area estimated from satellite imagery are 49.0%, 75.8km²
The Sports area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Religious area percentage and area estimated from satellite imagery are 1.4%, 2.2km²
The Water area percentage and area estimated from satellite imagery are 3.7%, 5.7km²
The Others area percentage and area estimated from satellite imagery are 39.3%, 60.9km²
Distance to the nearest port is 225.4km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.031mol/m²
Sum of CO over the area is 6.428mol/m²
Average land surface temperature is 15.3°C"
5 Pyeonganbuk-do Daegwan-gun_2022,"Full address of the given location is Daegwan-gun, Pyeonganbuk-do, PRK_14_20x10_2025
Area of district of the given location is 184.3km²
List of production facilities is None
Sum of nightlight intensity is 32.726
Average nightlight intensity is 0.015
The Residential area percentage and area estimated from satellite imagery are 0.3%, 0.6km²
The Agricultural area percentage and area estimated from satellite imagery are 1.4%, 2.5km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Power station area percentage and area estimated from satellite imagery are 0.9%, 1.6km²
The Transportation area percentage and area estimated from satellite imagery are 10.0%, 18.4km²
The Mining area percentage and area estimated from satellite imagery are 25.5%, 47.1km²
The Sports area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
The Religious area percentage and area estimated from satellite imagery are 2.1%, 3.9km²
The Water area percentage and area estimated from satellite imagery are 12.6%, 23.3km²
The Others area percentage and area estimated from satellite imagery are 44.7%, 82.4km²
Distance to the nearest port is 251.0km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.033mol/m²
Sum of CO over the area is 7.196mol/m²
Average land surface temperature is 14.2°C"
6 Hwanghaenam-do Baecheon-gun_2022,"Full address of the given location is Baecheon-gun, Hwanghaenam-do, PRK_14_20x10_2025
Area of district of the given location is 152.1km²
List of production facilities are 배천광산
Sum of nightlight intensity is 18.533
Average nightlight intensity is 0.044
The Residential area percentage and area estimated from satellite imagery are 0.5%, 0.8km²
The Agricultural area percentage and area estimated from satellite imagery are 7.5%, 11.3km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Power station area percentage and area estimated from satellite imagery are 1.2%, 1.9km²
The Transportation area percentage and area estimated from satellite imagery are 2.1%, 3.2km²
The Mining area percentage and area estimated from satellite imagery are 38.6%, 58.7km²
The Sports area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Religious area percentage and area estimated from satellite imagery are 3.8%, 5.8km²
The Water area percentage and area estimated from satellite imagery are 1.5%, 2.3km²
The Others area percentage and area estimated from satellite imagery are 42.9%, 65.2km²
Distance to the nearest port is 204.1km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.028mol/m²
Sum of CO over the area is 6.131mol/m²
Average land surface temperature is 19.3°C"
7 Hwanghaenam-do Jangyeon-gun_2022,"Full address of the given location is Jangyeon-gun, Hwanghaenam-do, PRK_14_20x10_2025
Area of district of the given location is 151.0km²
List of production facilities are 낙연광산(락연광산)
Sum of nightlight intensity is 9.653
Average nightlight intensity is 0.04
The Residential area percentage and area estimated from satellite imagery are 0.4%, 0.5km²
The Agricultural area percentage and area estimated from satellite imagery are 4.0%, 6.1km²
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
The Power station area percentage and area estimated from satellite imagery are 0.7%, 1.1km²
The Transportation area percentage and area estimated from satellite imagery are 2.3%, 3.5km²
The Mining area percentage and area estimated from satellite imagery are 57.1%, 86.1km²
The Sports area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Religious area percentage and area estimated from satellite imagery are 2.0%, 3.0km²
The Water area percentage and area estimated from satellite imagery are 5.4%, 8.1km²
The Others area percentage and area estimated from satellite imagery are 25.8%, 38.9km²
Distance to the nearest port is 287.8km
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.02mol/m²
Sum of CO over the area is 5.934mol/m²
Average land surface temperature is 18.7°C"
8 Hwanghaebuk-do Hwangju-gun_2022,"Full address of the given location is Hwangju-gun, Hwanghaebuk-do, PRK_14_20x10_2025
Area of district of the given location is 138.4km²
List of production facilities are 가축사육업
Sum of nightlight intensity is 17.585
Average nightlight intensity is 0.087
The Residential area percentage and area estimated from satellite imagery are 0.3%, 0.4km²
The Agricultural area percentage and area estimated from satellite imagery are 16.1%, 22.2km²
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Power station area percentage and area estimated from satellite imagery are 1.0%, 1.3km²
The Transportation area percentage and area estimated from satellite imagery are 11.3%, 15.6km²
The Mining area percentage and area estimated from satellite imagery are 43.3%, 59.9km²
The Sports area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Religious area percentage and area estimated from satellite imagery are 4.2%, 5.8km²
The Water area percentage and area estimated from satellite imagery are 6.2%, 8.6km²
The Others area percentage and area estimated from satellite imagery are 15.7%, 21.7km²
Distance to the nearest port is 253.4km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.024mol/m²
Sum of CO over the area is 5.828mol/m²
Average land surface temperature is 23.8°C"
