area_id,desc
1 North_Hamgyong_Province cheongjin,"Full address of the given location is cheongjin, North_Hamgyong_Province, PRK
Area of district of the given location is 172.9km²
Sum of nightlight intensity is 454.713
Average nightlight intensity is 0.639
List of production facilities are 가축사육업, 금바위광산, 낙산광산(락산광산), 부윤광산, 삼해광산
Sum of NO₂ over the area is 0.02mol/m²
Sum of SO₂ over the area is 0.204mol/m²
Sum of CO over the area is 61.662mol/m²
Average land surface temperature is 8.6°C
The Factory area percentage and area estimated from satellite imagery are 0.3%, 0.6km²
The Commercial area percentage and area estimated from satellite imagery are 0.8%, 1.5km²
Distance to the nearest port is 229.8km
The Transportation area percentage and area estimated from satellite imagery are 9.8%, 17.0km²
The Power station area percentage and area estimated from satellite imagery are 1.1%, 1.9km²"
2 pyeongyang pyeongyang,"Full address of the given location is pyeongyang, pyeongyang, PRK
Area of district of the given location is 432.4km²
Sum of nightlight intensity is 4584.938
Average nightlight intensity is 3.856
List of production facilities are 가축사육업, 강동청년탄광, 고비탄광, 낙원영화관, 대동문영화관, 동평양대극장, 만수대예술극장, 모란봉극장, 봉화예술극장, 선교영화관, 조선4.26아동영화촬영소, 조선예술영화촬영소, 조선인민군4.25예술영화촬영소, 평양교예극장, 평양국제영화회관, 평양대극장
Sum of NO₂ over the area is 0.079mol/m²
Sum of SO₂ over the area is 0.381mol/m²
Sum of CO over the area is 97.552mol/m²
Average land surface temperature is 22.1°C
The Factory area percentage and area estimated from satellite imagery are 3.2%, 13.9km²
The Commercial area percentage and area estimated from satellite imagery are 5.2%, 22.5km²
Distance to the nearest port is 264.2km
The Transportation area percentage and area estimated from satellite imagery are 19.0%, 82.1km²
The Power station area percentage and area estimated from satellite imagery are 4.2%, 18.3km²"
3 North_Hamgyong_Province rason,"Full address of the given location is rason, North_Hamgyong_Province, PRK
Area of district of the given location is 147.2km²
Sum of nightlight intensity is 209.892
Average nightlight intensity is 0.221
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.011mol/m²
Sum of SO₂ over the area is 0.109mol/m²
Sum of CO over the area is 31.441mol/m²
Average land surface temperature is 8.2°C
The Factory area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
The Commercial area percentage and area estimated from satellite imagery are 1.6%, 2.4km²
Distance to the nearest port is 155.9km
The Transportation area percentage and area estimated from satellite imagery are 9.1%, 13.3km²
The Power station area percentage and area estimated from satellite imagery are 1.9%, 2.8km²"
4 North_Pyongan_Province shinuiju,"Full address of the given location is shinuiju, North_Pyongan_Province, PRK
Area of district of the given location is 150.3km²
Sum of nightlight intensity is 3272.54
Average nightlight intensity is 4.622
List of production facilities are 가축사육업, 도립극장, 신의주극장
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.026mol/m²
Sum of CO over the area is 7.482mol/m²
Average land surface temperature is 14.4°C
The Factory area percentage and area estimated from satellite imagery are 1.3%, 2.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
Distance to the nearest port is 198.0km
The Transportation area percentage and area estimated from satellite imagery are 9.1%, 13.7km²
The Power station area percentage and area estimated from satellite imagery are 1.7%, 2.5km²"
1 Pyongyang-si Kangdong-gun_2022,"Full address of the given location is Kangdong-gun, Pyongyang-si, PRK_14_20x10_2025
Area of district of the given location is 143.8km²
Sum of nightlight intensity is 72.574
Average nightlight intensity is 0.196
List of production facilities are 고비탄광
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.03mol/m²
Sum of CO over the area is 6.057mol/m²
Average land surface temperature is 19.2°C
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.2%, 0.3km²
Distance to the nearest port is 240.7km
The Transportation area percentage and area estimated from satellite imagery are 11.7%, 16.9km²
The Power station area percentage and area estimated from satellite imagery are 0.5%, 0.8km²"
2 Pyeongannam-do Bukchang-gun_2022,"Full address of the given location is Bukchang-gun, Pyeongannam-do, PRK_14_20x10_2025
Area of district of the given location is 142.0km²
Sum of nightlight intensity is 197.682
Average nightlight intensity is 0.394
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.012mol/m²
Sum of SO₂ over the area is 0.036mol/m²
Sum of CO over the area is 6.06mol/m²
Average land surface temperature is 19.3°C
The Factory area percentage and area estimated from satellite imagery are 0.2%, 0.2km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
Distance to the nearest port is 252.4km
The Transportation area percentage and area estimated from satellite imagery are 7.1%, 10.0km²
The Power station area percentage and area estimated from satellite imagery are 4.4%, 6.2km²"
3 Pyeongannam-do Sinyang-gun_2022,"Full address of the given location is Sinyang-gun, Pyeongannam-do, PRK_14_20x10_2025
Area of district of the given location is 182.7km²
Sum of nightlight intensity is 59.314
Average nightlight intensity is 0.033
List of production facilities are 성천광산, 수왕동광산
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.034mol/m²
Sum of CO over the area is 7.059mol/m²
Average land surface temperature is 16.0°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
Distance to the nearest port is 214.1km
The Transportation area percentage and area estimated from satellite imagery are 2.7%, 4.9km²
The Power station area percentage and area estimated from satellite imagery are 0.2%, 0.4km²"
4 Pyeonganbuk-do Yeonju-gun_2022,"Full address of the given location is Yeonju-gun, Pyeonganbuk-do, PRK_14_20x10_2025
Area of district of the given location is 154.8km²
Sum of nightlight intensity is 14.076
Average nightlight intensity is 0.032
List of production facilities is None
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.031mol/m²
Sum of CO over the area is 6.428mol/m²
Average land surface temperature is 15.3°C
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.8%, 1.2km²
Distance to the nearest port is 225.4km
The Transportation area percentage and area estimated from satellite imagery are 3.0%, 4.7km²
The Power station area percentage and area estimated from satellite imagery are 1.2%, 1.8km²"
5 Pyeonganbuk-do Daegwan-gun_2022,"Full address of the given location is Daegwan-gun, Pyeonganbuk-do, PRK_14_20x10_2025
Area of district of the given location is 184.3km²
Sum of nightlight intensity is 32.726
Average nightlight intensity is 0.015
List of production facilities is None
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.033mol/m²
Sum of CO over the area is 7.196mol/m²
Average land surface temperature is 14.2°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
Distance to the nearest port is 251.0km
The Transportation area percentage and area estimated from satellite imagery are 10.0%, 18.4km²
The Power station area percentage and area estimated from satellite imagery are 0.9%, 1.6km²"
6 Hwanghaenam-do Baecheon-gun_2022,"Full address of the given location is Baecheon-gun, Hwanghaenam-do, PRK_14_20x10_2025
Area of district of the given location is 152.1km²
Sum of nightlight intensity is 18.533
Average nightlight intensity is 0.044
List of production facilities are 배천광산
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.028mol/m²
Sum of CO over the area is 6.131mol/m²
Average land surface temperature is 19.3°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
Distance to the nearest port is 204.1km
The Transportation area percentage and area estimated from satellite imagery are 2.1%, 3.2km²
The Power station area percentage and area estimated from satellite imagery are 1.2%, 1.9km²"
