area_id,desc
1 Pyonganbuk-do Unsan-gun,"Full address of the given location is Unsan-gun, Pyonganbuk-do, PRK_14_20x10_2024
Area of district of the given location is 160.6km²
List of production facilities is None
Sum of nightlight intensity is 108.974
Average nightlight intensity is 0.076
The Residential area percentage and area estimated from satellite imagery are 1.3%, 2.0km²
The Agricultural area percentage and area estimated from satellite imagery are 0.9%, 1.4km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Power station area percentage and area estimated from satellite imagery are 0.7%, 1.2km²
The Transportation area percentage and area estimated from satellite imagery are 3.7%, 6.0km²
The Mining area percentage and area estimated from satellite imagery are 29.4%, 47.2km²
The Sports area percentage and area estimated from satellite imagery are 1.4%, 2.2km²
The Religious area percentage and area estimated from satellite imagery are 1.0%, 1.6km²
The Water area percentage and area estimated from satellite imagery are 10.6%, 17.0km²
The Others area percentage and area estimated from satellite imagery are 46.0%, 73.9km²
Distance to the nearest port is 310.9km
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.005mol/m²
Sum of CO over the area is 6.456mol/m²
Average land surface temperature is 19.1°C"
2 Pyonganbuk-do Guseong-si,"Full address of the given location is Guseong-si, Pyonganbuk-do, PRK_14_20x10_2024
Area of district of the given location is 133.1km²
List of production facilities is None
Sum of nightlight intensity is 194.076
Average nightlight intensity is 0.394
The Residential area percentage and area estimated from satellite imagery are 1.9%, 2.5km²
The Agricultural area percentage and area estimated from satellite imagery are 2.8%, 3.7km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.4%, 0.5km²
The Power station area percentage and area estimated from satellite imagery are 1.4%, 1.9km²
The Transportation area percentage and area estimated from satellite imagery are 11.3%, 15.1km²
The Mining area percentage and area estimated from satellite imagery are 23.9%, 31.9km²
The Sports area percentage and area estimated from satellite imagery are 3.1%, 4.2km²
The Religious area percentage and area estimated from satellite imagery are 1.6%, 2.1km²
The Water area percentage and area estimated from satellite imagery are 10.9%, 14.5km²
The Others area percentage and area estimated from satellite imagery are 38.2%, 50.9km²
Distance to the nearest port is 265.2km
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.005mol/m²
Sum of CO over the area is 5.619mol/m²
Average land surface temperature is 23.4°C"
3 Pyonganbuk-do Gujang-gun,"Full address of the given location is Gujang-gun, Pyonganbuk-do, PRK_14_20x10_2024
Area of district of the given location is 148.0km²
List of production facilities are 봉천탄광, 용등탄광(룡등탄광)
Sum of nightlight intensity is 221.88
Average nightlight intensity is 0.653
The Residential area percentage and area estimated from satellite imagery are 1.0%, 1.5km²
The Agricultural area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.2%, 0.3km²
The Power station area percentage and area estimated from satellite imagery are 2.7%, 4.0km²
The Transportation area percentage and area estimated from satellite imagery are 7.1%, 10.6km²
The Mining area percentage and area estimated from satellite imagery are 30.2%, 44.8km²
The Sports area percentage and area estimated from satellite imagery are 0.6%, 1.0km²
The Religious area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
The Water area percentage and area estimated from satellite imagery are 18.9%, 28.0km²
The Others area percentage and area estimated from satellite imagery are 34.6%, 51.2km²
Distance to the nearest port is 286.1km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.008mol/m²
Sum of CO over the area is 6.215mol/m²
Average land surface temperature is 20.5°C"
4 Pyongannam-do Sukcheon-gun,"Full address of the given location is Sukcheon-gun, Pyongannam-do, PRK_14_20x10_2024
Area of district of the given location is 138.9km²
List of production facilities are 가축사육업
Sum of nightlight intensity is 105.591
Average nightlight intensity is 0.393
The Residential area percentage and area estimated from satellite imagery are 3.4%, 4.7km²
The Agricultural area percentage and area estimated from satellite imagery are 14.6%, 20.2km²
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 1.1%, 1.5km²
The Power station area percentage and area estimated from satellite imagery are 4.1%, 5.8km²
The Transportation area percentage and area estimated from satellite imagery are 17.9%, 24.9km²
The Mining area percentage and area estimated from satellite imagery are 23.9%, 33.3km²
The Sports area percentage and area estimated from satellite imagery are 1.5%, 2.1km²
The Religious area percentage and area estimated from satellite imagery are 2.2%, 3.1km²
The Water area percentage and area estimated from satellite imagery are 2.2%, 3.0km²
The Others area percentage and area estimated from satellite imagery are 25.2%, 35.0km²
Distance to the nearest port is 292.8km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.004mol/m²
Sum of CO over the area is 6.035mol/m²
Average land surface temperature is 19.3°C"
5 Pyongannam-do Seongcheon-gun,"Full address of the given location is Seongcheon-gun, Pyongannam-do, PRK_14_20x10_2024
Area of district of the given location is 146.9km²
List of production facilities are 대봉광산, 용흥광산(룡흥광산)
Sum of nightlight intensity is 81.245
Average nightlight intensity is 0.454
The Residential area percentage and area estimated from satellite imagery are 1.6%, 2.3km²
The Agricultural area percentage and area estimated from satellite imagery are 2.7%, 4.0km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.6%, 0.8km²
The Power station area percentage and area estimated from satellite imagery are 0.5%, 0.8km²
The Transportation area percentage and area estimated from satellite imagery are 1.6%, 2.3km²
The Mining area percentage and area estimated from satellite imagery are 26.6%, 39.0km²
The Sports area percentage and area estimated from satellite imagery are 1.3%, 1.9km²
The Religious area percentage and area estimated from satellite imagery are 0.6%, 0.8km²
The Water area percentage and area estimated from satellite imagery are 28.3%, 41.6km²
The Others area percentage and area estimated from satellite imagery are 31.2%, 45.8km²
Distance to the nearest port is 237.3km
Sum of NO₂ over the area is 0.006mol/m²
Sum of SO₂ over the area is 0.01mol/m²
Sum of CO over the area is 6.197mol/m²
Average land surface temperature is 23.6°C"
6 Hwanghaebuk-do Yeontan-gun,"Full address of the given location is Yeontan-gun, Hwanghaebuk-do, PRK_14_20x10_2024
Area of district of the given location is 138.6km²
List of production facilities are 가축사육업
Sum of nightlight intensity is 33.61
Average nightlight intensity is 0.181
The Residential area percentage and area estimated from satellite imagery are 3.2%, 4.5km²
The Agricultural area percentage and area estimated from satellite imagery are 16.8%, 23.3km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.5%, 0.7km²
The Power station area percentage and area estimated from satellite imagery are 0.8%, 1.1km²
The Transportation area percentage and area estimated from satellite imagery are 0.8%, 1.2km²
The Mining area percentage and area estimated from satellite imagery are 14.8%, 20.5km²
The Sports area percentage and area estimated from satellite imagery are 3.0%, 4.2km²
The Religious area percentage and area estimated from satellite imagery are 0.7%, 0.9km²
The Water area percentage and area estimated from satellite imagery are 18.2%, 25.2km²
The Others area percentage and area estimated from satellite imagery are 36.6%, 50.7km²
Distance to the nearest port is 227.6km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.005mol/m²
Sum of CO over the area is 5.775mol/m²
Average land surface temperature is 19.8°C"
7 Hwanghaebuk-do Eunpa-gun,"Full address of the given location is Eunpa-gun, Hwanghaebuk-do, PRK_14_20x10_2024
Area of district of the given location is 150.2km²
List of production facilities are 가축사육업
Sum of nightlight intensity is 173.96
Average nightlight intensity is 0.436
The Residential area percentage and area estimated from satellite imagery are 2.9%, 4.3km²
The Agricultural area percentage and area estimated from satellite imagery are 34.8%, 52.2km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 1.8%, 2.7km²
The Power station area percentage and area estimated from satellite imagery are 1.0%, 1.5km²
The Transportation area percentage and area estimated from satellite imagery are 21.0%, 31.5km²
The Mining area percentage and area estimated from satellite imagery are 11.7%, 17.6km²
The Sports area percentage and area estimated from satellite imagery are 2.2%, 3.3km²
The Religious area percentage and area estimated from satellite imagery are 1.0%, 1.5km²
The Water area percentage and area estimated from satellite imagery are 2.8%, 4.1km²
The Others area percentage and area estimated from satellite imagery are 17.8%, 26.8km²
Distance to the nearest port is 242.5km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.004mol/m²
Sum of CO over the area is 6.46mol/m²
Average land surface temperature is 21.4°C"
8 Hwanghaenam-do Jaeryeong-gun,"Full address of the given location is Jaeryeong-gun, Hwanghaenam-do, PRK_14_20x10_2024
Area of district of the given location is 150.3km²
List of production facilities are 재령광산
Sum of nightlight intensity is 122.637
Average nightlight intensity is 0.307
The Residential area percentage and area estimated from satellite imagery are 2.4%, 3.6km²
The Agricultural area percentage and area estimated from satellite imagery are 68.5%, 102.9km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.2%, 0.3km²
The Power station area percentage and area estimated from satellite imagery are 1.1%, 1.7km²
The Transportation area percentage and area estimated from satellite imagery are 5.2%, 7.9km²
The Mining area percentage and area estimated from satellite imagery are 8.6%, 12.9km²
The Sports area percentage and area estimated from satellite imagery are 0.9%, 1.4km²
The Religious area percentage and area estimated from satellite imagery are 1.1%, 1.7km²
The Water area percentage and area estimated from satellite imagery are 1.1%, 1.6km²
The Others area percentage and area estimated from satellite imagery are 8.1%, 12.2km²
Distance to the nearest port is 260.5km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.006mol/m²
Sum of CO over the area is 6.465mol/m²
Average land surface temperature is 15.6°C"
9 Hwanghaenam-do Euncheon-gun,"Full address of the given location is Euncheon-gun, Hwanghaenam-do, PRK_14_20x10_2024
Area of district of the given location is 149.8km²
List of production facilities is None
Sum of nightlight intensity is 84.636
Average nightlight intensity is 0.197
The Residential area percentage and area estimated from satellite imagery are 4.4%, 6.5km²
The Agricultural area percentage and area estimated from satellite imagery are 28.3%, 42.4km²
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.3%, 0.4km²
The Power station area percentage and area estimated from satellite imagery are 1.7%, 2.5km²
The Transportation area percentage and area estimated from satellite imagery are 3.1%, 4.7km²
The Mining area percentage and area estimated from satellite imagery are 15.0%, 22.5km²
The Sports area percentage and area estimated from satellite imagery are 1.0%, 1.4km²
The Religious area percentage and area estimated from satellite imagery are 1.6%, 2.4km²
The Water area percentage and area estimated from satellite imagery are 11.7%, 17.5km²
The Others area percentage and area estimated from satellite imagery are 30.1%, 45.1km²
Distance to the nearest port is 274.2km
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.005mol/m²
Sum of CO over the area is 6.36mol/m²
Average land surface temperature is 18.8°C"
10 Hamgyeongbuk-do Gyeongseong-gun,"Full address of the given location is Gyeongseong-gun, Hamgyeongbuk-do, PRK_14_20x10_2024
Area of district of the given location is 140.5km²
List of production facilities is None
Sum of nightlight intensity is 140.524
Average nightlight intensity is 0.352
The Residential area percentage and area estimated from satellite imagery are 1.7%, 2.4km²
The Agricultural area percentage and area estimated from satellite imagery are 11.5%, 16.1km²
The Factory area percentage and area estimated from satellite imagery are 0.5%, 0.7km²
The Commercial area percentage and area estimated from satellite imagery are 0.7%, 1.0km²
The Power station area percentage and area estimated from satellite imagery are 0.9%, 1.3km²
The Transportation area percentage and area estimated from satellite imagery are 13.4%, 18.9km²
The Mining area percentage and area estimated from satellite imagery are 21.8%, 30.6km²
The Sports area percentage and area estimated from satellite imagery are 0.8%, 1.1km²
The Religious area percentage and area estimated from satellite imagery are 1.1%, 1.5km²
The Water area percentage and area estimated from satellite imagery are 3.9%, 5.5km²
The Others area percentage and area estimated from satellite imagery are 40.1%, 56.3km²
Distance to the nearest port is 251.2km
Sum of NO₂ over the area is 0.002mol/m²
Sum of SO₂ over the area is 0.002mol/m²
Sum of CO over the area is 5.87mol/m²
Average land surface temperature is 26.1°C"
