area_id,desc
1 Pyongyang-si Kangdong-gun,"Full address of the given location is Kangdong-gun, Pyongyang-si, PRK_14_20x10_2025
Area of district of the given location is 143.8km²
Sum of nightlight intensity is 215.466
Average nightlight intensity is 0.582
List of production facilities are 고비탄광
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.018mol/m²
Sum of CO over the area is 6.241mol/m²
Average land surface temperature is 19.8°C
The Factory area percentage and area estimated from satellite imagery are 0.3%, 0.4km²
The Commercial area percentage and area estimated from satellite imagery are 0.5%, 0.7km²
Distance to the nearest port is 240.7km
The Transportation area percentage and area estimated from satellite imagery are 10.5%, 15.0km²
The Power station area percentage and area estimated from satellite imagery are 3.1%, 4.4km²"
2 Pyeongannam-do Bukchang-gun,"Full address of the given location is Bukchang-gun, Pyeongannam-do, PRK_14_20x10_2025
Area of district of the given location is 142.0km²
Sum of nightlight intensity is 316.893
Average nightlight intensity is 0.631
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.013mol/m²
Sum of SO₂ over the area is 0.03mol/m²
Sum of CO over the area is 6.325mol/m²
Average land surface temperature is 19.1°C
The Factory area percentage and area estimated from satellite imagery are 0.5%, 0.7km²
The Commercial area percentage and area estimated from satellite imagery are 0.3%, 0.4km²
Distance to the nearest port is 252.4km
The Transportation area percentage and area estimated from satellite imagery are 5.1%, 7.2km²
The Power station area percentage and area estimated from satellite imagery are 6.1%, 8.7km²"
3 Pyeongannam-do Sinyang-gun,"Full address of the given location is Sinyang-gun, Pyeongannam-do, PRK_14_20x10_2025
Area of district of the given location is 182.7km²
Sum of nightlight intensity is 58.537
Average nightlight intensity is 0.032
List of production facilities are 성천광산, 수왕동광산
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.031mol/m²
Sum of CO over the area is 7.387mol/m²
Average land surface temperature is 14.8°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
Distance to the nearest port is 214.1km
The Transportation area percentage and area estimated from satellite imagery are 2.6%, 4.7km²
The Power station area percentage and area estimated from satellite imagery are 0.4%, 0.7km²"
4 Pyeonganbuk-do Yeonju-gun,"Full address of the given location is Yeonju-gun, Pyeonganbuk-do, PRK_14_20x10_2025
Area of district of the given location is 154.8km²
Sum of nightlight intensity is 42.134
Average nightlight intensity is 0.097
List of production facilities is None
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.033mol/m²
Sum of CO over the area is 6.819mol/m²
Average land surface temperature is 16.2°C
The Factory area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
The Commercial area percentage and area estimated from satellite imagery are 0.6%, 0.9km²
Distance to the nearest port is 225.4km
The Transportation area percentage and area estimated from satellite imagery are 4.4%, 6.7km²
The Power station area percentage and area estimated from satellite imagery are 2.9%, 4.5km²"
5 Pyeonganbuk-do Daegwan-gun,"Full address of the given location is Daegwan-gun, Pyeonganbuk-do, PRK_14_20x10_2025
Area of district of the given location is 184.3km²
Sum of nightlight intensity is 70.413
Average nightlight intensity is 0.032
List of production facilities is None
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.026mol/m²
Sum of CO over the area is 7.637mol/m²
Average land surface temperature is 17.7°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
Distance to the nearest port is 251.0km
The Transportation area percentage and area estimated from satellite imagery are 5.7%, 10.4km²
The Power station area percentage and area estimated from satellite imagery are 0.3%, 0.6km²"
6 Hwanghaenam-do Baecheon-gun,"Full address of the given location is Baecheon-gun, Hwanghaenam-do, PRK_14_20x10_2025
Area of district of the given location is 152.1km²
Sum of nightlight intensity is 69.853
Average nightlight intensity is 0.167
List of production facilities are 배천광산
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.014mol/m²
Sum of CO over the area is 6.371mol/m²
Average land surface temperature is 18.0°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.2km²
Distance to the nearest port is 204.1km
The Transportation area percentage and area estimated from satellite imagery are 3.7%, 5.6km²
The Power station area percentage and area estimated from satellite imagery are 1.0%, 1.5km²"
7 Hwanghaenam-do Jangyeon-gun,"Full address of the given location is Jangyeon-gun, Hwanghaenam-do, PRK_14_20x10_2025
Area of district of the given location is 151.0km²
Sum of nightlight intensity is 42.622
Average nightlight intensity is 0.176
List of production facilities are 낙연광산(락연광산)
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.023mol/m²
Sum of CO over the area is 6.251mol/m²
Average land surface temperature is 21.4°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
Distance to the nearest port is 287.8km
The Transportation area percentage and area estimated from satellite imagery are 1.6%, 2.4km²
The Power station area percentage and area estimated from satellite imagery are 0.8%, 1.3km²"
8 Hwanghaebuk-do Hwangju-gun,"Full address of the given location is Hwangju-gun, Hwanghaebuk-do, PRK_14_20x10_2025
Area of district of the given location is 138.4km²
Sum of nightlight intensity is 30.055
Average nightlight intensity is 0.149
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.005mol/m²
Sum of SO₂ over the area is 0.023mol/m²
Sum of CO over the area is 6.099mol/m²
Average land surface temperature is 23.7°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.1%, 0.1km²
Distance to the nearest port is 253.4km
The Transportation area percentage and area estimated from satellite imagery are 13.1%, 18.1km²
The Power station area percentage and area estimated from satellite imagery are 0.7%, 0.9km²"
9 Hwanghaebuk-do Goksan-gun,"Full address of the given location is Goksan-gun, Hwanghaebuk-do, PRK_14_20x10_2025
Area of district of the given location is 166.7km²
Sum of nightlight intensity is 18.948
Average nightlight intensity is 0.017
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.004mol/m²
Sum of SO₂ over the area is 0.019mol/m²
Sum of CO over the area is 6.821mol/m²
Average land surface temperature is 16.1°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.9%, 1.5km²
Distance to the nearest port is 178.7km
The Transportation area percentage and area estimated from satellite imagery are 6.5%, 10.9km²
The Power station area percentage and area estimated from satellite imagery are 0.6%, 1.0km²"
10 Hamgyeongnam-do Sinpo-si,"Full address of the given location is Sinpo-si, Hamgyeongnam-do, PRK_14_20x10_2025
Area of district of the given location is 150.6km²
Sum of nightlight intensity is 237.758
Average nightlight intensity is 0.71
List of production facilities is None
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.024mol/m²
Sum of CO over the area is 6.486mol/m²
Average land surface temperature is 17.4°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 1.2%, 1.8km²
Distance to the nearest port is 206.6km
The Transportation area percentage and area estimated from satellite imagery are 3.7%, 5.5km²
The Power station area percentage and area estimated from satellite imagery are 0.3%, 0.5km²"
11 Hamgyeongnam-do Jeongpyeong-gun,"Full address of the given location is Jeongpyeong-gun, Hamgyeongnam-do, PRK_14_20x10_2025
Area of district of the given location is 144.8km²
Sum of nightlight intensity is 44.664
Average nightlight intensity is 0.067
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.028mol/m²
Sum of CO over the area is 6.081mol/m²
Average land surface temperature is 19.2°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.1km²
The Commercial area percentage and area estimated from satellite imagery are 0.7%, 1.0km²
Distance to the nearest port is 199.4km
The Transportation area percentage and area estimated from satellite imagery are 3.6%, 5.2km²
The Power station area percentage and area estimated from satellite imagery are 1.8%, 2.6km²"
12 Hamgyeongbuk-do Gilju-gun,"Full address of the given location is Gilju-gun, Hamgyeongbuk-do, PRK_14_20x10_2025
Area of district of the given location is 37.4km²
Sum of nightlight intensity is 54.661
Average nightlight intensity is 0.234
List of production facilities are 가축사육업
Sum of NO₂ over the area is 0.0mol/m²
Sum of SO₂ over the area is 0.0mol/m²
Sum of CO over the area is 0.0mol/m²
Average land surface temperature is 0.0°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.3%, 0.1km²
Distance to the nearest port is 303.4km
The Transportation area percentage and area estimated from satellite imagery are 3.2%, 1.2km²
The Power station area percentage and area estimated from satellite imagery are 2.5%, 0.9km²"
13 Hamgyeongbuk-do Buryong-gun,"Full address of the given location is Buryong-gun, Hamgyeongbuk-do, PRK_14_20x10_2025
Area of district of the given location is 174.5km²
Sum of nightlight intensity is 50.454
Average nightlight intensity is 0.044
List of production facilities is None
Sum of NO₂ over the area is 0.003mol/m²
Sum of SO₂ over the area is 0.025mol/m²
Sum of CO over the area is 6.932mol/m²
Average land surface temperature is 19.9°C
The Factory area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
The Commercial area percentage and area estimated from satellite imagery are 0.0%, 0.0km²
Distance to the nearest port is 212.0km
The Transportation area percentage and area estimated from satellite imagery are 5.3%, 9.2km²
The Power station area percentage and area estimated from satellite imagery are 0.2%, 0.3km²"
