area_id,desc
AT111,"full address of the given location is 7350, Oberpullendorf, Burgenland, AUT
area of district (km^2) of the given location is 703.57
Sum of nightlight intensity is 2847.749
Average nightlight intensity is 0.823
Land cover ratio of bareland is 0.022
Land cover ratio of development is 0.063
Land cover ratio of building is 0.012
Land cover ratio of road is 0.02
Land cover ratio of rangeland is 0.318
Land cover ratio of agricultural is 0.241
Land cover ratio of water is 0.004
Land cover ratio of tree is 0.32
distance to the nearest airport is 67.728
distance to the nearest port is 287.777"
AT112,"full address of the given location is 7141, Podersdorf am See, Burgenland, AUT
area of district (km^2) of the given location is 1792.459
Sum of nightlight intensity is 13520.213
Average nightlight intensity is 1.06
Land cover ratio of bareland is 0.023
Land cover ratio of development is 0.062
Land cover ratio of building is 0.014
Land cover ratio of road is 0.02
Land cover ratio of rangeland is 0.377
Land cover ratio of agricultural is 0.345
Land cover ratio of water is 0.025
Land cover ratio of tree is 0.133
distance to the nearest airport is 32.948
distance to the nearest port is 330.725"
AT113,"full address of the given location is 7537, Neuberg im Burgenland, Burgenland, AUT
area of district (km^2) of the given location is 1469.729
Sum of nightlight intensity is 4765.652
Average nightlight intensity is 0.506
Land cover ratio of bareland is 0.003
Land cover ratio of development is 0.057
Land cover ratio of building is 0.016
Land cover ratio of road is 0.017
Land cover ratio of rangeland is 0.318
Land cover ratio of agricultural is 0.234
Land cover ratio of water is 0.011
Land cover ratio of tree is 0.343
distance to the nearest airport is 107.477
distance to the nearest port is 246.883"
AT224,"full address of the given location is Pischelsdorf am Kulm, Weiz, Steiermark, AUT
area of district (km^2) of the given location is 3339.677
Sum of nightlight intensity is 11104.936
Average nightlight intensity is 0.587
Land cover ratio of bareland is 0.001
Land cover ratio of development is 0.047
Land cover ratio of building is 0.011
Land cover ratio of road is 0.016
Land cover ratio of rangeland is 0.362
Land cover ratio of agricultural is 0.206
Land cover ratio of water is 0.054
Land cover ratio of tree is 0.302
distance to the nearest airport is 119.996
distance to the nearest port is 229.462"
AT225,"full address of the given location is Graschuh 49-49, 8510, Graschuh, Stainz, Deutschlandsberg, Steiermark, AUT
area of district (km^2) of the given location is 2273.29
Sum of nightlight intensity is 6999.95
Average nightlight intensity is 0.429
Land cover ratio of bareland is 0.001
Land cover ratio of development is 0.047
Land cover ratio of building is 0.011
Land cover ratio of road is 0.016
Land cover ratio of rangeland is 0.342
Land cover ratio of agricultural is 0.121
Land cover ratio of water is 0.065
Land cover ratio of tree is 0.397
distance to the nearest airport is 94.853
distance to the nearest port is 178.816"
AT223,"full address of the given location is Fölz, 8621, Thörl, Bruck-Mürzzuschlag, Steiermark, AUT
area of district (km^2) of the given location is 3205.547
Sum of nightlight intensity is 9882.303
Average nightlight intensity is 0.443
Land cover ratio of bareland is 0.006
Land cover ratio of development is 0.061
Land cover ratio of building is 0.007
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.386
Land cover ratio of agricultural is 0.035
Land cover ratio of water is 0.047
Land cover ratio of tree is 0.44
distance to the nearest airport is 119.726
distance to the nearest port is 231.778"
AT226,"full address of the given location is Wallersbach, 8800, Unzmarkt-Frauenburg, Murtal, Steiermark, AUT
area of district (km^2) of the given location is 3061.138
Sum of nightlight intensity is 4996.191
Average nightlight intensity is 0.249
Land cover ratio of bareland is 0.01
Land cover ratio of development is 0.042
Land cover ratio of building is 0.006
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.375
Land cover ratio of agricultural is 0.061
Land cover ratio of water is 0.034
Land cover ratio of tree is 0.457
distance to the nearest airport is 106.626
distance to the nearest port is 169.717"
AT221,"full address of the given location is 8101, Gratkorn, Steiermark, AUT
area of district (km^2) of the given location is 1214.8
Sum of nightlight intensity is 18284.637
Average nightlight intensity is 1.815
Land cover ratio of bareland is 0.001
Land cover ratio of development is 0.062
Land cover ratio of building is 0.02
Land cover ratio of road is 0.023
Land cover ratio of rangeland is 0.395
Land cover ratio of agricultural is 0.099
Land cover ratio of water is 0.051
Land cover ratio of tree is 0.349
distance to the nearest airport is 122.182
distance to the nearest port is 204.619"
AT222,"full address of the given location is 8903, Lassing, Steiermark, AUT
area of district (km^2) of the given location is 3319.185
Sum of nightlight intensity is 4233.59
Average nightlight intensity is 0.172
Land cover ratio of bareland is 0.02
Land cover ratio of development is 0.068
Land cover ratio of building is 0.008
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.446
Land cover ratio of agricultural is 0.033
Land cover ratio of water is 0.041
Land cover ratio of tree is 0.37
distance to the nearest airport is 144.63
distance to the nearest port is 199.09"
AT331,"full address of the given location is 6642, Stanzach, Tirol, AUT
area of district (km^2) of the given location is 1237.311
Sum of nightlight intensity is 2736.144
Average nightlight intensity is 0.224
Land cover ratio of bareland is 0.04
Land cover ratio of development is 0.089
Land cover ratio of building is 0.008
Land cover ratio of road is 0.015
Land cover ratio of rangeland is 0.508
Land cover ratio of agricultural is 0.023
Land cover ratio of water is 0.061
Land cover ratio of tree is 0.254
distance to the nearest airport is 139.682
distance to the nearest port is 249.228"
AT332,"full address of the given location is 6162, Mutters, Tirol, AUT
area of district (km^2) of the given location is 2095.802
Sum of nightlight intensity is 13583.149
Average nightlight intensity is 2.272
Land cover ratio of bareland is 0.063
Land cover ratio of development is 0.1
Land cover ratio of building is 0.012
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.454
Land cover ratio of agricultural is 0.045
Land cover ratio of water is 0.045
Land cover ratio of tree is 0.264
distance to the nearest airport is 131.655
distance to the nearest port is 206.194"
AT333,"full address of the given location is 9961, Hopfgarten in Defereggen, Tirol, AUT
area of district (km^2) of the given location is 2020.166
Sum of nightlight intensity is 2542.607
Average nightlight intensity is 0.224
Land cover ratio of bareland is 0.097
Land cover ratio of development is 0.102
Land cover ratio of building is 0.004
Land cover ratio of road is 0.012
Land cover ratio of rangeland is 0.504
Land cover ratio of agricultural is 0.034
Land cover ratio of water is 0.067
Land cover ratio of tree is 0.169
distance to the nearest airport is 156.406
distance to the nearest port is 147.382"
AT334,"full address of the given location is 6528, Fendels, Tirol, AUT
area of district (km^2) of the given location is 3321.327
Sum of nightlight intensity is 8075.812
Average nightlight intensity is 0.485
Land cover ratio of bareland is 0.112
Land cover ratio of development is 0.102
Land cover ratio of building is 0.007
Land cover ratio of road is 0.011
Land cover ratio of rangeland is 0.548
Land cover ratio of agricultural is 0.021
Land cover ratio of water is 0.063
Land cover ratio of tree is 0.128
distance to the nearest airport is 164.297
distance to the nearest port is 214.717"
AT335,"full address of the given location is 6313, Wildschönau, Tirol, AUT
area of district (km^2) of the given location is 3973.605
Sum of nightlight intensity is 16132.009
Average nightlight intensity is 0.509
Land cover ratio of bareland is 0.034
Land cover ratio of development is 0.072
Land cover ratio of building is 0.008
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.442
Land cover ratio of agricultural is 0.056
Land cover ratio of water is 0.054
Land cover ratio of tree is 0.32
distance to the nearest airport is 108.428
distance to the nearest port is 213.073"
AT123,"full address of the given location is 3104, Sankt Pölten, Niederösterreich, AUT
area of district (km^2) of the given location is 1232.375
Sum of nightlight intensity is 10208.824
Average nightlight intensity is 0.784
Land cover ratio of bareland is 0.005
Land cover ratio of development is 0.042
Land cover ratio of building is 0.02
Land cover ratio of road is 0.008
Land cover ratio of rangeland is 0.438
Land cover ratio of agricultural is 0.231
Land cover ratio of water is 0.164
Land cover ratio of tree is 0.092
distance to the nearest airport is 68.229
distance to the nearest port is 308.191"
AT121,"full address of the given location is 3262, Wang, Niederösterreich, AUT
area of district (km^2) of the given location is 3360.425
Sum of nightlight intensity is 14967.127
Average nightlight intensity is 0.804
Land cover ratio of bareland is 0.008
Land cover ratio of development is 0.043
Land cover ratio of building is 0.021
Land cover ratio of road is 0.008
Land cover ratio of rangeland is 0.457
Land cover ratio of agricultural is 0.211
Land cover ratio of water is 0.145
Land cover ratio of tree is 0.106
distance to the nearest airport is 116.634
distance to the nearest port is 274.774"
AT122,"full address of the given location is 2734, Puchberg am Schneeberg, Niederösterreich, AUT
area of district (km^2) of the given location is 3374.91
Sum of nightlight intensity is 18326.344
Average nightlight intensity is 0.754
Land cover ratio of bareland is 0.012
Land cover ratio of development is 0.048
Land cover ratio of building is 0.026
Land cover ratio of road is 0.008
Land cover ratio of rangeland is 0.465
Land cover ratio of agricultural is 0.073
Land cover ratio of water is 0.213
Land cover ratio of tree is 0.152
distance to the nearest airport is 60.835
distance to the nearest port is 286.444"
AT124,"full address of the given location is 3594, Pölla, Niederösterreich, AUT
area of district (km^2) of the given location is 4615.719
Sum of nightlight intensity is 17105.377
Average nightlight intensity is 0.776
Land cover ratio of bareland is 0.007
Land cover ratio of development is 0.036
Land cover ratio of building is 0.016
Land cover ratio of road is 0.006
Land cover ratio of rangeland is 0.49
Land cover ratio of agricultural is 0.207
Land cover ratio of water is 0.153
Land cover ratio of tree is 0.083
distance to the nearest airport is 108.95
distance to the nearest port is 344.31"
AT127,"full address of the given location is Anningerstraße 25-25, 2325, Velm, Himberg, Bruck an der Leitha, Niederösterreich, AUT
area of district (km^2) of the given location is 1476.414
Sum of nightlight intensity is 34666.305
Average nightlight intensity is 3.457
Land cover ratio of bareland is 0.009
Land cover ratio of development is 0.064
Land cover ratio of building is 0.031
Land cover ratio of road is 0.02
Land cover ratio of rangeland is 0.366
Land cover ratio of agricultural is 0.291
Land cover ratio of water is 0.097
Land cover ratio of tree is 0.121
distance to the nearest airport is 11.528
distance to the nearest port is 334.25"
