area_id,desc
BE241,"full address of the given location is Struweelgaard 19, 1700, Dilbeek, BEL
area of district (km^2) of the given location is 948.353
Sum of nightlight intensity is 59369.188
Average nightlight intensity is 7.203
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.107
Land cover ratio of building is 0.037
Land cover ratio of road is 0.024
Land cover ratio of rangeland is 0.465
Land cover ratio of agricultural is 0.18
Land cover ratio of water is 0.091
Land cover ratio of tree is 0.094
distance to the nearest airport is 15.799
distance to the nearest port is 8.907"
BE242,"full address of the given location is Wauwerdries 1-15, 3210, Lubbeek, BEL
area of district (km^2) of the given location is 1170.175
Sum of nightlight intensity is 38748.09
Average nightlight intensity is 6.1
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.083
Land cover ratio of building is 0.035
Land cover ratio of road is 0.022
Land cover ratio of rangeland is 0.422
Land cover ratio of agricultural is 0.243
Land cover ratio of water is 0.098
Land cover ratio of tree is 0.095
distance to the nearest airport is 25.617
distance to the nearest port is 32.541"
BE251,"full address of the given location is Vroedvrouw Simon, Oostmeers 42, 8000, Brugge, BEL
area of district (km^2) of the given location is 665.558
Sum of nightlight intensity is 39113.984
Average nightlight intensity is 13.52
Land cover ratio of bareland is 0.005
Land cover ratio of development is 0.114
Land cover ratio of building is 0.03
Land cover ratio of road is 0.029
Land cover ratio of rangeland is 0.332
Land cover ratio of agricultural is 0.284
Land cover ratio of water is 0.174
Land cover ratio of tree is 0.031
distance to the nearest airport is 70.679
distance to the nearest port is 14.898"
BE253,"full address of the given location is 8908, Ieper, Vlaams Gewest, BEL
area of district (km^2) of the given location is 553.899
Sum of nightlight intensity is 11280.325
Average nightlight intensity is 3.29
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.063
Land cover ratio of building is 0.021
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.285
Land cover ratio of agricultural is 0.388
Land cover ratio of water is 0.202
Land cover ratio of tree is 0.025
distance to the nearest airport is 35.761
distance to the nearest port is 42.706"
BE254,"full address of the given location is Oudenaardsesteenweg, 8550, Zwevegem, BEL
area of district (km^2) of the given location is 406.672
Sum of nightlight intensity is 24823.811
Average nightlight intensity is 10.51
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.133
Land cover ratio of building is 0.056
Land cover ratio of road is 0.039
Land cover ratio of rangeland is 0.337
Land cover ratio of agricultural is 0.249
Land cover ratio of water is 0.152
Land cover ratio of tree is 0.032
distance to the nearest airport is 31.428
distance to the nearest port is 45.493"
BE255,"full address of the given location is 8470, Gistel, Vlaams Gewest, BEL
area of district (km^2) of the given location is 293.716
Sum of nightlight intensity is 14831.091
Average nightlight intensity is 4.43
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.094
Land cover ratio of building is 0.039
Land cover ratio of road is 0.022
Land cover ratio of rangeland is 0.423
Land cover ratio of agricultural is 0.228
Land cover ratio of water is 0.157
Land cover ratio of tree is 0.036
distance to the nearest airport is 68.157
distance to the nearest port is 6.091"
BE256,"full address of the given location is Iepersestraat 157A, bus 12, 8800, Roeselare, BEL
area of district (km^2) of the given location is 273.641
Sum of nightlight intensity is 16150.44
Average nightlight intensity is 6.25
Land cover ratio of bareland is 0.001
Land cover ratio of development is 0.117
Land cover ratio of building is 0.051
Land cover ratio of road is 0.028
Land cover ratio of rangeland is 0.31
Land cover ratio of agricultural is 0.311
Land cover ratio of water is 0.154
Land cover ratio of tree is 0.029
distance to the nearest airport is 41.001
distance to the nearest port is 34.705"
BE257,"full address of the given location is Fonteinestraat 41, 8700, Tielt, BEL
area of district (km^2) of the given location is 331.763
Sum of nightlight intensity is 11752.984
Average nightlight intensity is 7.83
Land cover ratio of bareland is 0.001
Land cover ratio of development is 0.091
Land cover ratio of building is 0.032
Land cover ratio of road is 0.018
Land cover ratio of rangeland is 0.31
Land cover ratio of agricultural is 0.337
Land cover ratio of water is 0.188
Land cover ratio of tree is 0.024
distance to the nearest airport is 49.802
distance to the nearest port is 34.327"
BE258,"full address of the given location is Arr. Veurne, Prov. West-Vlaanderen, BE
area of district (km^2) of the given location is 279.284
Sum of nightlight intensity is 7432.682
Average nightlight intensity is 3.454
Land cover ratio of bareland is 0.003
Land cover ratio of development is 0.073
Land cover ratio of building is 0.022
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.408
Land cover ratio of agricultural is 0.239
Land cover ratio of water is 0.207
Land cover ratio of tree is 0.034
distance to the nearest airport is 61.005
distance to the nearest port is 27.125"
BE252,"full address of the given location is 8600, Diksmuide, Vlaams Gewest, BEL
area of district (km^2) of the given location is 364.95
Sum of nightlight intensity is 4145.927
Average nightlight intensity is 1.726
Land cover ratio of bareland is 0.001
Land cover ratio of development is 0.06
Land cover ratio of building is 0.016
Land cover ratio of road is 0.01
Land cover ratio of rangeland is 0.416
Land cover ratio of agricultural is 0.33
Land cover ratio of water is 0.137
Land cover ratio of tree is 0.029
distance to the nearest airport is 52.485
distance to the nearest port is 23.492"
BE224,"full address of the given location is Zolderse kiezel 64, 3511, Hasselt, BEL
area of district (km^2) of the given location is 883.362
Sum of nightlight intensity is 42310.496
Average nightlight intensity is 3.908
Land cover ratio of bareland is 0.003
Land cover ratio of development is 0.116
Land cover ratio of building is 0.042
Land cover ratio of road is 0.026
Land cover ratio of rangeland is 0.46
Land cover ratio of agricultural is 0.155
Land cover ratio of water is 0.1
Land cover ratio of tree is 0.098
distance to the nearest airport is 55.975
distance to the nearest port is 63.002"
BE225,"full address of the given location is Baan naar Bree, 3990, Peer, Grote-Brogel, BEL
area of district (km^2) of the given location is 910.281
Sum of nightlight intensity is 22792.16
Average nightlight intensity is 4.82
Land cover ratio of bareland is 0.004
Land cover ratio of development is 0.125
Land cover ratio of building is 0.036
Land cover ratio of road is 0.026
Land cover ratio of rangeland is 0.416
Land cover ratio of agricultural is 0.166
Land cover ratio of water is 0.109
Land cover ratio of tree is 0.118
distance to the nearest airport is 74.793
distance to the nearest port is 84.106"
BE223,"full address of the given location is Souwveld 8, 3740, Bilzen, BEL
area of district (km^2) of the given location is 633.205
Sum of nightlight intensity is 19697.559
Average nightlight intensity is 2.657
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.095
Land cover ratio of building is 0.032
Land cover ratio of road is 0.024
Land cover ratio of rangeland is 0.35
Land cover ratio of agricultural is 0.288
Land cover ratio of water is 0.141
Land cover ratio of tree is 0.066
distance to the nearest airport is 72.955
distance to the nearest port is 79.776"
BE233,"full address of the given location is Kleemstraat 3, 9970, Kaprijke, BEL
area of district (km^2) of the given location is 335.876
Sum of nightlight intensity is 8223.252
Average nightlight intensity is 3.745
Land cover ratio of bareland is 0.004
Land cover ratio of development is 0.092
Land cover ratio of building is 0.02
Land cover ratio of road is 0.026
Land cover ratio of rangeland is 0.266
Land cover ratio of agricultural is 0.428
Land cover ratio of water is 0.138
Land cover ratio of tree is 0.023
distance to the nearest airport is 60.191
distance to the nearest port is 17.039"
BE234,"full address of the given location is Binnenring Drongen, 9030, Gent, Mariakerke, BEL
area of district (km^2) of the given location is 949.509
Sum of nightlight intensity is 56509.191
Average nightlight intensity is 9.632
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.112
Land cover ratio of building is 0.044
Land cover ratio of road is 0.029
Land cover ratio of rangeland is 0.391
Land cover ratio of agricultural is 0.238
Land cover ratio of water is 0.127
Land cover ratio of tree is 0.055
distance to the nearest airport is 56.913
distance to the nearest port is 9.397"
BE235,"full address of the given location is 9700, Oudenaarde, Vlaams Gewest, BEL
area of district (km^2) of the given location is 422.575
Sum of nightlight intensity is 11484.576
Average nightlight intensity is 4.155
Land cover ratio of bareland is 0.001
Land cover ratio of development is 0.077
Land cover ratio of building is 0.032
Land cover ratio of road is 0.016
Land cover ratio of rangeland is 0.343
Land cover ratio of agricultural is 0.305
Land cover ratio of water is 0.177
Land cover ratio of tree is 0.049
distance to the nearest airport is 47.511
distance to the nearest port is 32.614"
