area_id,desc
CH052,"full address of the given location is 8222, Beringen, Schaffhausen, CHE
area of district (km^2) of the given location is 297.913
Sum of nightlight intensity is 1720.075
Average nightlight intensity is 0.343
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.067
Land cover ratio of building is 0.032
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.383
Land cover ratio of agricultural is 0.2
Land cover ratio of water is 0.092
Land cover ratio of tree is 0.21
distance to the nearest airport is 29.099
distance to the nearest port is 375.875"
CH053,"full address of the given location is Hintere Löschwendi 660-667, 9113, Schwellbrunn, Appenzell Ausserrhoden, CHE
area of district (km^2) of the given location is 243.189
Sum of nightlight intensity is 1090.045
Average nightlight intensity is 0.269
Land cover ratio of bareland is 0.001
Land cover ratio of development is 0.063
Land cover ratio of building is 0.018
Land cover ratio of road is 0.01
Land cover ratio of rangeland is 0.489
Land cover ratio of agricultural is 0.022
Land cover ratio of water is 0.209
Land cover ratio of tree is 0.188
distance to the nearest airport is 48.999
distance to the nearest port is 315.554"
CH054,"full address of the given location is Alte Unterrainstrasse, 9050, Schwende-Rüte, Appenzell Innerrhoden, CHE
area of district (km^2) of the given location is 172.423
Sum of nightlight intensity is 268.397
Average nightlight intensity is 0.105
Land cover ratio of bareland is 0.012
Land cover ratio of development is 0.048
Land cover ratio of building is 0.012
Land cover ratio of road is 0.006
Land cover ratio of rangeland is 0.493
Land cover ratio of agricultural is 0.031
Land cover ratio of water is 0.227
Land cover ratio of tree is 0.167
distance to the nearest airport is 66.226
distance to the nearest port is 300.195"
CH051,"full address of the given location is Tannenbergstrasse, 8773, Glarus Süd, Glarus, CHE
area of district (km^2) of the given location is 686.304
Sum of nightlight intensity is 1705.713
Average nightlight intensity is 0.439
Land cover ratio of bareland is 0.039
Land cover ratio of development is 0.102
Land cover ratio of building is 0.031
Land cover ratio of road is 0.005
Land cover ratio of rangeland is 0.449
Land cover ratio of agricultural is 0.01
Land cover ratio of water is 0.247
Land cover ratio of tree is 0.106
distance to the nearest airport is 64.807
distance to the nearest port is 298.05"
CH056,"full address of the given location is 7472, Surava, Albula-Alvra, Graubünden, CHE
area of district (km^2) of the given location is 7104.907
Sum of nightlight intensity is 8828.688
Average nightlight intensity is 0.185
Land cover ratio of bareland is 0.066
Land cover ratio of development is 0.083
Land cover ratio of building is 0.028
Land cover ratio of road is 0.005
Land cover ratio of rangeland is 0.528
Land cover ratio of agricultural is 0.009
Land cover ratio of water is 0.162
Land cover ratio of tree is 0.116
distance to the nearest airport is 110.238
distance to the nearest port is 242.341"
CH055,"full address of the given location is 9651, Riet, Nesslau, Sankt Gallen, CHE
area of district (km^2) of the given location is 2033.371
Sum of nightlight intensity is 14164.321
Average nightlight intensity is 0.68
Land cover ratio of bareland is 0.009
Land cover ratio of development is 0.074
Land cover ratio of building is 0.024
Land cover ratio of road is 0.012
Land cover ratio of rangeland is 0.471
Land cover ratio of agricultural is 0.051
Land cover ratio of water is 0.224
Land cover ratio of tree is 0.131
distance to the nearest airport is 59.092
distance to the nearest port is 302.152"
CH057,"full address of the given location is Weinfelden, Thurgau, CHE
area of district (km^2) of the given location is 988.514
Sum of nightlight intensity is 6268.159
Average nightlight intensity is 0.712
Land cover ratio of bareland is 0.001
Land cover ratio of development is 0.068
Land cover ratio of building is 0.026
Land cover ratio of road is 0.015
Land cover ratio of rangeland is 0.363
Land cover ratio of agricultural is 0.198
Land cover ratio of water is 0.214
Land cover ratio of tree is 0.114
distance to the nearest airport is 41.89
distance to the nearest port is 337.221"
CH012,"full address of the given location is 3961, Grimentz, Anniviers, Valais, CHE
area of district (km^2) of the given location is 5223.03
Sum of nightlight intensity is 20304.127
Average nightlight intensity is 0.463
Land cover ratio of bareland is 0.074
Land cover ratio of development is 0.121
Land cover ratio of building is 0.028
Land cover ratio of road is 0.007
Land cover ratio of rangeland is 0.484
Land cover ratio of agricultural is 0.017
Land cover ratio of water is 0.171
Land cover ratio of tree is 0.093
distance to the nearest airport is 103.52
distance to the nearest port is 222.008"
CH013,"full address of the given location is Chemin des Colombettes 9, 1202, Genève, CHE
area of district (km^2) of the given location is 282.851
Sum of nightlight intensity is 16822.512
Average nightlight intensity is 5.446
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.109
Land cover ratio of building is 0.046
Land cover ratio of road is 0.036
Land cover ratio of rangeland is 0.288
Land cover ratio of agricultural is 0.216
Land cover ratio of water is 0.165
Land cover ratio of tree is 0.138
distance to the nearest airport is 2.279
distance to the nearest port is 281.387"
CH011,"full address of the given location is Le Mont-Sur-Lausanne, Vaud, CHE
area of district (km^2) of the given location is 3211.341
Sum of nightlight intensity is 33750.07
Average nightlight intensity is 1.008
Land cover ratio of bareland is 0.004
Land cover ratio of development is 0.057
Land cover ratio of building is 0.027
Land cover ratio of road is 0.01
Land cover ratio of rangeland is 0.354
Land cover ratio of agricultural is 0.161
Land cover ratio of water is 0.274
Land cover ratio of tree is 0.112
distance to the nearest airport is 51.427
distance to the nearest port is 289.03"
