area_id,desc
HU222,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
Commercial satelite image count is 6.867
Factory satelite image count is 2.878
Transportation satelite image count is 23.187
Sum of nightlight intensity is 13674.425
Average nightlight intensity is 0.48
area of district (km^2) of the given location is 3336.043"
HU223,"full address of the given location is 8897, Söjtör, Zala, HUN
Commercial satelite image count is 8.62
Factory satelite image count is 3.126
Transportation satelite image count is 47.383
Sum of nightlight intensity is 12939.593
Average nightlight intensity is 0.615
area of district (km^2) of the given location is 3783.867"
HU221,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
Commercial satelite image count is 15.102
Factory satelite image count is 4.706
Transportation satelite image count is 53.018
Sum of nightlight intensity is 28048.502
Average nightlight intensity is 0.757
area of district (km^2) of the given location is 4208.479"
HU313,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
Commercial satelite image count is 4.093
Factory satelite image count is 1.781
Transportation satelite image count is 21.951
Sum of nightlight intensity is 7654.566
Average nightlight intensity is 0.375
area of district (km^2) of the given location is 2544.951"
HU311,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
Commercial satelite image count is 16.078
Factory satelite image count is 8.902
Transportation satelite image count is 77.309
Sum of nightlight intensity is 33825.379
Average nightlight intensity is 0.537
area of district (km^2) of the given location is 7246.307"
HU312,"full address of the given location is 3265, Vécs, Heves, HUN
Commercial satelite image count is 7.888
Factory satelite image count is 4.949
Transportation satelite image count is 34.787
Sum of nightlight intensity is 15155.493
Average nightlight intensity is 0.582
area of district (km^2) of the given location is 3634.783"
HU231,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
Commercial satelite image count is 10.015
Factory satelite image count is 2.832
Transportation satelite image count is 35.675
Sum of nightlight intensity is 24168.492
Average nightlight intensity is 1.247
area of district (km^2) of the given location is 4430.491"
HU232,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
Commercial satelite image count is 6.999
Factory satelite image count is 4.954
Transportation satelite image count is 50.228
Sum of nightlight intensity is 17867.453
Average nightlight intensity is 0.37
area of district (km^2) of the given location is 6062.873"
HU233,"full address of the given location is 7067, Varsád, Tolna, HUN
Commercial satelite image count is 6.165
Factory satelite image count is 1.94
Transportation satelite image count is 45.283
Sum of nightlight intensity is 8729.652
Average nightlight intensity is 0.465
area of district (km^2) of the given location is 3703.631"
HU120,"full address of the given location is 2230, Gyömrő, Pest, HUN
Commercial satelite image count is 24.553
Factory satelite image count is 14.641
Transportation satelite image count is 71.679
Sum of nightlight intensity is 65888.047
Average nightlight intensity is 1.371
area of district (km^2) of the given location is 6389.021"
HU110,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN
Commercial satelite image count is 20.314
Factory satelite image count is 6.623
Transportation satelite image count is 17.381
Sum of nightlight intensity is 83625.32
Average nightlight intensity is 31.521
area of district (km^2) of the given location is 525.929"
HU211,"full address of the given location is 8111, Seregélyes, Fejér, HUN
Commercial satelite image count is 8.293
Factory satelite image count is 5.961
Transportation satelite image count is 49.602
Sum of nightlight intensity is 26748.469
Average nightlight intensity is 1.454
area of district (km^2) of the given location is 4358.173"
HU212,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN
Commercial satelite image count is 7.954
Factory satelite image count is 5.339
Transportation satelite image count is 19.074
Sum of nightlight intensity is 18314.002
Average nightlight intensity is 1.233
area of district (km^2) of the given location is 2264.525"
HU213,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN
Commercial satelite image count is 7.067
Factory satelite image count is 4.607
Transportation satelite image count is 21.876
Sum of nightlight intensity is 18043.535
Average nightlight intensity is 0.871
area of district (km^2) of the given location is 4462.876"
HU321,"full address of the given location is 4211, Ebes, Hajdú-Bihar, HUN
Commercial satelite image count is 10.244
Factory satelite image count is 7.049
Transportation satelite image count is 73.393
Sum of nightlight intensity is 24286.898
Average nightlight intensity is 0.696
area of district (km^2) of the given location is 6209.136"
HU322,"full address of the given location is Közép-Tiszai Tájvédelmi Körzet, 6060, Tiszakécske, Tiszakécskei járás, Bács-Kiskun, Strand utca, HUN
Commercial satelite image count is 11.623
Factory satelite image count is 6.597
Transportation satelite image count is 45.111
Sum of nightlight intensity is 16764.855
Average nightlight intensity is 0.464
area of district (km^2) of the given location is 5583.041"
HU323,"full address of the given location is 4561, Baktalórántháza, Baktalórántházai járás, Szabolcs-Szatmár-Bereg, Dózsa György utca 2d, HUN
Commercial satelite image count is 12.421
Factory satelite image count is 8.764
Transportation satelite image count is 55.89
Sum of nightlight intensity is 24112.08
Average nightlight intensity is 0.517
area of district (km^2) of the given location is 5930.756"
HU331,"full address of the given location is 6230, Soltvadkert, Bács-Kiskun, HUN
Commercial satelite image count is 7.019
Factory satelite image count is 6.214
Transportation satelite image count is 27.432
Sum of nightlight intensity is 24981.295
Average nightlight intensity is 0.562
area of district (km^2) of the given location is 8444.408"
HU332,"full address of the given location is 5672, Murony, Békés, HUN
Commercial satelite image count is 7.826
Factory satelite image count is 6.641
Transportation satelite image count is 30.942
Sum of nightlight intensity is 14072.348
Average nightlight intensity is 0.397
area of district (km^2) of the given location is 5629.041"
HU333,"full address of the given location is 6800, Hódmezővásárhely, Csongrád-Csanád, HUN
Commercial satelite image count is 10.779
Factory satelite image count is 3.867
Transportation satelite image count is 40.077
Sum of nightlight intensity is 20195.918
Average nightlight intensity is 1.166
area of district (km^2) of the given location is 4260.762"
