area_id,desc
HU222,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
Sum of nightlight intensity is 14402.469
Average nightlight intensity is 0.505
area of district (km^2) of the given location is 3336.043
Commercial satelite image count is 5.639
Factory satelite image count is 2.679
distance to the nearest airport is 108.734
distance to the nearest port is 267.103"
HU223,"full address of the given location is 8897, Söjtör, Zala, HUN
Sum of nightlight intensity is 13553.266
Average nightlight intensity is 0.644
area of district (km^2) of the given location is 3783.867
Commercial satelite image count is 7.285
Factory satelite image count is 1.772
distance to the nearest airport is 123.987
distance to the nearest port is 238.802"
HU221,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
Sum of nightlight intensity is 30499.012
Average nightlight intensity is 0.823
area of district (km^2) of the given location is 4208.479
Commercial satelite image count is 14.19
Factory satelite image count is 4.094
distance to the nearest airport is 58.923
distance to the nearest port is 334.71"
HU313,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
Sum of nightlight intensity is 7966.864
Average nightlight intensity is 0.39
area of district (km^2) of the given location is 2544.951
Commercial satelite image count is 3.305
Factory satelite image count is 1.853
distance to the nearest airport is 64.515
distance to the nearest port is 484.287"
HU311,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
Sum of nightlight intensity is 34538.113
Average nightlight intensity is 0.548
area of district (km^2) of the given location is 7246.307
Commercial satelite image count is 12.571
Factory satelite image count is 6.217
distance to the nearest airport is 153.711
distance to the nearest port is 587.325"
HU312,"full address of the given location is 3265, Vécs, Heves, HUN
Sum of nightlight intensity is 14727.362
Average nightlight intensity is 0.566
area of district (km^2) of the given location is 3634.783
Commercial satelite image count is 7.168
Factory satelite image count is 4.179
distance to the nearest airport is 80.267
distance to the nearest port is 513.986"
HU231,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
Sum of nightlight intensity is 24850.945
Average nightlight intensity is 1.282
area of district (km^2) of the given location is 4430.491
Commercial satelite image count is 8.657
Factory satelite image count is 2.086
distance to the nearest airport is 170.147
distance to the nearest port is 297.394"
HU232,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
Sum of nightlight intensity is 19084.463
Average nightlight intensity is 0.395
area of district (km^2) of the given location is 6062.873
Commercial satelite image count is 7.497
Factory satelite image count is 2.258
distance to the nearest airport is 143.821
distance to the nearest port is 270.412"
HU233,"full address of the given location is 7067, Varsád, Tolna, HUN
Sum of nightlight intensity is 9241.698
Average nightlight intensity is 0.492
area of district (km^2) of the given location is 3703.631
Commercial satelite image count is 4.634
Factory satelite image count is 1.5
distance to the nearest airport is 116.745
distance to the nearest port is 337.928"
HU120,"full address of the given location is 2230, Gyömrő, Pest, HUN
Sum of nightlight intensity is 67046.75
Average nightlight intensity is 1.395
area of district (km^2) of the given location is 6389.021
Commercial satelite image count is 24.218
Factory satelite image count is 13.642
distance to the nearest airport is 7.569
distance to the nearest port is 438.681"
HU110,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN
Sum of nightlight intensity is 78825.031
Average nightlight intensity is 29.712
area of district (km^2) of the given location is 525.929
Commercial satelite image count is 19.075
Factory satelite image count is 6.3
distance to the nearest airport is 12.934
distance to the nearest port is 426.886"
HU211,"full address of the given location is 8111, Seregélyes, Fejér, HUN
Sum of nightlight intensity is 27854.285
Average nightlight intensity is 1.514
area of district (km^2) of the given location is 4358.173
Commercial satelite image count is 7.313
Factory satelite image count is 5.776
distance to the nearest airport is 64.449
distance to the nearest port is 369.305"
HU212,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN
Sum of nightlight intensity is 18562.254
Average nightlight intensity is 1.25
area of district (km^2) of the given location is 2264.525
Commercial satelite image count is 6.278
Factory satelite image count is 5.602
distance to the nearest airport is 74.077
distance to the nearest port is 387.026"
HU213,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN
Sum of nightlight intensity is 19263.504
Average nightlight intensity is 0.93
area of district (km^2) of the given location is 4462.876
Commercial satelite image count is 5.709
Factory satelite image count is 4.547
distance to the nearest airport is 120.582
distance to the nearest port is 314.029"
HU321,"full address of the given location is 4211, Ebes, Hajdú-Bihar, HUN
Sum of nightlight intensity is 24930.891
Average nightlight intensity is 0.714
area of district (km^2) of the given location is 6209.136
Commercial satelite image count is 13.672
Factory satelite image count is 5.557
distance to the nearest airport is 165.571
distance to the nearest port is 556.56"
HU322,"full address of the given location is Közép-Tiszai Tájvédelmi Körzet, 6060, Tiszakécske, Tiszakécskei járás, Bács-Kiskun, Strand utca, HUN
Sum of nightlight intensity is 17313.742
Average nightlight intensity is 0.479
area of district (km^2) of the given location is 5583.041
Commercial satelite image count is 9.062
Factory satelite image count is 5.256
distance to the nearest airport is 89.533
distance to the nearest port is 502.734"
HU323,"full address of the given location is 4561, Baktalórántháza, Baktalórántházai járás, Szabolcs-Szatmár-Bereg, Dózsa György utca 2d, HUN
Sum of nightlight intensity is 26535.322
Average nightlight intensity is 0.569
area of district (km^2) of the given location is 5930.756
Commercial satelite image count is 14.904
Factory satelite image count is 4.757
distance to the nearest airport is 181.099
distance to the nearest port is 539.265"
HU331,"full address of the given location is 6230, Soltvadkert, Bács-Kiskun, HUN
Sum of nightlight intensity is 26258.262
Average nightlight intensity is 0.591
area of district (km^2) of the given location is 8444.408
Commercial satelite image count is 12.093
Factory satelite image count is 7.024
distance to the nearest airport is 96.558
distance to the nearest port is 400.82"
HU332,"full address of the given location is 5672, Murony, Békés, HUN
Sum of nightlight intensity is 15234.146
Average nightlight intensity is 0.43
area of district (km^2) of the given location is 5629.041
Commercial satelite image count is 9.267
Factory satelite image count is 3.132
distance to the nearest airport is 153.742
distance to the nearest port is 507.726"
HU333,"full address of the given location is 6800, Hódmezővásárhely, Csongrád-Csanád, HUN
Sum of nightlight intensity is 21147.623
Average nightlight intensity is 1.221
area of district (km^2) of the given location is 4260.762
Commercial satelite image count is 8.997
Factory satelite image count is 2.726
distance to the nearest airport is 134.187
distance to the nearest port is 441.529"
