area_id,desc
HU222,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
Commercial satelite image count is 5.639
Factory satelite image count is 2.679
Transportation satelite image count is 21.76
Sum of nightlight intensity is 14559.422
Average nightlight intensity is 0.506
area of district (km^2) of the given location is 3336.043"
HU223,"full address of the given location is 8897, Söjtör, Zala, HUN
Commercial satelite image count is 7.285
Factory satelite image count is 1.772
Transportation satelite image count is 40.984
Sum of nightlight intensity is 14516.307
Average nightlight intensity is 0.696
area of district (km^2) of the given location is 3783.867"
HU221,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
Commercial satelite image count is 14.19
Factory satelite image count is 4.094
Transportation satelite image count is 50.518
Sum of nightlight intensity is 30533.299
Average nightlight intensity is 0.824
area of district (km^2) of the given location is 4208.479"
HU313,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
Commercial satelite image count is 3.305
Factory satelite image count is 1.853
Transportation satelite image count is 19.668
Sum of nightlight intensity is 8067.475
Average nightlight intensity is 0.395
area of district (km^2) of the given location is 2544.951"
HU311,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
Commercial satelite image count is 12.571
Factory satelite image count is 6.217
Transportation satelite image count is 61.823
Sum of nightlight intensity is 38775.109
Average nightlight intensity is 0.615
area of district (km^2) of the given location is 7246.307"
HU312,"full address of the given location is 3265, Vécs, Heves, HUN
Commercial satelite image count is 7.168
Factory satelite image count is 4.179
Transportation satelite image count is 26.297
Sum of nightlight intensity is 14697.944
Average nightlight intensity is 0.565
area of district (km^2) of the given location is 3634.783"
HU231,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
Commercial satelite image count is 8.657
Factory satelite image count is 2.086
Transportation satelite image count is 29.802
Sum of nightlight intensity is 22533.695
Average nightlight intensity is 1.162
area of district (km^2) of the given location is 4430.491"
HU232,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
Commercial satelite image count is 7.497
Factory satelite image count is 2.258
Transportation satelite image count is 47.105
Sum of nightlight intensity is 19076.643
Average nightlight intensity is 0.395
area of district (km^2) of the given location is 6062.873"
HU233,"full address of the given location is 7067, Varsád, Tolna, HUN
Commercial satelite image count is 4.634
Factory satelite image count is 1.5
Transportation satelite image count is 42.154
Sum of nightlight intensity is 9365.073
Average nightlight intensity is 0.498
area of district (km^2) of the given location is 3703.631"
HU120,"full address of the given location is 2230, Gyömrő, Pest, HUN
Commercial satelite image count is 24.218
Factory satelite image count is 13.642
Transportation satelite image count is 70.67
Sum of nightlight intensity is 70652.008
Average nightlight intensity is 1.47
area of district (km^2) of the given location is 6389.021"
HU110,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN
Commercial satelite image count is 19.075
Factory satelite image count is 6.3
Transportation satelite image count is 16.961
Sum of nightlight intensity is 80183.18
Average nightlight intensity is 29.414
area of district (km^2) of the given location is 525.929"
HU211,"full address of the given location is 8111, Seregélyes, Fejér, HUN
Commercial satelite image count is 7.313
Factory satelite image count is 5.776
Transportation satelite image count is 51.824
Sum of nightlight intensity is 26969.033
Average nightlight intensity is 1.467
area of district (km^2) of the given location is 4358.173"
HU212,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN
Commercial satelite image count is 6.278
Factory satelite image count is 5.602
Transportation satelite image count is 16.793
Sum of nightlight intensity is 19928.484
Average nightlight intensity is 1.342
area of district (km^2) of the given location is 2264.525"
HU213,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN
Commercial satelite image count is 5.709
Factory satelite image count is 4.547
Transportation satelite image count is 15.21
Sum of nightlight intensity is 19756.572
Average nightlight intensity is 0.957
area of district (km^2) of the given location is 4462.876"
HU321,"full address of the given location is 4211, Ebes, Hajdú-Bihar, HUN
Commercial satelite image count is 13.672
Factory satelite image count is 5.557
Transportation satelite image count is 67.072
Sum of nightlight intensity is 26141.311
Average nightlight intensity is 0.749
area of district (km^2) of the given location is 6209.136"
HU322,"full address of the given location is Közép-Tiszai Tájvédelmi Körzet, 6060, Tiszakécske, Tiszakécskei járás, Bács-Kiskun, Strand utca, HUN
Commercial satelite image count is 9.062
Factory satelite image count is 5.256
Transportation satelite image count is 40.332
Sum of nightlight intensity is 16631.438
Average nightlight intensity is 0.46
area of district (km^2) of the given location is 5583.041"
HU323,"full address of the given location is 4561, Baktalórántháza, Baktalórántházai járás, Szabolcs-Szatmár-Bereg, Dózsa György utca 2d, HUN
Commercial satelite image count is 14.904
Factory satelite image count is 4.757
Transportation satelite image count is 41.465
Sum of nightlight intensity is 27513.953
Average nightlight intensity is 0.59
area of district (km^2) of the given location is 5930.756"
HU331,"full address of the given location is 6230, Soltvadkert, Bács-Kiskun, HUN
Commercial satelite image count is 12.093
Factory satelite image count is 7.024
Transportation satelite image count is 26.147
Sum of nightlight intensity is 26488.748
Average nightlight intensity is 0.596
area of district (km^2) of the given location is 8444.408"
HU332,"full address of the given location is 5672, Murony, Békés, HUN
Commercial satelite image count is 9.267
Factory satelite image count is 3.132
Transportation satelite image count is 25.392
Sum of nightlight intensity is 15480.902
Average nightlight intensity is 0.437
area of district (km^2) of the given location is 5629.041"
HU333,"full address of the given location is 6800, Hódmezővásárhely, Csongrád-Csanád, HUN
Commercial satelite image count is 8.997
Factory satelite image count is 2.726
Transportation satelite image count is 30.761
Sum of nightlight intensity is 20676.0
Average nightlight intensity is 1.194
area of district (km^2) of the given location is 4260.762"
