area_id,desc
HU222,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
area of district (km^2) of the given location is 3336.043
Sum of nightlight intensity is 14559.422
Average nightlight intensity is 0.506
Residential satelite image count is 10.306
Commercial satelite image count is 5.639
Factory satelite image count is 2.679
Mining satelite image count is 57.561
Power station satelite image count is 3.756
Transportation satelite image count is 21.76
distance to the nearest airport is 108.734
distance to the nearest port is 267.103
Agricultural satelite image count is 880.622"
HU223,"full address of the given location is 8897, Söjtör, Zala, HUN
area of district (km^2) of the given location is 3783.867
Sum of nightlight intensity is 14516.307
Average nightlight intensity is 0.696
Residential satelite image count is 16.141
Commercial satelite image count is 7.285
Factory satelite image count is 1.772
Mining satelite image count is 95.958
Power station satelite image count is 7.308
Transportation satelite image count is 40.984
distance to the nearest airport is 123.987
distance to the nearest port is 238.802
Agricultural satelite image count is 659.239"
HU221,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
area of district (km^2) of the given location is 4208.479
Sum of nightlight intensity is 30533.299
Average nightlight intensity is 0.824
Residential satelite image count is 17.969
Commercial satelite image count is 14.19
Factory satelite image count is 4.094
Mining satelite image count is 84.171
Power station satelite image count is 6.247
Transportation satelite image count is 50.518
distance to the nearest airport is 58.923
distance to the nearest port is 334.71
Agricultural satelite image count is 1090.223"
HU313,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
area of district (km^2) of the given location is 2544.951
Sum of nightlight intensity is 8067.475
Average nightlight intensity is 0.395
Residential satelite image count is 15.285
Commercial satelite image count is 3.305
Factory satelite image count is 1.853
Mining satelite image count is 126.548
Power station satelite image count is 4.839
Transportation satelite image count is 19.668
distance to the nearest airport is 64.515
distance to the nearest port is 484.287
Agricultural satelite image count is 376.766"
HU311,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
area of district (km^2) of the given location is 7246.307
Sum of nightlight intensity is 38775.109
Average nightlight intensity is 0.615
Residential satelite image count is 27.199
Commercial satelite image count is 12.571
Factory satelite image count is 6.217
Mining satelite image count is 198.584
Power station satelite image count is 12.297
Transportation satelite image count is 61.823
distance to the nearest airport is 153.711
distance to the nearest port is 587.325
Agricultural satelite image count is 998.242"
HU312,"full address of the given location is 3265, Vécs, Heves, HUN
area of district (km^2) of the given location is 3634.783
Sum of nightlight intensity is 14697.944
Average nightlight intensity is 0.565
Residential satelite image count is 12.512
Commercial satelite image count is 7.168
Factory satelite image count is 4.179
Mining satelite image count is 96.727
Power station satelite image count is 5.744
Transportation satelite image count is 26.297
distance to the nearest airport is 80.267
distance to the nearest port is 513.986
Agricultural satelite image count is 571.816"
HU231,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
area of district (km^2) of the given location is 4430.491
Sum of nightlight intensity is 22533.695
Average nightlight intensity is 1.162
Residential satelite image count is 16.56
Commercial satelite image count is 8.657
Factory satelite image count is 2.086
Mining satelite image count is 99.332
Power station satelite image count is 6.085
Transportation satelite image count is 29.802
distance to the nearest airport is 170.147
distance to the nearest port is 297.394
Agricultural satelite image count is 752.341"
HU232,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
area of district (km^2) of the given location is 6062.873
Sum of nightlight intensity is 19076.643
Average nightlight intensity is 0.395
Residential satelite image count is 18.664
Commercial satelite image count is 7.497
Factory satelite image count is 2.258
Mining satelite image count is 116.836
Power station satelite image count is 8.904
Transportation satelite image count is 47.105
distance to the nearest airport is 143.821
distance to the nearest port is 270.412
Agricultural satelite image count is 1140.734"
HU233,"full address of the given location is 7067, Varsád, Tolna, HUN
area of district (km^2) of the given location is 3703.631
Sum of nightlight intensity is 9365.073
Average nightlight intensity is 0.498
Residential satelite image count is 13.476
Commercial satelite image count is 4.634
Factory satelite image count is 1.5
Mining satelite image count is 83.115
Power station satelite image count is 4.343
Transportation satelite image count is 42.154
distance to the nearest airport is 116.745
distance to the nearest port is 337.928
Agricultural satelite image count is 745.372"
HU120,"full address of the given location is 2230, Gyömrő, Pest, HUN
area of district (km^2) of the given location is 6389.021
Sum of nightlight intensity is 70652.008
Average nightlight intensity is 1.47
Residential satelite image count is 32.185
Commercial satelite image count is 24.218
Factory satelite image count is 13.642
Mining satelite image count is 205.377
Power station satelite image count is 18.313
Transportation satelite image count is 70.67
distance to the nearest airport is 7.569
distance to the nearest port is 438.681
Agricultural satelite image count is 1158.171"
