area_id,desc
HU222,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
Sum of nightlight intensity is 14559.422
Average nightlight intensity is 0.506
area of district (km^2) of the given location is 3336.043
Agricultural satelite image count is 880.622
Commercial satelite image count is 5.639
Factory satelite image count is 2.679
distance to the nearest airport is 108.734
distance to the nearest port is 267.103
Transportation satelite image count is 21.76"
HU223,"full address of the given location is 8897, Söjtör, Zala, HUN
Sum of nightlight intensity is 14516.307
Average nightlight intensity is 0.696
area of district (km^2) of the given location is 3783.867
Agricultural satelite image count is 659.239
Commercial satelite image count is 7.285
Factory satelite image count is 1.772
distance to the nearest airport is 123.987
distance to the nearest port is 238.802
Transportation satelite image count is 40.984"
HU221,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
Sum of nightlight intensity is 30533.299
Average nightlight intensity is 0.824
area of district (km^2) of the given location is 4208.479
Agricultural satelite image count is 1090.223
Commercial satelite image count is 14.19
Factory satelite image count is 4.094
distance to the nearest airport is 58.923
distance to the nearest port is 334.71
Transportation satelite image count is 50.518"
HU313,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
Sum of nightlight intensity is 8067.475
Average nightlight intensity is 0.395
area of district (km^2) of the given location is 2544.951
Agricultural satelite image count is 376.766
Commercial satelite image count is 3.305
Factory satelite image count is 1.853
distance to the nearest airport is 64.515
distance to the nearest port is 484.287
Transportation satelite image count is 19.668"
HU311,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
Sum of nightlight intensity is 38775.109
Average nightlight intensity is 0.615
area of district (km^2) of the given location is 7246.307
Agricultural satelite image count is 998.242
Commercial satelite image count is 12.571
Factory satelite image count is 6.217
distance to the nearest airport is 153.711
distance to the nearest port is 587.325
Transportation satelite image count is 61.823"
HU312,"full address of the given location is 3265, Vécs, Heves, HUN
Sum of nightlight intensity is 14697.944
Average nightlight intensity is 0.565
area of district (km^2) of the given location is 3634.783
Agricultural satelite image count is 571.816
Commercial satelite image count is 7.168
Factory satelite image count is 4.179
distance to the nearest airport is 80.267
distance to the nearest port is 513.986
Transportation satelite image count is 26.297"
HU231,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
Sum of nightlight intensity is 22533.695
Average nightlight intensity is 1.162
area of district (km^2) of the given location is 4430.491
Agricultural satelite image count is 752.341
Commercial satelite image count is 8.657
Factory satelite image count is 2.086
distance to the nearest airport is 170.147
distance to the nearest port is 297.394
Transportation satelite image count is 29.802"
HU232,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
Sum of nightlight intensity is 19076.643
Average nightlight intensity is 0.395
area of district (km^2) of the given location is 6062.873
Agricultural satelite image count is 1140.734
Commercial satelite image count is 7.497
Factory satelite image count is 2.258
distance to the nearest airport is 143.821
distance to the nearest port is 270.412
Transportation satelite image count is 47.105"
HU233,"full address of the given location is 7067, Varsád, Tolna, HUN
Sum of nightlight intensity is 9365.073
Average nightlight intensity is 0.498
area of district (km^2) of the given location is 3703.631
Agricultural satelite image count is 745.372
Commercial satelite image count is 4.634
Factory satelite image count is 1.5
distance to the nearest airport is 116.745
distance to the nearest port is 337.928
Transportation satelite image count is 42.154"
HU120,"full address of the given location is 2230, Gyömrő, Pest, HUN
Sum of nightlight intensity is 70652.008
Average nightlight intensity is 1.47
area of district (km^2) of the given location is 6389.021
Agricultural satelite image count is 1158.171
Commercial satelite image count is 24.218
Factory satelite image count is 13.642
distance to the nearest airport is 7.569
distance to the nearest port is 438.681
Transportation satelite image count is 70.67"
HU110,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN
Sum of nightlight intensity is 80183.18
Average nightlight intensity is 29.414
area of district (km^2) of the given location is 525.929
Agricultural satelite image count is 7.361
Commercial satelite image count is 19.075
Factory satelite image count is 6.3
distance to the nearest airport is 12.934
distance to the nearest port is 426.886
Transportation satelite image count is 16.961"
HU211,"full address of the given location is 8111, Seregélyes, Fejér, HUN
Sum of nightlight intensity is 26969.033
Average nightlight intensity is 1.467
area of district (km^2) of the given location is 4358.173
Agricultural satelite image count is 807.584
Commercial satelite image count is 7.313
Factory satelite image count is 5.776
distance to the nearest airport is 64.449
distance to the nearest port is 369.305
Transportation satelite image count is 51.824"
HU212,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN
Sum of nightlight intensity is 19928.484
Average nightlight intensity is 1.342
area of district (km^2) of the given location is 2264.525
Agricultural satelite image count is 341.976
Commercial satelite image count is 6.278
Factory satelite image count is 5.602
distance to the nearest airport is 74.077
distance to the nearest port is 387.026
Transportation satelite image count is 16.793"
HU213,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN
Sum of nightlight intensity is 19756.572
Average nightlight intensity is 0.957
area of district (km^2) of the given location is 4462.876
Agricultural satelite image count is 561.532
Commercial satelite image count is 5.709
Factory satelite image count is 4.547
distance to the nearest airport is 120.582
distance to the nearest port is 314.029
Transportation satelite image count is 15.21"
HU321,"full address of the given location is 4211, Ebes, Hajdú-Bihar, HUN
Sum of nightlight intensity is 26141.311
Average nightlight intensity is 0.749
area of district (km^2) of the given location is 6209.136
Agricultural satelite image count is 1243.09
Commercial satelite image count is 13.672
Factory satelite image count is 5.557
distance to the nearest airport is 165.571
distance to the nearest port is 556.56
Transportation satelite image count is 67.072"
HU322,"full address of the given location is Közép-Tiszai Tájvédelmi Körzet, 6060, Tiszakécske, Tiszakécskei járás, Bács-Kiskun, Strand utca, HUN
Sum of nightlight intensity is 16631.438
Average nightlight intensity is 0.46
area of district (km^2) of the given location is 5583.041
Agricultural satelite image count is 1441.504
Commercial satelite image count is 9.062
Factory satelite image count is 5.256
distance to the nearest airport is 89.533
distance to the nearest port is 502.734
Transportation satelite image count is 40.332"
HU323,"full address of the given location is 4561, Baktalórántháza, Baktalórántházai járás, Szabolcs-Szatmár-Bereg, Dózsa György utca 2d, HUN
Sum of nightlight intensity is 27513.953
Average nightlight intensity is 0.59
area of district (km^2) of the given location is 5930.756
Agricultural satelite image count is 1548.342
Commercial satelite image count is 14.904
Factory satelite image count is 4.757
distance to the nearest airport is 181.099
distance to the nearest port is 539.265
Transportation satelite image count is 41.465"
HU331,"full address of the given location is 6230, Soltvadkert, Bács-Kiskun, HUN
Sum of nightlight intensity is 26488.748
Average nightlight intensity is 0.596
area of district (km^2) of the given location is 8444.408
Agricultural satelite image count is 1821.053
Commercial satelite image count is 12.093
Factory satelite image count is 7.024
distance to the nearest airport is 96.558
distance to the nearest port is 400.82
Transportation satelite image count is 26.147"
HU332,"full address of the given location is 5672, Murony, Békés, HUN
Sum of nightlight intensity is 15480.902
Average nightlight intensity is 0.437
area of district (km^2) of the given location is 5629.041
Agricultural satelite image count is 1585.199
Commercial satelite image count is 9.267
Factory satelite image count is 3.132
distance to the nearest airport is 153.742
distance to the nearest port is 507.726
Transportation satelite image count is 25.392"
HU333,"full address of the given location is 6800, Hódmezővásárhely, Csongrád-Csanád, HUN
Sum of nightlight intensity is 20676.0
Average nightlight intensity is 1.194
area of district (km^2) of the given location is 4260.762
Agricultural satelite image count is 899.92
Commercial satelite image count is 8.997
Factory satelite image count is 2.726
distance to the nearest airport is 134.187
distance to the nearest port is 441.529
Transportation satelite image count is 30.761"
