area_id,desc
HU222,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
Sum of nightlight intensity is 14559.422
Average nightlight intensity is 0.506
area of district (km^2) of the given location is 3336.043
Commercial satelite image count is 67.969
Factory satelite image count is 67.361
distance to the nearest airport is 108.734
distance to the nearest port is 267.103"
HU223,"full address of the given location is 8897, Söjtör, Zala, HUN
Sum of nightlight intensity is 14516.307
Average nightlight intensity is 0.696
area of district (km^2) of the given location is 3783.867
Commercial satelite image count is 77.684
Factory satelite image count is 51.129
distance to the nearest airport is 123.987
distance to the nearest port is 238.802"
HU221,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
Sum of nightlight intensity is 30533.299
Average nightlight intensity is 0.824
area of district (km^2) of the given location is 4208.479
Commercial satelite image count is 109.353
Factory satelite image count is 133.257
distance to the nearest airport is 58.923
distance to the nearest port is 334.71"
HU313,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
Sum of nightlight intensity is 8067.475
Average nightlight intensity is 0.395
area of district (km^2) of the given location is 2544.951
Commercial satelite image count is 23.306
Factory satelite image count is 35.412
distance to the nearest airport is 64.515
distance to the nearest port is 484.287"
HU311,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
Sum of nightlight intensity is 38775.109
Average nightlight intensity is 0.615
area of district (km^2) of the given location is 7246.307
Commercial satelite image count is 89.574
Factory satelite image count is 100.382
distance to the nearest airport is 153.711
distance to the nearest port is 587.325"
HU312,"full address of the given location is 3265, Vécs, Heves, HUN
Sum of nightlight intensity is 14697.944
Average nightlight intensity is 0.565
area of district (km^2) of the given location is 3634.783
Commercial satelite image count is 65.025
Factory satelite image count is 65.789
distance to the nearest airport is 80.267
distance to the nearest port is 513.986"
HU231,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
Sum of nightlight intensity is 22533.695
Average nightlight intensity is 1.162
area of district (km^2) of the given location is 4430.491
Commercial satelite image count is 82.843
Factory satelite image count is 77.16
distance to the nearest airport is 170.147
distance to the nearest port is 297.394"
HU232,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
Sum of nightlight intensity is 19076.643
Average nightlight intensity is 0.395
area of district (km^2) of the given location is 6062.873
Commercial satelite image count is 73.91
Factory satelite image count is 50.88
distance to the nearest airport is 143.821
distance to the nearest port is 270.412"
HU233,"full address of the given location is 7067, Varsád, Tolna, HUN
Sum of nightlight intensity is 9365.073
Average nightlight intensity is 0.498
area of district (km^2) of the given location is 3703.631
Commercial satelite image count is 47.059
Factory satelite image count is 55.532
distance to the nearest airport is 116.745
distance to the nearest port is 337.928"
HU120,"full address of the given location is 2230, Gyömrő, Pest, HUN
Sum of nightlight intensity is 70652.008
Average nightlight intensity is 1.47
area of district (km^2) of the given location is 6389.021
Commercial satelite image count is 218.355
Factory satelite image count is 255.866
distance to the nearest airport is 7.569
distance to the nearest port is 438.681"
