area_id,desc
PRK.4.7_1,"full address of the given location is Jangpung County, North Hwanghae Province, PRK
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 6.0
Total count of '건재' buildings in the category is 1.0
Total count of '기계' buildings in the category is 3.0
Total count of '섬유의류' buildings in the category is 2.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '화학' buildings in the category is 1.0
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Commercial satelite image count is 0.001
Factory satelite image count is 0.009"
PRK.4.5_1,"full address of the given location is Goksan County, North Hwanghae Province, PRK
Total count of '건재' buildings in the category is 2.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '화학' buildings in the category is 2.0
Sum of nightlight intensity is 10.164
Average nightlight intensity is 0.006
Commercial satelite image count is 0.061
Factory satelite image count is 0.097"
PRK.9.3_1,"full address of the given location is Bongcheon County, South Hwanghae Province, PRK
Total count of '섬유의류' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 2.0
Total count of '화학' buildings in the category is 1.0
Sum of nightlight intensity is 2.837
Average nightlight intensity is 0.001
Commercial satelite image count is 0.003
Factory satelite image count is 0.012"
PRK.2.2_1,"full address of the given location is Beopdong County, Kangwon Province, PRK
Total count of '비철금속광산' buildings in the category is 2.0
Sum of nightlight intensity is 41.1
Average nightlight intensity is 0.015
Commercial satelite image count is 0.001
Factory satelite image count is 0.004"
PRK.9.4_1,"full address of the given location is Byeokseong County, South Hwanghae Province, PRK
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 1.0
Total count of '기계' buildings in the category is 1.0
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Total count of '화학' buildings in the category is 3.0
Sum of nightlight intensity is 1.263
Average nightlight intensity is 0.001
Commercial satelite image count is 0.003
Factory satelite image count is 0.018"
PRK.2.14_1,"full address of the given location is Pyeonggang County, Kangwon Province, PRK
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Sum of nightlight intensity is 15.845
Average nightlight intensity is 0.005
Commercial satelite image count is 0.006
Factory satelite image count is 0.061"
PRK.10.19_1,"full address of the given location is Ryonggang County, South Pyongan Province, PRK
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 1.0
Total count of '건재' buildings in the category is 1.0
Total count of '비금속광물광산' buildings in the category is 3.0
Total count of '섬유의류' buildings in the category is 2.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '전기전자' buildings in the category is 2.0
Sum of nightlight intensity is 26.125
Average nightlight intensity is 0.03
Commercial satelite image count is 0.013
Factory satelite image count is 0.037"
PRK.9.14_1,"full address of the given location is Ryongyeon County, South Hwanghae Province, PRK
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Sum of nightlight intensity is 1.656
Average nightlight intensity is 0.0
Commercial satelite image count is 0.036
Factory satelite image count is 0.235"
PRK.9.15_1,"full address of the given location is Samcheon County, South Hwanghae Province, PRK
Total count of '기계' buildings in the category is 1.0
Total count of '비철금속광산' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Total count of '탄광' buildings in the category is 1.0
Sum of nightlight intensity is 20.928
Average nightlight intensity is 0.019
Commercial satelite image count is 0.022
Factory satelite image count is 0.266"
PRK.2.15_1,"full address of the given location is Sepo County, Kangwon Province, PRK
Total count of '기계' buildings in the category is 2.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '화학' buildings in the category is 1.0
Sum of nightlight intensity is 35.287
Average nightlight intensity is 0.005
Commercial satelite image count is 0.119
Factory satelite image count is 0.091"
