area_id,desc
PRK.4.7_1,"full address of the given location is Jangpung County, North Hwanghae Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 6.0
Total count of '건재' buildings in the category is 1.0
Total count of '기계' buildings in the category is 3.0
Total count of '섬유의류' buildings in the category is 2.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '화학' buildings in the category is 1.0
Factory satelite image count is 0.009
Commercial satelite image count is 0.001
Transportation satelite image count is 0.552
area of district (km^2) of the given location is 511.119
Mining satelite image count is 24.038
Power station satelite image count is 0.396
distance to the nearest port is 162.66
distance to the nearest airport is 61.074"
PRK.4.5_1,"full address of the given location is Goksan County, North Hwanghae Province, PRK
Sum of nightlight intensity is 10.164
Average nightlight intensity is 0.006
Total count of '건재' buildings in the category is 2.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '화학' buildings in the category is 2.0
Factory satelite image count is 0.097
Commercial satelite image count is 0.061
Transportation satelite image count is 2.846
area of district (km^2) of the given location is 520.2
Mining satelite image count is 53.487
Power station satelite image count is 0.662
distance to the nearest port is 177.322
distance to the nearest airport is 100.492"
PRK.9.3_1,"full address of the given location is Bongcheon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 2.837
Average nightlight intensity is 0.001
Total count of '섬유의류' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 2.0
Total count of '화학' buildings in the category is 1.0
Factory satelite image count is 0.012
Commercial satelite image count is 0.003
Transportation satelite image count is 0.707
area of district (km^2) of the given location is 500.808
Mining satelite image count is 40.888
Power station satelite image count is 0.326
distance to the nearest port is 210.405
distance to the nearest airport is 79.685"
PRK.2.2_1,"full address of the given location is Beopdong County, Kangwon Province, PRK
Sum of nightlight intensity is 41.1
Average nightlight intensity is 0.015
Total count of '비철금속광산' buildings in the category is 2.0
Factory satelite image count is 0.004
Commercial satelite image count is 0.001
Transportation satelite image count is 1.952
area of district (km^2) of the given location is 848.297
Mining satelite image count is 56.333
Power station satelite image count is 0.184
distance to the nearest port is 152.641
distance to the nearest airport is 118.775"
PRK.9.4_1,"full address of the given location is Byeokseong County, South Hwanghae Province, PRK
Sum of nightlight intensity is 1.263
Average nightlight intensity is 0.001
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 1.0
Total count of '기계' buildings in the category is 1.0
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Total count of '화학' buildings in the category is 3.0
Factory satelite image count is 0.018
Commercial satelite image count is 0.003
Transportation satelite image count is 0.324
area of district (km^2) of the given location is 442.016
Mining satelite image count is 38.257
Power station satelite image count is 0.484
distance to the nearest port is 254.9
distance to the nearest airport is 109.505"
PRK.2.14_1,"full address of the given location is Pyeonggang County, Kangwon Province, PRK
Sum of nightlight intensity is 15.845
Average nightlight intensity is 0.005
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Factory satelite image count is 0.061
Commercial satelite image count is 0.006
Transportation satelite image count is 0.732
area of district (km^2) of the given location is 732.675
Mining satelite image count is 41.904
Power station satelite image count is 1.156
distance to the nearest port is 121.389
distance to the nearest airport is 109.906"
PRK.10.19_1,"full address of the given location is Ryonggang County, South Pyongan Province, PRK
Sum of nightlight intensity is 26.125
Average nightlight intensity is 0.03
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 1.0
Total count of '건재' buildings in the category is 1.0
Total count of '비금속광물광산' buildings in the category is 3.0
Total count of '섬유의류' buildings in the category is 2.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '전기전자' buildings in the category is 2.0
Factory satelite image count is 0.037
Commercial satelite image count is 0.013
Transportation satelite image count is 2.234
area of district (km^2) of the given location is 157.392
Mining satelite image count is 16.386
Power station satelite image count is 0.913
distance to the nearest port is 291.012
distance to the nearest airport is 45.966"
PRK.9.14_1,"full address of the given location is Ryongyeon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 1.656
Average nightlight intensity is 0.0
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Factory satelite image count is 0.235
Commercial satelite image count is 0.036
Transportation satelite image count is 0.979
area of district (km^2) of the given location is 461.844
Mining satelite image count is 48.615
Power station satelite image count is 1.319
distance to the nearest port is 283.014
distance to the nearest airport is 131.643"
PRK.9.15_1,"full address of the given location is Samcheon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 20.928
Average nightlight intensity is 0.019
Total count of '기계' buildings in the category is 1.0
Total count of '비철금속광산' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Total count of '탄광' buildings in the category is 1.0
Factory satelite image count is 0.266
Commercial satelite image count is 0.022
Transportation satelite image count is 1.553
area of district (km^2) of the given location is 346.418
Mining satelite image count is 34.955
Power station satelite image count is 1.256
distance to the nearest port is 286.699
distance to the nearest airport is 100.383"
PRK.2.15_1,"full address of the given location is Sepo County, Kangwon Province, PRK
Sum of nightlight intensity is 35.287
Average nightlight intensity is 0.005
Total count of '기계' buildings in the category is 2.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '화학' buildings in the category is 1.0
Factory satelite image count is 0.091
Commercial satelite image count is 0.119
Transportation satelite image count is 1.796
area of district (km^2) of the given location is 962.736
Mining satelite image count is 57.719
Power station satelite image count is 1.166
distance to the nearest port is 126.276
distance to the nearest airport is 132.339"
PRK.9.17_1,"full address of the given location is Sincheon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 10.422
Average nightlight intensity is 0.007
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 2.0
Total count of '기계' buildings in the category is 1.0
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '섬유의류' buildings in the category is 2.0
Total count of '음식료품 및 담배' buildings in the category is 5.0
Total count of '탄광' buildings in the category is 1.0
Total count of '화학' buildings in the category is 2.0
Factory satelite image count is 0.105
Commercial satelite image count is 0.031
Transportation satelite image count is 0.764
area of district (km^2) of the given location is 479.077
Mining satelite image count is 43.378
Power station satelite image count is 1.095
distance to the nearest port is 271.073
distance to the nearest airport is 99.264"
PRK.9.18_1,"full address of the given location is Sinwon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 2.0
Total count of '건재' buildings in the category is 2.0
Total count of '기계' buildings in the category is 2.0
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 2.0
Total count of '철광' buildings in the category is 1.0
Total count of '탄광' buildings in the category is 1.0
Total count of '화학' buildings in the category is 1.0
Factory satelite image count is 0.049
Commercial satelite image count is 0.008
Transportation satelite image count is 0.324
area of district (km^2) of the given location is 484.597
Mining satelite image count is 49.233
Power station satelite image count is 1.217
distance to the nearest port is 251.252
distance to the nearest airport is 105.893"
