area_id,desc
01008,"full address of the given location is Kanggye, Kanggye, PRK
area of district (km^2) of the given location is 369.14
Sum of nightlight intensity is 131.877
Average nightlight intensity is 0.055
distance to the nearest airport is 181.873
distance to the nearest port is 351.967
Agricultural satelite image count is 0.071
Mining satelite image count is 14.193
Factory satelite image count is 0.04
Commercial satelite image count is 0.365
Residential satelite image count is 0.306
Transportation satelite image count is 3.899
Power station satelite image count is 0.728
Others satelite image count is 221.2
Sports satelite image count is 0.24
Religious satelite image count is 3.414
Water satelite image count is 9.797"
09010,"full address of the given location is Guseong-si, Guseong-si, PRK
area of district (km^2) of the given location is 637.472
Sum of nightlight intensity is 96.652
Average nightlight intensity is 0.036
distance to the nearest airport is 81.349
distance to the nearest port is 268.621
Agricultural satelite image count is 4.749
Mining satelite image count is 66.108
Factory satelite image count is 0.075
Commercial satelite image count is 0.159
Residential satelite image count is 0.72
Transportation satelite image count is 5.358
Power station satelite image count is 1.758
Others satelite image count is 277.962
Sports satelite image count is 0.832
Religious satelite image count is 3.071
Water satelite image count is 13.084"
12001,"full address of the given location is Rason, Rason, PRK
area of district (km^2) of the given location is 729.305
Sum of nightlight intensity is 328.949
Average nightlight intensity is 0.028
distance to the nearest airport is 186.14
distance to the nearest port is 151.075
Agricultural satelite image count is 4.675
Mining satelite image count is 68.425
Factory satelite image count is 0.537
Commercial satelite image count is 0.329
Residential satelite image count is 0.275
Transportation satelite image count is 5.386
Power station satelite image count is 1.659
Others satelite image count is 642.352
Sports satelite image count is 1.019
Religious satelite image count is 2.939
Water satelite image count is 18.34"
13009,"full address of the given location is Samjiyon, Samjiyon, PRK
area of district (km^2) of the given location is 1075.546
Sum of nightlight intensity is 458.276
Average nightlight intensity is 0.051
distance to the nearest airport is 315.362
distance to the nearest port is 324.29
Agricultural satelite image count is 0.651
Mining satelite image count is 19.458
Factory satelite image count is 0.27
Commercial satelite image count is 0.041
Residential satelite image count is 0.102
Transportation satelite image count is 0.487
Power station satelite image count is 0.464
Others satelite image count is 729.018
Sports satelite image count is 0.539
Religious satelite image count is 25.734
Water satelite image count is 5.453"
14001,"full address of the given location is Shinuiju, Shinuiju, PRK
area of district (km^2) of the given location is 156.934
Sum of nightlight intensity is 1208.864
Average nightlight intensity is 1.349
distance to the nearest airport is 143.579
distance to the nearest port is 200.362
Agricultural satelite image count is 3.034
Mining satelite image count is 9.416
Factory satelite image count is 0.357
Commercial satelite image count is 0.119
Residential satelite image count is 0.411
Transportation satelite image count is 4.06
Power station satelite image count is 0.845
Others satelite image count is 93.286
Sports satelite image count is 1.034
Religious satelite image count is 1.077
Water satelite image count is 5.625"
04017,"full address of the given location is Yeontan, Yeontan, PRK
area of district (km^2) of the given location is 543.909
Sum of nightlight intensity is 7.41
Average nightlight intensity is 0.003
distance to the nearest airport is 68.025
distance to the nearest port is 229.319
Agricultural satelite image count is 4.393
Mining satelite image count is 71.625
Factory satelite image count is 0.015
Commercial satelite image count is 0.053
Residential satelite image count is 0.4
Transportation satelite image count is 1.167
Power station satelite image count is 0.528
Others satelite image count is 188.399
Sports satelite image count is 0.181
Religious satelite image count is 2.665
Water satelite image count is 13.217"
10013,"full address of the given location is Oncheon, Oncheon, PRK
area of district (km^2) of the given location is 346.757
Sum of nightlight intensity is 31.155
Average nightlight intensity is 0.013
distance to the nearest airport is 53.701
distance to the nearest port is 302.31
Agricultural satelite image count is 30.39
Mining satelite image count is 34.004
Factory satelite image count is 0.174
Commercial satelite image count is 0.18
Residential satelite image count is 0.337
Transportation satelite image count is 1.378
Power station satelite image count is 1.723
Others satelite image count is 137.785
Sports satelite image count is 0.135
Religious satelite image count is 2.926
Water satelite image count is 5.235"
04015,"full address of the given location is Eunpa, Eunpa, PRK
area of district (km^2) of the given location is 387.462
Sum of nightlight intensity is 22.8
Average nightlight intensity is 0.01
distance to the nearest airport is 94.574
distance to the nearest port is 240.808
Agricultural satelite image count is 4.709
Mining satelite image count is 38.81
Factory satelite image count is 0.025
Commercial satelite image count is 0.022
Residential satelite image count is 0.21
Transportation satelite image count is 0.952
Power station satelite image count is 0.32
Others satelite image count is 156.864
Sports satelite image count is 0.146
Religious satelite image count is 1.99
Water satelite image count is 18.295"
11001,"full address of the given location is Pyongyang, P'Yongyang-Si, PRK
area of district (km^2) of the given location is 1090.613
Sum of nightlight intensity is 6601.844
Average nightlight intensity is 1.772
distance to the nearest airport is 17.456
distance to the nearest port is 262.127
Agricultural satelite image count is 28.815
Mining satelite image count is 108.287
Factory satelite image count is 4.258
Commercial satelite image count is 5.235
Residential satelite image count is 2.182
Transportation satelite image count is 32.415
Power station satelite image count is 10.646
Others satelite image count is 320.757
Sports satelite image count is 5.932
Religious satelite image count is 5.325
Water satelite image count is 15.29"
03004,"full address of the given location is Hamhŭng, Hamhŭng, PRK
area of district (km^2) of the given location is 612.655
Sum of nightlight intensity is 689.334
Average nightlight intensity is 0.172
distance to the nearest airport is 163.769
distance to the nearest port is 213.938
Agricultural satelite image count is 5.955
Mining satelite image count is 80.891
Factory satelite image count is 0.191
Commercial satelite image count is 1.944
Residential satelite image count is 1.61
Transportation satelite image count is 8.468
Power station satelite image count is 2.435
Others satelite image count is 277.482
Sports satelite image count is 0.347
Religious satelite image count is 3.448
Water satelite image count is 3.509"
