area_id,desc
01008,"full address of the given location is Kanggye, Kanggye, PRK
Sum of nightlight intensity is 131.877
Average nightlight intensity is 0.055
Agricultural satelite image count is 0.071
Mining satelite image count is 14.193
Factory satelite image count is 0.04
Commercial satelite image count is 0.365
area of district (km^2) of the given location is 369.14
distance to the nearest port is 351.967
Residential satelite image count is 0.306"
09010,"full address of the given location is Guseong-si, Guseong-si, PRK
Sum of nightlight intensity is 96.652
Average nightlight intensity is 0.036
Agricultural satelite image count is 4.749
Mining satelite image count is 66.108
Factory satelite image count is 0.075
Commercial satelite image count is 0.159
area of district (km^2) of the given location is 637.472
distance to the nearest port is 268.621
Residential satelite image count is 0.72"
12001,"full address of the given location is Rason, Rason, PRK
Sum of nightlight intensity is 328.949
Average nightlight intensity is 0.028
Agricultural satelite image count is 4.675
Mining satelite image count is 68.425
Factory satelite image count is 0.537
Commercial satelite image count is 0.329
area of district (km^2) of the given location is 729.305
distance to the nearest port is 151.075
Residential satelite image count is 0.275"
13009,"full address of the given location is Samjiyon, Samjiyon, PRK
Sum of nightlight intensity is 458.276
Average nightlight intensity is 0.051
Agricultural satelite image count is 0.651
Mining satelite image count is 19.458
Factory satelite image count is 0.27
Commercial satelite image count is 0.041
area of district (km^2) of the given location is 1075.546
distance to the nearest port is 324.29
Residential satelite image count is 0.102"
14001,"full address of the given location is Shinuiju, Shinuiju, PRK
Sum of nightlight intensity is 1208.864
Average nightlight intensity is 1.349
Agricultural satelite image count is 3.034
Mining satelite image count is 9.416
Factory satelite image count is 0.357
Commercial satelite image count is 0.119
area of district (km^2) of the given location is 156.934
distance to the nearest port is 200.362
Residential satelite image count is 0.411"
04017,"full address of the given location is Yeontan, Yeontan, PRK
Sum of nightlight intensity is 7.41
Average nightlight intensity is 0.003
Agricultural satelite image count is 4.393
Mining satelite image count is 71.625
Factory satelite image count is 0.015
Commercial satelite image count is 0.053
area of district (km^2) of the given location is 543.909
distance to the nearest port is 229.319
Residential satelite image count is 0.4"
10013,"full address of the given location is Oncheon, Oncheon, PRK
Sum of nightlight intensity is 31.155
Average nightlight intensity is 0.013
Agricultural satelite image count is 30.39
Mining satelite image count is 34.004
Factory satelite image count is 0.174
Commercial satelite image count is 0.18
area of district (km^2) of the given location is 346.757
distance to the nearest port is 302.31
Residential satelite image count is 0.337"
04015,"full address of the given location is Eunpa, Eunpa, PRK
Sum of nightlight intensity is 22.8
Average nightlight intensity is 0.01
Agricultural satelite image count is 4.709
Mining satelite image count is 38.81
Factory satelite image count is 0.025
Commercial satelite image count is 0.022
area of district (km^2) of the given location is 387.462
distance to the nearest port is 240.808
Residential satelite image count is 0.21"
11001,"full address of the given location is Pyongyang, P'Yongyang-Si, PRK
Sum of nightlight intensity is 6601.844
Average nightlight intensity is 1.772
Agricultural satelite image count is 28.815
Mining satelite image count is 108.287
Factory satelite image count is 4.258
Commercial satelite image count is 5.235
area of district (km^2) of the given location is 1090.613
distance to the nearest port is 262.127
Residential satelite image count is 2.182"
03004,"full address of the given location is Hamhŭng, Hamhŭng, PRK
Sum of nightlight intensity is 689.334
Average nightlight intensity is 0.172
Agricultural satelite image count is 5.955
Mining satelite image count is 80.891
Factory satelite image count is 0.191
Commercial satelite image count is 1.944
area of district (km^2) of the given location is 612.655
distance to the nearest port is 213.938
Residential satelite image count is 1.61"
