area_id,desc
01008,"full address of the given location is Kanggye, Kanggye, PRK
area of district (km^2) of the given location is 369.14
Sum of nightlight intensity is 139.137
Average nightlight intensity is 0.058
Agricultural satelite image count is 0.699
Mining satelite image count is 14.787
Factory satelite image count is 0.061
Commercial satelite image count is 0.202
Transportation satelite image count is 3.332
distance to the nearest port is 351.967
distance to the nearest airport is 181.873"
09010,"full address of the given location is Guseong-si, Guseong-si, PRK
area of district (km^2) of the given location is 637.472
Sum of nightlight intensity is 43.382
Average nightlight intensity is 0.016
Agricultural satelite image count is 1.544
Mining satelite image count is 89.723
Factory satelite image count is 0.067
Commercial satelite image count is 0.042
Transportation satelite image count is 2.982
distance to the nearest port is 268.621
distance to the nearest airport is 81.349"
12001,"full address of the given location is Rason, Rason, PRK
area of district (km^2) of the given location is 729.305
Sum of nightlight intensity is 278.337
Average nightlight intensity is 0.024
Agricultural satelite image count is 3.42
Mining satelite image count is 64.035
Factory satelite image count is 0.518
Commercial satelite image count is 0.325
Transportation satelite image count is 5.103
distance to the nearest port is 151.075
distance to the nearest airport is 186.14"
13009,"full address of the given location is Samjiyon, Samjiyon, PRK
area of district (km^2) of the given location is 1075.546
Sum of nightlight intensity is 459.99
Average nightlight intensity is 0.051
Agricultural satelite image count is 1.122
Mining satelite image count is 21.243
Factory satelite image count is 0.183
Commercial satelite image count is 0.038
Transportation satelite image count is 1.353
distance to the nearest port is 324.29
distance to the nearest airport is 315.362"
14001,"full address of the given location is Shinuiju, Shinuiju, PRK
area of district (km^2) of the given location is 156.934
Sum of nightlight intensity is 874.874
Average nightlight intensity is 0.976
Agricultural satelite image count is 7.266
Mining satelite image count is 14.743
Factory satelite image count is 0.337
Commercial satelite image count is 0.293
Transportation satelite image count is 3.979
distance to the nearest port is 200.362
distance to the nearest airport is 143.579"
04017,"full address of the given location is Yeontan, Yeontan, PRK
area of district (km^2) of the given location is 543.909
Sum of nightlight intensity is 2.604
Average nightlight intensity is 0.001
Agricultural satelite image count is 1.926
Mining satelite image count is 103.686
Factory satelite image count is 0.013
Commercial satelite image count is 0.012
Transportation satelite image count is 0.618
distance to the nearest port is 229.319
distance to the nearest airport is 68.025"
10013,"full address of the given location is Oncheon, Oncheon, PRK
area of district (km^2) of the given location is 346.757
Sum of nightlight intensity is 10.468
Average nightlight intensity is 0.004
Agricultural satelite image count is 27.6
Mining satelite image count is 37.454
Factory satelite image count is 0.128
Commercial satelite image count is 0.145
Transportation satelite image count is 2.171
distance to the nearest port is 302.31
distance to the nearest airport is 53.701"
04015,"full address of the given location is Eunpa, Eunpa, PRK
area of district (km^2) of the given location is 387.462
Sum of nightlight intensity is 2.743
Average nightlight intensity is 0.001
Agricultural satelite image count is 5.728
Mining satelite image count is 52.764
Factory satelite image count is 0.011
Commercial satelite image count is 0.016
Transportation satelite image count is 1.649
distance to the nearest port is 240.808
distance to the nearest airport is 94.574"
11001,"full address of the given location is Pyongyang, P'Yongyang-Si, PRK
area of district (km^2) of the given location is 1090.613
Sum of nightlight intensity is 4244.868
Average nightlight intensity is 1.14
Agricultural satelite image count is 20.837
Mining satelite image count is 118.198
Factory satelite image count is 5.514
Commercial satelite image count is 5.295
Transportation satelite image count is 32.927
distance to the nearest port is 262.127
distance to the nearest airport is 17.456"
03004,"full address of the given location is Hamhŭng, Hamhŭng, PRK
area of district (km^2) of the given location is 612.655
Sum of nightlight intensity is 425.789
Average nightlight intensity is 0.106
Agricultural satelite image count is 4.259
Mining satelite image count is 79.108
Factory satelite image count is 0.333
Commercial satelite image count is 1.77
Transportation satelite image count is 6.312
distance to the nearest port is 213.938
distance to the nearest airport is 163.769"
