area_id,desc
01008,"full address of the given location is Kanggye, Kanggye, PRK
area of district (km^2) of the given location is 369.14
Sum of nightlight intensity is 131.877
Average nightlight intensity is 0.055
Agricultural satelite image count is 0.037
Mining satelite image count is 9.869
Factory satelite image count is 0.051
Commercial satelite image count is 0.1
Transportation satelite image count is 3.314
distance to the nearest port is 351.967
distance to the nearest airport is 181.873"
09010,"full address of the given location is Guseong-si, Guseong-si, PRK
area of district (km^2) of the given location is 637.472
Sum of nightlight intensity is 96.652
Average nightlight intensity is 0.036
Agricultural satelite image count is 3.471
Mining satelite image count is 98.066
Factory satelite image count is 0.06
Commercial satelite image count is 0.071
Transportation satelite image count is 3.889
distance to the nearest port is 268.621
distance to the nearest airport is 81.349"
12001_19,"full address of the given location is Rason, Rason, PRK
area of district (km^2) of the given location is 729.305
Sum of nightlight intensity is 278.337
Average nightlight intensity is 0.024
Agricultural satelite image count is 3.42
Mining satelite image count is 64.035
Factory satelite image count is 0.518
Commercial satelite image count is 0.325
Transportation satelite image count is 5.103
distance to the nearest port is 151.075
distance to the nearest airport is 186.14"
12001_20,"full address of the given location is Rason, Rason, PRK
area of district (km^2) of the given location is 729.305
Sum of nightlight intensity is 217.814
Average nightlight intensity is 0.019
Agricultural satelite image count is 4.675
Mining satelite image count is 68.425
Factory satelite image count is 0.537
Commercial satelite image count is 0.329
Transportation satelite image count is 5.386
distance to the nearest port is 151.075
distance to the nearest airport is 186.14"
12001_24,"full address of the given location is Rason, Rason, PRK
area of district (km^2) of the given location is 729.305
Sum of nightlight intensity is 412.51
Average nightlight intensity is 0.036
Agricultural satelite image count is 7.369
Mining satelite image count is 49.175
Factory satelite image count is 0.518
Commercial satelite image count is 0.528
Transportation satelite image count is 7.794
distance to the nearest port is 151.075
distance to the nearest airport is 186.14"
13009,"full address of the given location is Samjiyon, Samjiyon, PRK
area of district (km^2) of the given location is 1075.546
Sum of nightlight intensity is 458.276
Average nightlight intensity is 0.051
Agricultural satelite image count is 0.062
Mining satelite image count is 22.351
Factory satelite image count is 0.168
Commercial satelite image count is 0.018
Transportation satelite image count is 0.115
distance to the nearest port is 324.29
distance to the nearest airport is 315.362"
14001_19,"full address of the given location is Shinuiju, Shinuiju, PRK
area of district (km^2) of the given location is 156.934
Sum of nightlight intensity is 874.874
Average nightlight intensity is 0.976
Agricultural satelite image count is 7.266
Mining satelite image count is 14.743
Factory satelite image count is 0.337
Commercial satelite image count is 0.293
Transportation satelite image count is 3.979
distance to the nearest port is 200.362
distance to the nearest airport is 143.579"
14001_20,"full address of the given location is Shinuiju, Shinuiju, PRK
area of district (km^2) of the given location is 156.934
Sum of nightlight intensity is 934.087
Average nightlight intensity is 1.043
Agricultural satelite image count is 3.034
Mining satelite image count is 9.416
Factory satelite image count is 0.357
Commercial satelite image count is 0.119
Transportation satelite image count is 4.06
distance to the nearest port is 200.362
distance to the nearest airport is 143.579"
14001_24,"full address of the given location is Shinuiju, Shinuiju, PRK
area of district (km^2) of the given location is 156.934
Sum of nightlight intensity is 1902.06
Average nightlight intensity is 2.123
Agricultural satelite image count is 6.035
Mining satelite image count is 9.747
Factory satelite image count is 0.32
Commercial satelite image count is 0.569
Transportation satelite image count is 4.48
distance to the nearest port is 200.362
distance to the nearest airport is 143.579"
04017,"full address of the given location is Yeontan, Yeontan, PRK
area of district (km^2) of the given location is 543.909
Sum of nightlight intensity is 7.41
Average nightlight intensity is 0.003
Agricultural satelite image count is 4.014
Mining satelite image count is 74.614
Factory satelite image count is 0.013
Commercial satelite image count is 0.044
Transportation satelite image count is 0.566
distance to the nearest port is 229.319
distance to the nearest airport is 68.025"
10013,"full address of the given location is Oncheon, Oncheon, PRK
area of district (km^2) of the given location is 346.757
Sum of nightlight intensity is 31.155
Average nightlight intensity is 0.013
Agricultural satelite image count is 33.714
Mining satelite image count is 30.592
Factory satelite image count is 0.11
Commercial satelite image count is 0.141
Transportation satelite image count is 2.804
distance to the nearest port is 302.31
distance to the nearest airport is 53.701"
04015,"full address of the given location is Eunpa, Eunpa, PRK
area of district (km^2) of the given location is 387.462
Sum of nightlight intensity is 22.8
Average nightlight intensity is 0.01
Agricultural satelite image count is 7.237
Mining satelite image count is 56.121
Factory satelite image count is 0.029
Commercial satelite image count is 0.015
Transportation satelite image count is 0.95
distance to the nearest port is 240.808
distance to the nearest airport is 94.574"
11001_19,"full address of the given location is Pyongyang, P'Yongyang-Si, PRK
area of district (km^2) of the given location is 1090.613
Sum of nightlight intensity is 4244.868
Average nightlight intensity is 1.14
Agricultural satelite image count is 20.837
Mining satelite image count is 118.198
Factory satelite image count is 5.514
Commercial satelite image count is 5.295
Transportation satelite image count is 32.927
distance to the nearest port is 262.127
distance to the nearest airport is 17.456"
11001_20,"full address of the given location is Pyongyang, P'Yongyang-Si, PRK
area of district (km^2) of the given location is 1090.613
Sum of nightlight intensity is 4874.03
Average nightlight intensity is 1.308
Agricultural satelite image count is 28.815
Mining satelite image count is 108.287
Factory satelite image count is 4.258
Commercial satelite image count is 5.235
Transportation satelite image count is 32.415
distance to the nearest port is 262.127
distance to the nearest airport is 17.456"
11001_24,"full address of the given location is Pyongyang, P'Yongyang-Si, PRK
area of district (km^2) of the given location is 1090.613
Sum of nightlight intensity is 12794.038
Average nightlight intensity is 3.435
Agricultural satelite image count is 26.07
Mining satelite image count is 98.377
Factory satelite image count is 4.608
Commercial satelite image count is 7.892
Transportation satelite image count is 30.597
distance to the nearest port is 262.127
distance to the nearest airport is 17.456"
03004,"full address of the given location is Hamhŭng, Hamhŭng, PRK
area of district (km^2) of the given location is 612.655
Sum of nightlight intensity is 689.334
Average nightlight intensity is 0.172
Agricultural satelite image count is 4.358
Mining satelite image count is 88.365
Factory satelite image count is 0.497
Commercial satelite image count is 1.662
Transportation satelite image count is 8.624
distance to the nearest port is 213.938
distance to the nearest airport is 163.769"
