area_id,desc
PRK.4.7_1,"full address of the given location is Jangpung County, North Hwanghae Province, PRK
area of district (km^2) of the given location is 511.119
Sum of nightlight intensity is 5.593
Average nightlight intensity is 0.002
Agricultural satelite image count is 0.228
Mining satelite image count is 36.217
Factory satelite image count is 0.009
Commercial satelite image count is 0.004
Transportation satelite image count is 0.352
distance to the nearest port is 162.66
distance to the nearest airport is 61.074"
PRK.4.5_1,"full address of the given location is Goksan County, North Hwanghae Province, PRK
area of district (km^2) of the given location is 520.2
Sum of nightlight intensity is 17.968
Average nightlight intensity is 0.01
Agricultural satelite image count is 2.054
Mining satelite image count is 39.717
Factory satelite image count is 0.057
Commercial satelite image count is 0.119
Transportation satelite image count is 4.363
distance to the nearest port is 177.322
distance to the nearest airport is 100.492"
PRK.9.3_1,"full address of the given location is Bongcheon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 500.808
Sum of nightlight intensity is 13.034
Average nightlight intensity is 0.005
Agricultural satelite image count is 0.223
Mining satelite image count is 27.775
Factory satelite image count is 0.013
Commercial satelite image count is 0.022
Transportation satelite image count is 1.039
distance to the nearest port is 210.405
distance to the nearest airport is 79.685"
PRK.2.2_1,"full address of the given location is Beopdong County, Kangwon Province, PRK
area of district (km^2) of the given location is 848.297
Sum of nightlight intensity is 48.295
Average nightlight intensity is 0.018
Agricultural satelite image count is 0.022
Mining satelite image count is 49.087
Factory satelite image count is 0.005
Commercial satelite image count is 0.001
Transportation satelite image count is 3.831
distance to the nearest port is 152.641
distance to the nearest airport is 118.775"
PRK.9.4_1,"full address of the given location is Byeokseong County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 442.016
Sum of nightlight intensity is 18.816
Average nightlight intensity is 0.013
Agricultural satelite image count is 3.649
Mining satelite image count is 44.441
Factory satelite image count is 0.017
Commercial satelite image count is 0.003
Transportation satelite image count is 0.619
distance to the nearest port is 254.9
distance to the nearest airport is 109.505"
PRK.2.14_1,"full address of the given location is Pyeonggang County, Kangwon Province, PRK
area of district (km^2) of the given location is 732.675
Sum of nightlight intensity is 37.223
Average nightlight intensity is 0.011
Agricultural satelite image count is 1.057
Mining satelite image count is 46.55
Factory satelite image count is 0.068
Commercial satelite image count is 0.075
Transportation satelite image count is 2.043
distance to the nearest port is 121.389
distance to the nearest airport is 109.906"
PRK.10.19_1,"full address of the given location is Ryonggang County, South Pyongan Province, PRK
area of district (km^2) of the given location is 157.392
Sum of nightlight intensity is 72.65
Average nightlight intensity is 0.083
Agricultural satelite image count is 0.461
Mining satelite image count is 13.378
Factory satelite image count is 0.041
Commercial satelite image count is 0.026
Transportation satelite image count is 2.762
distance to the nearest port is 291.012
distance to the nearest airport is 45.966"
PRK.9.14_1,"full address of the given location is Ryongyeon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 461.844
Sum of nightlight intensity is 49.047
Average nightlight intensity is 0.015
Agricultural satelite image count is 11.634
Mining satelite image count is 35.204
Factory satelite image count is 0.259
Commercial satelite image count is 0.048
Transportation satelite image count is 0.877
distance to the nearest port is 283.014
distance to the nearest airport is 131.643"
PRK.9.15_1,"full address of the given location is Samcheon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 346.418
Sum of nightlight intensity is 57.33
Average nightlight intensity is 0.052
Agricultural satelite image count is 1.944
Mining satelite image count is 28.761
Factory satelite image count is 0.109
Commercial satelite image count is 0.016
Transportation satelite image count is 0.968
distance to the nearest port is 286.699
distance to the nearest airport is 100.383"
PRK.2.15_1,"full address of the given location is Sepo County, Kangwon Province, PRK
area of district (km^2) of the given location is 962.736
Sum of nightlight intensity is 36.445
Average nightlight intensity is 0.006
Agricultural satelite image count is 0.72
Mining satelite image count is 63.36
Factory satelite image count is 0.082
Commercial satelite image count is 0.327
Transportation satelite image count is 2.677
distance to the nearest port is 126.276
distance to the nearest airport is 132.339"
