area_id,desc
PRK.4.7_1,"full address of the given location is Jangpung County, North Hwanghae Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Sum of NO2 column density is 0.014
Sum of SO2 column density is 0.084
Sum of CO column density is 21.88
Average land surface temperature (°C) is 19.999
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 6.0
Total count of '건재' buildings in the category is 1.0
Total count of '기계' buildings in the category is 3.0
Total count of '섬유의류' buildings in the category is 2.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '화학' buildings in the category is 1.0
distance to the nearest airport is 61.074
Commercial satelite image count is 0.003
Factory satelite image count is 0.009"
PRK.4.5_1,"full address of the given location is Goksan County, North Hwanghae Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Sum of NO2 column density is 0.013
Sum of SO2 column density is 0.099
Sum of CO column density is 21.951
Average land surface temperature (°C) is 18.498
Total count of '건재' buildings in the category is 2.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '화학' buildings in the category is 2.0
distance to the nearest airport is 100.492
Commercial satelite image count is 0.102
Factory satelite image count is 0.119"
PRK.9.3_1,"full address of the given location is Bongcheon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Sum of NO2 column density is 0.014
Sum of SO2 column density is 0.098
Sum of CO column density is 22.182
Average land surface temperature (°C) is 22.068
Total count of '섬유의류' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 2.0
Total count of '화학' buildings in the category is 1.0
distance to the nearest airport is 79.685
Commercial satelite image count is 0.006
Factory satelite image count is 0.016"
PRK.2.2_1,"full address of the given location is Beopdong County, Kangwon Province, PRK
Sum of nightlight intensity is 25.817
Average nightlight intensity is 0.009
Sum of NO2 column density is 0.015
Sum of SO2 column density is 0.119
Sum of CO column density is 32.762
Average land surface temperature (°C) is 14.32
Total count of '비철금속광산' buildings in the category is 2.0
distance to the nearest airport is 118.775
Commercial satelite image count is 0.001
Factory satelite image count is 0.003"
PRK.9.4_1,"full address of the given location is Byeokseong County, South Hwanghae Province, PRK
Sum of nightlight intensity is 0.891
Average nightlight intensity is 0.001
Sum of NO2 column density is 0.012
Sum of SO2 column density is 0.075
Sum of CO column density is 19.316
Average land surface temperature (°C) is 22.399
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 1.0
Total count of '기계' buildings in the category is 1.0
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Total count of '화학' buildings in the category is 3.0
distance to the nearest airport is 109.505
Commercial satelite image count is 0.005
Factory satelite image count is 0.051"
PRK.2.14_1,"full address of the given location is Pyeonggang County, Kangwon Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Sum of NO2 column density is 0.016
Sum of SO2 column density is 0.125
Sum of CO column density is 29.745
Average land surface temperature (°C) is 15.802
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
distance to the nearest airport is 109.906
Commercial satelite image count is 0.049
Factory satelite image count is 0.072"
PRK.10.19_1,"full address of the given location is Ryonggang County, South Pyongan Province, PRK
Sum of nightlight intensity is 20.744
Average nightlight intensity is 0.024
Sum of NO2 column density is 0.005
Sum of SO2 column density is 0.028
Sum of CO column density is 7.207
Average land surface temperature (°C) is 21.819
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 1.0
Total count of '건재' buildings in the category is 1.0
Total count of '비금속광물광산' buildings in the category is 3.0
Total count of '섬유의류' buildings in the category is 2.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '전기전자' buildings in the category is 2.0
distance to the nearest airport is 45.966
Commercial satelite image count is 0.006
Factory satelite image count is 0.033"
PRK.9.14_1,"full address of the given location is Ryongyeon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 8.481
Average nightlight intensity is 0.003
Sum of NO2 column density is 0.011
Sum of SO2 column density is 0.077
Sum of CO column density is 20.31
Average land surface temperature (°C) is 21.463
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
distance to the nearest airport is 131.643
Commercial satelite image count is 0.041
Factory satelite image count is 0.41"
PRK.9.15_1,"full address of the given location is Samcheon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 14.631
Average nightlight intensity is 0.013
Sum of NO2 column density is 0.009
Sum of SO2 column density is 0.058
Sum of CO column density is 15.288
Average land surface temperature (°C) is 20.965
Total count of '기계' buildings in the category is 1.0
Total count of '비철금속광산' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Total count of '탄광' buildings in the category is 1.0
distance to the nearest airport is 100.383
Commercial satelite image count is 0.042
Factory satelite image count is 0.086"
PRK.2.15_1,"full address of the given location is Sepo County, Kangwon Province, PRK
Sum of nightlight intensity is 23.461
Average nightlight intensity is 0.004
Sum of NO2 column density is 0.018
Sum of SO2 column density is 0.12
Sum of CO column density is 37.392
Average land surface temperature (°C) is 16.105
Total count of '기계' buildings in the category is 2.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '화학' buildings in the category is 1.0
distance to the nearest airport is 132.339
Commercial satelite image count is 0.116
Factory satelite image count is 0.054"
