area_id,desc
PRK.4.7_1,"full address of the given location is Jangpung County, North Hwanghae Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 6.0
Total count of '건재' buildings in the category is 1.0
Total count of '기계' buildings in the category is 3.0
Total count of '섬유의류' buildings in the category is 2.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '화학' buildings in the category is 1.0
Factory satelite image count is 0.009
Commercial satelite image count is 0.003
Transportation satelite image count is 2.605
Sum of NO2 column density is 0.014
Sum of SO2 column density is 0.084
Sum of CO column density is 21.88
Average land surface temperature (°C) is 19.999
area of district (km^2) of the given location is 511.119
Mining satelite image count is 23.604
Power station satelite image count is 0.286
distance to the nearest port is 162.66
distance to the nearest airport is 61.074"
PRK.4.5_1,"full address of the given location is Goksan County, North Hwanghae Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Total count of '건재' buildings in the category is 2.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '화학' buildings in the category is 2.0
Factory satelite image count is 0.119
Commercial satelite image count is 0.102
Transportation satelite image count is 6.292
Sum of NO2 column density is 0.013
Sum of SO2 column density is 0.099
Sum of CO column density is 21.951
Average land surface temperature (°C) is 18.498
area of district (km^2) of the given location is 520.2
Mining satelite image count is 25.682
Power station satelite image count is 1.773
distance to the nearest port is 177.322
distance to the nearest airport is 100.492"
PRK.9.3_1,"full address of the given location is Bongcheon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 2.0
Total count of '화학' buildings in the category is 1.0
Factory satelite image count is 0.016
Commercial satelite image count is 0.006
Transportation satelite image count is 1.934
Sum of NO2 column density is 0.014
Sum of SO2 column density is 0.098
Sum of CO column density is 22.182
Average land surface temperature (°C) is 22.068
area of district (km^2) of the given location is 500.808
Mining satelite image count is 28.168
Power station satelite image count is 0.634
distance to the nearest port is 210.405
distance to the nearest airport is 79.685"
PRK.2.2_1,"full address of the given location is Beopdong County, Kangwon Province, PRK
Sum of nightlight intensity is 25.817
Average nightlight intensity is 0.009
Total count of '비철금속광산' buildings in the category is 2.0
Factory satelite image count is 0.003
Commercial satelite image count is 0.001
Transportation satelite image count is 4.668
Sum of NO2 column density is 0.015
Sum of SO2 column density is 0.119
Sum of CO column density is 32.762
Average land surface temperature (°C) is 14.32
area of district (km^2) of the given location is 848.297
Mining satelite image count is 34.91
Power station satelite image count is 0.83
distance to the nearest port is 152.641
distance to the nearest airport is 118.775"
PRK.9.4_1,"full address of the given location is Byeokseong County, South Hwanghae Province, PRK
Sum of nightlight intensity is 0.891
Average nightlight intensity is 0.001
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 1.0
Total count of '기계' buildings in the category is 1.0
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Total count of '화학' buildings in the category is 3.0
Factory satelite image count is 0.051
Commercial satelite image count is 0.005
Transportation satelite image count is 0.275
Sum of NO2 column density is 0.012
Sum of SO2 column density is 0.075
Sum of CO column density is 19.316
Average land surface temperature (°C) is 22.399
area of district (km^2) of the given location is 442.016
Mining satelite image count is 40.048
Power station satelite image count is 0.609
distance to the nearest port is 254.9
distance to the nearest airport is 109.505"
PRK.2.14_1,"full address of the given location is Pyeonggang County, Kangwon Province, PRK
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Factory satelite image count is 0.072
Commercial satelite image count is 0.049
Transportation satelite image count is 2.887
Sum of NO2 column density is 0.016
Sum of SO2 column density is 0.125
Sum of CO column density is 29.745
Average land surface temperature (°C) is 15.802
area of district (km^2) of the given location is 732.675
Mining satelite image count is 33.688
Power station satelite image count is 1.591
distance to the nearest port is 121.389
distance to the nearest airport is 109.906"
PRK.10.19_1,"full address of the given location is Ryonggang County, South Pyongan Province, PRK
Sum of nightlight intensity is 20.744
Average nightlight intensity is 0.024
Total count of '가구, 목재, 종이 및 잡제품' buildings in the category is 1.0
Total count of '건재' buildings in the category is 1.0
Total count of '비금속광물광산' buildings in the category is 3.0
Total count of '섬유의류' buildings in the category is 2.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Total count of '전기전자' buildings in the category is 2.0
Factory satelite image count is 0.033
Commercial satelite image count is 0.006
Transportation satelite image count is 2.717
Sum of NO2 column density is 0.005
Sum of SO2 column density is 0.028
Sum of CO column density is 7.207
Average land surface temperature (°C) is 21.819
area of district (km^2) of the given location is 157.392
Mining satelite image count is 15.223
Power station satelite image count is 0.787
distance to the nearest port is 291.012
distance to the nearest airport is 45.966"
PRK.9.14_1,"full address of the given location is Ryongyeon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 8.481
Average nightlight intensity is 0.003
Total count of '비금속광물광산' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 1.0
Factory satelite image count is 0.41
Commercial satelite image count is 0.041
Transportation satelite image count is 1.16
Sum of NO2 column density is 0.011
Sum of SO2 column density is 0.077
Sum of CO column density is 20.31
Average land surface temperature (°C) is 21.463
area of district (km^2) of the given location is 461.844
Mining satelite image count is 45.629
Power station satelite image count is 1.556
distance to the nearest port is 283.014
distance to the nearest airport is 131.643"
PRK.9.15_1,"full address of the given location is Samcheon County, South Hwanghae Province, PRK
Sum of nightlight intensity is 14.631
Average nightlight intensity is 0.013
Total count of '기계' buildings in the category is 1.0
Total count of '비철금속광산' buildings in the category is 1.0
Total count of '음식료품 및 담배' buildings in the category is 3.0
Total count of '탄광' buildings in the category is 1.0
Factory satelite image count is 0.086
Commercial satelite image count is 0.042
Transportation satelite image count is 1.742
Sum of NO2 column density is 0.009
Sum of SO2 column density is 0.058
Sum of CO column density is 15.288
Average land surface temperature (°C) is 20.965
area of district (km^2) of the given location is 346.418
Mining satelite image count is 30.34
Power station satelite image count is 0.831
distance to the nearest port is 286.699
distance to the nearest airport is 100.383"
PRK.2.15_1,"full address of the given location is Sepo County, Kangwon Province, PRK
Sum of nightlight intensity is 23.461
Average nightlight intensity is 0.004
Total count of '기계' buildings in the category is 2.0
Total count of '섬유의류' buildings in the category is 1.0
Total count of '수력발전' buildings in the category is 1.0
Total count of '화학' buildings in the category is 1.0
Factory satelite image count is 0.054
Commercial satelite image count is 0.116
Transportation satelite image count is 2.61
Sum of NO2 column density is 0.018
Sum of SO2 column density is 0.12
Sum of CO column density is 37.392
Average land surface temperature (°C) is 16.105
area of district (km^2) of the given location is 962.736
Mining satelite image count is 48.641
Power station satelite image count is 1.089
distance to the nearest port is 126.276
distance to the nearest airport is 132.339"
