area_id,desc
01008,"full address of the given location is Kanggye, Kanggye, PRK
area of district (km^2) of the given location is 369.14
Sum of nightlight intensity is 112.733
Average nightlight intensity is 0.047
Agricultural satelite image count is 0.071
Mining satelite image count is 14.193
Factory satelite image count is 0.04
Commercial satelite image count is 0.365
Transportation satelite image count is 3.899
distance to the nearest port is 351.967
distance to the nearest airport is 181.873"
09010,"full address of the given location is Guseong-si, Guseong-si, PRK
area of district (km^2) of the given location is 637.472
Sum of nightlight intensity is 90.107
Average nightlight intensity is 0.034
Agricultural satelite image count is 4.749
Mining satelite image count is 66.108
Factory satelite image count is 0.075
Commercial satelite image count is 0.159
Transportation satelite image count is 5.358
distance to the nearest port is 268.621
distance to the nearest airport is 81.349"
12001,"full address of the given location is Rason, Rason, PRK
area of district (km^2) of the given location is 729.305
Sum of nightlight intensity is 217.814
Average nightlight intensity is 0.019
Agricultural satelite image count is 4.675
Mining satelite image count is 68.425
Factory satelite image count is 0.537
Commercial satelite image count is 0.329
Transportation satelite image count is 5.386
distance to the nearest port is 151.075
distance to the nearest airport is 186.14"
13009,"full address of the given location is Samjiyon, Samjiyon, PRK
area of district (km^2) of the given location is 1075.546
Sum of nightlight intensity is 493.903
Average nightlight intensity is 0.055
Agricultural satelite image count is 0.651
Mining satelite image count is 19.458
Factory satelite image count is 0.27
Commercial satelite image count is 0.041
Transportation satelite image count is 0.487
distance to the nearest port is 324.29
distance to the nearest airport is 315.362"
14001,"full address of the given location is Shinuiju, Shinuiju, PRK
area of district (km^2) of the given location is 156.934
Sum of nightlight intensity is 934.087
Average nightlight intensity is 1.043
Agricultural satelite image count is 3.034
Mining satelite image count is 9.416
Factory satelite image count is 0.357
Commercial satelite image count is 0.119
Transportation satelite image count is 4.06
distance to the nearest port is 200.362
distance to the nearest airport is 143.579"
04017,"full address of the given location is Yeontan, Yeontan, PRK
area of district (km^2) of the given location is 543.909
Sum of nightlight intensity is 8.446
Average nightlight intensity is 0.004
Agricultural satelite image count is 4.393
Mining satelite image count is 71.625
Factory satelite image count is 0.015
Commercial satelite image count is 0.053
Transportation satelite image count is 1.167
distance to the nearest port is 229.319
distance to the nearest airport is 68.025"
10013,"full address of the given location is Oncheon, Oncheon, PRK
area of district (km^2) of the given location is 346.757
Sum of nightlight intensity is 10.909
Average nightlight intensity is 0.004
Agricultural satelite image count is 30.39
Mining satelite image count is 34.004
Factory satelite image count is 0.174
Commercial satelite image count is 0.18
Transportation satelite image count is 1.378
distance to the nearest port is 302.31
distance to the nearest airport is 53.701"
04015,"full address of the given location is Eunpa, Eunpa, PRK
area of district (km^2) of the given location is 387.462
Sum of nightlight intensity is 6.599
Average nightlight intensity is 0.003
Agricultural satelite image count is 4.709
Mining satelite image count is 38.81
Factory satelite image count is 0.025
Commercial satelite image count is 0.022
Transportation satelite image count is 0.952
distance to the nearest port is 240.808
distance to the nearest airport is 94.574"
11001,"full address of the given location is Pyongyang, P'Yongyang-Si, PRK
area of district (km^2) of the given location is 1090.613
Sum of nightlight intensity is 4874.03
Average nightlight intensity is 1.308
Agricultural satelite image count is 28.815
Mining satelite image count is 108.287
Factory satelite image count is 4.258
Commercial satelite image count is 5.235
Transportation satelite image count is 32.415
distance to the nearest port is 262.127
distance to the nearest airport is 17.456"
03004,"full address of the given location is Hamhŭng, Hamhŭng, PRK
area of district (km^2) of the given location is 612.655
Sum of nightlight intensity is 658.12
Average nightlight intensity is 0.164
Agricultural satelite image count is 5.955
Mining satelite image count is 80.891
Factory satelite image count is 0.191
Commercial satelite image count is 1.944
Transportation satelite image count is 8.468
distance to the nearest port is 213.938
distance to the nearest airport is 163.769"
