area_id,desc
PRK.4.7_1,"full address of the given location is Jangpung County, North Hwanghae Province, PRK
area of district (km^2) of the given location is 511.119
Sum of nightlight intensity is 18.093
Average nightlight intensity is 0.007
Agricultural satelite image count is 0.049
Mining satelite image count is 10.709
Factory satelite image count is 0.007
Commercial satelite image count is 0.001
Transportation satelite image count is 0.103
distance to the nearest port is 162.66
distance to the nearest airport is 61.074"
PRK.4.5_1,"full address of the given location is Goksan County, North Hwanghae Province, PRK
area of district (km^2) of the given location is 520.2
Sum of nightlight intensity is 20.615
Average nightlight intensity is 0.011
Agricultural satelite image count is 0.45
Mining satelite image count is 16.614
Factory satelite image count is 0.118
Commercial satelite image count is 0.036
Transportation satelite image count is 3.206
distance to the nearest port is 177.322
distance to the nearest airport is 100.492"
PRK.9.3_1,"full address of the given location is Bongcheon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 500.808
Sum of nightlight intensity is 17.958
Average nightlight intensity is 0.008
Agricultural satelite image count is 0.251
Mining satelite image count is 9.24
Factory satelite image count is 0.01
Commercial satelite image count is 0.003
Transportation satelite image count is 0.665
distance to the nearest port is 210.405
distance to the nearest airport is 79.685"
PRK.2.2_1,"full address of the given location is Beopdong County, Kangwon Province, PRK
area of district (km^2) of the given location is 848.297
Sum of nightlight intensity is 63.882
Average nightlight intensity is 0.023
Agricultural satelite image count is 0.009
Mining satelite image count is 20.607
Factory satelite image count is 0.004
Commercial satelite image count is 0.001
Transportation satelite image count is 0.878
distance to the nearest port is 152.641
distance to the nearest airport is 118.775"
PRK.9.4_1,"full address of the given location is Byeokseong County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 442.016
Sum of nightlight intensity is 28.919
Average nightlight intensity is 0.021
Agricultural satelite image count is 2.478
Mining satelite image count is 12.064
Factory satelite image count is 0.026
Commercial satelite image count is 0.004
Transportation satelite image count is 1.097
distance to the nearest port is 254.9
distance to the nearest airport is 109.505"
PRK.2.14_1,"full address of the given location is Pyeonggang County, Kangwon Province, PRK
area of district (km^2) of the given location is 732.675
Sum of nightlight intensity is 34.941
Average nightlight intensity is 0.01
Agricultural satelite image count is 0.079
Mining satelite image count is 26.204
Factory satelite image count is 0.04
Commercial satelite image count is 0.008
Transportation satelite image count is 0.29
distance to the nearest port is 121.389
distance to the nearest airport is 109.906"
PRK.10.19_1,"full address of the given location is Ryonggang County, South Pyongan Province, PRK
area of district (km^2) of the given location is 157.392
Sum of nightlight intensity is 86.144
Average nightlight intensity is 0.098
Agricultural satelite image count is 0.104
Mining satelite image count is 9.203
Factory satelite image count is 0.079
Commercial satelite image count is 0.014
Transportation satelite image count is 1.569
distance to the nearest port is 291.012
distance to the nearest airport is 45.966"
PRK.9.14_1,"full address of the given location is Ryongyeon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 461.844
Sum of nightlight intensity is 80.218
Average nightlight intensity is 0.024
Agricultural satelite image count is 23.889
Mining satelite image count is 15.367
Factory satelite image count is 0.349
Commercial satelite image count is 0.062
Transportation satelite image count is 1.89
distance to the nearest port is 283.014
distance to the nearest airport is 131.643"
PRK.9.15_1,"full address of the given location is Samcheon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 346.418
Sum of nightlight intensity is 96.042
Average nightlight intensity is 0.087
Agricultural satelite image count is 1.885
Mining satelite image count is 13.955
Factory satelite image count is 0.217
Commercial satelite image count is 0.056
Transportation satelite image count is 1.03
distance to the nearest port is 286.699
distance to the nearest airport is 100.383"
PRK.2.15_1,"full address of the given location is Sepo County, Kangwon Province, PRK
area of district (km^2) of the given location is 962.736
Sum of nightlight intensity is 39.439
Average nightlight intensity is 0.006
Agricultural satelite image count is 0.077
Mining satelite image count is 31.419
Factory satelite image count is 0.035
Commercial satelite image count is 0.127
Transportation satelite image count is 1.176
distance to the nearest port is 126.276
distance to the nearest airport is 132.339"
PRK.9.17_1,"full address of the given location is Sincheon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 479.077
Sum of nightlight intensity is 54.626
Average nightlight intensity is 0.035
Agricultural satelite image count is 13.646
Mining satelite image count is 17.16
Factory satelite image count is 0.057
Commercial satelite image count is 0.139
Transportation satelite image count is 1.341
distance to the nearest port is 271.073
distance to the nearest airport is 99.264"
PRK.9.18_1,"full address of the given location is Sinwon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 484.597
Sum of nightlight intensity is 40.784
Average nightlight intensity is 0.012
Agricultural satelite image count is 0.301
Mining satelite image count is 17.574
Factory satelite image count is 0.083
Commercial satelite image count is 0.007
Transportation satelite image count is 0.199
distance to the nearest port is 251.252
distance to the nearest airport is 105.893"
PRK.4.4_1,"full address of the given location is Geumcheon County, North Hwanghae Province, PRK
area of district (km^2) of the given location is 447.822
Sum of nightlight intensity is 5.183
Average nightlight intensity is 0.002
Agricultural satelite image count is 0.468
Mining satelite image count is 12.002
Factory satelite image count is 0.007
Commercial satelite image count is 0.001
Transportation satelite image count is 3.337
distance to the nearest port is 180.501
distance to the nearest airport is 74.776"
PRK.9.19_1,"full address of the given location is Songhwa County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 194.407
Sum of nightlight intensity is 32.931
Average nightlight intensity is 0.03
Agricultural satelite image count is 0.17
Mining satelite image count is 10.442
Factory satelite image count is 0.004
Commercial satelite image count is 0.001
Transportation satelite image count is 0.416
distance to the nearest port is 295.985
distance to the nearest airport is 103.348"
