area_id,desc
PRK.4.7_1,"full address of the given location is Jangpung County, North Hwanghae Province, PRK
area of district (km^2) of the given location is 511.119
Sum of nightlight intensity is 0.0
Average nightlight intensity is 0.0
Agricultural satelite image count is 0.047
Mining satelite image count is 24.038
Factory satelite image count is 0.009
Commercial satelite image count is 0.001
Transportation satelite image count is 0.552
distance to the nearest port is 162.66
distance to the nearest airport is 61.074"
PRK.4.5_1,"full address of the given location is Goksan County, North Hwanghae Province, PRK
area of district (km^2) of the given location is 520.2
Sum of nightlight intensity is 10.164
Average nightlight intensity is 0.006
Agricultural satelite image count is 0.16
Mining satelite image count is 53.487
Factory satelite image count is 0.097
Commercial satelite image count is 0.061
Transportation satelite image count is 2.846
distance to the nearest port is 177.322
distance to the nearest airport is 100.492"
PRK.9.3_1,"full address of the given location is Bongcheon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 500.808
Sum of nightlight intensity is 2.837
Average nightlight intensity is 0.001
Agricultural satelite image count is 0.21
Mining satelite image count is 40.888
Factory satelite image count is 0.012
Commercial satelite image count is 0.003
Transportation satelite image count is 0.707
distance to the nearest port is 210.405
distance to the nearest airport is 79.685"
PRK.2.2_1,"full address of the given location is Beopdong County, Kangwon Province, PRK
area of district (km^2) of the given location is 848.297
Sum of nightlight intensity is 41.1
Average nightlight intensity is 0.015
Agricultural satelite image count is 0.007
Mining satelite image count is 56.333
Factory satelite image count is 0.004
Commercial satelite image count is 0.001
Transportation satelite image count is 1.952
distance to the nearest port is 152.641
distance to the nearest airport is 118.775"
PRK.9.4_1,"full address of the given location is Byeokseong County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 442.016
Sum of nightlight intensity is 1.263
Average nightlight intensity is 0.001
Agricultural satelite image count is 0.817
Mining satelite image count is 38.257
Factory satelite image count is 0.018
Commercial satelite image count is 0.003
Transportation satelite image count is 0.324
distance to the nearest port is 254.9
distance to the nearest airport is 109.505"
PRK.2.14_1,"full address of the given location is Pyeonggang County, Kangwon Province, PRK
area of district (km^2) of the given location is 732.675
Sum of nightlight intensity is 15.845
Average nightlight intensity is 0.005
Agricultural satelite image count is 0.743
Mining satelite image count is 41.904
Factory satelite image count is 0.061
Commercial satelite image count is 0.006
Transportation satelite image count is 0.732
distance to the nearest port is 121.389
distance to the nearest airport is 109.906"
PRK.10.19_1,"full address of the given location is Ryonggang County, South Pyongan Province, PRK
area of district (km^2) of the given location is 157.392
Sum of nightlight intensity is 26.125
Average nightlight intensity is 0.03
Agricultural satelite image count is 0.727
Mining satelite image count is 16.386
Factory satelite image count is 0.037
Commercial satelite image count is 0.013
Transportation satelite image count is 2.234
distance to the nearest port is 291.012
distance to the nearest airport is 45.966"
PRK.9.14_1,"full address of the given location is Ryongyeon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 461.844
Sum of nightlight intensity is 1.656
Average nightlight intensity is 0.0
Agricultural satelite image count is 14.054
Mining satelite image count is 48.615
Factory satelite image count is 0.235
Commercial satelite image count is 0.036
Transportation satelite image count is 0.979
distance to the nearest port is 283.014
distance to the nearest airport is 131.643"
PRK.9.15_1,"full address of the given location is Samcheon County, South Hwanghae Province, PRK
area of district (km^2) of the given location is 346.418
Sum of nightlight intensity is 20.928
Average nightlight intensity is 0.019
Agricultural satelite image count is 0.824
Mining satelite image count is 34.955
Factory satelite image count is 0.266
Commercial satelite image count is 0.022
Transportation satelite image count is 1.553
distance to the nearest port is 286.699
distance to the nearest airport is 100.383"
PRK.2.15_1,"full address of the given location is Sepo County, Kangwon Province, PRK
area of district (km^2) of the given location is 962.736
Sum of nightlight intensity is 35.287
Average nightlight intensity is 0.005
Agricultural satelite image count is 0.087
Mining satelite image count is 57.719
Factory satelite image count is 0.091
Commercial satelite image count is 0.119
Transportation satelite image count is 1.796
distance to the nearest port is 126.276
distance to the nearest airport is 132.339"
