area_id,desc
CZ020,"full address of the given location is Do Krásy, Hlavní, 252 43, Průhonice, Praha-západ, Středočeský, CZE"
CZ031,"full address of the given location is 373 41, Drahotěšice, Jihočeský, CZE"
CZ032,"full address of the given location is 334 01, Bolkov, Plzeňský, CZE"
CZ010,"full address of the given location is Magnitogorská, 101 00, Praha 10, Praha, Hlavní město Praha, CZE"
CZ063,"full address of the given location is 588 21, Velký Beranov, Vysočina, CZE"
CZ064,"full address of the given location is 664 61, Holasice, Jihomoravský, CZE"
CZ051,"full address of the given location is Javorník 35, 463 43, Javorník, Proseč pod Ještědem, Liberec, Liberecký kraj, CZE"
CZ052,"full address of the given location is 544 01, Dvůr Králové nad Labem, Královéhradecký, CZE"
CZ053,"full address of the given location is Bučina, Ústí nad Orlicí, Pardubický kraj, CZE"
CZ080,"full address of the given location is Výškovice u Slatiny, Bílovec, Nový Jičín, Moravskoslezský kraj, CZE"
CZ042,"full address of the given location is 418 04, Lukov, Ústecký, CZE"
CZ041,"full address of the given location is 357 33, Loket, Karlovarský, CZE"
CZ071,"full address of the given location is 783 96, Újezd, Olomoucký, CZE"
CZ072,"full address of the given location is Podřevnická, 763 11, Želechovice nad Dřevnicí, Zlín, Zlínský, CZE"
