area_id,desc
CZ020,"full address of the given location is Do Krásy, Hlavní, 252 43, Průhonice, Praha-západ, Středočeský, CZE
Residential satelite image count is 7672.514
Land cover ratio of building is 0.026
area of district (km^2) of the given location is 10930.295
Sum of nightlight intensity is 116633.156
Average nightlight intensity is 1.941"
CZ031,"full address of the given location is 373 41, Drahotěšice, Jihočeský, CZE
Residential satelite image count is 3857.678
Land cover ratio of building is 0.021
area of district (km^2) of the given location is 10058.566
Sum of nightlight intensity is 47891.473
Average nightlight intensity is 0.842"
CZ032,"full address of the given location is 334 01, Bolkov, Plzeňský, CZE
Residential satelite image count is 3173.265
Land cover ratio of building is 0.019
area of district (km^2) of the given location is 7649.884
Sum of nightlight intensity is 47997.297
Average nightlight intensity is 1.133"
CZ010,"full address of the given location is Magnitogorská, 101 00, Praha 10, Praha, Hlavní město Praha, CZE
Residential satelite image count is 740.691
Land cover ratio of building is 0.085
area of district (km^2) of the given location is 497.204
Sum of nightlight intensity is 69706.859
Average nightlight intensity is 21.756"
CZ063,"full address of the given location is 588 21, Velký Beranov, Vysočina, CZE
Residential satelite image count is 2626.156
Land cover ratio of building is 0.016
area of district (km^2) of the given location is 6795.375
Sum of nightlight intensity is 38760.527
Average nightlight intensity is 1.154"
CZ064,"full address of the given location is 664 61, Holasice, Jihomoravský, CZE
Residential satelite image count is 2913.449
Land cover ratio of building is 0.017
area of district (km^2) of the given location is 7187.803
Sum of nightlight intensity is 73994.156
Average nightlight intensity is 1.014"
CZ051,"full address of the given location is Javorník 35, 463 43, Javorník, Proseč pod Ještědem, Liberec, Liberecký kraj, CZE
Residential satelite image count is 3085.55
Land cover ratio of building is 0.042
area of district (km^2) of the given location is 3163.621
Sum of nightlight intensity is 27920.029
Average nightlight intensity is 1.51"
CZ052,"full address of the given location is 544 01, Dvůr Králové nad Labem, Královéhradecký, CZE
Residential satelite image count is 3664.653
Land cover ratio of building is 0.022
area of district (km^2) of the given location is 4758.942
Sum of nightlight intensity is 38027.801
Average nightlight intensity is 1.308"
CZ053,"full address of the given location is Bučina, Ústí nad Orlicí, Pardubický kraj, CZE
Residential satelite image count is 3167.948
Land cover ratio of building is 0.024
area of district (km^2) of the given location is 4518.763
Sum of nightlight intensity is 32282.977
Average nightlight intensity is 1.395"
CZ080,"full address of the given location is Výškovice u Slatiny, Bílovec, Nový Jičín, Moravskoslezský kraj, CZE
Residential satelite image count is 4464.015
Land cover ratio of building is 0.025
area of district (km^2) of the given location is 5429.7
Sum of nightlight intensity is 73966.516
Average nightlight intensity is 1.369"
CZ042,"full address of the given location is 418 04, Lukov, Ústecký, CZE
Residential satelite image count is 2651.895
Land cover ratio of building is 0.024
area of district (km^2) of the given location is 5338.984
Sum of nightlight intensity is 66524.562
Average nightlight intensity is 1.143"
CZ041,"full address of the given location is 357 33, Loket, Karlovarský, CZE
Residential satelite image count is 1051.891
Land cover ratio of building is 0.014
area of district (km^2) of the given location is 3311.128
Sum of nightlight intensity is 24566.836
Average nightlight intensity is 1.55"
CZ071,"full address of the given location is 783 96, Újezd, Olomoucký, CZE
Residential satelite image count is 2249.558
Land cover ratio of building is 0.023
area of district (km^2) of the given location is 5270.475
Sum of nightlight intensity is 48281.125
Average nightlight intensity is 1.086"
CZ072,"full address of the given location is Podřevnická, 763 11, Želechovice nad Dřevnicí, Zlín, Zlínský, CZE
Residential satelite image count is 2471.876
Land cover ratio of building is 0.025
area of district (km^2) of the given location is 3962.516
Sum of nightlight intensity is 34310.605
Average nightlight intensity is 1.422"
