area_id,desc
HU222,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN"
HU223,"full address of the given location is 8897, Söjtör, Zala, HUN"
HU221,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN"
HU313,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN"
HU311,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN"
HU312,"full address of the given location is 3265, Vécs, Heves, HUN"
HU231,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN"
HU232,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN"
HU233,"full address of the given location is 7067, Varsád, Tolna, HUN"
HU120,"full address of the given location is 2230, Gyömrő, Pest, HUN"
HU110,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN"
HU211,"full address of the given location is 8111, Seregélyes, Fejér, HUN"
HU212,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN"
HU213,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN"
HU321,"full address of the given location is 4211, Ebes, Hajdú-Bihar, HUN"
HU322,"full address of the given location is Közép-Tiszai Tájvédelmi Körzet, 6060, Tiszakécske, Tiszakécskei járás, Bács-Kiskun, Strand utca, HUN"
HU323,"full address of the given location is 4561, Baktalórántháza, Baktalórántházai járás, Szabolcs-Szatmár-Bereg, Dózsa György utca 2d, HUN"
HU331,"full address of the given location is 6230, Soltvadkert, Bács-Kiskun, HUN"
HU332,"full address of the given location is 5672, Murony, Békés, HUN"
HU333,"full address of the given location is 6800, Hódmezővásárhely, Csongrád-Csanád, HUN"
