area_id,desc
HU222,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
area of district (km^2) of the given location is 3336.043
Sum of nightlight intensity is 14559.422
Average nightlight intensity is 0.506
Residential satelite image count is 1112.961"
HU223,"full address of the given location is 8897, Söjtör, Zala, HUN
area of district (km^2) of the given location is 3783.867
Sum of nightlight intensity is 14516.307
Average nightlight intensity is 0.696
Residential satelite image count is 1437.91"
HU221,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
area of district (km^2) of the given location is 4208.479
Sum of nightlight intensity is 30533.299
Average nightlight intensity is 0.824
Residential satelite image count is 1535.428"
HU313,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
area of district (km^2) of the given location is 2544.951
Sum of nightlight intensity is 8067.475
Average nightlight intensity is 0.395
Residential satelite image count is 906.655"
HU311,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
area of district (km^2) of the given location is 7246.307
Sum of nightlight intensity is 38775.109
Average nightlight intensity is 0.615
Residential satelite image count is 2807.738"
HU312,"full address of the given location is 3265, Vécs, Heves, HUN
area of district (km^2) of the given location is 3634.783
Sum of nightlight intensity is 14697.944
Average nightlight intensity is 0.565
Residential satelite image count is 1282.912"
HU231,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
area of district (km^2) of the given location is 4430.491
Sum of nightlight intensity is 22533.695
Average nightlight intensity is 1.162
Residential satelite image count is 1283.962"
HU232,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
area of district (km^2) of the given location is 6062.873
Sum of nightlight intensity is 19076.643
Average nightlight intensity is 0.395
Residential satelite image count is 1564.716"
HU233,"full address of the given location is 7067, Varsád, Tolna, HUN
area of district (km^2) of the given location is 3703.631
Sum of nightlight intensity is 9365.073
Average nightlight intensity is 0.498
Residential satelite image count is 921.872"
HU120,"full address of the given location is 2230, Gyömrő, Pest, HUN
area of district (km^2) of the given location is 6389.021
Sum of nightlight intensity is 70652.008
Average nightlight intensity is 1.47
Residential satelite image count is 4098.815"
HU110,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN
area of district (km^2) of the given location is 525.929
Sum of nightlight intensity is 80183.18
Average nightlight intensity is 29.414
Residential satelite image count is 808.066"
HU211,"full address of the given location is 8111, Seregélyes, Fejér, HUN
area of district (km^2) of the given location is 4358.173
Sum of nightlight intensity is 26969.033
Average nightlight intensity is 1.467
Residential satelite image count is 1499.805"
HU212,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN
area of district (km^2) of the given location is 2264.525
Sum of nightlight intensity is 19928.484
Average nightlight intensity is 1.342
Residential satelite image count is 920.559"
HU213,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN
area of district (km^2) of the given location is 4462.876
Sum of nightlight intensity is 19756.572
Average nightlight intensity is 0.957
Residential satelite image count is 1462.164"
HU321,"full address of the given location is 4211, Ebes, Hajdú-Bihar, HUN
area of district (km^2) of the given location is 6209.136
Sum of nightlight intensity is 26141.311
Average nightlight intensity is 0.749
Residential satelite image count is 1502.163"
HU322,"full address of the given location is Közép-Tiszai Tájvédelmi Körzet, 6060, Tiszakécske, Tiszakécskei járás, Bács-Kiskun, Strand utca, HUN
area of district (km^2) of the given location is 5583.041
Sum of nightlight intensity is 16631.438
Average nightlight intensity is 0.46
Residential satelite image count is 1451.841"
HU323,"full address of the given location is 4561, Baktalórántháza, Baktalórántházai járás, Szabolcs-Szatmár-Bereg, Dózsa György utca 2d, HUN
area of district (km^2) of the given location is 5930.756
Sum of nightlight intensity is 27513.953
Average nightlight intensity is 0.59
Residential satelite image count is 1837.242"
HU331,"full address of the given location is 6230, Soltvadkert, Bács-Kiskun, HUN
area of district (km^2) of the given location is 8444.408
Sum of nightlight intensity is 26488.748
Average nightlight intensity is 0.596
Residential satelite image count is 1962.251"
HU332,"full address of the given location is 5672, Murony, Békés, HUN
area of district (km^2) of the given location is 5629.041
Sum of nightlight intensity is 15480.902
Average nightlight intensity is 0.437
Residential satelite image count is 1644.185"
HU333,"full address of the given location is 6800, Hódmezővásárhely, Csongrád-Csanád, HUN
area of district (km^2) of the given location is 4260.762
Sum of nightlight intensity is 20676.0
Average nightlight intensity is 1.194
Residential satelite image count is 1242.99"
