area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
area of district (km^2) of the given location is 944.275
Residential satelite image count is 1158.805
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of building is 0.041"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
area of district (km^2) of the given location is 1577.294
Residential satelite image count is 1004.998
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of building is 0.052"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
area of district (km^2) of the given location is 879.221
Residential satelite image count is 620.537
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of building is 0.03"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
area of district (km^2) of the given location is 380.303
Residential satelite image count is 516.053
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of building is 0.075"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
area of district (km^2) of the given location is 1802.048
Residential satelite image count is 1817.461
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of building is 0.031"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
area of district (km^2) of the given location is 3048.128
Residential satelite image count is 2545.4
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of building is 0.027"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
area of district (km^2) of the given location is 2352.916
Residential satelite image count is 3216.857
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of building is 0.036"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
area of district (km^2) of the given location is 1353.139
Residential satelite image count is 1943.382
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of building is 0.042"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 4053.022
Residential satelite image count is 2032.595
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of building is 0.007"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
area of district (km^2) of the given location is 4004.409
Residential satelite image count is 1540.343
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of building is 0.007"
