area_id,desc
3018,"full address of the given location is Hlavní město Praha, CZE"
3026,"full address of the given location is Středočeský kraj, CZE"
3140,"full address of the given location is Moravskoslezský kraj, CZE"
3034,"full address of the given location is Jihočeský, CZE"
3042,"full address of the given location is Plzeňský, CZE"
3051,"full address of the given location is Karlovarský, CZE"
3069,"full address of the given location is Ústecký, CZE"
3077,"full address of the given location is Liberecký kraj, CZE"
3085,"full address of the given location is Královéhradecký, CZE"
3093,"full address of the given location is Pardubický kraj, CZE"
3107,"full address of the given location is Vysočina, CZE"
3115,"full address of the given location is Jihomoravský, CZE"
3123,"full address of the given location is Olomoucký, CZE"
3131,"full address of the given location is Zlínský kraj, CZE"
