area_id,desc
3018,"full address of the given location is Hlavní město Praha, CZE
Land cover ratio of building in the neighboring region(s) is 0.026
area of district (km^2) of the given location is 496.33
Sum of nightlight intensity is 69706.859
Average nightlight intensity is 21.756
Land cover ratio of development is 0.169
Land cover ratio of building is 0.085
area of district (km^2) of the given location in the neighboring region(s) is 10930.318
Land cover ratio of road is 0.047
Land cover ratio of development in the neighboring region(s) is 0.042
Land cover ratio of road in the neighboring region(s) is 0.008
Sum of nightlight intensity in the neighboring region(s) is 116633.156
Average nightlight intensity in the neighboring region(s) is 1.941
Land cover ratio of rangeland is 0.476
Land cover ratio of agricultural is 0.113
distance to the nearest airport is 14.916
distance to the nearest port is 374.352
Land cover ratio of agricultural in the neighboring region(s) is 0.206
Land cover ratio of water is 0.028
Land cover ratio of water in the neighboring region(s) is 0.137"
3026,"full address of the given location is Středočeský kraj, CZE
Land cover ratio of building in the neighboring region(s) is 0.023
area of district (km^2) of the given location is 10930.318
Sum of nightlight intensity is 116633.156
Average nightlight intensity is 1.941
Land cover ratio of development is 0.042
Land cover ratio of building is 0.026
area of district (km^2) of the given location in the neighboring region(s) is 42781.878
Land cover ratio of road is 0.008
Land cover ratio of development in the neighboring region(s) is 0.04
Land cover ratio of road in the neighboring region(s) is 0.006
Sum of nightlight intensity in the neighboring region(s) is 369111.525
Average nightlight intensity in the neighboring region(s) is 1.383
Land cover ratio of rangeland is 0.474
Land cover ratio of agricultural is 0.206
distance to the nearest airport is 23.281
distance to the nearest port is 381.298
Land cover ratio of agricultural in the neighboring region(s) is 0.143
Land cover ratio of water is 0.137
Land cover ratio of water in the neighboring region(s) is 0.172"
3140,"full address of the given location is Moravskoslezský kraj, CZE
Land cover ratio of building in the neighboring region(s) is 0.024
area of district (km^2) of the given location is 5430.737
Sum of nightlight intensity is 73966.516
Average nightlight intensity is 1.369
Land cover ratio of development is 0.045
Land cover ratio of building is 0.025
area of district (km^2) of the given location in the neighboring region(s) is 9234.552
Land cover ratio of road is 0.009
Land cover ratio of development in the neighboring region(s) is 0.039
Land cover ratio of road in the neighboring region(s) is 0.008
Sum of nightlight intensity in the neighboring region(s) is 82591.73
Average nightlight intensity in the neighboring region(s) is 1.23
Land cover ratio of rangeland is 0.509
Land cover ratio of agricultural is 0.124
distance to the nearest airport is 133.702
distance to the nearest port is 465.216
Land cover ratio of agricultural in the neighboring region(s) is 0.128
Land cover ratio of water is 0.19
Land cover ratio of water in the neighboring region(s) is 0.22"
3034,"full address of the given location is Jihočeský, CZE
Land cover ratio of building in the neighboring region(s) is 0.02
area of district (km^2) of the given location is 10058.693
Sum of nightlight intensity is 47891.473
Average nightlight intensity is 0.842
Land cover ratio of development is 0.036
Land cover ratio of building is 0.021
area of district (km^2) of the given location in the neighboring region(s) is 32561.957
Land cover ratio of road is 0.005
Land cover ratio of development in the neighboring region(s) is 0.04
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 277385.137
Average nightlight intensity in the neighboring region(s) is 1.382
Land cover ratio of rangeland is 0.507
Land cover ratio of agricultural is 0.12
distance to the nearest airport is 113.467
distance to the nearest port is 373.328
Land cover ratio of agricultural in the neighboring region(s) is 0.171
Land cover ratio of water is 0.178
Land cover ratio of water in the neighboring region(s) is 0.157"
3042,"full address of the given location is Plzeňský, CZE
Land cover ratio of building in the neighboring region(s) is 0.023
area of district (km^2) of the given location is 7649.641
Sum of nightlight intensity is 47997.297
Average nightlight intensity is 1.133
Land cover ratio of development is 0.039
Land cover ratio of building is 0.019
area of district (km^2) of the given location in the neighboring region(s) is 29639.325
Land cover ratio of road is 0.005
Land cover ratio of development in the neighboring region(s) is 0.04
Land cover ratio of road in the neighboring region(s) is 0.006
Sum of nightlight intensity in the neighboring region(s) is 255616.027
Average nightlight intensity in the neighboring region(s) is 1.381
Land cover ratio of rangeland is 0.516
Land cover ratio of agricultural is 0.124
distance to the nearest airport is 93.803
distance to the nearest port is 424.264
Land cover ratio of agricultural in the neighboring region(s) is 0.149
Land cover ratio of water is 0.156
Land cover ratio of water in the neighboring region(s) is 0.145"
3051,"full address of the given location is Karlovarský, CZE
Land cover ratio of building in the neighboring region(s) is 0.021
area of district (km^2) of the given location is 3311.581
Sum of nightlight intensity is 24566.836
Average nightlight intensity is 1.55
Land cover ratio of development is 0.036
Land cover ratio of building is 0.014
area of district (km^2) of the given location in the neighboring region(s) is 12988.374
Land cover ratio of road is 0.005
Land cover ratio of development in the neighboring region(s) is 0.041
Land cover ratio of road in the neighboring region(s) is 0.006
Sum of nightlight intensity in the neighboring region(s) is 114521.859
Average nightlight intensity in the neighboring region(s) is 1.137
Land cover ratio of rangeland is 0.572
Land cover ratio of agricultural is 0.056
distance to the nearest airport is 108.503
distance to the nearest port is 383.712
Land cover ratio of agricultural in the neighboring region(s) is 0.134
Land cover ratio of water is 0.095
Land cover ratio of water in the neighboring region(s) is 0.146"
3069,"full address of the given location is Ústecký, CZE
Land cover ratio of building in the neighboring region(s) is 0.025
area of district (km^2) of the given location is 5338.733
Sum of nightlight intensity is 66524.562
Average nightlight intensity is 1.143
Land cover ratio of development is 0.045
Land cover ratio of building is 0.024
area of district (km^2) of the given location in the neighboring region(s) is 25054.958
Land cover ratio of road is 0.007
Land cover ratio of development in the neighboring region(s) is 0.04
Land cover ratio of road in the neighboring region(s) is 0.006
Sum of nightlight intensity in the neighboring region(s) is 217117.318
Average nightlight intensity in the neighboring region(s) is 1.588
Land cover ratio of rangeland is 0.474
Land cover ratio of agricultural is 0.147
distance to the nearest airport is 55.803
distance to the nearest port is 326.661
Land cover ratio of agricultural in the neighboring region(s) is 0.147
Land cover ratio of water is 0.13
Land cover ratio of water in the neighboring region(s) is 0.143"
3077,"full address of the given location is Liberecký kraj, CZE
Land cover ratio of building in the neighboring region(s) is 0.025
area of district (km^2) of the given location is 3163.418
Sum of nightlight intensity is 27920.029
Average nightlight intensity is 1.51
Land cover ratio of development is 0.041
Land cover ratio of building is 0.042
area of district (km^2) of the given location in the neighboring region(s) is 21028.115
Land cover ratio of road is 0.005
Land cover ratio of development in the neighboring region(s) is 0.042
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 221185.52
Average nightlight intensity in the neighboring region(s) is 1.595
Land cover ratio of rangeland is 0.485
Land cover ratio of agricultural is 0.091
distance to the nearest airport is 84.358
distance to the nearest port is 304.591
Land cover ratio of agricultural in the neighboring region(s) is 0.189
Land cover ratio of water is 0.184
Land cover ratio of water in the neighboring region(s) is 0.145"
3085,"full address of the given location is Královéhradecký, CZE
Land cover ratio of building in the neighboring region(s) is 0.028
area of district (km^2) of the given location is 4759.064
Sum of nightlight intensity is 38027.801
Average nightlight intensity is 1.308
Land cover ratio of development is 0.037
Land cover ratio of building is 0.022
area of district (km^2) of the given location in the neighboring region(s) is 18613.715
Land cover ratio of road is 0.006
Land cover ratio of development in the neighboring region(s) is 0.042
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 176836.162
Average nightlight intensity in the neighboring region(s) is 1.735
Land cover ratio of rangeland is 0.442
Land cover ratio of agricultural is 0.197
distance to the nearest airport is 118.109
distance to the nearest port is 350.271
Land cover ratio of agricultural in the neighboring region(s) is 0.178
Land cover ratio of water is 0.18
Land cover ratio of water in the neighboring region(s) is 0.166"
3093,"full address of the given location is Pardubický kraj, CZE
Land cover ratio of building in the neighboring region(s) is 0.021
area of district (km^2) of the given location is 4519.978
Sum of nightlight intensity is 32282.977
Average nightlight intensity is 1.395
Land cover ratio of development is 0.041
Land cover ratio of building is 0.024
area of district (km^2) of the given location in the neighboring region(s) is 34943.255
Land cover ratio of road is 0.007
Land cover ratio of development in the neighboring region(s) is 0.039
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 315696.766
Average nightlight intensity in the neighboring region(s) is 1.382
Land cover ratio of rangeland is 0.419
Land cover ratio of agricultural is 0.172
distance to the nearest airport is 139.806
distance to the nearest port is 408.052
Land cover ratio of agricultural in the neighboring region(s) is 0.179
Land cover ratio of water is 0.226
Land cover ratio of water in the neighboring region(s) is 0.174"
