area_id,desc
3018,"full address of the given location is Hlavní město Praha, CZE
area of district (km^2) of the given location is 496.33
Sum of nightlight intensity is 69706.859
Average nightlight intensity is 21.756
Land cover ratio of development is 0.169
Land cover ratio of building is 0.085"
3026,"full address of the given location is Středočeský kraj, CZE
area of district (km^2) of the given location is 10930.318
Sum of nightlight intensity is 116633.156
Average nightlight intensity is 1.941
Land cover ratio of development is 0.042
Land cover ratio of building is 0.026"
3140,"full address of the given location is Moravskoslezský kraj, CZE
area of district (km^2) of the given location is 5430.737
Sum of nightlight intensity is 73966.516
Average nightlight intensity is 1.369
Land cover ratio of development is 0.045
Land cover ratio of building is 0.025"
3034,"full address of the given location is Jihočeský, CZE
area of district (km^2) of the given location is 10058.693
Sum of nightlight intensity is 47891.473
Average nightlight intensity is 0.842
Land cover ratio of development is 0.036
Land cover ratio of building is 0.021"
3042,"full address of the given location is Plzeňský, CZE
area of district (km^2) of the given location is 7649.641
Sum of nightlight intensity is 47997.297
Average nightlight intensity is 1.133
Land cover ratio of development is 0.039
Land cover ratio of building is 0.019"
3051,"full address of the given location is Karlovarský, CZE
area of district (km^2) of the given location is 3311.581
Sum of nightlight intensity is 24566.836
Average nightlight intensity is 1.55
Land cover ratio of development is 0.036
Land cover ratio of building is 0.014"
3069,"full address of the given location is Ústecký, CZE
area of district (km^2) of the given location is 5338.733
Sum of nightlight intensity is 66524.562
Average nightlight intensity is 1.143
Land cover ratio of development is 0.045
Land cover ratio of building is 0.024"
3077,"full address of the given location is Liberecký kraj, CZE
area of district (km^2) of the given location is 3163.418
Sum of nightlight intensity is 27920.029
Average nightlight intensity is 1.51
Land cover ratio of development is 0.041
Land cover ratio of building is 0.042"
3085,"full address of the given location is Královéhradecký, CZE
area of district (km^2) of the given location is 4759.064
Sum of nightlight intensity is 38027.801
Average nightlight intensity is 1.308
Land cover ratio of development is 0.037
Land cover ratio of building is 0.022"
3093,"full address of the given location is Pardubický kraj, CZE
area of district (km^2) of the given location is 4519.978
Sum of nightlight intensity is 32282.977
Average nightlight intensity is 1.395
Land cover ratio of development is 0.041
Land cover ratio of building is 0.024"
3107,"full address of the given location is Vysočina, CZE
area of district (km^2) of the given location is 6796.021
Sum of nightlight intensity is 38760.527
Average nightlight intensity is 1.154
Land cover ratio of development is 0.035
Land cover ratio of building is 0.016"
3115,"full address of the given location is Jihomoravský, CZE
area of district (km^2) of the given location is 7185.977
Sum of nightlight intensity is 73994.156
Average nightlight intensity is 1.014
Land cover ratio of development is 0.041
Land cover ratio of building is 0.017"
3123,"full address of the given location is Olomoucký, CZE
area of district (km^2) of the given location is 5271.875
Sum of nightlight intensity is 48281.125
Average nightlight intensity is 1.086
Land cover ratio of development is 0.035
Land cover ratio of building is 0.023"
3131,"full address of the given location is Zlínský kraj, CZE
area of district (km^2) of the given location is 3962.676
Sum of nightlight intensity is 34310.605
Average nightlight intensity is 1.422
Land cover ratio of development is 0.045
Land cover ratio of building is 0.025"
