area_id,desc
CZ020,"full address of the given location is Do Krásy, Hlavní, 252 43, Průhonice, Praha-západ, Středočeský, CZE
Land cover ratio of building in the neighboring region(s) is 0.023
area of district (km^2) of the given location is 10930.295
Sum of nightlight intensity is 116633.156
Average nightlight intensity is 1.941
Land cover ratio of development is 0.042
Land cover ratio of building is 0.026
Land cover ratio of development in the neighboring region(s) is 0.04
Sum of nightlight intensity in the neighboring region(s) is 369111.525
Average nightlight intensity in the neighboring region(s) is 1.383
Land cover ratio of agricultural is 0.206
distance to the nearest airport is 23.685
distance to the nearest port is 381.624"
CZ031,"full address of the given location is 373 41, Drahotěšice, Jihočeský, CZE
Land cover ratio of building in the neighboring region(s) is 0.02
area of district (km^2) of the given location is 10058.566
Sum of nightlight intensity is 47891.473
Average nightlight intensity is 0.842
Land cover ratio of development is 0.036
Land cover ratio of building is 0.021
Land cover ratio of development in the neighboring region(s) is 0.04
Sum of nightlight intensity in the neighboring region(s) is 277385.137
Average nightlight intensity in the neighboring region(s) is 1.382
Land cover ratio of agricultural is 0.12
distance to the nearest airport is 113.471
distance to the nearest port is 373.323"
CZ032,"full address of the given location is 334 01, Bolkov, Plzeňský, CZE
Land cover ratio of building in the neighboring region(s) is 0.023
area of district (km^2) of the given location is 7649.884
Sum of nightlight intensity is 47997.297
Average nightlight intensity is 1.133
Land cover ratio of development is 0.039
Land cover ratio of building is 0.019
Land cover ratio of development in the neighboring region(s) is 0.04
Sum of nightlight intensity in the neighboring region(s) is 255616.027
Average nightlight intensity in the neighboring region(s) is 1.381
Land cover ratio of agricultural is 0.124
distance to the nearest airport is 93.804
distance to the nearest port is 424.261"
CZ010,"full address of the given location is Magnitogorská, 101 00, Praha 10, Praha, Hlavní město Praha, CZE
Land cover ratio of building in the neighboring region(s) is 0.026
area of district (km^2) of the given location is 497.204
Sum of nightlight intensity is 69706.859
Average nightlight intensity is 21.756
Land cover ratio of development is 0.169
Land cover ratio of building is 0.085
Land cover ratio of development in the neighboring region(s) is 0.042
Sum of nightlight intensity in the neighboring region(s) is 116633.156
Average nightlight intensity in the neighboring region(s) is 1.941
Land cover ratio of agricultural is 0.113
distance to the nearest airport is 14.922
distance to the nearest port is 374.355"
CZ063,"full address of the given location is 588 21, Velký Beranov, Vysočina, CZE
Land cover ratio of building in the neighboring region(s) is 0.022
area of district (km^2) of the given location is 6795.375
Sum of nightlight intensity is 38760.527
Average nightlight intensity is 1.154
Land cover ratio of development is 0.035
Land cover ratio of building is 0.016
Land cover ratio of development in the neighboring region(s) is 0.04
Sum of nightlight intensity in the neighboring region(s) is 270801.762
Average nightlight intensity in the neighboring region(s) is 1.324
Land cover ratio of agricultural is 0.163
distance to the nearest airport is 127.265
distance to the nearest port is 433.327"
CZ064,"full address of the given location is 664 61, Holasice, Jihomoravský, CZE
Land cover ratio of building in the neighboring region(s) is 0.021
area of district (km^2) of the given location is 7187.803
Sum of nightlight intensity is 73994.156
Average nightlight intensity is 1.014
Land cover ratio of development is 0.041
Land cover ratio of building is 0.017
Land cover ratio of development in the neighboring region(s) is 0.037
Sum of nightlight intensity in the neighboring region(s) is 266828.75
Average nightlight intensity in the neighboring region(s) is 1.046
Land cover ratio of agricultural is 0.174
distance to the nearest airport is 106.942
distance to the nearest port is 433.5"
CZ051,"full address of the given location is Javorník 35, 463 43, Javorník, Proseč pod Ještědem, Liberec, Liberecký kraj, CZE
Land cover ratio of building in the neighboring region(s) is 0.027
area of district (km^2) of the given location is 3163.621
Sum of nightlight intensity is 27920.029
Average nightlight intensity is 1.51
Land cover ratio of development is 0.041
Land cover ratio of building is 0.042
Land cover ratio of development in the neighboring region(s) is 0.042
Sum of nightlight intensity in the neighboring region(s) is 270308.156
Average nightlight intensity in the neighboring region(s) is 1.474
Land cover ratio of agricultural is 0.091
distance to the nearest airport is 84.355
distance to the nearest port is 304.593"
CZ052,"full address of the given location is 544 01, Dvůr Králové nad Labem, Královéhradecký, CZE
Land cover ratio of building in the neighboring region(s) is 0.03
area of district (km^2) of the given location is 4758.942
Sum of nightlight intensity is 38027.801
Average nightlight intensity is 1.308
Land cover ratio of development is 0.037
Land cover ratio of building is 0.022
Land cover ratio of development in the neighboring region(s) is 0.041
Sum of nightlight intensity in the neighboring region(s) is 269784.666
Average nightlight intensity in the neighboring region(s) is 1.56
Land cover ratio of agricultural is 0.197
distance to the nearest airport is 118.104
distance to the nearest port is 350.273"
CZ053,"full address of the given location is Bučina, Ústí nad Orlicí, Pardubický kraj, CZE
Land cover ratio of building in the neighboring region(s) is 0.022
area of district (km^2) of the given location is 4518.763
Sum of nightlight intensity is 32282.977
Average nightlight intensity is 1.395
Land cover ratio of development is 0.041
Land cover ratio of building is 0.024
Land cover ratio of development in the neighboring region(s) is 0.039
Sum of nightlight intensity in the neighboring region(s) is 359522.633
Average nightlight intensity in the neighboring region(s) is 1.396
Land cover ratio of agricultural is 0.172
distance to the nearest airport is 139.805
distance to the nearest port is 408.047"
CZ080,"full address of the given location is Výškovice u Slatiny, Bílovec, Nový Jičín, Moravskoslezský kraj, CZE
Land cover ratio of building in the neighboring region(s) is 0.026
area of district (km^2) of the given location is 5429.7
Sum of nightlight intensity is 73966.516
Average nightlight intensity is 1.369
Land cover ratio of development is 0.045
Land cover ratio of building is 0.025
Land cover ratio of development in the neighboring region(s) is 0.038
Sum of nightlight intensity in the neighboring region(s) is 227250.262
Average nightlight intensity in the neighboring region(s) is 1.53
Land cover ratio of agricultural is 0.124
distance to the nearest airport is 133.711
distance to the nearest port is 465.214"
