area_id,desc
PL22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
area of district (km^2) of the given location is 944.275
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of bareland is 0.006
Land cover ratio of development is 0.069
Land cover ratio of building is 0.041
Land cover ratio of road is 0.013
Land cover ratio of rangeland is 0.486
Land cover ratio of agricultural is 0.125
Land cover ratio of water is 0.165
Land cover ratio of tree is 0.095
Residential satelite image count is 1158.805
Mining satelite image count is 174.807
Commercial satelite image count is 72.42
Factory satelite image count is 72.036
Power station satelite image count is 45.33
Transportation satelite image count is 231.974
Sports satelite image count is 641.039
Religious satelite image count is 95.097
Water satelite image count is 282.585
distance to the nearest airport is 62.749
distance to the nearest port is 480.035
Sum of nightlight intensity in the neighboring region(s) is 273647.605
Average nightlight intensity in the neighboring region(s) is 4.492
area of district (km^2) of the given location in the neighboring region(s) is 8807.543
Land cover ratio of development in the neighboring region(s) is 0.063
Land cover ratio of building in the neighboring region(s) is 0.037
Land cover ratio of road in the neighboring region(s) is 0.013
Land cover ratio of rangeland in the neighboring region(s) is 0.512
Land cover ratio of agricultural in the neighboring region(s) is 0.123
Land cover ratio of water in the neighboring region(s) is 0.125
Residential satelite image count in the neighboring region(s) is 10974.467
Agricultural satelite image count in the neighboring region(s) is 13268.798
Commercial satelite image count in the neighboring region(s) is 667.12
Factory satelite image count in the neighboring region(s) is 575.183
Mining satelite image count in the neighboring region(s) is 1551.204
Power station satelite image count in the neighboring region(s) is 337.992
Transportation satelite image count in the neighboring region(s) is 2343.464
Sports satelite image count in the neighboring region(s) is 4237.336
Religious satelite image count in the neighboring region(s) is 917.055
Water satelite image count in the neighboring region(s) is 1660.652"
PL228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
area of district (km^2) of the given location is 1577.294
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of bareland is 0.006
Land cover ratio of development is 0.048
Land cover ratio of building is 0.052
Land cover ratio of road is 0.009
Land cover ratio of rangeland is 0.472
Land cover ratio of agricultural is 0.139
Land cover ratio of water is 0.163
Land cover ratio of tree is 0.112
Residential satelite image count is 1004.998
Mining satelite image count is 342.781
Commercial satelite image count is 84.282
Factory satelite image count is 64.871
Power station satelite image count is 51.724
Transportation satelite image count is 440.764
Sports satelite image count is 685.857
Religious satelite image count is 162.286
Water satelite image count is 179.378
distance to the nearest airport is 90.669
distance to the nearest port is 424.628
Sum of nightlight intensity in the neighboring region(s) is 235841.312
Average nightlight intensity in the neighboring region(s) is 2.782
area of district (km^2) of the given location in the neighboring region(s) is 11429.075
Land cover ratio of development in the neighboring region(s) is 0.05
Land cover ratio of building in the neighboring region(s) is 0.03
Land cover ratio of road in the neighboring region(s) is 0.01
Land cover ratio of rangeland in the neighboring region(s) is 0.485
Land cover ratio of agricultural in the neighboring region(s) is 0.19
Land cover ratio of water in the neighboring region(s) is 0.12
Residential satelite image count in the neighboring region(s) is 7948.616
Agricultural satelite image count in the neighboring region(s) is 24804.665
Commercial satelite image count in the neighboring region(s) is 628.603
Factory satelite image count in the neighboring region(s) is 585.699
Mining satelite image count in the neighboring region(s) is 1931.684
Power station satelite image count in the neighboring region(s) is 448.554
Transportation satelite image count in the neighboring region(s) is 3074.046
Sports satelite image count in the neighboring region(s) is 4455.884
Religious satelite image count in the neighboring region(s) is 1200.026
Water satelite image count in the neighboring region(s) is 1298.216"
PL229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
area of district (km^2) of the given location is 879.221
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of bareland is 0.007
Land cover ratio of development is 0.06
Land cover ratio of building is 0.03
Land cover ratio of road is 0.014
Land cover ratio of rangeland is 0.498
Land cover ratio of agricultural is 0.192
Land cover ratio of water is 0.118
Land cover ratio of tree is 0.082
Residential satelite image count is 620.537
Mining satelite image count is 224.31
Commercial satelite image count is 114.684
Factory satelite image count is 104.11
Power station satelite image count is 44.096
Transportation satelite image count is 396.855
Sports satelite image count is 450.677
Religious satelite image count is 133.342
Water satelite image count is 138.938
distance to the nearest airport is 92.359
distance to the nearest port is 439.659
Sum of nightlight intensity in the neighboring region(s) is 210348.383
Average nightlight intensity in the neighboring region(s) is 3.609
area of district (km^2) of the given location in the neighboring region(s) is 9574.386
Land cover ratio of development in the neighboring region(s) is 0.049
Land cover ratio of building in the neighboring region(s) is 0.037
Land cover ratio of road in the neighboring region(s) is 0.009
Land cover ratio of rangeland in the neighboring region(s) is 0.442
Land cover ratio of agricultural in the neighboring region(s) is 0.209
Land cover ratio of water in the neighboring region(s) is 0.149
Residential satelite image count in the neighboring region(s) is 7072.404
Agricultural satelite image count in the neighboring region(s) is 20416.582
Commercial satelite image count in the neighboring region(s) is 540.247
Factory satelite image count in the neighboring region(s) is 435.457
Mining satelite image count in the neighboring region(s) is 1674.9
Power station satelite image count in the neighboring region(s) is 354.734
Transportation satelite image count in the neighboring region(s) is 2469.705
Sports satelite image count in the neighboring region(s) is 4029.747
Religious satelite image count in the neighboring region(s) is 987.227
Water satelite image count in the neighboring region(s) is 1513.945"
PL22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
area of district (km^2) of the given location is 380.303
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of bareland is 0.004
Land cover ratio of development is 0.13
Land cover ratio of building is 0.075
Land cover ratio of road is 0.032
Land cover ratio of rangeland is 0.62
Land cover ratio of agricultural is 0.025
Land cover ratio of water is 0.059
Land cover ratio of tree is 0.055
Residential satelite image count is 516.053
Mining satelite image count is 138.269
Commercial satelite image count is 164.937
Factory satelite image count is 112.64
Power station satelite image count is 41.484
Transportation satelite image count is 225.845
Sports satelite image count is 269.349
Religious satelite image count is 85.892
Water satelite image count is 64.949
distance to the nearest airport is 59.959
distance to the nearest port is 462.674
Sum of nightlight intensity in the neighboring region(s) is 164199.57
Average nightlight intensity in the neighboring region(s) is 4.205
area of district (km^2) of the given location in the neighboring region(s) is 5202.838
Land cover ratio of development in the neighboring region(s) is 0.059
Land cover ratio of building in the neighboring region(s) is 0.039
Land cover ratio of road in the neighboring region(s) is 0.013
Land cover ratio of rangeland in the neighboring region(s) is 0.492
Land cover ratio of agricultural in the neighboring region(s) is 0.139
Land cover ratio of water in the neighboring region(s) is 0.139
Residential satelite image count in the neighboring region(s) is 4601.802
Agricultural satelite image count in the neighboring region(s) is 8470.584
Commercial satelite image count in the neighboring region(s) is 393.081
Factory satelite image count in the neighboring region(s) is 402.971
Mining satelite image count in the neighboring region(s) is 1110.925
Power station satelite image count in the neighboring region(s) is 240.493
Transportation satelite image count in the neighboring region(s) is 1685.778
Sports satelite image count in the neighboring region(s) is 2404.346
Religious satelite image count in the neighboring region(s) is 588.453
Water satelite image count in the neighboring region(s) is 808.766"
PL22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
area of district (km^2) of the given location is 1802.048
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of bareland is 0.007
Land cover ratio of development is 0.063
Land cover ratio of building is 0.031
Land cover ratio of road is 0.015
Land cover ratio of rangeland is 0.51
Land cover ratio of agricultural is 0.121
Land cover ratio of water is 0.115
Land cover ratio of tree is 0.137
Residential satelite image count is 1817.461
Mining satelite image count is 369.026
Commercial satelite image count is 121.694
Factory satelite image count is 161.954
Power station satelite image count is 99.342
Transportation satelite image count is 616.186
Sports satelite image count is 626.774
Religious satelite image count is 197.728
Water satelite image count is 207.866
distance to the nearest airport is 48.548
distance to the nearest port is 442.798
Sum of nightlight intensity in the neighboring region(s) is 287958.469
Average nightlight intensity in the neighboring region(s) is 2.027
area of district (km^2) of the given location in the neighboring region(s) is 18720.472
Land cover ratio of development in the neighboring region(s) is 0.057
Land cover ratio of building in the neighboring region(s) is 0.03
Land cover ratio of road in the neighboring region(s) is 0.01
Land cover ratio of rangeland in the neighboring region(s) is 0.472
Land cover ratio of agricultural in the neighboring region(s) is 0.204
Land cover ratio of water in the neighboring region(s) is 0.115
Residential satelite image count in the neighboring region(s) is 17012.009
Agricultural satelite image count in the neighboring region(s) is 50886.974
Commercial satelite image count in the neighboring region(s) is 631.872
Factory satelite image count in the neighboring region(s) is 538.717
Mining satelite image count in the neighboring region(s) is 2590.218
Power station satelite image count in the neighboring region(s) is 490.045
Transportation satelite image count in the neighboring region(s) is 3765.577
Sports satelite image count in the neighboring region(s) is 7491.255
Religious satelite image count in the neighboring region(s) is 1415.642
Water satelite image count in the neighboring region(s) is 2314.002"
PL224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
area of district (km^2) of the given location is 3048.128
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of bareland is 0.007
Land cover ratio of development is 0.056
Land cover ratio of building is 0.027
Land cover ratio of road is 0.012
Land cover ratio of rangeland is 0.569
Land cover ratio of agricultural is 0.12
Land cover ratio of water is 0.088
Land cover ratio of tree is 0.122
Residential satelite image count is 2545.4
Mining satelite image count is 520.305
Commercial satelite image count is 97.478
Factory satelite image count is 75.353
Power station satelite image count is 99.268
Transportation satelite image count is 665.433
Sports satelite image count is 1416.386
Religious satelite image count is 272.925
Water satelite image count is 263.768
distance to the nearest airport is 93.145
distance to the nearest port is 399.878
Sum of nightlight intensity in the neighboring region(s) is 262587.34
Average nightlight intensity in the neighboring region(s) is 1.262
area of district (km^2) of the given location in the neighboring region(s) is 27015.125
Land cover ratio of development in the neighboring region(s) is 0.045
Land cover ratio of building in the neighboring region(s) is 0.025
Land cover ratio of road in the neighboring region(s) is 0.008
Land cover ratio of rangeland in the neighboring region(s) is 0.449
Land cover ratio of agricultural in the neighboring region(s) is 0.254
Land cover ratio of water in the neighboring region(s) is 0.108
Residential satelite image count in the neighboring region(s) is 16535.504
Agricultural satelite image count in the neighboring region(s) is 80657.773
Commercial satelite image count in the neighboring region(s) is 582.457
Factory satelite image count in the neighboring region(s) is 610.076
Mining satelite image count in the neighboring region(s) is 4046.069
Power station satelite image count in the neighboring region(s) is 753.753
Transportation satelite image count in the neighboring region(s) is 5612.72
Sports satelite image count in the neighboring region(s) is 8856.175
Religious satelite image count in the neighboring region(s) is 2089.972
Water satelite image count in the neighboring region(s) is 2984.693"
PL225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
area of district (km^2) of the given location is 2352.916
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of bareland is 0.002
Land cover ratio of development is 0.049
Land cover ratio of building is 0.036
Land cover ratio of road is 0.007
Land cover ratio of rangeland is 0.581
Land cover ratio of agricultural is 0.082
Land cover ratio of water is 0.149
Land cover ratio of tree is 0.093
Residential satelite image count is 3216.857
Mining satelite image count is 220.763
Commercial satelite image count is 98.959
Factory satelite image count is 81.547
Power station satelite image count is 37.594
Transportation satelite image count is 310.767
Sports satelite image count is 1268.781
Religious satelite image count is 216.617
Water satelite image count is 394.492
distance to the nearest airport is 68.587
distance to the nearest port is 516.61
Sum of nightlight intensity in the neighboring region(s) is 249960.002
Average nightlight intensity in the neighboring region(s) is 1.795
area of district (km^2) of the given location in the neighboring region(s) is 19206.102
Land cover ratio of development in the neighboring region(s) is 0.046
Land cover ratio of building in the neighboring region(s) is 0.03
Land cover ratio of road in the neighboring region(s) is 0.008
Land cover ratio of rangeland in the neighboring region(s) is 0.547
Land cover ratio of agricultural in the neighboring region(s) is 0.084
Land cover ratio of water in the neighboring region(s) is 0.154
Residential satelite image count in the neighboring region(s) is 15133.916
Agricultural satelite image count in the neighboring region(s) is 20418.349
Commercial satelite image count in the neighboring region(s) is 683.163
Factory satelite image count in the neighboring region(s) is 672.636
Mining satelite image count in the neighboring region(s) is 2483.017
Power station satelite image count in the neighboring region(s) is 481.569
Transportation satelite image count in the neighboring region(s) is 3229.318
Sports satelite image count in the neighboring region(s) is 9642.017
Religious satelite image count in the neighboring region(s) is 2169.868
Water satelite image count in the neighboring region(s) is 4261.809"
PL227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
area of district (km^2) of the given location is 1353.139
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of bareland is 0.005
Land cover ratio of development is 0.072
Land cover ratio of building is 0.042
Land cover ratio of road is 0.015
Land cover ratio of rangeland is 0.43
Land cover ratio of agricultural is 0.186
Land cover ratio of water is 0.166
Land cover ratio of tree is 0.083
Residential satelite image count is 1943.382
Mining satelite image count is 339.268
Commercial satelite image count is 88.799
Factory satelite image count is 54.265
Power station satelite image count is 51.832
Transportation satelite image count is 401.395
Sports satelite image count is 740.804
Religious satelite image count is 133.814
Water satelite image count is 364.339
distance to the nearest airport is 99.312
distance to the nearest port is 457.293
Sum of nightlight intensity in the neighboring region(s) is 271877.377
Average nightlight intensity in the neighboring region(s) is 1.994
area of district (km^2) of the given location in the neighboring region(s) is 19018.374
Land cover ratio of development in the neighboring region(s) is 0.04
Land cover ratio of building in the neighboring region(s) is 0.026
Land cover ratio of road in the neighboring region(s) is 0.007
Land cover ratio of rangeland in the neighboring region(s) is 0.459
Land cover ratio of agricultural in the neighboring region(s) is 0.208
Land cover ratio of water in the neighboring region(s) is 0.168
Residential satelite image count in the neighboring region(s) is 13320.486
Agricultural satelite image count in the neighboring region(s) is 39371.963
Commercial satelite image count in the neighboring region(s) is 796.272
Factory satelite image count in the neighboring region(s) is 774.567
Mining satelite image count in the neighboring region(s) is 2409.402
Power station satelite image count in the neighboring region(s) is 568.566
Transportation satelite image count in the neighboring region(s) is 3902.731
Sports satelite image count in the neighboring region(s) is 8687.932
Religious satelite image count in the neighboring region(s) is 2216.289
Water satelite image count in the neighboring region(s) is 3083.086"
PL616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 4053.022
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of bareland is 0.01
Land cover ratio of development is 0.043
Land cover ratio of building is 0.007
Land cover ratio of road is 0.006
Land cover ratio of rangeland is 0.447
Land cover ratio of agricultural is 0.298
Land cover ratio of water is 0.128
Land cover ratio of tree is 0.06
Residential satelite image count is 2032.595
Mining satelite image count is 913.008
Commercial satelite image count is 80.523
Factory satelite image count is 69.692
Power station satelite image count is 103.762
Transportation satelite image count is 362.658
Sports satelite image count is 3369.201
Religious satelite image count is 703.411
Water satelite image count is 1160.648
distance to the nearest airport is 131.725
distance to the nearest port is 129.594
Sum of nightlight intensity in the neighboring region(s) is 238043.938
Average nightlight intensity in the neighboring region(s) is 1.271
area of district (km^2) of the given location in the neighboring region(s) is 29956.052
Land cover ratio of development in the neighboring region(s) is 0.04
Land cover ratio of building in the neighboring region(s) is 0.012
Land cover ratio of road in the neighboring region(s) is 0.007
Land cover ratio of rangeland in the neighboring region(s) is 0.468
Land cover ratio of agricultural in the neighboring region(s) is 0.257
Land cover ratio of water in the neighboring region(s) is 0.108
Residential satelite image count in the neighboring region(s) is 14049.179
Agricultural satelite image count in the neighboring region(s) is 92831.148
Commercial satelite image count in the neighboring region(s) is 696.984
Factory satelite image count in the neighboring region(s) is 626.675
Mining satelite image count in the neighboring region(s) is 5777.078
Power station satelite image count in the neighboring region(s) is 882.65
Transportation satelite image count in the neighboring region(s) is 4627.193
Sports satelite image count in the neighboring region(s) is 17401.206
Religious satelite image count in the neighboring region(s) is 4652.007
Water satelite image count in the neighboring region(s) is 7556.77"
PL617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
area of district (km^2) of the given location is 4004.409
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of bareland is 0.016
Land cover ratio of development is 0.037
Land cover ratio of building is 0.007
Land cover ratio of road is 0.006
Land cover ratio of rangeland is 0.466
Land cover ratio of agricultural is 0.286
Land cover ratio of water is 0.118
Land cover ratio of tree is 0.063
Residential satelite image count is 1540.343
Mining satelite image count is 979.841
Commercial satelite image count is 78.219
Factory satelite image count is 95.075
Power station satelite image count is 132.034
Transportation satelite image count is 425.899
Sports satelite image count is 2186.566
Religious satelite image count is 621.489
Water satelite image count is 1001.59
distance to the nearest airport is 161.216
distance to the nearest port is 177.897
Sum of nightlight intensity in the neighboring region(s) is 207482.59
Average nightlight intensity in the neighboring region(s) is 1.178
area of district (km^2) of the given location in the neighboring region(s) is 22770.133
Land cover ratio of development in the neighboring region(s) is 0.04
Land cover ratio of building in the neighboring region(s) is 0.016
Land cover ratio of road in the neighboring region(s) is 0.007
Land cover ratio of rangeland in the neighboring region(s) is 0.485
Land cover ratio of agricultural in the neighboring region(s) is 0.253
Land cover ratio of water in the neighboring region(s) is 0.098
Residential satelite image count in the neighboring region(s) is 10752.7
Agricultural satelite image count in the neighboring region(s) is 66760.452
Commercial satelite image count in the neighboring region(s) is 638.209
Factory satelite image count in the neighboring region(s) is 504.105
Mining satelite image count in the neighboring region(s) is 4577.722
Power station satelite image count in the neighboring region(s) is 654.449
Transportation satelite image count in the neighboring region(s) is 3986.396
Sports satelite image count in the neighboring region(s) is 11970.427
Religious satelite image count in the neighboring region(s) is 3042.266
Water satelite image count in the neighboring region(s) is 5715.414"
