area_id,desc
1,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN
area of district (km^2) of the given location is 525.269
Sum of nightlight intensity is 80183.18
Average nightlight intensity is 29.414
Land cover ratio of development is 0.421
distance to the nearest airport is 12.947
distance to the nearest port is 426.881"
13,"full address of the given location is 2234, Maglód, Pest, HUN
area of district (km^2) of the given location is 6390.54
Sum of nightlight intensity is 70652.008
Average nightlight intensity is 1.47
Land cover ratio of development is 0.064
distance to the nearest airport is 6.026
distance to the nearest port is 437.76"
7,"full address of the given location is 8111, Seregélyes, Fejér, HUN
area of district (km^2) of the given location is 4358.563
Sum of nightlight intensity is 26969.033
Average nightlight intensity is 1.467
Land cover ratio of development is 0.035
distance to the nearest airport is 64.444
distance to the nearest port is 369.309"
11,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN
area of district (km^2) of the given location is 2264.266
Sum of nightlight intensity is 19928.484
Average nightlight intensity is 1.342
Land cover ratio of development is 0.037
distance to the nearest airport is 74.074
distance to the nearest port is 387.033"
19,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN
area of district (km^2) of the given location is 4472.276
Sum of nightlight intensity is 19756.572
Average nightlight intensity is 0.957
Land cover ratio of development is 0.033
distance to the nearest airport is 120.64
distance to the nearest port is 314.012"
8,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
area of district (km^2) of the given location is 4208.432
Sum of nightlight intensity is 30533.299
Average nightlight intensity is 0.824
Land cover ratio of development is 0.035
distance to the nearest airport is 58.925
distance to the nearest port is 334.71"
18,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
area of district (km^2) of the given location is 3336.33
Sum of nightlight intensity is 14559.422
Average nightlight intensity is 0.506
Land cover ratio of development is 0.031
distance to the nearest airport is 108.738
distance to the nearest port is 267.09"
20,"full address of the given location is 8897, Söjtör, Zala, HUN
area of district (km^2) of the given location is 3783.926
Sum of nightlight intensity is 14516.307
Average nightlight intensity is 0.696
Land cover ratio of development is 0.031
distance to the nearest airport is 123.989
distance to the nearest port is 238.804"
2,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
area of district (km^2) of the given location is 4429.17
Sum of nightlight intensity is 22533.695
Average nightlight intensity is 1.162
Land cover ratio of development is 0.031
distance to the nearest airport is 170.157
distance to the nearest port is 297.404"
14,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
area of district (km^2) of the given location is 6055.897
Sum of nightlight intensity is 19076.643
Average nightlight intensity is 0.395
Land cover ratio of development is 0.031
distance to the nearest airport is 143.767
distance to the nearest port is 270.363"
17,"full address of the given location is 7067, Varsád, Tolna, HUN
area of district (km^2) of the given location is 3703.507
Sum of nightlight intensity is 9365.073
Average nightlight intensity is 0.498
Land cover ratio of development is 0.031
distance to the nearest airport is 116.74
distance to the nearest port is 337.936"
5,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
area of district (km^2) of the given location is 7245.231
Sum of nightlight intensity is 38775.109
Average nightlight intensity is 0.615
Land cover ratio of development is 0.031
distance to the nearest airport is 153.712
distance to the nearest port is 587.327"
10,"full address of the given location is 3265, Vécs, Heves, HUN
area of district (km^2) of the given location is 3637.04
Sum of nightlight intensity is 14697.944
Average nightlight intensity is 0.565
Land cover ratio of development is 0.034
distance to the nearest airport is 80.265
distance to the nearest port is 513.985"
12,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
area of district (km^2) of the given location is 2544.106
Sum of nightlight intensity is 8067.475
Average nightlight intensity is 0.395
Land cover ratio of development is 0.03
distance to the nearest airport is 64.514
distance to the nearest port is 484.28"
9,"full address of the given location is 4211, Ebes, Hajdú-Bihar, HUN
area of district (km^2) of the given location is 6209.141
Sum of nightlight intensity is 26141.311
Average nightlight intensity is 0.749
Land cover ratio of development is 0.033
distance to the nearest airport is 165.573
distance to the nearest port is 556.559"
15,"full address of the given location is 4561, Baktalórántháza, Baktalórántházai járás, Szabolcs-Szatmár-Bereg, Dózsa György utca 2b, HUN
area of district (km^2) of the given location is 5932.6
Sum of nightlight intensity is 27513.953
Average nightlight intensity is 0.59
Land cover ratio of development is 0.037
distance to the nearest airport is 181.104
distance to the nearest port is 539.271"
16,"full address of the given location is Közép-Tiszai Tájvédelmi Körzet, 6060, Tiszakécske, Tiszakécskei járás, Bács-Kiskun, Strand utca, HUN
area of district (km^2) of the given location is 5581.974
Sum of nightlight intensity is 16631.438
Average nightlight intensity is 0.46
Land cover ratio of development is 0.029
distance to the nearest airport is 89.535
distance to the nearest port is 502.728"
3,"full address of the given location is 6230, Soltvadkert, Bács-Kiskun, HUN
area of district (km^2) of the given location is 8442.854
Sum of nightlight intensity is 26488.748
Average nightlight intensity is 0.596
Land cover ratio of development is 0.039
distance to the nearest airport is 96.564
distance to the nearest port is 400.819"
4,"full address of the given location is 5672, Murony, Békés, HUN
area of district (km^2) of the given location is 5630.052
Sum of nightlight intensity is 15480.902
Average nightlight intensity is 0.437
Land cover ratio of development is 0.024
distance to the nearest airport is 153.744
distance to the nearest port is 507.725"
6,"full address of the given location is 6800, Hódmezővásárhely, Csongrád-Csanád, HUN
area of district (km^2) of the given location is 4261.749
Sum of nightlight intensity is 20676.0
Average nightlight intensity is 1.194
Land cover ratio of development is 0.042
distance to the nearest airport is 134.196
distance to the nearest port is 441.511"
