area_id,desc
1,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN"
13,"full address of the given location is 2234, Maglód, Pest, HUN"
7,"full address of the given location is 8111, Seregélyes, Fejér, HUN"
11,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN"
19,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN"
8,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN"
18,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN"
20,"full address of the given location is 8897, Söjtör, Zala, HUN"
2,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN"
14,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN"
17,"full address of the given location is 7067, Varsád, Tolna, HUN"
5,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN"
10,"full address of the given location is 3265, Vécs, Heves, HUN"
12,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN"
9,"full address of the given location is 4211, Ebes, Hajdú-Bihar, HUN"
15,"full address of the given location is 4561, Baktalórántháza, Baktalórántházai járás, Szabolcs-Szatmár-Bereg, Dózsa György utca 2b, HUN"
16,"full address of the given location is Közép-Tiszai Tájvédelmi Körzet, 6060, Tiszakécske, Tiszakécskei járás, Bács-Kiskun, Strand utca, HUN"
3,"full address of the given location is 6230, Soltvadkert, Bács-Kiskun, HUN"
4,"full address of the given location is 5672, Murony, Békés, HUN"
6,"full address of the given location is 6800, Hódmezővásárhely, Csongrád-Csanád, HUN"
