area_id,desc
1,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN
Land cover ratio of building in the neighboring region(s) is 0.022
area of district (km^2) of the given location is 525.269
Sum of nightlight intensity is 80183.18
Average nightlight intensity is 29.414
Land cover ratio of development is 0.421
Land cover ratio of building is 0.095
Sum of nightlight intensity in the neighboring region(s) is 70652.008
Average nightlight intensity in the neighboring region(s) is 1.47
Land cover ratio of agricultural is 0.011
distance to the nearest airport is 12.947
distance to the nearest port is 426.881"
13,"full address of the given location is 2234, Maglód, Pest, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 6390.54
Sum of nightlight intensity is 70652.008
Average nightlight intensity is 1.47
Land cover ratio of development is 0.064
Land cover ratio of building is 0.022
Sum of nightlight intensity in the neighboring region(s) is 192966.302
Average nightlight intensity in the neighboring region(s) is 1.299
Land cover ratio of agricultural is 0.172
distance to the nearest airport is 6.026
distance to the nearest port is 437.76"
7,"full address of the given location is 8111, Seregélyes, Fejér, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 4358.563
Sum of nightlight intensity is 26969.033
Average nightlight intensity is 1.467
Land cover ratio of development is 0.035
Land cover ratio of building is 0.007
Sum of nightlight intensity in the neighboring region(s) is 165267.528
Average nightlight intensity in the neighboring region(s) is 0.829
Land cover ratio of agricultural is 0.223
distance to the nearest airport is 64.444
distance to the nearest port is 369.309"
11,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN
Land cover ratio of building in the neighboring region(s) is 0.014
area of district (km^2) of the given location is 2264.266
Sum of nightlight intensity is 19928.484
Average nightlight intensity is 1.342
Land cover ratio of development is 0.037
Land cover ratio of building is 0.018
Sum of nightlight intensity in the neighboring region(s) is 147910.912
Average nightlight intensity in the neighboring region(s) is 1.211
Land cover ratio of agricultural is 0.174
distance to the nearest airport is 74.074
distance to the nearest port is 387.033"
19,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN
Land cover ratio of building in the neighboring region(s) is 0.014
area of district (km^2) of the given location is 4472.276
Sum of nightlight intensity is 19756.572
Average nightlight intensity is 0.957
Land cover ratio of development is 0.033
Land cover ratio of building is 0.01
Sum of nightlight intensity in the neighboring region(s) is 125583.188
Average nightlight intensity in the neighboring region(s) is 0.817
Land cover ratio of agricultural is 0.132
distance to the nearest airport is 120.64
distance to the nearest port is 314.012"
8,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
Land cover ratio of building in the neighboring region(s) is 0.015
area of district (km^2) of the given location is 4208.432
Sum of nightlight intensity is 30533.299
Average nightlight intensity is 0.824
Land cover ratio of development is 0.035
Land cover ratio of building is 0.014
Sum of nightlight intensity in the neighboring region(s) is 54244.479
Average nightlight intensity in the neighboring region(s) is 0.894
Land cover ratio of agricultural is 0.232
distance to the nearest airport is 58.925
distance to the nearest port is 334.71"
18,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
Land cover ratio of building in the neighboring region(s) is 0.016
area of district (km^2) of the given location is 3336.33
Sum of nightlight intensity is 14559.422
Average nightlight intensity is 0.506
Land cover ratio of development is 0.031
Land cover ratio of building is 0.018
Sum of nightlight intensity in the neighboring region(s) is 64806.178
Average nightlight intensity in the neighboring region(s) is 0.833
Land cover ratio of agricultural is 0.255
distance to the nearest airport is 108.738
distance to the nearest port is 267.09"
20,"full address of the given location is 8897, Söjtör, Zala, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 3783.926
Sum of nightlight intensity is 14516.307
Average nightlight intensity is 0.696
Land cover ratio of development is 0.031
Land cover ratio of building is 0.024
Sum of nightlight intensity in the neighboring region(s) is 53392.637
Average nightlight intensity in the neighboring region(s) is 0.603
Land cover ratio of agricultural is 0.185
distance to the nearest airport is 123.989
distance to the nearest port is 238.804"
2,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
Land cover ratio of building in the neighboring region(s) is 0.009
area of district (km^2) of the given location is 4429.17
Sum of nightlight intensity is 22533.695
Average nightlight intensity is 1.162
Land cover ratio of development is 0.031
Land cover ratio of building is 0.01
Sum of nightlight intensity in the neighboring region(s) is 54930.464
Average nightlight intensity in the neighboring region(s) is 0.509
Land cover ratio of agricultural is 0.221
distance to the nearest airport is 170.157
distance to the nearest port is 297.404"
14,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 6055.897
Sum of nightlight intensity is 19076.643
Average nightlight intensity is 0.395
Land cover ratio of development is 0.031
Land cover ratio of building is 0.011
Sum of nightlight intensity in the neighboring region(s) is 93140.681
Average nightlight intensity in the neighboring region(s) is 0.978
Land cover ratio of agricultural is 0.168
distance to the nearest airport is 143.767
distance to the nearest port is 270.363"
17,"full address of the given location is 7067, Varsád, Tolna, HUN
Land cover ratio of building in the neighboring region(s) is 0.009
area of district (km^2) of the given location is 3703.507
Sum of nightlight intensity is 9365.073
Average nightlight intensity is 0.498
Land cover ratio of development is 0.031
Land cover ratio of building is 0.008
Sum of nightlight intensity in the neighboring region(s) is 95068.119
Average nightlight intensity in the neighboring region(s) is 0.814
Land cover ratio of agricultural is 0.249
distance to the nearest airport is 116.74
distance to the nearest port is 337.936"
5,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 7245.231
Sum of nightlight intensity is 38775.109
Average nightlight intensity is 0.615
Land cover ratio of development is 0.031
Land cover ratio of building is 0.031
Sum of nightlight intensity in the neighboring region(s) is 93052.12
Average nightlight intensity in the neighboring region(s) is 0.576
Land cover ratio of agricultural is 0.141
distance to the nearest airport is 153.712
distance to the nearest port is 587.327"
10,"full address of the given location is 3265, Vécs, Heves, HUN
Land cover ratio of building in the neighboring region(s) is 0.02
area of district (km^2) of the given location is 3637.04
Sum of nightlight intensity is 14697.944
Average nightlight intensity is 0.565
Land cover ratio of development is 0.034
Land cover ratio of building is 0.019
Sum of nightlight intensity in the neighboring region(s) is 134126.029
Average nightlight intensity in the neighboring region(s) is 0.801
Land cover ratio of agricultural is 0.182
distance to the nearest airport is 80.265
distance to the nearest port is 513.985"
12,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
Land cover ratio of building in the neighboring region(s) is 0.025
area of district (km^2) of the given location is 2544.106
Sum of nightlight intensity is 8067.475
Average nightlight intensity is 0.395
Land cover ratio of development is 0.03
Land cover ratio of building is 0.018
Sum of nightlight intensity in the neighboring region(s) is 124125.062
Average nightlight intensity in the neighboring region(s) is 0.921
Land cover ratio of agricultural is 0.126
distance to the nearest airport is 64.514
distance to the nearest port is 484.28"
9,"full address of the given location is 4211, Ebes, Hajdú-Bihar, HUN
Land cover ratio of building in the neighboring region(s) is 0.014
area of district (km^2) of the given location is 6209.141
Sum of nightlight intensity is 26141.311
Average nightlight intensity is 0.749
Land cover ratio of development is 0.033
Land cover ratio of building is 0.011
Sum of nightlight intensity in the neighboring region(s) is 98401.402
Average nightlight intensity in the neighboring region(s) is 0.532
Land cover ratio of agricultural is 0.215
distance to the nearest airport is 165.573
distance to the nearest port is 556.559"
15,"full address of the given location is 4561, Baktalórántháza, Baktalórántházai járás, Szabolcs-Szatmár-Bereg, Dózsa György utca 2b, HUN
Land cover ratio of building in the neighboring region(s) is 0.022
area of district (km^2) of the given location is 5932.6
Sum of nightlight intensity is 27513.953
Average nightlight intensity is 0.59
Land cover ratio of development is 0.037
Land cover ratio of building is 0.01
Sum of nightlight intensity in the neighboring region(s) is 64916.42
Average nightlight intensity in the neighboring region(s) is 0.677
Land cover ratio of agricultural is 0.261
distance to the nearest airport is 181.104
distance to the nearest port is 539.271"
16,"full address of the given location is Közép-Tiszai Tájvédelmi Körzet, 6060, Tiszakécske, Tiszakécskei járás, Bács-Kiskun, Strand utca, HUN
Land cover ratio of building in the neighboring region(s) is 0.015
area of district (km^2) of the given location is 5581.974
Sum of nightlight intensity is 16631.438
Average nightlight intensity is 0.46
Land cover ratio of development is 0.029
Land cover ratio of building is 0.006
Sum of nightlight intensity in the neighboring region(s) is 212912.022
Average nightlight intensity in the neighboring region(s) is 0.793
Land cover ratio of agricultural is 0.228
distance to the nearest airport is 89.535
distance to the nearest port is 502.728"
3,"full address of the given location is 6230, Soltvadkert, Bács-Kiskun, HUN
Land cover ratio of building in the neighboring region(s) is 0.011
area of district (km^2) of the given location is 8442.854
Sum of nightlight intensity is 26488.748
Average nightlight intensity is 0.596
Land cover ratio of development is 0.039
Land cover ratio of building is 0.008
Sum of nightlight intensity in the neighboring region(s) is 166827.247
Average nightlight intensity in the neighboring region(s) is 1.06
Land cover ratio of agricultural is 0.215
distance to the nearest airport is 96.564
distance to the nearest port is 400.819"
4,"full address of the given location is 5672, Murony, Békés, HUN
Land cover ratio of building in the neighboring region(s) is 0.009
area of district (km^2) of the given location is 5630.052
Sum of nightlight intensity is 15480.902
Average nightlight intensity is 0.437
Land cover ratio of development is 0.024
Land cover ratio of building is 0.006
Sum of nightlight intensity in the neighboring region(s) is 63448.748
Average nightlight intensity in the neighboring region(s) is 0.767
Land cover ratio of agricultural is 0.317
distance to the nearest airport is 153.744
distance to the nearest port is 507.725"
6,"full address of the given location is 6800, Hódmezővásárhely, Csongrád-Csanád, HUN
Land cover ratio of building in the neighboring region(s) is 0.007
area of district (km^2) of the given location is 4261.749
Sum of nightlight intensity is 20676.0
Average nightlight intensity is 1.194
Land cover ratio of development is 0.042
Land cover ratio of building is 0.009
Sum of nightlight intensity in the neighboring region(s) is 58601.088
Average nightlight intensity in the neighboring region(s) is 0.512
Land cover ratio of agricultural is 0.265
distance to the nearest airport is 134.196
distance to the nearest port is 441.511"
