area_id,desc
01,"full address of the given location is 1101, Népliget, 10. kerület, Budapest, Trautmann Róbert sétány, HUN
Land cover ratio of building in the neighboring region(s) is 0.022
area of district (km^2) of the given location is 525.269
Sum of nightlight intensity is 80183.18
Average nightlight intensity is 29.414
Land cover ratio of development is 0.421
Land cover ratio of building is 0.095
area of district (km^2) of the given location in the neighboring region(s) is 6390.54
Land cover ratio of road is 0.06
Land cover ratio of development in the neighboring region(s) is 0.064
Land cover ratio of road in the neighboring region(s) is 0.012
Sum of nightlight intensity in the neighboring region(s) is 70652.008
Average nightlight intensity in the neighboring region(s) is 1.47
Land cover ratio of rangeland is 0.275
Land cover ratio of agricultural is 0.011
distance to the nearest airport is 12.947
distance to the nearest port is 426.881
Land cover ratio of agricultural in the neighboring region(s) is 0.172
Land cover ratio of water is 0.063
Land cover ratio of water in the neighboring region(s) is 0.096"
13,"full address of the given location is 2234, Maglód, Pest, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 6390.54
Sum of nightlight intensity is 70652.008
Average nightlight intensity is 1.47
Land cover ratio of development is 0.064
Land cover ratio of building is 0.022
area of district (km^2) of the given location in the neighboring region(s) is 27354.072
Land cover ratio of road is 0.012
Land cover ratio of development in the neighboring region(s) is 0.042
Land cover ratio of road in the neighboring region(s) is 0.008
Sum of nightlight intensity in the neighboring region(s) is 192966.302
Average nightlight intensity in the neighboring region(s) is 1.299
Land cover ratio of rangeland is 0.519
Land cover ratio of agricultural is 0.172
distance to the nearest airport is 6.026
distance to the nearest port is 437.76
Land cover ratio of agricultural in the neighboring region(s) is 0.199
Land cover ratio of water is 0.096
Land cover ratio of water in the neighboring region(s) is 0.125"
07,"full address of the given location is 8111, Seregélyes, Fejér, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 4358.563
Sum of nightlight intensity is 26969.033
Average nightlight intensity is 1.467
Land cover ratio of development is 0.035
Land cover ratio of building is 0.007
area of district (km^2) of the given location in the neighboring region(s) is 31329.339
Land cover ratio of road is 0.009
Land cover ratio of development in the neighboring region(s) is 0.041
Land cover ratio of road in the neighboring region(s) is 0.008
Sum of nightlight intensity in the neighboring region(s) is 165267.528
Average nightlight intensity in the neighboring region(s) is 0.829
Land cover ratio of rangeland is 0.508
Land cover ratio of agricultural is 0.223
distance to the nearest airport is 64.444
distance to the nearest port is 369.309
Land cover ratio of agricultural in the neighboring region(s) is 0.186
Land cover ratio of water is 0.15
Land cover ratio of water in the neighboring region(s) is 0.148"
11,"full address of the given location is 2890, Tata, Komárom-Esztergom, HUN
Land cover ratio of building in the neighboring region(s) is 0.014
area of district (km^2) of the given location is 2264.266
Sum of nightlight intensity is 19928.484
Average nightlight intensity is 1.342
Land cover ratio of development is 0.037
Land cover ratio of building is 0.018
area of district (km^2) of the given location in the neighboring region(s) is 19429.811
Land cover ratio of road is 0.009
Land cover ratio of development in the neighboring region(s) is 0.044
Land cover ratio of road in the neighboring region(s) is 0.009
Sum of nightlight intensity in the neighboring region(s) is 147910.912
Average nightlight intensity in the neighboring region(s) is 1.211
Land cover ratio of rangeland is 0.518
Land cover ratio of agricultural is 0.174
distance to the nearest airport is 74.074
distance to the nearest port is 387.033
Land cover ratio of agricultural in the neighboring region(s) is 0.187
Land cover ratio of water is 0.167
Land cover ratio of water in the neighboring region(s) is 0.128"
19,"full address of the given location is Városlőd, Ajkai járás, Veszprém, HUN
Land cover ratio of building in the neighboring region(s) is 0.014
area of district (km^2) of the given location is 4472.276
Sum of nightlight intensity is 19756.572
Average nightlight intensity is 0.957
Land cover ratio of development is 0.033
Land cover ratio of building is 0.01
area of district (km^2) of the given location in the neighboring region(s) is 24007.415
Land cover ratio of road is 0.008
Land cover ratio of development in the neighboring region(s) is 0.033
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 125583.188
Average nightlight intensity in the neighboring region(s) is 0.817
Land cover ratio of rangeland is 0.549
Land cover ratio of agricultural is 0.132
distance to the nearest airport is 120.64
distance to the nearest port is 314.012
Land cover ratio of agricultural in the neighboring region(s) is 0.204
Land cover ratio of water is 0.149
Land cover ratio of water in the neighboring region(s) is 0.155"
08,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
Land cover ratio of building in the neighboring region(s) is 0.015
area of district (km^2) of the given location is 4208.432
Sum of nightlight intensity is 30533.299
Average nightlight intensity is 0.824
Land cover ratio of development is 0.035
Land cover ratio of building is 0.014
area of district (km^2) of the given location in the neighboring region(s) is 10072.872
Land cover ratio of road is 0.008
Land cover ratio of development in the neighboring region(s) is 0.033
Land cover ratio of road in the neighboring region(s) is 0.008
Sum of nightlight intensity in the neighboring region(s) is 54244.479
Average nightlight intensity in the neighboring region(s) is 0.894
Land cover ratio of rangeland is 0.481
Land cover ratio of agricultural is 0.232
distance to the nearest airport is 58.925
distance to the nearest port is 334.71
Land cover ratio of agricultural in the neighboring region(s) is 0.182
Land cover ratio of water is 0.132
Land cover ratio of water in the neighboring region(s) is 0.142"
18,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
Land cover ratio of building in the neighboring region(s) is 0.016
area of district (km^2) of the given location is 3336.33
Sum of nightlight intensity is 14559.422
Average nightlight intensity is 0.506
Land cover ratio of development is 0.031
Land cover ratio of building is 0.018
area of district (km^2) of the given location in the neighboring region(s) is 12464.634
Land cover ratio of road is 0.007
Land cover ratio of development in the neighboring region(s) is 0.033
Land cover ratio of road in the neighboring region(s) is 0.008
Sum of nightlight intensity in the neighboring region(s) is 64806.178
Average nightlight intensity in the neighboring region(s) is 0.833
Land cover ratio of rangeland is 0.448
Land cover ratio of agricultural is 0.255
distance to the nearest airport is 108.738
distance to the nearest port is 267.09
Land cover ratio of agricultural in the neighboring region(s) is 0.181
Land cover ratio of water is 0.116
Land cover ratio of water in the neighboring region(s) is 0.136"
20,"full address of the given location is 8897, Söjtör, Zala, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 3783.926
Sum of nightlight intensity is 14516.307
Average nightlight intensity is 0.696
Land cover ratio of development is 0.031
Land cover ratio of building is 0.024
area of district (km^2) of the given location in the neighboring region(s) is 13864.502
Land cover ratio of road is 0.007
Land cover ratio of development in the neighboring region(s) is 0.032
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 53392.637
Average nightlight intensity in the neighboring region(s) is 0.603
Land cover ratio of rangeland is 0.492
Land cover ratio of agricultural is 0.185
distance to the nearest airport is 123.989
distance to the nearest port is 238.804
Land cover ratio of agricultural in the neighboring region(s) is 0.177
Land cover ratio of water is 0.123
Land cover ratio of water in the neighboring region(s) is 0.168"
02,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
Land cover ratio of building in the neighboring region(s) is 0.009
area of district (km^2) of the given location is 4429.17
Sum of nightlight intensity is 22533.695
Average nightlight intensity is 1.162
Land cover ratio of development is 0.031
Land cover ratio of building is 0.01
area of district (km^2) of the given location in the neighboring region(s) is 18202.258
Land cover ratio of road is 0.007
Land cover ratio of development in the neighboring region(s) is 0.035
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 54930.464
Average nightlight intensity in the neighboring region(s) is 0.509
Land cover ratio of rangeland is 0.487
Land cover ratio of agricultural is 0.221
distance to the nearest airport is 170.157
distance to the nearest port is 297.404
Land cover ratio of agricultural in the neighboring region(s) is 0.206
Land cover ratio of water is 0.178
Land cover ratio of water in the neighboring region(s) is 0.164"
14,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 6055.897
Sum of nightlight intensity is 19076.643
Average nightlight intensity is 0.395
Land cover ratio of development is 0.031
Land cover ratio of building is 0.011
area of district (km^2) of the given location in the neighboring region(s) is 20747.443
Land cover ratio of road is 0.006
Land cover ratio of development in the neighboring region(s) is 0.032
Land cover ratio of road in the neighboring region(s) is 0.007
Sum of nightlight intensity in the neighboring region(s) is 93140.681
Average nightlight intensity in the neighboring region(s) is 0.978
Land cover ratio of rangeland is 0.477
Land cover ratio of agricultural is 0.168
distance to the nearest airport is 143.767
distance to the nearest port is 270.363
Land cover ratio of agricultural in the neighboring region(s) is 0.2
Land cover ratio of water is 0.212
Land cover ratio of water in the neighboring region(s) is 0.158"
