area_id,desc
HU222,"full address of the given location is 9774, Sorkifalud, Szombathelyi járás, Vas, 8703, HUN
Land cover ratio of building in the neighboring region(s) is 0.016
area of district (km^2) of the given location is 3336.043
Sum of nightlight intensity is 14559.422
Average nightlight intensity is 0.506
Land cover ratio of development is 0.031
Land cover ratio of building is 0.018
Land cover ratio of development in the neighboring region(s) is 0.033
Sum of nightlight intensity in the neighboring region(s) is 64806.178
Average nightlight intensity in the neighboring region(s) is 0.833
Land cover ratio of agricultural is 0.255
distance to the nearest airport is 108.734
distance to the nearest port is 267.103"
HU223,"full address of the given location is 8897, Söjtör, Zala, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 3783.867
Sum of nightlight intensity is 14516.307
Average nightlight intensity is 0.696
Land cover ratio of development is 0.031
Land cover ratio of building is 0.024
Land cover ratio of development in the neighboring region(s) is 0.032
Sum of nightlight intensity in the neighboring region(s) is 53392.637
Average nightlight intensity in the neighboring region(s) is 0.603
Land cover ratio of agricultural is 0.185
distance to the nearest airport is 123.987
distance to the nearest port is 238.802"
HU221,"full address of the given location is 9169, Barbacs, Győr-Moson-Sopron, HUN
Land cover ratio of building in the neighboring region(s) is 0.016
area of district (km^2) of the given location is 4208.479
Sum of nightlight intensity is 30533.299
Average nightlight intensity is 0.824
Land cover ratio of development is 0.035
Land cover ratio of building is 0.014
Land cover ratio of development in the neighboring region(s) is 0.038
Sum of nightlight intensity in the neighboring region(s) is 180702.053
Average nightlight intensity in the neighboring region(s) is 1.273
Land cover ratio of agricultural is 0.232
distance to the nearest airport is 58.923
distance to the nearest port is 334.71"
HU313,"full address of the given location is 3179, Nógrádsipek, Nógrád, HUN
Land cover ratio of building in the neighboring region(s) is 0.022
area of district (km^2) of the given location is 2544.951
Sum of nightlight intensity is 8067.475
Average nightlight intensity is 0.395
Land cover ratio of development is 0.03
Land cover ratio of building is 0.018
Land cover ratio of development in the neighboring region(s) is 0.039
Sum of nightlight intensity in the neighboring region(s) is 185350.724
Average nightlight intensity in the neighboring region(s) is 0.88
Land cover ratio of agricultural is 0.126
distance to the nearest airport is 64.515
distance to the nearest port is 484.287"
HU311,"full address of the given location is 3800, Szikszó, Borsod-Abaúj-Zemplén, HUN
Land cover ratio of building in the neighboring region(s) is 0.018
area of district (km^2) of the given location is 7246.307
Sum of nightlight intensity is 38775.109
Average nightlight intensity is 0.615
Land cover ratio of development is 0.031
Land cover ratio of building is 0.031
Land cover ratio of development in the neighboring region(s) is 0.033
Sum of nightlight intensity in the neighboring region(s) is 147361.972
Average nightlight intensity in the neighboring region(s) is 0.625
Land cover ratio of agricultural is 0.141
distance to the nearest airport is 153.711
distance to the nearest port is 587.325"
HU312,"full address of the given location is 3265, Vécs, Heves, HUN
Land cover ratio of building in the neighboring region(s) is 0.02
area of district (km^2) of the given location is 3634.783
Sum of nightlight intensity is 14697.944
Average nightlight intensity is 0.565
Land cover ratio of development is 0.034
Land cover ratio of building is 0.019
Land cover ratio of development in the neighboring region(s) is 0.04
Sum of nightlight intensity in the neighboring region(s) is 134126.029
Average nightlight intensity in the neighboring region(s) is 0.801
Land cover ratio of agricultural is 0.182
distance to the nearest airport is 80.267
distance to the nearest port is 513.986"
HU231,"full address of the given location is Málom, Pécs, Pécsi járás, Baranya, HUN
Land cover ratio of building in the neighboring region(s) is 0.009
area of district (km^2) of the given location is 4430.491
Sum of nightlight intensity is 22533.695
Average nightlight intensity is 1.162
Land cover ratio of development is 0.031
Land cover ratio of building is 0.01
Land cover ratio of development in the neighboring region(s) is 0.035
Sum of nightlight intensity in the neighboring region(s) is 54930.464
Average nightlight intensity in the neighboring region(s) is 0.509
Land cover ratio of agricultural is 0.221
distance to the nearest airport is 170.147
distance to the nearest port is 297.394"
HU232,"full address of the given location is 7434, Mezőcsokonya, Somogy, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 6062.873
Sum of nightlight intensity is 19076.643
Average nightlight intensity is 0.395
Land cover ratio of development is 0.031
Land cover ratio of building is 0.011
Land cover ratio of development in the neighboring region(s) is 0.032
Sum of nightlight intensity in the neighboring region(s) is 93140.681
Average nightlight intensity in the neighboring region(s) is 0.978
Land cover ratio of agricultural is 0.168
distance to the nearest airport is 143.821
distance to the nearest port is 270.412"
HU233,"full address of the given location is 7067, Varsád, Tolna, HUN
Land cover ratio of building in the neighboring region(s) is 0.009
area of district (km^2) of the given location is 3703.631
Sum of nightlight intensity is 9365.073
Average nightlight intensity is 0.498
Land cover ratio of development is 0.031
Land cover ratio of building is 0.008
Land cover ratio of development in the neighboring region(s) is 0.035
Sum of nightlight intensity in the neighboring region(s) is 95068.119
Average nightlight intensity in the neighboring region(s) is 0.814
Land cover ratio of agricultural is 0.249
distance to the nearest airport is 116.745
distance to the nearest port is 337.928"
HU120,"full address of the given location is 2230, Gyömrő, Pest, HUN
Land cover ratio of building in the neighboring region(s) is 0.012
area of district (km^2) of the given location is 6389.021
Sum of nightlight intensity is 70652.008
Average nightlight intensity is 1.47
Land cover ratio of development is 0.064
Land cover ratio of building is 0.022
Land cover ratio of development in the neighboring region(s) is 0.041
Sum of nightlight intensity in the neighboring region(s) is 229619.603
Average nightlight intensity in the neighboring region(s) is 1.259
Land cover ratio of agricultural is 0.172
distance to the nearest airport is 7.569
distance to the nearest port is 438.681"
