area_id,desc
11110,"full address of the given location is 03049, Jongno-gu, Seoul, KOR
area of district (km^2) of the given location is 23.989
Land cover ratio of development is 0.224
distance to the nearest airport is 16.006
distance to the nearest port is 157.447
Sum of nightlight intensity 5741.3984375
Average nightlight intensity 31.896657986111112"
11140,"full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 10.023
Land cover ratio of development is 0.33
distance to the nearest airport is 17.095
distance to the nearest port is 157.73
Sum of nightlight intensity 6052.08740234375
Average nightlight intensity 118.66838043811275"
11170,"full address of the given location is 1-9, Yongsan-dong 4(sa)-ga, Yongsan-gu, Seoul, KOR
area of district (km^2) of the given location is 20.174
Land cover ratio of development is 0.321
distance to the nearest airport is 15.987
distance to the nearest port is 160.326
Sum of nightlight intensity 7012.94384765625
Average nightlight intensity 87.66179809570312"
11200,"full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 16.814
Land cover ratio of development is 0.237
distance to the nearest airport is 21.1
distance to the nearest port is 154.678
Sum of nightlight intensity 5816.71337890625
Average nightlight intensity 53.36434292574541"
11215,"full address of the given location is 620-1, Guui-dong, Gwangjin-gu, Seoul, KOR
area of district (km^2) of the given location is 17.024
Land cover ratio of development is 0.211
distance to the nearest airport is 25.067
distance to the nearest port is 151.455
Sum of nightlight intensity 5550.201171875
Average nightlight intensity 45.493452228483605"
11230,"full address of the given location is 155-4, Jeonnong-dong, Dongdaemun-gu, Seoul, KOR
area of district (km^2) of the given location is 14.478
Land cover ratio of development is 0.263
distance to the nearest airport is 22.499
distance to the nearest port is 151.961
Sum of nightlight intensity 5564.3720703125
Average nightlight intensity 57.96220906575521"
11260,"full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 18.305
Land cover ratio of development is 0.209
distance to the nearest airport is 26.074
distance to the nearest port is 148.168
Sum of nightlight intensity 5388.01806640625
Average nightlight intensity 105.64741306678921"
11290,"full address of the given location is 186-125, Jeongneung-dong, Seongbuk-gu, Seoul, KOR
area of district (km^2) of the given location is 24.635
Land cover ratio of development is 0.216
distance to the nearest airport is 19.756
distance to the nearest port is 153.725
Sum of nightlight intensity 6367.1962890625
Average nightlight intensity 29.614866460755813"
11305,"full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.635
Land cover ratio of development is 0.128
distance to the nearest airport is 20.771
distance to the nearest port is 152.436
Sum of nightlight intensity 4202.8837890625
Average nightlight intensity 20.70386102986453"
11320,"full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 20.688
Land cover ratio of development is 0.14
distance to the nearest airport is 23.796
distance to the nearest port is 149.56
Sum of nightlight intensity 3571.02880859375
Average nightlight intensity 37.98966817652926"
