area_id,desc
11110,"full address of the given location is 03049, Jongno-gu, Seoul, KOR
area of district (km^2) of the given location is 23.989
Sum of nightlight intensity is 6029.923
Average nightlight intensity is 33.5
Land cover ratio of development is 0.224
distance to the nearest airport is 16.006
distance to the nearest port is 157.447"
11140,"full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 10.023
Sum of nightlight intensity is 5789.944
Average nightlight intensity is 113.528
Land cover ratio of development is 0.33
distance to the nearest airport is 17.095
distance to the nearest port is 157.73"
11170,"full address of the given location is 1-9, Yongsan-dong 4(sa)-ga, Yongsan-gu, Seoul, KOR
area of district (km^2) of the given location is 20.174
Sum of nightlight intensity is 6828.046
Average nightlight intensity is 85.351
Land cover ratio of development is 0.321
distance to the nearest airport is 15.987
distance to the nearest port is 160.326"
11200,"full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 16.814
Sum of nightlight intensity is 6307.046
Average nightlight intensity is 57.863
Land cover ratio of development is 0.237
distance to the nearest airport is 21.1
distance to the nearest port is 154.678"
11215,"full address of the given location is 620-1, Guui-dong, Gwangjin-gu, Seoul, KOR
area of district (km^2) of the given location is 17.024
Sum of nightlight intensity is 5946.006
Average nightlight intensity is 48.738
Land cover ratio of development is 0.211
distance to the nearest airport is 25.067
distance to the nearest port is 151.455"
11230,"full address of the given location is 155-4, Jeonnong-dong, Dongdaemun-gu, Seoul, KOR
area of district (km^2) of the given location is 14.478
Sum of nightlight intensity is 5950.516
Average nightlight intensity is 61.985
Land cover ratio of development is 0.263
distance to the nearest airport is 22.499
distance to the nearest port is 151.961"
11260,"full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 18.305
Sum of nightlight intensity is 6185.144
Average nightlight intensity is 121.277
Land cover ratio of development is 0.209
distance to the nearest airport is 26.074
distance to the nearest port is 148.168"
11290,"full address of the given location is 186-125, Jeongneung-dong, Seongbuk-gu, Seoul, KOR
area of district (km^2) of the given location is 24.635
Sum of nightlight intensity is 6990.915
Average nightlight intensity is 32.516
Land cover ratio of development is 0.216
distance to the nearest airport is 19.756
distance to the nearest port is 153.725"
11305,"full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.635
Sum of nightlight intensity is 4406.814
Average nightlight intensity is 21.708
Land cover ratio of development is 0.128
distance to the nearest airport is 20.771
distance to the nearest port is 152.436"
11320,"full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 20.688
Sum of nightlight intensity is 3846.117
Average nightlight intensity is 40.916
Land cover ratio of development is 0.14
distance to the nearest airport is 23.796
distance to the nearest port is 149.56"
11350,"full address of the given location is Nowon-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 35.608
Sum of nightlight intensity is 8122.229
Average nightlight intensity is 48.347
Land cover ratio of development is 0.168
distance to the nearest airport is 26.292
distance to the nearest port is 146.904"
11380,"full address of the given location is 13-13, Tongil-ro 78ga-gil, Bulgwang-dong, Eunpyeong-gu, Seoul, KOR
area of district (km^2) of the given location is 29.793
Sum of nightlight intensity is 6020.034
Average nightlight intensity is 24.774
Land cover ratio of development is 0.206
distance to the nearest airport is 12.977
distance to the nearest port is 160.311"
11410,"full address of the given location is Seodaemun-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 17.693
Sum of nightlight intensity is 5261.035
Average nightlight intensity is 31.316
Land cover ratio of development is 0.278
distance to the nearest airport is 12.286
distance to the nearest port is 161.318"
11440,"full address of the given location is Mapo-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.747
Sum of nightlight intensity is 8005.042
Average nightlight intensity is 29.759
Land cover ratio of development is 0.244
distance to the nearest airport is 9.349
distance to the nearest port is 164.668"
11470,"full address of the given location is Yangcheon-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 17.399
Sum of nightlight intensity is 6118.907
Average nightlight intensity is 58.836
Land cover ratio of development is 0.271
distance to the nearest airport is 5.915
distance to the nearest port is 170.554"
11500,"full address of the given location is 745-3, Magok-dong, Gangseo-gu, Seoul, KOR
area of district (km^2) of the given location is 41.452
Sum of nightlight intensity is 11362.917
Average nightlight intensity is 34.123
Land cover ratio of development is 0.235
distance to the nearest airport is 1.856
distance to the nearest port is 171.369"
11530,"full address of the given location is Guro-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 20.1
Sum of nightlight intensity is 6363.245
Average nightlight intensity is 47.487
Land cover ratio of development is 0.279
distance to the nearest airport is 8.454
distance to the nearest port is 171.981"
11545,"full address of the given location is Geumcheon-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 13.016
Sum of nightlight intensity is 4071.321
Average nightlight intensity is 30.158
Land cover ratio of development is 0.3
distance to the nearest airport is 13.82
distance to the nearest port is 168.879"
11560,"full address of the given location is Yeongdeungpo-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 24.752
Sum of nightlight intensity is 9468.488
Average nightlight intensity is 43.433
Land cover ratio of development is 0.291
distance to the nearest airport is 10.305
distance to the nearest port is 166.358"
11590,"full address of the given location is Dongjak-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 17.607
Sum of nightlight intensity is 5074.536
Average nightlight intensity is 36.772
Land cover ratio of development is 0.281
distance to the nearest airport is 14.747
distance to the nearest port is 164.253"
