area_id,desc
11110,"full address of the given location is 03049, Jongno-gu, Seoul, KOR
area of district (km^2) of the given location is 23.989
Land cover ratio of development is 0.224
distance to the nearest airport is 16.006
distance to the nearest port is 157.447"
11140,"full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 10.023
Land cover ratio of development is 0.33
distance to the nearest airport is 17.095
distance to the nearest port is 157.73"
11170,"full address of the given location is 1-9, Yongsan-dong 4(sa)-ga, Yongsan-gu, Seoul, KOR
area of district (km^2) of the given location is 20.174
Land cover ratio of development is 0.321
distance to the nearest airport is 15.987
distance to the nearest port is 160.326"
11200,"full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 16.814
Land cover ratio of development is 0.237
distance to the nearest airport is 21.1
distance to the nearest port is 154.678"
11215,"full address of the given location is 620-1, Guui-dong, Gwangjin-gu, Seoul, KOR
area of district (km^2) of the given location is 17.024
Land cover ratio of development is 0.211
distance to the nearest airport is 25.067
distance to the nearest port is 151.455"
11230,"full address of the given location is 155-4, Jeonnong-dong, Dongdaemun-gu, Seoul, KOR
area of district (km^2) of the given location is 14.478
Land cover ratio of development is 0.263
distance to the nearest airport is 22.499
distance to the nearest port is 151.961"
11260,"full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 18.305
Land cover ratio of development is 0.209
distance to the nearest airport is 26.074
distance to the nearest port is 148.168"
11290,"full address of the given location is 186-125, Jeongneung-dong, Seongbuk-gu, Seoul, KOR
area of district (km^2) of the given location is 24.635
Land cover ratio of development is 0.216
distance to the nearest airport is 19.756
distance to the nearest port is 153.725"
11305,"full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.635
Land cover ratio of development is 0.128
distance to the nearest airport is 20.771
distance to the nearest port is 152.436"
11320,"full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 20.688
Land cover ratio of development is 0.14
distance to the nearest airport is 23.796
distance to the nearest port is 149.56"
11350,"full address of the given location is Nowon-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 35.608
Land cover ratio of development is 0.168
distance to the nearest airport is 26.292
distance to the nearest port is 146.904"
11380,"full address of the given location is 13-13, Tongil-ro 78ga-gil, Bulgwang-dong, Eunpyeong-gu, Seoul, KOR
area of district (km^2) of the given location is 29.793
Land cover ratio of development is 0.206
distance to the nearest airport is 12.977
distance to the nearest port is 160.311"
11410,"full address of the given location is Seodaemun-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 17.693
Land cover ratio of development is 0.278
distance to the nearest airport is 12.286
distance to the nearest port is 161.318"
11440,"full address of the given location is Mapo-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.747
Land cover ratio of development is 0.244
distance to the nearest airport is 9.349
distance to the nearest port is 164.668"
11470,"full address of the given location is Yangcheon-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 17.399
Land cover ratio of development is 0.271
distance to the nearest airport is 5.915
distance to the nearest port is 170.554"
11500,"full address of the given location is 745-3, Magok-dong, Gangseo-gu, Seoul, KOR
area of district (km^2) of the given location is 41.452
Land cover ratio of development is 0.235
distance to the nearest airport is 1.856
distance to the nearest port is 171.369"
11530,"full address of the given location is Guro-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 20.1
Land cover ratio of development is 0.279
distance to the nearest airport is 8.454
distance to the nearest port is 171.981"
11545,"full address of the given location is Geumcheon-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 13.016
Land cover ratio of development is 0.3
distance to the nearest airport is 13.82
distance to the nearest port is 168.879"
11560,"full address of the given location is Yeongdeungpo-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 24.752
Land cover ratio of development is 0.291
distance to the nearest airport is 10.305
distance to the nearest port is 166.358"
11590,"full address of the given location is Dongjak-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 17.607
Land cover ratio of development is 0.281
distance to the nearest airport is 14.747
distance to the nearest port is 164.253"
11620,"full address of the given location is san 18, Sillim-dong, Gwanak-gu, Seoul, KOR
area of district (km^2) of the given location is 29.573
Land cover ratio of development is 0.211
distance to the nearest airport is 16.104
distance to the nearest port is 166.602"
11650,"full address of the given location is 2-76, Baumoe-ro 14-gil, Yangjae-dong, Seocho-gu, Seoul, KOR
area of district (km^2) of the given location is 47.257
Land cover ratio of development is 0.182
distance to the nearest airport is 22.232
distance to the nearest port is 159.738"
11680,"full address of the given location is 2-782, Samseong-ro, Daechi-dong, Gangnam-gu, Seoul, KOR
area of district (km^2) of the given location is 39.524
Land cover ratio of development is 0.22
distance to the nearest airport is 23.997
distance to the nearest port is 155.984"
11710,"full address of the given location is Songpa-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 33.851
Land cover ratio of development is 0.238
distance to the nearest airport is 28.245
distance to the nearest port is 151.509"
11740,"full address of the given location is Gangdong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 24.558
Land cover ratio of development is 0.213
distance to the nearest airport is 30.461
distance to the nearest port is 146.551"
26110,"full address of the given location is 6-4, Daecheong-dong 1(il)-ga, Jung-gu, Busan, KOR
area of district (km^2) of the given location is 3.027
Land cover ratio of development is 0.353
distance to the nearest airport is 10.464
distance to the nearest port is 53.232"
26140,"full address of the given location is 71-21, Haedoji-ro 273beon-gil, Bumin-dong 3(sam)-ga, Seo-gu, Busan, KOR
area of district (km^2) of the given location is 14.045
Land cover ratio of development is 0.221
distance to the nearest airport is 9.589
distance to the nearest port is 54.397"
26170,"full address of the given location is Dong-gu, Busan_Gwangyeog-si, KOR
area of district (km^2) of the given location is 10.105
Land cover ratio of development is 0.364
distance to the nearest airport is 9.916
distance to the nearest port is 50.517"
26200,"full address of the given location is 325-236, Dongsam-dong, Yeongdo-gu, Busan, KOR
area of district (km^2) of the given location is 14.361
Land cover ratio of development is 0.291
distance to the nearest airport is 14.608
distance to the nearest port is 53.991"
26230,"full address of the given location is 23-13, Dongpyeong-ro 116beon-gil, Danggam-dong, Busanjin-gu, Busan, KOR
area of district (km^2) of the given location is 29.736
Land cover ratio of development is 0.255
distance to the nearest airport is 8.605
distance to the nearest port is 47.441"
