area_id,desc
11110_2016,"full address of the given location is 03049, Jongno-gu, Seoul, KOR
area of district (km^2) of the given location is 23.989
Population of the area is 142711.0
Sum of nightlight intensity is 5899.248
Average nightlight intensity is 32.774
Land cover ratio of development is 0.237
Land cover ratio of building is 0.179
Land cover ratio of agricultural is 0.005
distance to the nearest airport is 16.006
distance to the nearest port is 157.44"
11140_2016,"full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 10.023
Population of the area is 121126.0
Sum of nightlight intensity is 5887.407
Average nightlight intensity is 115.439
Land cover ratio of development is 0.336
Land cover ratio of building is 0.342
Land cover ratio of agricultural is 0.001
distance to the nearest airport is 17.095
distance to the nearest port is 157.7"
11170_2016,"full address of the given location is 1-9, Yongsan-dong 4(sa)-ga, Yongsan-gu, Seoul, KOR
area of district (km^2) of the given location is 20.174
Population of the area is 219915.0
Sum of nightlight intensity is 6495.125
Average nightlight intensity is 81.189
Land cover ratio of development is 0.35
Land cover ratio of building is 0.21
Land cover ratio of agricultural is 0.007
distance to the nearest airport is 15.987
distance to the nearest port is 160.32"
11200_2016,"full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 16.814
Population of the area is 282454.0
Sum of nightlight intensity is 4993.352
Average nightlight intensity is 45.811
Land cover ratio of development is 0.344
Land cover ratio of building is 0.261
Land cover ratio of agricultural is 0.006
distance to the nearest airport is 21.1
distance to the nearest port is 154.67"
11215_2016,"full address of the given location is 620-1, Guui-dong, Gwangjin-gu, Seoul, KOR
area of district (km^2) of the given location is 17.024
Population of the area is 336451.0
Sum of nightlight intensity is 5274.595
Average nightlight intensity is 43.234
Land cover ratio of development is 0.273
Land cover ratio of building is 0.258
Land cover ratio of agricultural is 0.003
distance to the nearest airport is 25.067
distance to the nearest port is 151.45"
11230_2016,"full address of the given location is 155-4, Jeonnong-dong, Dongdaemun-gu, Seoul, KOR
area of district (km^2) of the given location is 14.478
Population of the area is 334227.0
Sum of nightlight intensity is 4932.737
Average nightlight intensity is 51.383
Land cover ratio of development is 0.343
Land cover ratio of building is 0.346
Land cover ratio of agricultural is 0.001
distance to the nearest airport is 22.499
distance to the nearest port is 151.96"
11260_2016,"full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 18.305
Population of the area is 383387.0
Sum of nightlight intensity is 4713.896
Average nightlight intensity is 92.429
Land cover ratio of development is 0.293
Land cover ratio of building is 0.272
Land cover ratio of agricultural is 0.002
distance to the nearest airport is 26.074
distance to the nearest port is 148.16"
11290_2016,"full address of the given location is 186-125, Jeongneung-dong, Seongbuk-gu, Seoul, KOR
area of district (km^2) of the given location is 24.635
Population of the area is 426569.0
Sum of nightlight intensity is 6008.08
Average nightlight intensity is 27.945
Land cover ratio of development is 0.274
Land cover ratio of building is 0.263
Land cover ratio of agricultural is 0.004
distance to the nearest airport is 19.756
distance to the nearest port is 153.72"
11305_2016,"full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.635
Population of the area is 295212.0
Sum of nightlight intensity is 3951.855
Average nightlight intensity is 19.467
Land cover ratio of development is 0.207
Land cover ratio of building is 0.191
Land cover ratio of agricultural is 0.003
distance to the nearest airport is 20.771
distance to the nearest port is 152.43"
11320_2016,"full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 20.688
Population of the area is 313585.0
Sum of nightlight intensity is 3527.32
Average nightlight intensity is 37.525
Land cover ratio of development is 0.256
Land cover ratio of building is 0.184
Land cover ratio of agricultural is 0.003
distance to the nearest airport is 23.796
distance to the nearest port is 149.5"
