area_id,desc
11110_2016,"full address of the given location is 03049, Jongno-gu, Seoul, KOR
area of district (km^2) of the given location is 23.989
Population of the area is 142711.0
Population of the area in the neighboring region(s) is 2726702.0
Sum of nightlight intensity is 5899.248
Average nightlight intensity is 32.774
Sum of nightlight intensity in the neighboring region(s) is 56485.774
Average nightlight intensity in the neighboring region(s) is 21.68
Land cover ratio of development is 0.237
Land cover ratio of development in the neighboring region(s) is 0.327
Land cover ratio of building is 0.179
Land cover ratio of building in the neighboring region(s) is 0.147
Land cover ratio of road is 0.04
Land cover ratio of agricultural is 0.005
distance to the nearest airport is 16.006
distance to the nearest port is 157.44"
11140_2016,"full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 10.023
Population of the area is 121126.0
Population of the area in the neighboring region(s) is 1646857.0
Sum of nightlight intensity is 5887.407
Average nightlight intensity is 115.439
Sum of nightlight intensity in the neighboring region(s) is 34006.879
Average nightlight intensity in the neighboring region(s) is 43.155
Land cover ratio of development is 0.336
Land cover ratio of development in the neighboring region(s) is 0.305
Land cover ratio of building is 0.342
Land cover ratio of building in the neighboring region(s) is 0.231
Land cover ratio of road is 0.068
Land cover ratio of agricultural is 0.001
distance to the nearest airport is 17.095
distance to the nearest port is 157.7"
11170_2016,"full address of the given location is 1-9, Yongsan-dong 4(sa)-ga, Yongsan-gu, Seoul, KOR
area of district (km^2) of the given location is 20.174
Population of the area is 219915.0
Population of the area in the neighboring region(s) is 2461554.0
Sum of nightlight intensity is 6495.125
Average nightlight intensity is 81.189
Sum of nightlight intensity in the neighboring region(s) is 52424.198
Average nightlight intensity in the neighboring region(s) is 35.702
Land cover ratio of development is 0.35
Land cover ratio of development in the neighboring region(s) is 0.291
Land cover ratio of building is 0.21
Land cover ratio of building in the neighboring region(s) is 0.215
Land cover ratio of road is 0.069
Land cover ratio of agricultural is 0.007
distance to the nearest airport is 15.987
distance to the nearest port is 160.32"
11200_2016,"full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 16.814
Population of the area is 282454.0
Population of the area in the neighboring region(s) is 1540445.0
Sum of nightlight intensity is 4993.352
Average nightlight intensity is 45.811
Sum of nightlight intensity in the neighboring region(s) is 34633.067
Average nightlight intensity in the neighboring region(s) is 54.84
Land cover ratio of development is 0.344
Land cover ratio of development in the neighboring region(s) is 0.312
Land cover ratio of building is 0.261
Land cover ratio of building in the neighboring region(s) is 0.257
Land cover ratio of road is 0.082
Land cover ratio of agricultural is 0.006
distance to the nearest airport is 21.1
distance to the nearest port is 154.67"
11215_2016,"full address of the given location is 620-1, Guui-dong, Gwangjin-gu, Seoul, KOR
area of district (km^2) of the given location is 17.024
Population of the area is 336451.0
Population of the area in the neighboring region(s) is 2831992.0
Sum of nightlight intensity is 5274.595
Average nightlight intensity is 43.234
Sum of nightlight intensity in the neighboring region(s) is 48342.04
Average nightlight intensity in the neighboring region(s) is 42.446
Land cover ratio of development is 0.273
Land cover ratio of development in the neighboring region(s) is 0.297
Land cover ratio of building is 0.258
Land cover ratio of building in the neighboring region(s) is 0.209
Land cover ratio of road is 0.058
Land cover ratio of agricultural is 0.003
distance to the nearest airport is 25.067
distance to the nearest port is 151.45"
11230_2016,"full address of the given location is 155-4, Jeonnong-dong, Dongdaemun-gu, Seoul, KOR
area of district (km^2) of the given location is 14.478
Population of the area is 334227.0
Population of the area in the neighboring region(s) is 1692698.0
Sum of nightlight intensity is 4932.737
Average nightlight intensity is 51.383
Sum of nightlight intensity in the neighboring region(s) is 32776.577
Average nightlight intensity in the neighboring region(s) is 52.621
Land cover ratio of development is 0.343
Land cover ratio of development in the neighboring region(s) is 0.285
Land cover ratio of building is 0.346
Land cover ratio of building in the neighboring region(s) is 0.252
Land cover ratio of road is 0.086
Land cover ratio of agricultural is 0.001
distance to the nearest airport is 22.499
distance to the nearest port is 151.96"
11260_2016,"full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 18.305
Population of the area is 383387.0
Population of the area in the neighboring region(s) is 1791746.0
Sum of nightlight intensity is 4713.896
Average nightlight intensity is 92.429
Sum of nightlight intensity in the neighboring region(s) is 27968.901
Average nightlight intensity in the neighboring region(s) is 35.245
Land cover ratio of development is 0.293
Land cover ratio of development in the neighboring region(s) is 0.276
Land cover ratio of building is 0.272
Land cover ratio of building in the neighboring region(s) is 0.199
Land cover ratio of road is 0.072
Land cover ratio of agricultural is 0.002
distance to the nearest airport is 26.074
distance to the nearest port is 148.16"
11290_2016,"full address of the given location is 186-125, Jeongneung-dong, Seongbuk-gu, Seoul, KOR
area of district (km^2) of the given location is 24.635
Population of the area is 426569.0
Population of the area in the neighboring region(s) is 2734937.0
Sum of nightlight intensity is 6008.08
Average nightlight intensity is 27.945
Sum of nightlight intensity in the neighboring region(s) is 56149.034
Average nightlight intensity in the neighboring region(s) is 24.104
Land cover ratio of development is 0.274
Land cover ratio of development in the neighboring region(s) is 0.319
Land cover ratio of building is 0.263
Land cover ratio of building in the neighboring region(s) is 0.14
Land cover ratio of road is 0.054
Land cover ratio of agricultural is 0.004
distance to the nearest airport is 19.756
distance to the nearest port is 153.72"
11305_2016,"full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.635
Population of the area is 295212.0
Population of the area in the neighboring region(s) is 2556659.0
Sum of nightlight intensity is 3951.855
Average nightlight intensity is 19.467
Sum of nightlight intensity in the neighboring region(s) is 59913.366
Average nightlight intensity in the neighboring region(s) is 14.169
Land cover ratio of development is 0.207
Land cover ratio of development in the neighboring region(s) is 0.305
Land cover ratio of building is 0.191
Land cover ratio of building in the neighboring region(s) is 0.091
Land cover ratio of road is 0.03
Land cover ratio of agricultural is 0.003
distance to the nearest airport is 20.771
distance to the nearest port is 152.43"
11320_2016,"full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 20.688
Population of the area is 313585.0
Population of the area in the neighboring region(s) is 1499444.0
Sum of nightlight intensity is 3527.32
Average nightlight intensity is 37.525
Sum of nightlight intensity in the neighboring region(s) is 31797.035
Average nightlight intensity in the neighboring region(s) is 13.362
Land cover ratio of development is 0.256
Land cover ratio of development in the neighboring region(s) is 0.274
Land cover ratio of building is 0.184
Land cover ratio of building in the neighboring region(s) is 0.073
Land cover ratio of road is 0.049
Land cover ratio of agricultural is 0.003
distance to the nearest airport is 23.796
distance to the nearest port is 149.5"
11350_2016,"full address of the given location is Nowon-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 35.608
Population of the area is 505046.0
Population of the area in the neighboring region(s) is 2806949.0
Sum of nightlight intensity is 5976.631
Average nightlight intensity is 35.575
Sum of nightlight intensity in the neighboring region(s) is 52469.187
Average nightlight intensity in the neighboring region(s) is 16.3
Land cover ratio of development is 0.262
Land cover ratio of development in the neighboring region(s) is 0.224
Land cover ratio of building is 0.177
Land cover ratio of building in the neighboring region(s) is 0.076
Land cover ratio of road is 0.051
Land cover ratio of agricultural is 0.006
distance to the nearest airport is 26.292
distance to the nearest port is 146.90"
