area_id,desc
11110,"full address of the given location is 03049, Jongno-gu, Seoul, KOR
area of district (km^2) of the given location is 23.989
Population of the area is 142711.0
Sum of nightlight intensity is 5868.347
Average nightlight intensity is 32.602
Land cover ratio of development is 0.224
Land cover ratio of building is 0.147
Land cover ratio of building in the neighboring region(s) is 0.129
Land cover ratio of road is 0.024
distance to the nearest airport is 16.006
distance to the nearest port is 157.44"
11140,"full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 10.023
Population of the area is 121126.0
Sum of nightlight intensity is 5694.792
Average nightlight intensity is 111.663
Land cover ratio of development is 0.33
Land cover ratio of building is 0.305
Land cover ratio of building in the neighboring region(s) is 0.194
Land cover ratio of road is 0.057
distance to the nearest airport is 17.095
distance to the nearest port is 157.7"
11170,"full address of the given location is 1-9, Yongsan-dong 4(sa)-ga, Yongsan-gu, Seoul, KOR
area of district (km^2) of the given location is 20.174
Population of the area is 219915.0
Sum of nightlight intensity is 6819.497
Average nightlight intensity is 85.244
Land cover ratio of development is 0.321
Land cover ratio of building is 0.173
Land cover ratio of building in the neighboring region(s) is 0.176
Land cover ratio of road is 0.037
distance to the nearest airport is 15.987
distance to the nearest port is 160.32"
11200,"full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 16.814
Population of the area is 282454.0
Sum of nightlight intensity is 5844.668
Average nightlight intensity is 53.621
Land cover ratio of development is 0.237
Land cover ratio of building is 0.21
Land cover ratio of building in the neighboring region(s) is 0.212
Land cover ratio of road is 0.062
distance to the nearest airport is 21.1
distance to the nearest port is 154.67"
11215,"full address of the given location is 620-1, Guui-dong, Gwangjin-gu, Seoul, KOR
area of district (km^2) of the given location is 17.024
Population of the area is 336451.0
Sum of nightlight intensity is 5544.406
Average nightlight intensity is 45.446
Land cover ratio of development is 0.211
Land cover ratio of building is 0.234
Land cover ratio of building in the neighboring region(s) is 0.18
Land cover ratio of road is 0.052
distance to the nearest airport is 25.067
distance to the nearest port is 151.45"
11230,"full address of the given location is 155-4, Jeonnong-dong, Dongdaemun-gu, Seoul, KOR
area of district (km^2) of the given location is 14.478
Population of the area is 334227.0
Sum of nightlight intensity is 5535.884
Average nightlight intensity is 57.665
Land cover ratio of development is 0.263
Land cover ratio of building is 0.291
Land cover ratio of building in the neighboring region(s) is 0.21
Land cover ratio of road is 0.07
distance to the nearest airport is 22.499
distance to the nearest port is 151.96"
11260,"full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 18.305
Population of the area is 383387.0
Sum of nightlight intensity is 5452.989
Average nightlight intensity is 106.921
Land cover ratio of development is 0.209
Land cover ratio of building is 0.244
Land cover ratio of building in the neighboring region(s) is 0.164
Land cover ratio of road is 0.053
distance to the nearest airport is 26.074
distance to the nearest port is 148.16"
11290,"full address of the given location is 186-125, Jeongneung-dong, Seongbuk-gu, Seoul, KOR
area of district (km^2) of the given location is 24.635
Population of the area is 426569.0
Sum of nightlight intensity is 6481.05
Average nightlight intensity is 30.144
Land cover ratio of development is 0.216
Land cover ratio of building is 0.191
Land cover ratio of building in the neighboring region(s) is 0.122
Land cover ratio of road is 0.041
distance to the nearest airport is 19.756
distance to the nearest port is 153.72"
11305,"full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.635
Population of the area is 295212.0
Sum of nightlight intensity is 4053.973
Average nightlight intensity is 19.97
Land cover ratio of development is 0.128
Land cover ratio of building is 0.133
Land cover ratio of building in the neighboring region(s) is 0.089
Land cover ratio of road is 0.021
distance to the nearest airport is 20.771
distance to the nearest port is 152.43"
11320,"full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 20.688
Population of the area is 313585.0
Sum of nightlight intensity is 3556.021
Average nightlight intensity is 37.83
Land cover ratio of development is 0.14
Land cover ratio of building is 0.151
Land cover ratio of building in the neighboring region(s) is 0.077
Land cover ratio of road is 0.033
distance to the nearest airport is 23.796
distance to the nearest port is 149.5"
11350,"full address of the given location is Nowon-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 35.608
Population of the area is 505046.0
Sum of nightlight intensity is 7404.289
Average nightlight intensity is 44.073
Land cover ratio of development is 0.168
Land cover ratio of building is 0.138
Land cover ratio of building in the neighboring region(s) is 0.083
Land cover ratio of road is 0.033
distance to the nearest airport is 26.292
distance to the nearest port is 146.90"
11380,"full address of the given location is 13-13, Tongil-ro 78ga-gil, Bulgwang-dong, Eunpyeong-gu, Seoul, KOR
area of district (km^2) of the given location is 29.793
Population of the area is 469174.0
Sum of nightlight intensity is 5488.542
Average nightlight intensity is 22.587
Land cover ratio of development is 0.206
Land cover ratio of building is 0.181
Land cover ratio of building in the neighboring region(s) is 0.113
Land cover ratio of road is 0.021
distance to the nearest airport is 12.977
distance to the nearest port is 160.31"
11410,"full address of the given location is Seodaemun-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 17.693
Population of the area is 301252.0
Sum of nightlight intensity is 4942.866
Average nightlight intensity is 29.422
Land cover ratio of development is 0.278
Land cover ratio of building is 0.191
Land cover ratio of building in the neighboring region(s) is 0.188
Land cover ratio of road is 0.029
distance to the nearest airport is 12.286
distance to the nearest port is 161.31"
11440,"full address of the given location is Mapo-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.747
Population of the area is 366298.0
Sum of nightlight intensity is 7516.937
Average nightlight intensity is 27.944
Land cover ratio of development is 0.244
Land cover ratio of building is 0.191
Land cover ratio of building in the neighboring region(s) is 0.131
Land cover ratio of road is 0.038
distance to the nearest airport is 9.349
distance to the nearest port is 164.66"
11470,"full address of the given location is Yangcheon-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 17.399
Population of the area is 443170.0
Sum of nightlight intensity is 5588.434
Average nightlight intensity is 53.735
Land cover ratio of development is 0.271
Land cover ratio of building is 0.277
Land cover ratio of building in the neighboring region(s) is 0.212
Land cover ratio of road is 0.053
distance to the nearest airport is 5.915
distance to the nearest port is 170.55"
