area_id,desc
11110,"full address of the given location is 03049, Jongno-gu, Seoul, KOR
Land cover ratio of building in the neighboring region(s) is 0.147
area of district (km^2) of the given location is 23.989
Sum of nightlight intensity is 5741.398
Average nightlight intensity is 31.897
Land cover ratio of development is 0.237
Land cover ratio of building is 0.179
area of district (km^2) of the given location in the neighboring region(s) is 357.462
Land cover ratio of road is 0.04
Land cover ratio of development in the neighboring region(s) is 0.327
Land cover ratio of road in the neighboring region(s) is 0.05
Sum of nightlight intensity in the neighboring region(s) is 62752.965
Average nightlight intensity in the neighboring region(s) is 24.024
Land cover ratio of rangeland is 0.454
Land cover ratio of agricultural is 0.005
distance to the nearest airport is 16.006
distance to the nearest port is 157.447
Land cover ratio of agricultural in the neighboring region(s) is 0.049
Land cover ratio of water is 0.004
Land cover ratio of water in the neighboring region(s) is 0.029"
11140,"full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
Land cover ratio of building in the neighboring region(s) is 0.231
area of district (km^2) of the given location is 10.023
Sum of nightlight intensity is 6052.087
Average nightlight intensity is 118.668
Land cover ratio of development is 0.336
Land cover ratio of building is 0.342
area of district (km^2) of the given location in the neighboring region(s) is 116.896
Land cover ratio of road is 0.068
Land cover ratio of development in the neighboring region(s) is 0.305
Land cover ratio of road in the neighboring region(s) is 0.065
Sum of nightlight intensity in the neighboring region(s) is 36633.868
Average nightlight intensity in the neighboring region(s) is 46.658
Land cover ratio of rangeland is 0.209
Land cover ratio of agricultural is 0.001
distance to the nearest airport is 17.095
distance to the nearest port is 157.73
Land cover ratio of agricultural in the neighboring region(s) is 0.008
Land cover ratio of water is 0.007
Land cover ratio of water in the neighboring region(s) is 0.083"
11170,"full address of the given location is 1-9, Yongsan-dong 4(sa)-ga, Yongsan-gu, Seoul, KOR
Land cover ratio of building in the neighboring region(s) is 0.215
area of district (km^2) of the given location is 20.174
Sum of nightlight intensity is 7012.944
Average nightlight intensity is 87.662
Land cover ratio of development is 0.35
Land cover ratio of building is 0.21
area of district (km^2) of the given location in the neighboring region(s) is 179.723
Land cover ratio of road is 0.069
Land cover ratio of development in the neighboring region(s) is 0.291
Land cover ratio of road in the neighboring region(s) is 0.065
Sum of nightlight intensity in the neighboring region(s) is 56635.087
Average nightlight intensity in the neighboring region(s) is 38.53
Land cover ratio of rangeland is 0.197
Land cover ratio of agricultural is 0.007
distance to the nearest airport is 15.987
distance to the nearest port is 160.326
Land cover ratio of agricultural in the neighboring region(s) is 0.01
Land cover ratio of water is 0.116
Land cover ratio of water in the neighboring region(s) is 0.098"
11200,"full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
Land cover ratio of building in the neighboring region(s) is 0.257
area of district (km^2) of the given location is 16.814
Sum of nightlight intensity is 5816.713
Average nightlight intensity is 53.364
Land cover ratio of development is 0.344
Land cover ratio of building is 0.261
area of district (km^2) of the given location in the neighboring region(s) is 101.222
Land cover ratio of road is 0.082
Land cover ratio of development in the neighboring region(s) is 0.312
Land cover ratio of road in the neighboring region(s) is 0.068
Sum of nightlight intensity in the neighboring region(s) is 37511.825
Average nightlight intensity in the neighboring region(s) is 59.12
Land cover ratio of rangeland is 0.139
Land cover ratio of agricultural is 0.006
distance to the nearest airport is 21.1
distance to the nearest port is 154.678
Land cover ratio of agricultural in the neighboring region(s) is 0.007
Land cover ratio of water is 0.139
Land cover ratio of water in the neighboring region(s) is 0.074"
11215,"full address of the given location is 620-1, Guui-dong, Gwangjin-gu, Seoul, KOR
Land cover ratio of building in the neighboring region(s) is 0.209
area of district (km^2) of the given location is 17.024
Sum of nightlight intensity is 5550.201
Average nightlight intensity is 45.493
Land cover ratio of development is 0.273
Land cover ratio of building is 0.258
area of district (km^2) of the given location in the neighboring region(s) is 180.747
Land cover ratio of road is 0.058
Land cover ratio of development in the neighboring region(s) is 0.297
Land cover ratio of road in the neighboring region(s) is 0.067
Sum of nightlight intensity in the neighboring region(s) is 55364.97
Average nightlight intensity in the neighboring region(s) is 48.71
Land cover ratio of rangeland is 0.227
Land cover ratio of agricultural is 0.003
distance to the nearest airport is 25.067
distance to the nearest port is 151.455
Land cover ratio of agricultural in the neighboring region(s) is 0.018
Land cover ratio of water is 0.128
Land cover ratio of water in the neighboring region(s) is 0.079"
11230,"full address of the given location is 155-4, Jeonnong-dong, Dongdaemun-gu, Seoul, KOR
Land cover ratio of building in the neighboring region(s) is 0.252
area of district (km^2) of the given location is 14.478
Sum of nightlight intensity is 5564.372
Average nightlight intensity is 57.962
Land cover ratio of development is 0.343
Land cover ratio of building is 0.346
area of district (km^2) of the given location in the neighboring region(s) is 110.789
Land cover ratio of road is 0.086
Land cover ratio of development in the neighboring region(s) is 0.285
Land cover ratio of road in the neighboring region(s) is 0.06
Sum of nightlight intensity in the neighboring region(s) is 34915.615
Average nightlight intensity in the neighboring region(s) is 56.772
Land cover ratio of rangeland is 0.162
Land cover ratio of agricultural is 0.001
distance to the nearest airport is 22.499
distance to the nearest port is 151.961
Land cover ratio of agricultural in the neighboring region(s) is 0.004
Land cover ratio of water is 0.023
Land cover ratio of water in the neighboring region(s) is 0.045"
11260,"full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
Land cover ratio of building in the neighboring region(s) is 0.199
area of district (km^2) of the given location is 18.305
Sum of nightlight intensity is 5388.018
Average nightlight intensity is 105.647
Land cover ratio of development is 0.293
Land cover ratio of building is 0.272
area of district (km^2) of the given location in the neighboring region(s) is 124.962
Land cover ratio of road is 0.072
Land cover ratio of development in the neighboring region(s) is 0.276
Land cover ratio of road in the neighboring region(s) is 0.055
Sum of nightlight intensity in the neighboring region(s) is 31552.285
Average nightlight intensity in the neighboring region(s) is 40.183
Land cover ratio of rangeland is 0.295
Land cover ratio of agricultural is 0.002
distance to the nearest airport is 26.074
distance to the nearest port is 148.168
Land cover ratio of agricultural in the neighboring region(s) is 0.014
Land cover ratio of water is 0.008
Land cover ratio of water in the neighboring region(s) is 0.05"
11290,"full address of the given location is 186-125, Jeongneung-dong, Seongbuk-gu, Seoul, KOR
Land cover ratio of building in the neighboring region(s) is 0.14
area of district (km^2) of the given location is 24.635
Sum of nightlight intensity is 6367.196
Average nightlight intensity is 29.615
Land cover ratio of development is 0.274
Land cover ratio of building is 0.263
area of district (km^2) of the given location in the neighboring region(s) is 376.855
Land cover ratio of road is 0.054
Land cover ratio of development in the neighboring region(s) is 0.319
Land cover ratio of road in the neighboring region(s) is 0.049
Sum of nightlight intensity in the neighboring region(s) is 62704.742
Average nightlight intensity in the neighboring region(s) is 27.113
Land cover ratio of rangeland is 0.319
Land cover ratio of agricultural is 0.004
distance to the nearest airport is 19.756
distance to the nearest port is 153.725
Land cover ratio of agricultural in the neighboring region(s) is 0.046
Land cover ratio of water is 0.007
Land cover ratio of water in the neighboring region(s) is 0.027"
11305,"full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
Land cover ratio of building in the neighboring region(s) is 0.091
area of district (km^2) of the given location is 23.635
Sum of nightlight intensity is 4202.884
Average nightlight intensity is 20.704
Land cover ratio of development is 0.207
Land cover ratio of building is 0.191
area of district (km^2) of the given location in the neighboring region(s) is 652.265
Land cover ratio of road is 0.03
Land cover ratio of development in the neighboring region(s) is 0.305
Land cover ratio of road in the neighboring region(s) is 0.036
Sum of nightlight intensity in the neighboring region(s) is 70470.322
Average nightlight intensity in the neighboring region(s) is 16.782
Land cover ratio of rangeland is 0.452
Land cover ratio of agricultural is 0.003
distance to the nearest airport is 20.771
distance to the nearest port is 152.436
Land cover ratio of agricultural in the neighboring region(s) is 0.047
Land cover ratio of water is 0.003
Land cover ratio of water in the neighboring region(s) is 0.055"
11320,"full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
Land cover ratio of building in the neighboring region(s) is 0.073
area of district (km^2) of the given location is 20.688
Sum of nightlight intensity is 3571.029
Average nightlight intensity is 37.99
Land cover ratio of development is 0.256
Land cover ratio of building is 0.184
area of district (km^2) of the given location in the neighboring region(s) is 451.56
Land cover ratio of road is 0.049
Land cover ratio of development in the neighboring region(s) is 0.274
Land cover ratio of road in the neighboring region(s) is 0.027
Sum of nightlight intensity in the neighboring region(s) is 40941.746
Average nightlight intensity in the neighboring region(s) is 17.321
Land cover ratio of rangeland is 0.421
Land cover ratio of agricultural is 0.003
distance to the nearest airport is 23.796
distance to the nearest port is 149.56
Land cover ratio of agricultural in the neighboring region(s) is 0.033
Land cover ratio of water is 0.009
Land cover ratio of water in the neighboring region(s) is 0.066"
