area_id,desc
11110,"full address of the given location is 03049, Jongno-gu, Seoul, KOR
area of district (km^2) of the given location is 23.989
area of district (km^2) of the given location in the neighboring region(s) is 357.462
Population of the area is 142711.0
Population of the area in the neighboring region(s) is 2726702.0
Sum of nightlight intensity is 5868.347
Average nightlight intensity is 32.602
Sum of nightlight intensity in the neighboring region(s) is 63536.235
Average nightlight intensity in the neighboring region(s) is 24.23
Land cover ratio of development is 0.224
Land cover ratio of development in the neighboring region(s) is 0.219
Land cover ratio of building is 0.147
Land cover ratio of building in the neighboring region(s) is 0.129
Land cover ratio of road is 0.024
Land cover ratio of road in the neighboring region(s) is 0.031
Land cover ratio of rangeland is 0.496
Land cover ratio of rangeland in the neighboring region(s) is 0.46
Land cover ratio of agricultural is 0.001
Land cover ratio of agricultural in the neighboring region(s) is 0.043
Land cover ratio of water is 0.005
Land cover ratio of water in the neighboring region(s) is 0.024
distance to the nearest airport is 16.006
distance to the nearest port is 157.447"
11140,"full address of the given location is Jung-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 10.023
area of district (km^2) of the given location in the neighboring region(s) is 116.896
Population of the area is 121126.0
Population of the area in the neighboring region(s) is 1646857.0
Sum of nightlight intensity is 5694.792
Average nightlight intensity is 111.663
Sum of nightlight intensity in the neighboring region(s) is 36528.198
Average nightlight intensity in the neighboring region(s) is 46.387
Land cover ratio of development is 0.33
Land cover ratio of development in the neighboring region(s) is 0.26
Land cover ratio of building is 0.305
Land cover ratio of building in the neighboring region(s) is 0.194
Land cover ratio of road is 0.057
Land cover ratio of road in the neighboring region(s) is 0.041
Land cover ratio of rangeland is 0.216
Land cover ratio of rangeland in the neighboring region(s) is 0.336
Land cover ratio of agricultural is 0.001
Land cover ratio of agricultural in the neighboring region(s) is 0.002
Land cover ratio of water is 0.006
Land cover ratio of water in the neighboring region(s) is 0.081
distance to the nearest airport is 17.095
distance to the nearest port is 157.73"
11170,"full address of the given location is 1-9, Yongsan-dong 4(sa)-ga, Yongsan-gu, Seoul, KOR
area of district (km^2) of the given location is 20.174
area of district (km^2) of the given location in the neighboring region(s) is 179.723
Population of the area is 219915.0
Population of the area in the neighboring region(s) is 2461554.0
Sum of nightlight intensity is 6819.497
Average nightlight intensity is 85.244
Sum of nightlight intensity in the neighboring region(s) is 55606.752
Average nightlight intensity in the neighboring region(s) is 37.779
Land cover ratio of development is 0.321
Land cover ratio of development in the neighboring region(s) is 0.237
Land cover ratio of building is 0.173
Land cover ratio of building in the neighboring region(s) is 0.176
Land cover ratio of road is 0.037
Land cover ratio of road in the neighboring region(s) is 0.043
Land cover ratio of rangeland is 0.279
Land cover ratio of rangeland in the neighboring region(s) is 0.338
Land cover ratio of agricultural is 0.001
Land cover ratio of agricultural in the neighboring region(s) is 0.002
Land cover ratio of water is 0.112
Land cover ratio of water in the neighboring region(s) is 0.094
distance to the nearest airport is 15.987
distance to the nearest port is 160.326"
11200,"full address of the given location is Seongdong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 16.814
area of district (km^2) of the given location in the neighboring region(s) is 101.222
Population of the area is 282454.0
Population of the area in the neighboring region(s) is 1540445.0
Sum of nightlight intensity is 5844.668
Average nightlight intensity is 53.621
Sum of nightlight intensity in the neighboring region(s) is 36598.982
Average nightlight intensity in the neighboring region(s) is 57.551
Land cover ratio of development is 0.237
Land cover ratio of development in the neighboring region(s) is 0.256
Land cover ratio of building is 0.21
Land cover ratio of building in the neighboring region(s) is 0.212
Land cover ratio of road is 0.062
Land cover ratio of road in the neighboring region(s) is 0.051
Land cover ratio of rangeland is 0.245
Land cover ratio of rangeland in the neighboring region(s) is 0.293
Land cover ratio of agricultural is 0.003
Land cover ratio of agricultural in the neighboring region(s) is 0.002
Land cover ratio of water is 0.139
Land cover ratio of water in the neighboring region(s) is 0.072
distance to the nearest airport is 21.1
distance to the nearest port is 154.678"
11215,"full address of the given location is 620-1, Guui-dong, Gwangjin-gu, Seoul, KOR
area of district (km^2) of the given location is 17.024
area of district (km^2) of the given location in the neighboring region(s) is 180.747
Population of the area is 336451.0
Population of the area in the neighboring region(s) is 2831992.0
Sum of nightlight intensity is 5544.406
Average nightlight intensity is 45.446
Sum of nightlight intensity in the neighboring region(s) is 55101.414
Average nightlight intensity in the neighboring region(s) is 48.625
Land cover ratio of development is 0.211
Land cover ratio of development in the neighboring region(s) is 0.217
Land cover ratio of building is 0.234
Land cover ratio of building in the neighboring region(s) is 0.18
Land cover ratio of road is 0.052
Land cover ratio of road in the neighboring region(s) is 0.052
Land cover ratio of rangeland is 0.253
Land cover ratio of rangeland in the neighboring region(s) is 0.335
Land cover ratio of agricultural is 0.001
Land cover ratio of agricultural in the neighboring region(s) is 0.004
Land cover ratio of water is 0.125
Land cover ratio of water in the neighboring region(s) is 0.081
distance to the nearest airport is 25.067
distance to the nearest port is 151.455"
11230,"full address of the given location is 155-4, Jeonnong-dong, Dongdaemun-gu, Seoul, KOR
area of district (km^2) of the given location is 14.478
area of district (km^2) of the given location in the neighboring region(s) is 110.789
Population of the area is 334227.0
Population of the area in the neighboring region(s) is 1692698.0
Sum of nightlight intensity is 5535.884
Average nightlight intensity is 57.665
Sum of nightlight intensity in the neighboring region(s) is 34886.252
Average nightlight intensity in the neighboring region(s) is 56.651
Land cover ratio of development is 0.263
Land cover ratio of development in the neighboring region(s) is 0.23
Land cover ratio of building is 0.291
Land cover ratio of building in the neighboring region(s) is 0.21
Land cover ratio of road is 0.07
Land cover ratio of road in the neighboring region(s) is 0.046
Land cover ratio of rangeland is 0.221
Land cover ratio of rangeland in the neighboring region(s) is 0.345
Land cover ratio of agricultural is 0.0
Land cover ratio of agricultural in the neighboring region(s) is 0.001
Land cover ratio of water is 0.025
Land cover ratio of water in the neighboring region(s) is 0.045
distance to the nearest airport is 22.499
distance to the nearest port is 151.961"
11260,"full address of the given location is Jungnang-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 18.305
area of district (km^2) of the given location in the neighboring region(s) is 124.962
Population of the area is 383387.0
Population of the area in the neighboring region(s) is 1791746.0
Sum of nightlight intensity is 5452.989
Average nightlight intensity is 106.921
Sum of nightlight intensity in the neighboring region(s) is 31604.09
Average nightlight intensity in the neighboring region(s) is 40.286
Land cover ratio of development is 0.209
Land cover ratio of development in the neighboring region(s) is 0.195
Land cover ratio of building is 0.244
Land cover ratio of building in the neighboring region(s) is 0.164
Land cover ratio of road is 0.053
Land cover ratio of road in the neighboring region(s) is 0.042
Land cover ratio of rangeland is 0.322
Land cover ratio of rangeland in the neighboring region(s) is 0.392
Land cover ratio of agricultural is 0.001
Land cover ratio of agricultural in the neighboring region(s) is 0.004
Land cover ratio of water is 0.007
Land cover ratio of water in the neighboring region(s) is 0.052
distance to the nearest airport is 26.074
distance to the nearest port is 148.168"
11290,"full address of the given location is 186-125, Jeongneung-dong, Seongbuk-gu, Seoul, KOR
area of district (km^2) of the given location is 24.635
area of district (km^2) of the given location in the neighboring region(s) is 376.855
Population of the area is 426569.0
Population of the area in the neighboring region(s) is 2734937.0
Sum of nightlight intensity is 6481.05
Average nightlight intensity is 30.144
Sum of nightlight intensity in the neighboring region(s) is 63708.583
Average nightlight intensity in the neighboring region(s) is 27.561
Land cover ratio of development is 0.216
Land cover ratio of development in the neighboring region(s) is 0.203
Land cover ratio of building is 0.191
Land cover ratio of building in the neighboring region(s) is 0.122
Land cover ratio of road is 0.041
Land cover ratio of road in the neighboring region(s) is 0.03
Land cover ratio of rangeland is 0.402
Land cover ratio of rangeland in the neighboring region(s) is 0.471
Land cover ratio of agricultural is 0.0
Land cover ratio of agricultural in the neighboring region(s) is 0.04
Land cover ratio of water is 0.007
Land cover ratio of water in the neighboring region(s) is 0.024
distance to the nearest airport is 19.756
distance to the nearest port is 153.725"
11305,"full address of the given location is Gangbuk-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 23.635
area of district (km^2) of the given location in the neighboring region(s) is 652.265
Population of the area is 295212.0
Population of the area in the neighboring region(s) is 2556659.0
Sum of nightlight intensity is 4053.973
Average nightlight intensity is 19.97
Sum of nightlight intensity in the neighboring region(s) is 71742.967
Average nightlight intensity in the neighboring region(s) is 17.076
Land cover ratio of development is 0.128
Land cover ratio of development in the neighboring region(s) is 0.178
Land cover ratio of building is 0.133
Land cover ratio of building in the neighboring region(s) is 0.089
Land cover ratio of road is 0.021
Land cover ratio of road in the neighboring region(s) is 0.024
Land cover ratio of rangeland is 0.545
Land cover ratio of rangeland in the neighboring region(s) is 0.548
Land cover ratio of agricultural is 0.0
Land cover ratio of agricultural in the neighboring region(s) is 0.031
Land cover ratio of water is 0.003
Land cover ratio of water in the neighboring region(s) is 0.021
distance to the nearest airport is 20.771
distance to the nearest port is 152.436"
11320,"full address of the given location is Dobong-gu, Seoul_teugbyeol-si, KOR
area of district (km^2) of the given location is 20.688
area of district (km^2) of the given location in the neighboring region(s) is 451.56
Population of the area is 313585.0
Population of the area in the neighboring region(s) is 1499444.0
Sum of nightlight intensity is 3556.021
Average nightlight intensity is 37.83
Sum of nightlight intensity in the neighboring region(s) is 40732.104
Average nightlight intensity in the neighboring region(s) is 17.212
Land cover ratio of development is 0.14
Land cover ratio of development in the neighboring region(s) is 0.148
Land cover ratio of building is 0.151
Land cover ratio of building in the neighboring region(s) is 0.077
Land cover ratio of road is 0.033
Land cover ratio of road in the neighboring region(s) is 0.02
Land cover ratio of rangeland is 0.468
Land cover ratio of rangeland in the neighboring region(s) is 0.603
Land cover ratio of agricultural is 0.0
Land cover ratio of agricultural in the neighboring region(s) is 0.013
Land cover ratio of water is 0.01
Land cover ratio of water in the neighboring region(s) is 0.015
distance to the nearest airport is 23.796
distance to the nearest port is 149.56"
