area_id,desc
922,"full address of the given location is ulica Ościsłowo 30A-30A, 06-452, Glinojeck gmina, Ciechanowski, Mazowieckie, POL
area of district (km^2) of the given location is 5255.313
Sum of nightlight intensity is 28389.584
Average nightlight intensity is 0.589
Land cover ratio of development is 0.031
Land cover ratio of building is 0.008
Land cover ratio of agricultural is 0.321
distance to the nearest airport is 82.528
distance to the nearest port is 207.082"
22C,"full address of the given location is ulica Orla, 43-210, Kobiór, Pszczyński, Śląskie, POL
area of district (km^2) of the given location is 944.275
Sum of nightlight intensity is 36408.102
Average nightlight intensity is 5.358
Land cover ratio of development is 0.069
Land cover ratio of building is 0.041
Land cover ratio of agricultural is 0.125
distance to the nearest airport is 62.749
distance to the nearest port is 480.035"
228,"full address of the given location is ulica 907, 42-286, Koszęcin, Lubliniecki, Śląskie, POL
area of district (km^2) of the given location is 1577.294
Sum of nightlight intensity is 30288.652
Average nightlight intensity is 3.362
Land cover ratio of development is 0.048
Land cover ratio of building is 0.052
Land cover ratio of agricultural is 0.139
distance to the nearest airport is 90.669
distance to the nearest port is 424.628"
229,"full address of the given location is Ligota Łabędzka, Rudziniec, Gliwicki, Śląskie, POL
area of district (km^2) of the given location is 879.221
Sum of nightlight intensity is 37218.949
Average nightlight intensity is 7.717
Land cover ratio of development is 0.06
Land cover ratio of building is 0.03
Land cover ratio of agricultural is 0.192
distance to the nearest airport is 92.359
distance to the nearest port is 439.659"
22A,"full address of the given location is ulica Tadeusza Kościuszki, 40-047, Brynów-Osiedle Zgrzebnioka, Katowice, Śląskie, POL
area of district (km^2) of the given location is 380.303
Sum of nightlight intensity is 46413.281
Average nightlight intensity is 14.824
Land cover ratio of development is 0.13
Land cover ratio of building is 0.075
Land cover ratio of agricultural is 0.025
distance to the nearest airport is 59.959
distance to the nearest port is 462.674"
22B,"full address of the given location is Rokitno Szlacheckie, Łazy, Zawierciański, Śląskie, POL
area of district (km^2) of the given location is 1802.048
Sum of nightlight intensity is 60283.867
Average nightlight intensity is 2.625
Land cover ratio of development is 0.063
Land cover ratio of building is 0.031
Land cover ratio of agricultural is 0.121
distance to the nearest airport is 48.548
distance to the nearest port is 442.798"
224,"full address of the given location is ulica Głogowa, 42-202, Częstochowa, Śląskie, POL
area of district (km^2) of the given location is 3048.128
Sum of nightlight intensity is 37969.391
Average nightlight intensity is 1.946
Land cover ratio of development is 0.056
Land cover ratio of building is 0.027
Land cover ratio of agricultural is 0.12
distance to the nearest airport is 93.145
distance to the nearest port is 399.878"
225,"full address of the given location is Osiedle Zapelenica, 43-370, Szczyrk, Bielski, Śląskie, POL
area of district (km^2) of the given location is 2352.916
Sum of nightlight intensity is 43407.285
Average nightlight intensity is 3.332
Land cover ratio of development is 0.049
Land cover ratio of building is 0.036
Land cover ratio of agricultural is 0.082
distance to the nearest airport is 68.587
distance to the nearest port is 516.61"
227,"full address of the given location is osiedle na Wzgórzu 69, 44-280, Rydułtowy Górne, Rydułtowy, Wodzisławski, Śląskie, POL
area of district (km^2) of the given location is 1353.139
Sum of nightlight intensity is 43282.523
Average nightlight intensity is 7.274
Land cover ratio of development is 0.072
Land cover ratio of building is 0.042
Land cover ratio of agricultural is 0.186
distance to the nearest airport is 99.312
distance to the nearest port is 457.293"
822,"full address of the given location is ulica Wietlin, 37-512, Laszki, Jarosławski, Podkarpackie, POL
area of district (km^2) of the given location is 4291.923
Sum of nightlight intensity is 16016.604
Average nightlight intensity is 0.488
Land cover ratio of development is 0.041
Land cover ratio of building is 0.045
Land cover ratio of agricultural is 0.191
distance to the nearest airport is 84.263
distance to the nearest port is 545.652"
622,"full address of the given location is Ramsowo, Barczewo, Olsztyński, Warmińsko-mazurskie, POL
area of district (km^2) of the given location is 10330.453
Sum of nightlight intensity is 48462.324
Average nightlight intensity is 1.126
Land cover ratio of development is 0.033
Land cover ratio of building is 0.012
Land cover ratio of agricultural is 0.099
distance to the nearest airport is 164.983
distance to the nearest port is 98.402"
722,"full address of the given location is Rączki, Kluczewsko, Włoszczowski, Świętokrzyskie, POL
area of district (km^2) of the given location is 6678.446
Sum of nightlight intensity is 32591.816
Average nightlight intensity is 0.518
Land cover ratio of development is 0.046
Land cover ratio of building is 0.02
Land cover ratio of agricultural is 0.289
distance to the nearest airport is 82.775
distance to the nearest port is 381.435"
616,"full address of the given location is Dębowa Łąka 40, 87-207, Dębowa Łąka, Wąbrzeski, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 4053.022
Sum of nightlight intensity is 24538.795
Average nightlight intensity is 0.889
Land cover ratio of development is 0.043
Land cover ratio of building is 0.007
Land cover ratio of agricultural is 0.298
distance to the nearest airport is 131.725
distance to the nearest port is 129.594"
617,"full address of the given location is ulica Polna, 88-190, Barcin, Żniński, Kujawsko-Pomorskie, POL
area of district (km^2) of the given location is 4004.409
Sum of nightlight intensity is 34713.672
Average nightlight intensity is 1.1
Land cover ratio of development is 0.037
Land cover ratio of building is 0.007
Land cover ratio of agricultural is 0.286
distance to the nearest airport is 161.216
distance to the nearest port is 177.897"
618,"full address of the given location is Wysoka, Cekcyn, Tucholski, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 3341.296
Sum of nightlight intensity is 19066.158
Average nightlight intensity is 0.906
Land cover ratio of development is 0.04
Land cover ratio of building is 0.014
Land cover ratio of agricultural is 0.206
distance to the nearest airport is 100.271
distance to the nearest port is 105.93"
613,"full address of the given location is Toporzysko, Zławieś Wielka, Toruński, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 2917.507
Sum of nightlight intensity is 60659.559
Average nightlight intensity is 2.151
Land cover ratio of development is 0.051
Land cover ratio of building is 0.02
Land cover ratio of agricultural is 0.215
distance to the nearest airport is 140.857
distance to the nearest port is 143.83"
619,"full address of the given location is Wieniec Zalesie, Brześć Kujawski, Włocławski, Kujawsko-pomorskie, POL
area of district (km^2) of the given location is 3656.02
Sum of nightlight intensity is 25074.455
Average nightlight intensity is 1.483
Land cover ratio of development is 0.044
Land cover ratio of building is 0.013
Land cover ratio of agricultural is 0.353
distance to the nearest airport is 107.212
distance to the nearest port is 194.566"
414,"full address of the given location is Daninów, Kazimierz Biskupi, Koniński, Wielkopolskie, POL
area of district (km^2) of the given location is 6397.756
Sum of nightlight intensity is 64814.211
Average nightlight intensity is 1.171
Land cover ratio of development is 0.042
Land cover ratio of building is 0.012
Land cover ratio of agricultural is 0.307
distance to the nearest airport is 107.304
distance to the nearest port is 237.44"
411,"full address of the given location is Dziembowo, Kaczory, Pilski, Wielkopolskie, POL
area of district (km^2) of the given location is 6457.554
Sum of nightlight intensity is 37868.207
Average nightlight intensity is 0.713
Land cover ratio of development is 0.032
Land cover ratio of building is 0.023
Land cover ratio of agricultural is 0.186
distance to the nearest airport is 180.39
distance to the nearest port is 155.261"
415,"full address of the given location is Kawiarnia Złota, ulica Święty Marcin 51, 61-803, Stare Miasto, Poznań, Wielkopolskie, POL
area of district (km^2) of the given location is 261.95
Sum of nightlight intensity is 42277.07
Average nightlight intensity is 17.929
Land cover ratio of development is 0.242
Land cover ratio of building is 0.069
Land cover ratio of agricultural is 0.052
distance to the nearest airport is 186.126
distance to the nearest port is 194.137"
418,"full address of the given location is Chojno, Wronki, Szamotulski, Wielkopolskie, POL
area of district (km^2) of the given location is 4928.336
Sum of nightlight intensity is 86344.523
Average nightlight intensity is 1.849
Land cover ratio of development is 0.045
Land cover ratio of building is 0.023
Land cover ratio of agricultural is 0.258
distance to the nearest airport is 186.098
distance to the nearest port is 123.916"
416,"full address of the given location is ulica Kołątajew 60-60, 63-410, Ostrów Wielkopolski gmina, Ostrowski, Wielkopolskie, POL
area of district (km^2) of the given location is 5785.265
Sum of nightlight intensity is 60956.836
Average nightlight intensity is 1.593
Land cover ratio of development is 0.04
Land cover ratio of building is 0.019
Land cover ratio of agricultural is 0.369
distance to the nearest airport is 106.695
distance to the nearest port is 295.12"
841,"full address of the given location is Studzianki, Wasilków, Białostocki, Podlaskie, POL
area of district (km^2) of the given location is 5132.29
Sum of nightlight intensity is 38814.461
Average nightlight intensity is 1.117
Land cover ratio of development is 0.035
Land cover ratio of building is 0.023
Land cover ratio of agricultural is 0.174
distance to the nearest airport is 198.233
distance to the nearest port is 247.607"
417,"full address of the given location is Kotusz, Kamieniec, Grodziski, Wielkopolskie, POL
area of district (km^2) of the given location is 5995.168
Sum of nightlight intensity is 57542.91
Average nightlight intensity is 0.897
Land cover ratio of development is 0.038
Land cover ratio of building is 0.019
Land cover ratio of agricultural is 0.302
distance to the nearest airport is 205.67
distance to the nearest port is 195.775"
623,"full address of the given location is Radzie, Wydminy, Giżycki, Warmińsko-mazurskie, POL
area of district (km^2) of the given location is 6348.487
Sum of nightlight intensity is 22208.461
Average nightlight intensity is 0.955
Land cover ratio of development is 0.03
Land cover ratio of building is 0.016
Land cover ratio of agricultural is 0.092
distance to the nearest airport is 210.086
distance to the nearest port is 134.951"
621,"full address of the given location is Majdany Wielkie, Miłomłyn, Ostródzki, Warmińsko-mazurskie, POL
area of district (km^2) of the given location is 7333.179
Sum of nightlight intensity is 41056.133
Average nightlight intensity is 1.041
Land cover ratio of development is 0.039
Land cover ratio of building is 0.01
Land cover ratio of agricultural is 0.176
distance to the nearest airport is 107.741
distance to the nearest port is 98.545"
424,"full address of the given location is Dąbie 1, Szczecin, Zachodniopomorskie, POL
area of district (km^2) of the given location is 300.296
Sum of nightlight intensity is 26511.537
Average nightlight intensity is 12.172
Land cover ratio of development is 0.118
Land cover ratio of building is 0.054
Land cover ratio of agricultural is 0.012
distance to the nearest airport is 132.039
distance to the nearest port is 1.876"
427,"full address of the given location is Konotop, Drawsko Pomorskie, Drawski, Zachodniopomorskie, POL
area of district (km^2) of the given location is 10338.926
Sum of nightlight intensity is 36309.461
Average nightlight intensity is 0.296
Land cover ratio of development is 0.029
Land cover ratio of building is 0.034
Land cover ratio of agricultural is 0.122
distance to the nearest airport is 194.22
distance to the nearest port is 81.831"
428,"full address of the given location is ulica Bolechowo, 72-131, Goleniów gmina, Goleniowski, Zachodniopomorskie, POL
area of district (km^2) of the given location is 7441.324
Sum of nightlight intensity is 54240.691
Average nightlight intensity is 0.689
Land cover ratio of development is 0.038
Land cover ratio of building is 0.03
Land cover ratio of agricultural is 0.128
distance to the nearest airport is 148.287
distance to the nearest port is 19.322"
426,"full address of the given location is 76-009, Bonin, Zachodniopomorskie, POL
area of district (km^2) of the given location is 4365.807
Sum of nightlight intensity is 28388.244
Average nightlight intensity is 0.871
Land cover ratio of development is 0.038
Land cover ratio of building is 0.019
Land cover ratio of agricultural is 0.13
distance to the nearest airport is 147.894
distance to the nearest port is 131.586"
842,"full address of the given location is Łopienie-zyski, Nowe Piekuty, Wysokomazowiecki, Podlaskie, POL
area of district (km^2) of the given location is 8817.827
Sum of nightlight intensity is 30490.559
Average nightlight intensity is 0.294
Land cover ratio of development is 0.03
Land cover ratio of building is 0.018
Land cover ratio of agricultural is 0.282
distance to the nearest airport is 142.638
distance to the nearest port is 250.848"
515,"full address of the given location is Mojesz, Lwówek Śląski, Lwówecki, Dolnośląskie, POL
area of district (km^2) of the given location is 5570.265
Sum of nightlight intensity is 49122.637
Average nightlight intensity is 1.014
Land cover ratio of development is 0.04
Land cover ratio of building is 0.037
Land cover ratio of agricultural is 0.144
distance to the nearest airport is 128.695
distance to the nearest port is 269.012"
516,"full address of the given location is Rynarcice 28, 59-305, Rynarcice, Rudna, Lubiński, Dolnośląskie, POL
area of district (km^2) of the given location is 3472.865
Sum of nightlight intensity is 43408.43
Average nightlight intensity is 2.149
Land cover ratio of development is 0.07
Land cover ratio of building is 0.029
Land cover ratio of agricultural is 0.193
distance to the nearest airport is 175.405
distance to the nearest port is 244.267"
518,"full address of the given location is ulica Rakowa, 55-114, Wisznia Mała, Trzebnicki, Dolnośląskie, POL
area of district (km^2) of the given location is 6433.151
Sum of nightlight intensity is 82137.203
Average nightlight intensity is 2.053
Land cover ratio of development is 0.031
Land cover ratio of building is 0.021
Land cover ratio of agricultural is 0.26
distance to the nearest airport is 172.958
distance to the nearest port is 300.976"
517,"full address of the given location is Wolibórz, Nowa Ruda, Kłodzki, Dolnośląskie, POL
area of district (km^2) of the given location is 4180.131
Sum of nightlight intensity is 43825.867
Average nightlight intensity is 1.509
Land cover ratio of development is 0.038
Land cover ratio of building is 0.024
Land cover ratio of agricultural is 0.228
distance to the nearest airport is 174.55
distance to the nearest port is 344.693"
514,"full address of the given location is Popowice, Wrocław, Dolnośląskie, POL
area of district (km^2) of the given location is 292.068
Sum of nightlight intensity is 39971.0
Average nightlight intensity is 26.79
Land cover ratio of development is 0.183
Land cover ratio of building is 0.045
Land cover ratio of agricultural is 0.034
distance to the nearest airport is 180.198
distance to the nearest port is 304.474"
524,"full address of the given location is ulica Cmentarna 17, 46-042, Szczedrzyk, Ozimek, Opolski, Opolskie, POL
area of district (km^2) of the given location is 5319.375
Sum of nightlight intensity is 53955.824
Average nightlight intensity is 1.637
Land cover ratio of development is 0.034
Land cover ratio of building is 0.028
Land cover ratio of agricultural is 0.265
distance to the nearest airport is 137.183
distance to the nearest port is 389.369"
523,"full address of the given location is Łambinowice, Nyski, Opolskie, POL
area of district (km^2) of the given location is 4092.887
Sum of nightlight intensity is 26920.701
Average nightlight intensity is 0.514
Land cover ratio of development is 0.024
Land cover ratio of building is 0.015
Land cover ratio of agricultural is 0.342
distance to the nearest airport is 167.508
distance to the nearest port is 378.41"
714,"full address of the given location is Wola Będkowska 48a, 98-260, Wola Będkowska, Burzenin, Sieradzki, Łódzkie, POL
area of district (km^2) of the given location is 5667.626
Sum of nightlight intensity is 31670.0
Average nightlight intensity is 0.877
Land cover ratio of development is 0.042
Land cover ratio of building is 0.016
Land cover ratio of agricultural is 0.314
distance to the nearest airport is 52.501
distance to the nearest port is 323.765"
713,"full address of the given location is Łazy Dąbrowa, Sulejów, Piotrkowski, Łódzkie, POL
area of district (km^2) of the given location is 5970.336
Sum of nightlight intensity is 53797.18
Average nightlight intensity is 1.161
Land cover ratio of development is 0.049
Land cover ratio of building is 0.027
Land cover ratio of agricultural is 0.221
distance to the nearest airport is 50.691
distance to the nearest port is 348.564"
712,"full address of the given location is Opole, Parzęczew, Zgierski, Łódzkie, POL
area of district (km^2) of the given location is 2206.588
Sum of nightlight intensity is 42138.016
Average nightlight intensity is 2.849
Land cover ratio of development is 0.069
Land cover ratio of building is 0.023
Land cover ratio of agricultural is 0.237
distance to the nearest airport is 36.504
distance to the nearest port is 267.311"
711,"full address of the given location is Irys Damian Macha, ulica Przędzalniana 63-10, 90-347, Stary Widzew, Łódź, Łódzkie, POL
area of district (km^2) of the given location is 293.457
Sum of nightlight intensity is 52588.203
Average nightlight intensity is 48.335
Land cover ratio of development is 0.351
Land cover ratio of building is 0.059
Land cover ratio of agricultural is 0.022
distance to the nearest airport is 6.885
distance to the nearest port is 297.344"
715,"full address of the given location is Skaratki, Domaniewice, Łowicki, Łódzkie, POL
area of district (km^2) of the given location is 4080.423
Sum of nightlight intensity is 28926.088
Average nightlight intensity is 0.582
Land cover ratio of development is 0.044
Land cover ratio of building is 0.011
Land cover ratio of agricultural is 0.403
distance to the nearest airport is 43.615
distance to the nearest port is 271.332"
637,"full address of the given location is Park Narodowy Bory Tucholskie, ulica Długa 33, 89-606, Chojnice gmina, Chojnicki, Pomorskie, POL
area of district (km^2) of the given location is 4105.619
Sum of nightlight intensity is 17815.629
Average nightlight intensity is 0.597
Land cover ratio of development is 0.034
Land cover ratio of building is 0.009
Land cover ratio of agricultural is 0.143
distance to the nearest airport is 83.174
distance to the nearest port is 93.708"
638,"full address of the given location is Szprudowo, Gniew, Tczewski, Pomorskie, POL
area of district (km^2) of the given location is 4101.46
Sum of nightlight intensity is 34833.316
Average nightlight intensity is 1.658
Land cover ratio of development is 0.044
Land cover ratio of building is 0.008
Land cover ratio of agricultural is 0.233
distance to the nearest airport is 59.258
distance to the nearest port is 57.075"
633,"full address of the given location is ulica Obotrycka 15-25, 80-383, Przymorze Małe, Gdańsk, Pomorskie, POL
area of district (km^2) of the given location is 415.619
Sum of nightlight intensity is 66516.195
Average nightlight intensity is 8.979
Land cover ratio of development is 0.257
Land cover ratio of building is 0.044
Land cover ratio of agricultural is 0.037
distance to the nearest airport is 8.021
distance to the nearest port is 6.032"
634,"full address of the given location is Warzno, Szemud, Wejherowski, Pomorskie, POL
area of district (km^2) of the given location is 4305.061
Sum of nightlight intensity is 60093.168
Average nightlight intensity is 1.198
Land cover ratio of development is 0.047
Land cover ratio of building is 0.01
Land cover ratio of agricultural is 0.19
distance to the nearest airport is 10.755
distance to the nearest port is 18.093"
636,"full address of the given location is Ochodza, Dębnica Kaszubska, Słupski, Pomorskie, POL
area of district (km^2) of the given location is 5245.897
Sum of nightlight intensity is 27908.18
Average nightlight intensity is 1.318
Land cover ratio of development is 0.03
Land cover ratio of building is 0.012
Land cover ratio of agricultural is 0.108
distance to the nearest airport is 75.981
distance to the nearest port is 82.919"
843,"full address of the given location is Netta Druga, Augustów, Augustowski, Podlaskie, POL
area of district (km^2) of the given location is 6234.7
Sum of nightlight intensity is 16254.128
Average nightlight intensity is 0.309
Land cover ratio of development is 0.031
Land cover ratio of building is 0.035
Land cover ratio of agricultural is 0.176
distance to the nearest airport is 180.538
distance to the nearest port is 188.769"
431,"full address of the given location is Bolemin, Deszczno, Gorzowski, Lubuskie, POL
area of district (km^2) of the given location is 6111.881
Sum of nightlight intensity is 39945.203
Average nightlight intensity is 0.935
Land cover ratio of development is 0.029
Land cover ratio of building is 0.044
Land cover ratio of agricultural is 0.108
distance to the nearest airport is 135.388
distance to the nearest port is 103.934"
432,"full address of the given location is Świdnica, Zielonogórski, Lubuskie, POL
area of district (km^2) of the given location is 7874.252
Sum of nightlight intensity is 57037.996
Average nightlight intensity is 1.18
Land cover ratio of development is 0.03
Land cover ratio of building is 0.044
Land cover ratio of agricultural is 0.132
distance to the nearest airport is 140.49
distance to the nearest port is 180.908"
923,"full address of the given location is Trzepowo Nowe, Stara Biała, Płocki, Mazowieckie, POL
area of district (km^2) of the given location is 3351.278
Sum of nightlight intensity is 28964.732
Average nightlight intensity is 1.732
Land cover ratio of development is 0.039
Land cover ratio of building is 0.012
Land cover ratio of agricultural is 0.348
distance to the nearest airport is 95.404
distance to the nearest port is 213.18"
925,"full address of the given location is Niwiski, Mokobody, Siedlecki, Mazowieckie, POL
area of district (km^2) of the given location is 6044.103
Sum of nightlight intensity is 25598.051
Average nightlight intensity is 0.358
Land cover ratio of development is 0.038
Land cover ratio of building is 0.013
Land cover ratio of agricultural is 0.263
distance to the nearest airport is 80.705
distance to the nearest port is 297.555"
924,"full address of the given location is Modzele, Młynarze, Makowski, Mazowieckie, POL
area of district (km^2) of the given location is 6505.868
Sum of nightlight intensity is 27902.436
Average nightlight intensity is 0.491
Land cover ratio of development is 0.037
Land cover ratio of building is 0.015
Land cover ratio of agricultural is 0.231
distance to the nearest airport is 95.12
distance to the nearest port is 202.101"
926,"full address of the given location is Ciemno Gnojna, Mszczonów, Żyrardowski, Mazowieckie, POL
area of district (km^2) of the given location is 2535.755
Sum of nightlight intensity is 30572.039
Average nightlight intensity is 0.631
Land cover ratio of development is 0.043
Land cover ratio of building is 0.015
Land cover ratio of agricultural is 0.28
distance to the nearest airport is 34.975
distance to the nearest port is 298.006"
